date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,469.0,388.0,2.5,67.0,4.1,59.5,469.0
2017-01-02,291.0,197.0,7.0,52.5,6.1,36.2,291.0
2017-01-03,382.0,293.0,2.9,74.5,8.2,58.7,382.0
2017-01-04,422.0,407.0,2.9,76.1,7.6,75.8,422.0
2017-01-05,260.0,165.0,1.7,54.7,7.1,48.8,260.0
2017-01-06,258.0,136.0,2.1,55.7,12.2,41.6,258.0
2017-01-07,239.0,145.0,1.7,39.8,11.2,30.8,239.0
2017-01-08,76.0,38.0,15.5,18.3,5.1,6.4,76.0
2017-01-09,57.0,50.0,16.7,16.0,3.1,5.5,57.0
2017-01-10,42.0,28.0,17.9,14.2,3.1,5.5,42.0
2017-01-11,166.0,78.0,4.1,40.7,13.7,17.2,166.0
2017-01-12,102.0,52.0,13.5,31.1,10.2,7.3,102.0
2017-01-13,55.0,24.0,24.8,13.3,5.1,3.7,55.0
2017-01-14,70.0,32.0,11.8,25.2,7.6,6.4,70.0
2017-01-15,134.0,57.0,8.6,24.7,8.2,7.3,134.0
2017-01-16,172.0,78.0,3.7,34.3,12.7,15.4,172.0
2017-01-17,199.0,105.0,4.1,35.7,14.7,19.9,199.0
2017-01-18,114.0,53.0,8.2,27.9,6.1,7.3,114.0
2017-01-19,57.0,72.0,22.4,12.4,4.6,8.2,72.0
2017-01-20,61.0,29.0,19.1,16.0,4.1,6.4,61.0
2017-01-21,42.0,35.0,22.4,10.1,3.6,4.6,42.0
2017-01-22,65.0,26.0,12.2,21.5,6.1,7.3,65.0
2017-01-23,85.0,37.0,8.6,24.3,7.1,8.2,85.0
2017-01-24,173.0,81.0,4.5,37.5,16.3,19.9,173.0
2017-01-25,231.0,119.0,3.7,46.7,22.8,29.0,231.0
2017-01-26,298.0,75.0,2.5,43.0,17.8,34.4,298.0
2017-01-27,114.0,62.0,19.9,12.4,8.2,6.4,114.0
2017-01-28,333.0,195.0,3.3,33.4,41.6,23.5,333.0
2017-01-29,50.0,44.0,25.2,5.5,2.1,3.7,50.0
2017-01-30,46.0,19.0,24.4,9.2,3.6,5.5,46.0
2017-01-31,169.0,72.0,16.7,20.2,16.8,11.8,169.0
2017-02-01,50.0,20.0,22.0,11.0,4.6,4.6,50.0
2017-02-02,168.0,83.0,8.2,30.7,16.8,14.5,168.0
2017-02-03,228.0,136.0,6.1,42.5,26.9,25.3,228.0
2017-02-04,365.0,197.0,9.4,49.4,29.9,33.5,365.0
2017-02-05,46.0,17.0,23.2,12.4,3.6,3.7,46.0
2017-02-06,34.0,17.0,22.0,12.8,3.1,3.7,34.0
2017-02-07,158.0,67.0,7.8,27.0,10.7,11.8,158.0
2017-02-08,53.0,35.0,26.0,9.6,3.1,3.7,53.0
2017-02-09,30.0,21.0,29.7,5.5,1.6,2.8,30.0
2017-02-10,30.0,21.0,28.1,6.9,2.1,2.8,30.0
2017-02-11,70.0,33.0,14.3,24.7,6.6,7.3,70.0
2017-02-12,185.0,99.0,4.9,40.3,22.3,21.7,185.0
2017-02-13,169.0,88.0,7.8,38.0,13.7,17.2,169.0
2017-02-14,229.0,119.0,2.1,47.6,15.8,25.3,229.0
2017-02-15,295.0,145.0,4.5,53.0,21.8,29.9,295.0
2017-02-16,59.0,27.0,24.8,14.7,5.1,4.6,59.0
2017-02-17,53.0,57.0,22.8,15.1,4.1,4.6,57.0
2017-02-18,170.0,82.0,6.1,36.6,14.7,14.5,170.0
2017-02-19,195.0,103.0,22.8,39.4,15.8,16.3,195.0
2017-02-20,38.0,26.0,25.2,9.6,2.6,3.7,38.0
2017-02-21,142.0,62.0,10.2,26.6,5.1,9.1,142.0
2017-02-22,169.0,17.0,13.9,18.3,3.6,10.9,169.0
2017-02-23,59.0,30.0,22.4,15.1,3.1,5.5,59.0
2017-02-24,74.0,32.0,17.5,23.4,5.1,6.4,74.0
2017-02-25,42.0,20.0,22.8,14.7,3.1,3.7,42.0
2017-02-26,80.0,39.0,14.3,26.1,5.1,6.4,80.0
2017-02-27,157.0,74.0,7.4,40.7,9.7,12.7,157.0
2017-02-28,50.0,23.0,22.4,17.4,3.1,4.6,50.0
2017-03-01,34.0,34.0,30.9,6.9,1.6,2.8,34.0
2017-03-02,107.0,59.0,13.9,23.8,6.1,6.4,107.0
2017-03-03,168.0,90.0,13.0,33.4,13.2,12.7,168.0
2017-03-04,164.0,74.0,17.1,33.0,16.3,16.3,164.0
2017-03-05,46.0,27.0,27.3,9.6,2.1,3.7,46.0
2017-03-06,59.0,36.0,17.1,17.4,3.1,4.6,59.0
2017-03-07,30.0,22.0,26.9,7.8,2.1,3.7,30.0
2017-03-08,42.0,26.0,24.8,11.5,2.1,3.7,42.0
2017-03-09,46.0,27.0,14.3,18.8,2.6,4.6,46.0
2017-03-10,91.0,52.0,9.4,33.9,6.1,7.3,91.0
2017-03-11,102.0,61.0,24.0,21.1,6.6,6.4,102.0
2017-03-12,30.0,24.0,29.7,6.0,2.1,2.8,30.0
2017-03-13,38.0,20.0,19.1,12.4,2.6,3.7,38.0
2017-03-14,55.0,33.0,16.3,18.8,3.6,4.6,55.0
