date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,76.0,20.0,43.0,6.0,0.0,7.0,76
2017-01-02,49.0,21.0,33.0,24.0,0.0,7.0,49
2017-01-03,54.0,13.0,28.0,25.0,0.0,7.0,54
2017-01-04,40.0,7.0,29.0,23.0,1.0,6.0,40
2017-01-05,52.0,14.0,50.0,38.0,1.0,11.0,52
2017-01-06,44.0,13.0,40.0,29.0,1.0,13.0,44
2017-01-07,45.0,12.0,24.0,26.0,3.0,9.0,45
2017-01-08,32.0,13.0,39.0,12.0,0.0,3.0,39
2017-01-09,47.0,27.0,42.0,22.0,1.0,5.0,47
2017-01-10,38.0,42.0,42.0,13.0,0.0,7.0,42
2017-01-11,38.0,48.0,43.0,10.0,0.0,6.0,48
2017-01-12,47.0,27.0,42.0,32.0,0.0,7.0,47
2017-01-13,46.0,38.0,40.0,31.0,0.0,7.0,46
2017-01-14,46.0,17.0,41.0,20.0,0.0,7.0,46
2017-01-15,51.0,9.0,37.0,18.0,0.0,6.0,51
2017-01-16,50.0,18.0,36.0,19.0,0.0,7.0,50
2017-01-17,54.0,10.0,35.0,26.0,1.0,10.0,54
2017-01-18,63.0,17.0,38.0,32.0,0.0,14.0,63
2017-01-19,54.0,22.0,43.0,34.0,0.0,10.0,54
2017-01-20,47.0,16.0,36.0,35.0,0.0,9.0,47
2017-01-21,56.0,19.0,36.0,36.0,0.0,15.0,56
2017-01-22,37.0,74.0,32.0,15.0,0.0,8.0,74
2017-01-23,67.0,35.0,41.0,30.0,0.0,5.0,67
2017-01-24,51.0,17.0,41.0,37.0,0.0,6.0,51
2017-01-25,52.0,24.0,47.0,42.0,0.0,9.0,52
2017-01-26,53.0,18.0,44.0,42.0,3.0,11.0,53
2017-01-27,59.0,19.0,34.0,31.0,1.0,7.0,59
2017-01-28,62.0,15.0,50.0,43.0,3.0,7.0,62
2017-01-29,30.0,6.0,33.0,39.0,1.0,6.0,39
2017-01-30,41.0,8.0,45.0,37.0,3.0,8.0,45
2017-01-31,47.0,25.0,49.0,46.0,1.0,10.0,49
2017-02-01,54.0,18.0,43.0,57.0,3.0,11.0,57
2017-02-02,46.0,19.0,41.0,41.0,3.0,11.0,46
2017-02-03,43.0,21.0,35.0,41.0,3.0,11.0,43
2017-02-04,55.0,14.0,47.0,33.0,3.0,11.0,55
2017-02-05,55.0,16.0,44.0,33.0,3.0,13.0,55
2017-02-06,53.0,31.0,42.0,39.0,1.0,11.0,53
2017-02-07,40.0,10.0,36.0,31.0,1.0,8.0,40
2017-02-08,45.0,13.0,29.0,25.0,3.0,7.0,45
2017-02-09,57.0,19.0,35.0,26.0,1.0,5.0,57
2017-02-10,40.0,35.0,45.0,27.0,1.0,7.0,45
2017-02-11,34.0,18.0,46.0,35.0,3.0,9.0,46
2017-02-12,42.0,17.0,45.0,36.0,4.0,10.0,45
2017-02-13,55.0,23.0,74.0,27.0,3.0,9.0,74
2017-02-14,59.0,21.0,47.0,33.0,3.0,10.0,59
2017-02-15,61.0,48.0,36.0,31.0,3.0,6.0,61
2017-02-16,59.0,22.0,41.0,26.0,1.0,3.0,59
2017-02-17,66.0,20.0,64.0,41.0,3.0,9.0,66
2017-02-18,59.0,20.0,48.0,42.0,3.0,10.0,59
2017-02-19,52.0,14.0,41.0,31.0,3.0,8.0,52
2017-02-20,44.0,24.0,47.0,42.0,3.0,7.0,47
2017-02-21,49.0,30.0,51.0,42.0,1.0,8.0,51
2017-02-22,41.0,24.0,46.0,34.0,1.0,7.0,46
2017-02-23,36.0,6.0,48.0,33.0,3.0,5.0,48
2017-02-24,33.0,19.0,64.0,36.0,3.0,10.0,64
2017-02-25,38.0,11.0,84.0,30.0,3.0,10.0,84
2017-02-26,47.0,15.0,47.0,22.0,3.0,6.0,47
2017-02-27,54.0,26.0,41.0,25.0,1.0,7.0,54
2017-02-28,48.0,20.0,29.0,19.0,1.0,7.0,48
2017-03-01,52.0,12.0,24.0,21.0,1.0,8.0,52
2017-03-02,48.0,20.0,30.0,30.0,3.0,8.0,48
2017-03-03,45.0,27.0,47.0,26.0,1.0,6.0,47
2017-03-04,26.0,30.0,48.0,18.0,1.0,6.0,48
2017-03-05,55.0,39.0,51.0,11.0,1.0,6.0,55
2017-03-06,40.0,51.0,48.0,25.0,1.0,3.0,51
2017-03-07,33.0,45.0,45.0,27.0,1.0,5.0,45
2017-03-08,33.0,22.0,46.0,26.0,1.0,5.0,46
2017-03-09,38.0,19.0,44.0,36.0,3.0,6.0,44
2017-03-10,38.0,15.0,71.0,31.0,3.0,6.0,71
2017-03-11,43.0,15.0,49.0,25.0,3.0,6.0,49
2017-03-12,51.0,12.0,46.0,39.0,3.0,5.0,51
2017-03-13,45.0,11.0,31.0,36.0,3.0,13.0,45
2017-03-14,33.0,14.0,42.0,21.0,1.0,5.0,42
2017-03-15,44.0,14.0,44.0,27.0,3.0,5.0,44
2017-03-16,57.0,20.0,74.0,34.0,3.0,5.0,74
2017-03-17,54.0,22.0,54.0,42.0,3.0,5.0,54
