date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,59,11,34,44,4,11,59
2017-01-02,60,11,33,43,17,13,60
2017-01-03,43,11,32,42,1,7,43
2017-01-04,46,7,32,27,3,6,46
2017-01-05,49,7,32,28,3,6,49
2017-01-06,53,7,31,28,3,9,53
2017-01-07,53,16,32,24,3,8,53
2017-01-08,54,16,33,22,3,7,54
2017-01-09,52,16,30,62,6,8,62
2017-01-10,57,24,36,57,4,11,57
2017-01-11,54,24,34,42,3,10,54
2017-01-12,56,24,31,41,4,9,56
2017-01-13,44,13,40,25,3,6,44
2017-01-14,44,13,31,42,3,8,44
2017-01-15,58,13,36,38,3,6,58
2017-01-16,62,21,31,47,7,10,62
2017-01-17,81,21,24,45,6,14,81
2017-01-18,53,21,31,44,1,9,53
2017-01-19,49,11,24,36,3,10,49
2017-01-20,56,11,23,37,7,10,56
2017-01-21,64,11,13,31,1,9,64
2017-01-22,67,19,26,35,3,13,67
2017-01-23,34,19,36,26,0,8,36
2017-01-24,30,19,36,30,1,5,36
2017-01-25,38,10,32,44,3,8,44
2017-01-26,63,10,35,47,6,10,63
2017-01-27,38,10,30,23,1,6,38
2017-01-28,36,10,28,29,1,6,36
2017-01-29,52,10,32,38,3,7,52
2017-01-30,41,10,38,42,3,7,42
2017-01-31,56,15,31,63,13,11,63
2017-02-01,52,18,37,55,4,10,55
2017-02-02,45,18,36,42,4,6,45
2017-02-03,45,8,38,36,3,5,45
2017-02-04,85,8,40,31,1,6,85
2017-02-05,61,8,33,35,3,7,61
2017-02-06,89,22,39,49,3,8,89
2017-02-07,85,22,30,53,9,13,85
2017-02-08,63,22,32,54,6,14,63
2017-02-09,34,5,38,30,1,8,38
2017-02-10,38,5,38,40,1,5,40
2017-02-11,62,5,34,55,6,15,62
2017-02-12,57,16,31,47,3,17,57
2017-02-13,58,16,35,28,3,7,58
2017-02-14,78,16,39,50,6,7,78
2017-02-15,62,17,39,63,7,16,63
2017-02-16,41,17,34,21,3,3,41
2017-02-17,66,17,42,47,3,5,66
2017-02-18,82,26,51,56,4,10,82
2017-02-19,60,26,47,56,4,8,60
2017-02-20,55,26,44,25,3,8,55
2017-02-21,75,26,44,51,3,7,75
2017-02-22,62,26,37,55,3,9,62
2017-02-23,79,26,41,60,6,14,79
2017-02-24,49,25,44,51,3,13,51
2017-02-25,32,25,40,34,1,6,40
2017-02-26,38,25,36,24,3,3,38
2017-02-27,53,12,41,46,6,5,53
2017-02-28,57,12,43,53,4,11,57
2017-03-01,52,12,38,42,1,8,52
2017-03-02,41,19,44,21,1,3,44
2017-03-03,55,19,40,26,1,3,55
2017-03-04,54,19,40,15,3,6,54
2017-03-05,48,5,40,41,3,6,48
2017-03-06,60,5,42,48,4,10,60
2017-03-07,66,5,47,51,3,15,66
2017-03-08,54,13,47,40,1,13,54
2017-03-09,52,13,50,23,1,3,52
2017-03-10,35,13,41,32,1,5,41
2017-03-11,30,5,40,12,3,3,40
2017-03-12,45,5,38,15,3,3,45
2017-03-13,39,5,40,39,14,6,40
2017-03-14,75,6,40,25,3,6,75
2017-03-15,33,6,42,21,1,5,42
2017-03-16,41,6,48,34,1,5,48
2017-03-17,45,13,51,51,3,6,51
2017-03-18,73,13,48,78,4,13,78
2017-03-19,32,13,51,42,3,6,51
2017-03-20,39,12,67,60,3,7,67
2017-03-21,53,21,58,60,4,7,60
2017-03-22,45,21,44,43,3,5,45
2017-03-23,39,7,44,50,7,6,50
2017-03-24,52,7,48,55,3,7,55
2017-03-25,68,7,37,53,6,10,68
2017-03-26,57,13,41,25,0,7,57
2017-03-27,65,13,37,52,1,10,65
2017-03-28,67,13,37,41,1,11,67
2017-03-29,24,4,46,36,1,7,46
2017-03-30,35,4,44,46,4,8,46
2017-03-31,27,4,44,42,0,8,44
2017-04-01,22,6,42,25,1,7,42
2017-04-02,27,6,45,36,1,5,45
2017-04-03,55,6,49,69,9,13,69
2017-04-04,55,12,44,56,1,7,56
2017-04-05,60,12,43,42,9,7,60
2017-04-06,50,12,42,45,1,7,50
2017-04-07,30,5,39,26,3,7,39
2017-04-08,21,6,45,20,1,5,45
2017-04-09,32,6,61,47,3,5,61
2017-04-10,55,16,97,57,6,7,97
2017-04-11,63,16,122,56,4,7,122
2017-04-12,63,16,54,78,6,10,78
2017-04-13,26,10,48,33,1,5,48
2017-04-14,41,10,61,43,3,7,61
2017-04-15,37,10,51,56,1,6,56
2017-04-16,57,14,71,26,3,5,71
