date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,73.0,33.0,16.7,27.4,1.9,6.1,73.0
2017-01-02,80.0,39.0,15.7,33.4,4.8,7.1,80.0
2017-01-03,94.0,44.0,16.2,33.2,4.2,7.5,94.0
2017-01-04,77.0,35.0,25.2,21.1,3.7,6.0,77.0
2017-01-05,77.0,33.0,9.2,35.6,3.8,8.1,77.0
2017-01-06,85.0,37.0,14.8,29.8,4.3,8.0,85.0
2017-01-07,80.0,32.0,21.4,23.4,3.0,7.5,80.0
2017-01-08,110.0,50.0,10.9,35.9,5.0,9.9,110.0
2017-01-09,99.0,45.0,18.1,23.1,3.6,10.6,99.0
2017-01-10,98.0,46.0,31.3,19.2,3.1,8.7,98.0
2017-01-11,136.0,57.0,29.7,21.2,3.6,9.7,136.0
2017-01-12,152.0,64.0,9.2,25.0,3.3,11.1,152.0
2017-01-13,52.0,20.0,3.5,23.5,2.5,12.2,52.0
2017-01-14,55.0,18.0,5.5,21.3,2.4,11.0,55.0
2017-01-15,79.0,29.0,6.6,18.5,2.6,10.7,79.0
2017-01-16,78.0,31.0,9.0,17.6,2.5,8.6,78.0
2017-01-17,66.0,30.0,20.2,21.5,3.2,5.9,66.0
2017-01-18,79.0,37.0,12.1,27.0,2.8,6.6,79.0
2017-01-19,107.0,50.0,4.4,30.0,4.1,8.3,107.0
2017-01-20,67.0,30.0,9.3,23.1,2.9,8.6,67.0
2017-01-21,107.0,47.0,15.6,25.2,3.5,8.4,107.0
2017-01-22,120.0,53.0,23.6,23.8,4.5,7.6,120.0
2017-01-23,111.0,53.0,29.7,25.5,3.5,7.4,111.0
2017-01-24,99.0,54.0,32.4,19.8,3.7,6.8,99.0
2017-01-25,77.0,40.0,26.4,21.8,3.1,5.9,77.0
2017-01-26,102.0,45.0,26.0,22.6,3.1,7.0,102.0
2017-01-27,82.0,38.0,26.0,25.9,3.4,6.2,82.0
2017-01-28,90.0,39.0,26.3,18.1,3.4,6.1,90.0
2017-01-29,76.0,32.0,24.6,17.0,2.3,6.2,76.0
2017-01-30,62.0,23.0,13.5,18.2,2.4,7.1,62.0
2017-01-31,81.0,35.0,14.1,12.2,1.8,9.4,81.0
2017-02-01,80.0,32.0,11.5,17.0,3.0,9.6,80.0
2017-02-02,68.0,35.0,21.1,14.1,2.2,6.4,68.0
2017-02-03,76.0,33.0,22.1,19.2,2.7,7.2,76.0
2017-02-04,70.0,30.0,19.7,21.7,2.7,7.0,70.0
2017-02-05,80.0,28.0,8.6,26.9,3.7,8.2,80.0
2017-02-06,82.0,37.0,24.7,18.1,2.6,7.3,82.0
2017-02-07,108.0,53.0,36.8,15.7,2.9,7.2,108.0
2017-02-08,78.0,39.0,19.9,21.3,2.9,6.3,78.0
2017-02-09,61.0,22.0,17.2,17.2,3.1,8.2,61.0
2017-02-10,136.0,53.0,22.0,21.0,4.8,8.4,136.0
2017-02-11,135.0,53.0,22.1,22.4,4.5,7.9,135.0
2017-02-12,131.0,55.0,31.5,26.5,4.5,7.6,131.0
2017-02-13,93.0,46.0,30.6,26.6,4.1,6.7,93.0
2017-02-14,65.0,30.0,33.5,19.4,2.9,5.7,65.0
2017-02-15,70.0,34.0,33.4,23.4,3.2,6.0,70.0
2017-02-16,71.0,34.0,15.8,35.6,3.7,6.8,71.0
2017-02-17,83.0,39.0,5.8,41.9,4.6,8.3,83.0
2017-02-18,82.0,38.0,10.9,33.6,3.7,7.8,82.0
2017-02-19,95.0,41.0,31.8,16.9,2.1,6.6,95.0
2017-02-20,94.0,41.0,11.6,31.5,3.5,7.9,94.0
2017-02-21,72.0,30.0,22.0,17.5,2.4,6.3,72.0
2017-02-22,60.0,21.0,13.6,26.4,2.5,7.8,60.0
2017-02-23,95.0,44.0,3.0,23.4,3.5,9.5,95.0
2017-02-24,62.0,25.0,6.7,20.7,2.4,8.4,62.0
2017-02-25,48.0,19.0,5.2,21.9,2.5,8.2,48.0
2017-02-26,52.0,16.0,11.5,20.1,2.8,7.9,52.0
2017-02-27,77.0,35.0,17.7,21.2,3.5,7.8,77.0
2017-02-28,97.0,49.0,39.0,24.1,4.1,7.2,97.0
2017-03-01,148.0,63.0,23.6,42.2,6.0,10.1,148.0
2017-03-02,95.0,54.0,30.8,27.0,4.8,7.3,95.0
2017-03-03,99.0,57.0,36.5,24.4,4.2,6.9,99.0
2017-03-04,90.0,50.0,31.3,25.3,3.5,6.8,90.0
2017-03-05,90.0,48.0,20.9,25.5,3.7,7.1,90.0
2017-03-06,81.0,37.0,7.9,32.6,4.1,8.9,81.0
2017-03-07,85.0,46.0,29.5,20.3,3.0,7.4,85.0
2017-03-08,84.0,32.0,10.9,22.9,2.6,8.9,84.0
2017-03-09,116.0,51.0,20.7,24.4,3.3,8.4,116.0
2017-03-10,116.0,60.0,20.7,29.6,3.0,8.2,116.0
2017-03-11,58.0,22.0,23.2,22.9,2.3,7.5,58.0
2017-03-12,62.0,23.0,26.8,20.7,2.2,7.1,62.0
2017-03-13,95.0,44.0,11.4,30.7,3.4,7.9,95.0
2017-03-14,67.0,25.0,7.0,24.8,2.7,8.8,67.0
2017-03-15,68.0,34.0,29.2,18.4,2.9,6.5,68.0
2017-03-16,83.0,42.0,25.3,23.5,3.1,6.8,83.0
2017-03-17,92.0,38.0,21.6,19.9,2.2,7.1,92.0
2017-03-18,86.0,35.0,22.5,20.6,1.9,7.0,86.0
2017-03-19,81.0,31.0,16.3,20.9,2.2,7.7,81.0
2017-03-20,75.0,32.0,14.3,27.3,3.0,7.4,75.0
2017-03-21,83.0,35.0,15.8,23.7,2.8,7.3,83.0
2017-03-22,85.0,43.0,28.6,22.1,2.5,7.6,85.0
2017-03-23,94.0,47.0,18.2,26.0,3.0,8.3,94.0
2017-03-24,70.0,28.0,31.6,21.6,2.4,7.2,70.0
2017-03-25,67.0,30.0,12.1,25.4,2.4,8.8,67.0
2017-03-26,55.0,24.0,16.0,17.0,2.3,7.7,55.0
2017-03-27,69.0,45.0,23.1,21.5,3.2,6.9,69.0
2017-03-28,92.0,57.0,40.7,21.3,3.4,7.2,92.0
2017-03-29,99.0,58.0,34.2,23.6,2.9,7.6,99.0
2017-03-30,107.0,56.0,29.4,22.8,2.8,7.5,107.0
2017-03-31,86.0,38.0,10.7,27.3,2.8,8.7,86.0
2017-04-01,62.0,25.0,27.8,27.6,4.0,8.2,62.0
2017-04-02,90.0,40.0,40.0,19.0,3.6,7.4,90.0
2017-04-03,91.0,47.0,42.2,20.9,3.4,6.7,91.0
2017-04-04,94.0,49.0,41.2,16.3,3.1,6.6,94.0
2017-04-05,81.0,43.0,29.3,19.4,2.5,6.4,81.0
2017-04-06,78.0,40.0,15.1,22.4,2.9,7.0,78.0
2017-04-07,74.0,33.0,5.1,24.0,4.4,7.1,74.0
2017-04-08,67.0,27.0,2.2,21.7,4.8,7.2,67.0
2017-04-09,55.0,19.0,4.4,16.4,3.7,6.5,55.0
2017-04-10,48.0,19.0,6.4,14.2,3.6,5.6,48.0
2017-04-11,57.0,22.0,2.4,21.9,3.6,7.0,57.0
2017-04-12,54.0,21.0,4.1,20.5,2.3,9.5,54.0
2017-04-13,63.0,25.0,8.3,20.8,2.3,8.8,63.0
2017-04-14,81.0,41.0,20.8,22.0,3.6,9.0,81.0
2017-04-15,73.0,33.0,20.1,25.2,3.3,7.5,73.0
2017-04-16,77.0,29.0,17.1,17.7,3.4,7.0,77.0
2017-04-17,67.0,25.0,8.1,21.3,4.6,6.2,67.0
2017-04-18,84.0,35.0,6.0,26.8,6.0,7.7,84.0
2017-04-19,65.0,24.0,11.0,23.6,4.4,6.4,65.0
2017-04-20,53.0,17.0,5.0,21.0,3.5,6.5,53.0
2017-04-21,64.0,25.0,6.2,22.5,3.2,6.9,64.0
2017-04-22,70.0,34.0,14.8,25.5,2.6,7.7,70.0
2017-04-23,70.0,32.0,15.8,18.9,2.7,7.4,70.0
2017-04-24,94.0,50.0,32.6,22.9,2.6,7.5,94.0
