date,pm25,pm10,o3,no2,so2,co,AQI
2018-12-31,63.0,22.0,6.0,4.2,1.1,4.0,63.0
2019-01-01,57.0,20.0,6.1,4.2,1.6,4.1,57.0
2019-01-02,61.0,23.0,10.6,1.9,0.6,4.4,61.0
2019-01-03,34.0,15.0,8.2,2.3,1.6,3.7,34.0
2019-01-04,50.0,19.0,9.7,2.8,1.1,3.9,50.0
2019-01-05,57.0,19.0,10.6,2.3,1.6,3.3,57.0
2019-01-06,65.0,28.0,10.2,3.2,1.1,3.9,65.0
2019-01-07,65.0,26.0,9.8,2.8,0.9,4.6,65.0
2019-01-08,50.0,22.0,9.8,3.2,1.6,3.5,50.0
2019-01-09,53.0,23.0,9.0,4.6,1.6,4.5,53.0
2019-01-10,57.0,30.0,11.6,3.2,1.1,4.7,57.0
2019-01-11,59.0,25.0,12.3,4.2,1.1,3.9,59.0
2019-01-12,55.0,23.0,14.3,3.2,1.1,4.2,55.0
2019-01-13,65.0,27.0,14.7,3.2,1.1,4.7,65.0
2019-01-14,89.0,50.0,8.2,4.6,1.2,5.6,89.0
2019-01-15,59.0,29.0,14.8,3.2,1.4,10.6,59.0
2019-01-16,72.0,37.0,10.2,4.2,3.1,10.1,72.0
2019-01-17,63.0,30.0,6.9,3.7,3.1,9.8,63.0
2019-01-18,46.0,23.0,13.9,3.7,1.1,7.6,46.0
2019-01-19,30.0,26.0,10.2,2.3,1.1,3.3,30.0
2019-01-20,50.0,22.0,6.1,2.8,2.8,2.2,50.0
2019-01-21,38.0,23.0,5.7,3.2,4.1,2.9,38.0
2019-01-22,104.0,53.0,6.7,4.2,3.6,4.0,104.0
2019-01-23,70.0,42.0,12.6,4.6,2.3,3.9,70.0
2019-01-24,72.0,40.0,9.8,5.5,2.1,5.1,72.0
2019-01-25,72.0,36.0,12.7,3.7,1.5,4.6,72.0
2019-01-26,53.0,26.0,10.9,4.2,1.1,4.6,53.0
2019-01-27,53.0,20.0,12.8,3.7,1.6,5.4,53.0
2019-01-28,34.0,14.0,14.2,4.2,1.1,5.4,34.0
2019-01-29,53.0,20.0,9.3,3.7,1.1,4.8,53.0
2019-01-30,65.0,30.0,12.7,3.2,1.1,5.0,65.0
2019-01-31,78.0,41.0,13.0,3.2,1.6,5.4,78.0
2019-02-01,97.0,41.0,9.0,4.6,1.6,5.3,97.0
2019-02-02,104.0,45.0,5.6,4.2,1.1,5.3,104.0
2019-02-03,102.0,32.0,7.8,4.2,1.1,5.1,102.0
2019-02-04,55.0,25.0,11.4,5.1,1.1,5.7,55.0
2019-02-05,82.0,38.0,6.1,4.6,1.6,5.1,82.0
2019-02-06,74.0,34.0,8.8,4.6,1.1,6.0,74.0
2019-02-07,144.0,60.0,10.2,6.4,1.6,7.4,144.0
2019-02-08,89.0,39.0,9.8,2.8,1.1,4.3,89.0
2019-02-09,112.0,56.0,10.5,4.2,1.6,4.8,112.0
2019-02-10,74.0,37.0,10.9,2.3,1.1,3.9,74.0
2019-02-11,89.0,37.0,11.4,4.2,1.1,4.0,89.0
2019-02-12,46.0,14.0,13.0,4.6,1.1,3.9,46.0
2019-02-13,50.0,21.0,4.3,5.1,1.1,7.2,50.0
