date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,44.0,15.0,16.1,13.3,2.3,2.8,44.0
2017-01-02,33.0,14.0,11.2,18.6,1.6,2.2,33.0
2017-01-03,51.0,18.0,3.3,28.5,3.0,3.6,51.0
2017-01-04,35.0,15.0,7.0,26.2,2.6,2.2,35.0
2017-01-05,66.0,30.0,2.2,37.8,3.7,3.8,66.0
2017-01-06,65.0,29.0,3.3,34.9,2.6,5.5,65.0
2017-01-07,55.0,17.0,2.3,26.7,2.5,3.7,55.0
2017-01-08,67.0,22.0,2.1,26.6,2.5,4.6,67.0
2017-01-09,42.0,15.0,8.4,21.3,2.9,3.7,42.0
2017-01-10,48.0,19.0,4.7,27.1,4.2,3.2,48.0
2017-01-11,45.0,20.0,12.8,20.3,3.7,2.3,45.0
2017-01-12,37.0,16.0,11.4,22.7,5.0,2.8,37.0
2017-01-13,28.0,12.0,12.8,19.7,4.5,2.0,28.0
2017-01-14,38.0,13.0,6.1,26.9,3.7,2.8,38.0
2017-01-15,43.0,13.0,4.5,24.9,3.6,3.2,43.0
2017-01-16,60.0,18.0,3.9,29.2,5.2,3.7,60.0
2017-01-17,79.0,35.0,2.1,32.5,2.7,3.7,79.0
2017-01-18,89.0,43.0,1.7,42.1,3.5,5.3,89.0
2017-01-19,97.0,41.0,1.6,35.0,2.9,4.6,97.0
2017-01-20,73.0,31.0,1.7,33.7,3.1,3.2,73.0
2017-01-21,80.0,35.0,1.9,34.1,2.9,4.8,80.0
2017-01-22,155.0,58.0,1.7,36.1,5.5,8.5,155.0
2017-01-23,162.0,66.0,1.1,42.5,6.4,13.6,162.0
2017-01-24,122.0,51.0,1.4,43.3,5.9,10.6,122.0
2017-01-25,81.0,30.0,2.9,32.8,7.0,6.1,81.0
2017-01-26,122.0,48.0,4.6,21.6,4.2,4.6,122.0
2017-01-27,108.0,43.0,1.9,27.8,5.4,5.3,108.0
2017-01-28,50.0,19.0,11.0,20.2,4.8,3.2,50.0
2017-01-29,27.0,11.0,15.6,16.7,4.2,2.8,27.0
2017-01-30,49.0,14.0,7.7,21.2,4.6,2.2,49.0
2017-01-31,59.0,18.0,2.9,22.8,5.2,3.7,59.0
2017-02-01,48.0,16.0,4.7,18.0,5.1,2.8,48.0
2017-02-02,46.0,17.0,14.5,11.3,5.0,1.9,46.0
2017-02-03,38.0,22.0,19.6,13.0,5.2,2.8,38.0
2017-02-04,50.0,19.0,4.4,32.7,5.4,4.3,50.0
2017-02-05,56.0,18.0,6.8,21.6,4.0,3.0,56.0
2017-02-06,73.0,29.0,5.6,24.9,4.9,4.6,73.0
2017-02-07,51.0,22.0,6.3,31.2,4.2,3.4,51.0
2017-02-08,75.0,29.0,4.2,20.3,2.9,2.8,75.0
2017-02-09,78.0,31.0,6.8,17.0,1.8,1.9,78.0
2017-02-10,112.0,43.0,4.9,18.3,2.2,2.8,112.0
2017-02-11,119.0,41.0,7.7,15.8,2.5,2.8,119.0
2017-02-12,115.0,41.0,5.3,15.3,2.9,4.6,115.0
2017-02-13,132.0,52.0,4.2,20.0,3.7,4.6,132.0
2017-02-14,91.0,39.0,2.9,26.8,3.8,4.6,91.0
2017-02-15,64.0,26.0,4.4,22.7,3.2,3.7,64.0
2017-02-16,43.0,19.0,8.6,23.8,2.8,3.7,43.0
2017-02-17,59.0,25.0,4.5,27.6,3.3,3.7,59.0
2017-02-18,70.0,28.0,13.2,20.2,3.2,3.7,70.0
2017-02-19,54.0,21.0,12.0,18.1,3.4,3.8,54.0
2017-02-20,42.0,15.0,8.2,16.1,4.1,3.3,42.0
2017-02-21,30.0,12.0,12.5,14.8,4.9,3.1,30.0
2017-02-22,24.0,10.0,18.2,12.0,2.4,3.0,24.0
2017-02-23,24.0,11.0,21.8,8.9,2.7,2.8,24.0
2017-02-24,38.0,18.0,14.3,23.4,1.7,2.2,38.0
2017-02-25,37.0,17.0,22.5,11.7,2.8,3.2,37.0
2017-02-26,25.0,10.0,24.5,7.5,1.8,3.1,25.0
2017-02-27,24.0,9.0,24.1,16.5,3.1,2.8,24.1
2017-02-28,30.0,12.0,19.6,18.1,2.6,2.8,30.0
2017-03-01,38.0,16.0,18.7,19.6,1.9,1.9,38.0
2017-03-02,39.0,20.0,22.3,15.6,3.0,1.9,39.0
