date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,188.0,99.0,9.8,38.0,3.1,0.1,188.0
2017-01-02,153.0,58.0,2.5,42.5,3.1,0.1,153.0
2017-01-03,153.0,59.0,16.3,45.7,3.1,0.1,153.0
2017-01-04,122.0,51.0,24.8,40.7,3.1,0.1,122.0
2017-01-05,38.0,12.0,27.3,19.2,3.1,0.1,38.0
2017-01-06,61.0,14.0,26.9,31.6,3.1,0.1,61.0
2017-01-07,93.0,36.0,20.8,33.9,3.6,0.1,93.0
2017-01-08,87.0,40.0,22.8,29.8,3.6,0.1,87.0
2017-01-09,159.0,64.0,6.5,38.4,3.6,0.1,159.0
2017-01-10,134.0,55.0,7.0,33.9,1.1,0.1,134.0
2017-01-11,93.0,45.0,14.3,33.0,0.6,0.1,93.0
2017-01-12,139.0,54.0,3.7,27.9,1.6,0.1,139.0
2017-01-13,78.0,31.0,17.5,34.8,1.6,0.1,78.0
2017-01-14,46.0,15.0,22.4,36.6,1.6,0.1,46.0
2017-01-15,74.0,33.0,24.0,37.1,0.6,0.1,74.0
2017-01-16,85.0,29.0,16.3,48.5,0.6,0.1,85.0
2017-01-17,87.0,32.0,17.9,52.5,1.6,0.1,87.0
2017-01-18,142.0,52.0,10.2,58.4,3.1,0.1,142.0
2017-01-19,127.0,50.0,15.1,48.9,1.6,0.1,127.0
2017-01-20,149.0,61.0,4.1,55.2,1.6,0.1,149.0
2017-01-21,163.0,69.0,4.1,65.9,1.6,0.1,163.0
2017-01-22,151.0,55.0,21.6,54.1,1.6,0.1,151.0
2017-01-23,127.0,55.0,4.5,69.1,2.1,0.1,127.0
2017-01-24,151.0,61.0,2.9,73.4,2.6,0.1,151.0
2017-01-25,127.0,51.0,21.6,64.9,2.6,0.1,127.0
2017-01-26,142.0,55.0,19.1,52.0,1.6,0.1,142.0
2017-01-27,151.0,62.0,5.3,43.9,2.1,0.1,151.0
2017-01-28,164.0,74.0,8.6,44.8,0.6,0.1,164.0
2017-01-29,183.0,93.0,4.9,49.9,0.6,0.1,183.0
2017-01-30,194.0,107.0,2.5,45.3,0.6,0.1,194.0
2017-01-31,186.0,103.0,2.1,40.3,0.6,0.1,186.0
2017-02-01,191.0,98.0,1.3,55.7,0.6,0.1,191.0
2017-02-02,166.0,89.0,0.9,50.9,0.6,0.1,166.0
2017-02-03,95.0,45.0,1.7,33.9,0.6,0.1,95.0
2017-02-04,89.0,36.0,2.9,36.2,2.1,0.1,89.0
2017-02-05,87.0,32.0,5.3,31.6,2.1,0.1,87.0
2017-02-06,97.0,37.0,4.9,48.9,0.6,0.1,97.0
2017-02-07,89.0,40.0,19.9,52.5,1.1,0.1,89.0
2017-02-08,82.0,37.0,11.4,35.7,2.1,0.1,82.0
2017-02-09,89.0,36.0,19.1,35.2,2.1,0.1,89.0
2017-02-10,91.0,34.0,7.0,37.1,1.1,0.1,91.0
2017-02-11,127.0,50.0,7.4,33.4,3.1,0.1,127.0
2017-02-12,124.0,46.0,2.9,30.7,2.6,0.1,124.0
2017-02-13,114.0,50.0,1.7,22.4,2.1,0.1,114.0
2017-02-14,104.0,43.0,15.1,40.3,2.1,0.1,104.0
2017-02-15,134.0,52.0,16.3,47.1,2.1,0.1,134.0
2017-02-16,139.0,55.0,7.8,61.1,2.1,0.1,139.0
2017-02-17,107.0,49.0,24.8,62.2,2.1,0.1,107.0
2017-02-18,159.0,72.0,19.5,35.7,2.1,0.1,159.0
2017-02-19,153.0,65.0,15.9,33.4,2.1,0.1,153.0
2017-02-20,149.0,66.0,6.5,41.2,4.6,0.1,149.0
2017-02-21,119.0,54.0,27.7,48.9,5.1,0.1,119.0
2017-02-22,154.0,69.0,4.9,42.5,2.6,0.1,154.0
2017-02-23,152.0,62.0,1.7,39.8,2.1,0.1,152.0
2017-02-24,161.0,67.0,5.3,52.5,1.6,0.1,161.0
2017-02-25,70.0,31.0,28.1,44.8,2.1,0.1,70.0
2017-02-26,97.0,40.0,24.4,49.4,2.1,0.1,97.0
2017-02-27,102.0,44.0,28.9,46.2,2.1,0.1,102.0
2017-02-28,95.0,44.0,16.3,41.6,2.1,0.1,95.0
2017-03-01,65.0,21.0,30.5,60.0,2.6,0.1,65.0
2017-03-02,80.0,35.0,26.4,49.9,2.6,0.1,80.0
2017-03-03,104.0,50.0,11.0,45.3,2.6,0.1,104.0
2017-03-04,78.0,33.0,23.2,26.6,2.6,0.1,78.0
2017-03-05,38.0,15.0,31.7,36.2,2.6,0.1,38.0
2017-03-06,68.0,28.0,21.2,44.4,2.1,0.1,68.0
2017-03-07,25.0,10.0,35.4,36.2,2.6,0.1,36.2
2017-03-08,55.0,18.0,31.7,61.6,3.1,0.1,61.6
2017-03-09,99.0,41.0,28.1,64.9,3.6,0.1,99.0
2017-03-10,91.0,23.0,38.2,55.7,3.6,0.1,91.0
2017-03-11,63.0,18.0,34.2,36.6,3.6,0.1,63.0
2017-03-12,65.0,20.0,40.3,32.5,3.1,0.1,65.0
2017-03-13,74.0,32.0,36.2,57.9,2.6,0.1,74.0
2017-03-14,137.0,55.0,36.2,72.9,2.1,0.1,137.0
2017-03-15,152.0,64.0,39.4,50.9,2.1,0.1,152.0
2017-03-16,165.0,78.0,38.6,71.8,1.1,0.1,165.0
2017-03-17,162.0,80.0,50.6,58.9,1.6,0.1,162.0
2017-03-18,68.0,31.0,37.8,27.0,1.6,0.1,68.0
2017-03-19,85.0,43.0,30.5,24.7,1.1,0.1,85.0
2017-03-20,153.0,66.0,32.9,39.4,1.1,0.1,153.0
2017-03-21,157.0,71.0,22.8,37.5,1.1,0.1,157.0
2017-03-22,124.0,55.0,24.4,19.7,1.1,0.1,124.0
2017-03-23,104.0,39.0,20.8,30.2,1.1,0.1,104.0
2017-03-24,68.0,24.0,11.8,33.4,0.6,0.1,68.0
2017-03-25,112.0,48.0,34.6,25.2,0.6,0.1,112.0
2017-03-26,30.0,18.0,36.2,17.9,0.6,0.1,36.2
2017-03-27,63.0,21.0,36.2,28.8,0.6,0.1,63.0
2017-03-28,80.0,31.0,33.3,38.4,1.1,0.1,80.0
2017-03-29,82.0,31.0,35.0,38.4,1.1,0.1,82.0
2017-03-30,87.0,37.0,41.9,42.1,1.6,0.1,87.0
2017-03-31,97.0,47.0,45.9,46.2,1.6,0.1,97.0
2017-04-01,87.0,30.0,48.8,35.7,1.6,0.1,87.0
2017-04-02,85.0,35.0,48.8,22.4,2.1,0.1,85.0
2017-04-03,85.0,31.0,43.9,35.7,2.1,0.1,85.0
2017-04-04,76.0,31.0,43.5,35.7,1.6,0.1,76.0
2017-04-05,61.0,18.0,41.9,20.2,1.1,0.1,61.0
2017-04-06,72.0,29.0,37.0,36.6,0.6,0.1,72.0
2017-04-07,82.0,39.0,32.1,31.6,0.6,0.1,82.0
2017-04-08,97.0,41.0,41.1,45.3,0.6,0.1,97.0
2017-04-09,97.0,44.0,51.9,38.4,2.1,0.1,97.0
2017-04-10,87.0,35.0,51.9,36.6,2.1,0.1,87.0
2017-04-11,80.0,32.0,45.1,28.4,1.1,0.1,80.0
2017-04-12,76.0,32.0,44.7,39.8,2.1,0.1,76.0
2017-04-13,72.0,31.0,42.7,24.3,4.6,0.1,72.0
2017-04-14,72.0,30.0,50.0,31.1,5.1,0.1,72.0
2017-04-15,63.0,27.0,49.6,18.8,4.1,0.1,63.0
2017-04-16,63.0,19.0,44.7,17.0,3.6,0.1,63.0
2017-04-17,53.0,14.0,41.5,25.6,3.1,0.1,53.0
2017-04-18,72.0,23.0,41.5,27.9,2.1,0.1,72.0
2017-04-19,42.0,1.0,41.5,27.9,3.6,0.1,42.0
2017-04-20,61.0,15.0,35.0,38.9,1.1,0.1,61.0
2017-04-21,65.0,25.0,39.0,44.8,0.6,0.1,65.0
2017-04-22,65.0,30.0,50.6,44.8,1.6,0.1,65.0
2017-04-23,55.0,20.0,50.6,17.0,2.1,0.1,55.0
2017-04-24,59.0,30.0,45.9,20.6,2.1,0.1,59.0
2017-04-25,76.0,36.0,39.4,23.4,2.1,0.1,76.0
2017-04-26,55.0,18.0,38.2,24.3,2.1,0.1,55.0
2017-04-27,57.0,17.0,27.7,26.6,1.6,0.1,57.0
2017-04-28,38.0,6.0,32.9,26.6,1.6,0.1,38.0
2017-04-29,57.0,22.0,42.7,29.3,1.6,0.1,57.0
