date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,151.0,59.0,4.5,21.1,0.8,0.1,151.0
2017-01-02,104.0,43.0,2.5,33.0,0.4,0.1,104.0
2017-01-03,46.0,13.0,9.8,17.9,0.4,0.1,46.0
2017-01-04,59.0,22.0,7.4,26.6,0.1,0.1,59.0
2017-01-05,46.0,13.0,15.1,13.3,0.3,0.1,46.0
2017-01-06,25.0,9.0,26.9,7.4,0.2,0.1,26.9
2017-01-07,30.0,10.0,24.8,11.5,0.1,0.1,30.0
2017-01-08,85.0,30.0,9.0,25.6,0.3,0.1,85.0
2017-01-09,53.0,19.0,11.0,22.0,0.3,0.1,53.0
2017-01-10,65.0,24.0,7.0,25.6,0.3,0.1,65.0
2017-01-11,74.0,32.0,12.6,23.8,0.2,0.1,74.0
2017-01-12,89.0,35.0,4.5,31.1,0.3,0.1,89.0
2017-01-13,21.0,10.0,17.5,14.2,0.4,0.1,21.0
2017-01-14,55.0,19.0,8.6,25.2,0.4,0.1,55.0
2017-01-15,57.0,17.0,12.2,22.0,0.2,0.1,57.0
2017-01-16,25.0,7.0,19.5,15.6,0.6,0.1,25.0
2017-01-17,21.0,8.0,17.9,13.8,1.1,0.1,21.0
2017-01-18,25.0,9.0,17.9,11.9,1.2,0.1,25.0
2017-01-19,50.0,15.0,14.3,18.8,0.5,0.1,50.0
2017-01-20,70.0,26.0,9.0,24.7,0.2,0.1,70.0
2017-01-21,61.0,21.0,15.9,19.2,0.2,0.1,61.0
2017-01-22,53.0,15.0,18.7,9.6,0.2,0.1,53.0
2017-01-23,55.0,17.0,11.0,20.2,0.3,0.1,55.0
2017-01-24,72.0,25.0,5.7,27.9,0.4,0.1,72.0
2017-01-25,70.0,30.0,7.0,29.3,0.4,0.1,70.0
2017-01-26,95.0,45.0,8.6,30.7,0.2,0.1,95.0
2017-01-27,117.0,50.0,7.8,30.2,0.2,0.1,117.0
2017-01-28,109.0,44.0,11.0,30.7,0.4,0.1,109.0
2017-01-29,104.0,47.0,10.2,27.9,0.3,0.1,104.0
2017-01-30,107.0,46.0,7.4,31.6,0.3,0.1,107.0
2017-01-31,104.0,47.0,6.5,33.0,0.3,0.1,104.0
2017-02-01,59.0,27.0,18.3,21.5,0.3,0.1,59.0
2017-02-02,46.0,20.0,23.2,17.0,0.3,0.1,46.0
2017-02-03,46.0,21.0,25.6,11.5,0.3,0.1,46.0
2017-02-04,38.0,23.0,21.6,11.5,0.4,0.1,38.0
2017-02-05,34.0,21.0,19.5,12.4,0.6,0.1,34.0
2017-02-06,25.0,9.0,11.4,20.2,0.4,0.1,25.0
2017-02-07,46.0,14.0,8.6,22.4,0.3,0.1,46.0
2017-02-08,59.0,20.0,9.4,23.4,0.4,0.1,59.0
2017-02-09,53.0,17.0,13.0,18.8,0.3,0.1,53.0
2017-02-10,55.0,20.0,11.8,20.6,0.3,0.1,55.0
2017-02-11,70.0,29.0,9.8,18.3,0.2,0.1,70.0
2017-02-12,80.0,31.0,11.4,16.5,0.2,0.1,80.0
2017-02-13,87.0,35.0,8.6,23.4,0.2,0.1,87.0
2017-02-14,80.0,34.0,11.4,20.2,0.2,0.1,80.0
2017-02-15,89.0,41.0,9.4,22.0,0.1,0.1,89.0
2017-02-16,95.0,43.0,9.0,25.2,0.2,0.1,95.0
2017-02-17,82.0,37.0,13.0,19.2,0.3,0.1,82.0
2017-02-18,30.0,11.0,21.6,10.6,0.2,0.1,30.0
2017-02-19,46.0,13.0,16.3,15.1,0.2,0.1,46.0
2017-02-20,74.0,28.0,9.4,22.0,0.3,0.1,74.0
2017-02-21,78.0,31.0,11.4,28.8,0.2,0.1,78.0
2017-02-22,76.0,31.0,10.6,20.2,0.3,0.1,76.0
2017-02-23,74.0,32.0,10.6,21.1,0.4,0.1,74.0
2017-02-24,53.0,26.0,17.9,17.9,0.6,0.1,53.0
2017-02-25,50.0,28.0,15.9,10.6,0.3,0.1,50.0
2017-02-26,42.0,17.0,17.5,13.3,0.3,0.1,42.0
2017-02-27,68.0,30.0,13.0,20.2,0.4,0.1,68.0
2017-02-28,65.0,35.0,18.7,14.2,0.5,0.1,65.0
2017-03-01,34.0,24.0,25.6,16.0,0.4,0.1,34.0
2017-03-02,57.0,31.0,12.6,19.7,0.4,0.1,57.0
2017-03-03,59.0,29.0,15.5,18.3,0.3,0.1,59.0
2017-03-04,50.0,27.0,24.0,12.8,0.4,0.1,50.0
2017-03-05,25.0,16.0,22.0,12.8,0.4,0.1,25.0
2017-03-06,30.0,23.0,22.4,12.4,0.4,0.1,30.0
2017-03-07,17.0,9.0,26.4,5.1,0.5,0.1,26.4
2017-03-08,25.0,8.0,27.7,7.4,0.4,0.1,27.7
2017-03-09,46.0,16.0,18.3,19.2,0.4,0.1,46.0
2017-03-10,61.0,27.0,15.9,25.2,0.4,0.1,61.0
2017-03-11,25.0,10.0,26.9,10.6,0.3,0.1,26.9
2017-03-12,46.0,16.0,20.8,19.7,0.2,0.1,46.0
2017-03-13,65.0,28.0,16.7,25.2,0.3,0.1,65.0
2017-03-14,65.0,28.0,15.1,30.2,0.2,0.1,65.0
2017-03-15,72.0,30.0,17.1,29.3,0.1,0.1,72.0
2017-03-16,68.0,26.0,14.7,29.3,0.1,0.1,68.0
2017-03-17,68.0,29.0,19.1,21.1,0.3,0.1,68.0
2017-03-18,50.0,21.0,27.7,15.6,0.2,0.1,50.0
2017-03-19,55.0,25.0,22.8,12.4,0.5,0.1,55.0
2017-03-20,53.0,28.0,17.5,16.5,0.3,0.1,53.0
2017-03-21,61.0,27.0,15.9,21.1,0.5,0.1,61.0
2017-03-22,63.0,28.0,13.0,17.4,0.4,0.1,63.0
2017-03-23,57.0,24.0,15.9,15.6,0.5,0.1,57.0
2017-03-24,70.0,30.0,10.6,20.2,0.4,0.1,70.0
2017-03-25,68.0,27.0,18.3,13.8,0.4,0.1,68.0
2017-03-26,21.0,13.0,26.0,11.9,0.2,0.1,26.0
2017-03-27,34.0,13.0,23.6,21.5,0.2,0.1,34.0
2017-03-28,46.0,17.0,19.1,21.5,0.6,0.1,46.0
2017-03-29,59.0,24.0,18.3,21.5,0.6,0.1,59.0
