date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,46.0,19.0,16.3,8.3,1.1,4.6,46.0
2017-01-02,38.0,16.0,14.7,12.4,0.6,4.6,38.0
2017-01-03,57.0,20.0,17.5,14.7,1.1,4.6,57.0
2017-01-04,50.0,19.0,16.7,19.7,1.1,4.6,50.0
2017-01-05,50.0,20.0,18.3,15.6,0.6,4.6,50.0
2017-01-06,42.0,18.0,14.7,13.3,0.6,3.7,42.0
2017-01-07,34.0,13.0,12.2,10.6,0.6,3.7,34.0
2017-01-08,53.0,17.0,13.9,10.1,0.6,4.6,53.0
2017-01-09,53.0,20.0,19.1,16.5,0.6,5.5,53.0
2017-01-10,34.0,13.0,20.8,13.3,0.6,4.6,34.0
2017-01-11,53.0,20.0,18.7,16.0,0.6,4.6,53.0
2017-01-12,34.0,12.0,12.2,9.6,1.1,3.7,34.0
2017-01-13,25.0,13.0,11.0,9.6,1.1,3.7,25.0
2017-01-14,50.0,18.0,14.7,11.5,1.1,3.7,50.0
2017-01-15,53.0,19.0,16.7,9.2,1.1,3.7,53.0
2017-01-16,34.0,12.0,12.2,15.1,0.6,5.5,34.0
2017-01-17,25.0,10.0,12.6,14.7,0.6,5.5,25.0
2017-01-18,34.0,13.0,8.6,20.6,0.6,7.3,34.0
2017-01-19,34.0,13.0,5.7,17.0,0.6,5.5,34.0
2017-01-20,46.0,15.0,5.3,22.9,0.6,6.4,46.0
2017-01-21,42.0,14.0,11.0,18.8,0.6,5.5,42.0
2017-01-22,34.0,11.0,13.0,16.5,0.6,4.6,34.0
2017-01-23,46.0,18.0,7.8,19.2,1.1,6.4,46.0
2017-01-24,53.0,20.0,9.0,17.4,1.1,5.5,53.0
2017-01-25,30.0,13.0,14.3,11.9,0.6,4.6,30.0
2017-01-26,42.0,17.0,9.0,17.9,1.1,6.4,42.0
2017-01-27,46.0,18.0,6.1,17.9,1.1,5.5,46.0
2017-01-28,38.0,15.0,14.3,10.1,1.1,3.7,38.0
2017-01-29,53.0,19.0,19.5,6.9,1.1,3.7,53.0
2017-01-30,53.0,22.0,12.6,11.9,1.1,3.7,53.0
2017-01-31,53.0,20.0,9.4,12.4,1.6,3.7,53.0
