date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,152.0,64.0,3.2,42.6,7.2,10.0,152.0
2017-01-02,159.0,72.0,12.8,38.9,8.6,10.0,159.0
2017-01-03,137.0,64.0,8.8,38.9,8.6,8.9,137.0
2017-01-04,97.0,52.0,4.8,49.1,8.6,10.0,97.0
2017-01-05,82.0,44.0,7.3,38.0,7.2,7.8,82.0
2017-01-06,42.0,18.0,10.4,30.6,5.8,5.6,42.0
2017-01-07,104.0,51.0,3.2,49.1,7.2,10.0,104.0
2017-01-08,72.0,31.0,10.4,33.4,7.2,6.7,72.0
2017-01-09,112.0,51.0,20.0,21.3,7.2,6.7,112.0
2017-01-10,59.0,33.0,16.0,20.4,7.2,4.5,59.0
2017-01-11,50.0,25.0,11.2,27.8,7.2,5.6,50.0
2017-01-12,63.0,31.0,12.1,28.8,7.2,5.6,63.0
2017-01-13,53.0,27.0,15.2,20.4,5.8,4.5,53.0
2017-01-14,50.0,45.0,17.6,13.0,5.8,4.5,50.0
2017-01-15,55.0,28.0,12.8,19.5,5.8,5.6,55.0
2017-01-16,80.0,45.0,4.0,39.9,7.2,8.9,80.0
2017-01-17,119.0,57.0,3.2,58.7,11.5,12.3,119.0
2017-01-18,160.0,74.0,3.2,54.4,10.0,12.3,160.0
2017-01-19,161.0,78.0,4.0,50.1,8.6,11.2,161.0
2017-01-20,114.0,53.0,13.6,27.8,7.2,6.7,114.0
2017-01-21,95.0,46.0,4.8,38.9,7.2,7.8,95.0
2017-01-22,80.0,55.0,21.6,13.9,8.6,5.6,80.0
2017-01-23,104.0,48.0,16.0,24.1,7.2,6.7,104.0
2017-01-24,85.0,39.0,8.0,38.9,7.2,6.7,85.0
2017-01-25,99.0,47.0,4.8,50.1,8.6,8.9,99.0
2017-01-26,132.0,57.0,6.4,53.3,10.0,10.0,132.0
2017-01-27,59.0,66.0,20.8,13.9,5.8,4.5,66.0
2017-01-28,53.0,34.0,7.3,31.5,5.8,6.7,53.0
2017-01-29,59.0,29.0,4.0,37.1,5.8,7.8,59.0
2017-01-30,85.0,40.0,20.0,14.9,7.2,5.6,85.0
2017-01-31,63.0,30.0,7.3,36.2,7.2,6.7,63.0
2017-02-01,70.0,36.0,15.2,32.5,7.2,6.7,70.0
2017-02-02,61.0,32.0,12.8,30.6,7.2,6.7,61.0
2017-02-03,124.0,58.0,9.6,44.5,8.6,8.9,124.0
2017-02-04,159.0,72.0,3.2,59.8,8.6,12.3,159.0
2017-02-05,154.0,64.0,11.2,36.2,7.2,8.9,154.0
2017-02-06,85.0,41.0,22.4,20.4,7.2,5.6,85.0
2017-02-07,76.0,40.0,5.6,40.8,7.2,7.8,76.0
2017-02-08,91.0,51.0,6.4,42.6,8.6,7.8,91.0
2017-02-09,63.0,48.0,19.2,16.7,7.2,4.5,63.0
2017-02-10,61.0,32.0,20.0,14.9,5.8,4.5,61.0
2017-02-11,59.0,30.0,19.2,16.7,5.8,4.5,59.0
2017-02-12,63.0,30.0,14.5,26.9,7.2,6.7,63.0
2017-02-13,87.0,45.0,4.0,46.3,8.6,7.8,87.0
2017-02-14,95.0,50.0,12.1,38.0,8.6,6.7,95.0
2017-02-15,109.0,53.0,4.0,54.4,11.5,8.9,109.0
2017-02-16,124.0,58.0,10.4,53.3,10.0,10.0,124.0
2017-02-17,61.0,41.0,21.6,17.6,5.8,4.5,61.0
2017-02-18,57.0,30.0,20.8,20.4,7.2,5.6,57.0
2017-02-19,82.0,42.0,14.5,31.5,7.2,6.7,82.0
2017-02-20,72.0,40.0,22.4,17.6,5.8,5.6,72.0
2017-02-21,78.0,42.0,9.6,38.9,7.2,6.7,78.0
2017-02-22,87.0,40.0,4.8,43.6,7.2,7.8,87.0
2017-02-23,70.0,35.0,24.8,16.7,5.8,5.6,70.0
2017-02-24,61.0,29.0,18.4,26.9,7.2,5.6,61.0
2017-02-25,89.0,45.0,14.5,37.1,7.2,7.8,89.0
2017-02-26,95.0,49.0,14.5,30.6,7.2,7.8,95.0
2017-02-27,80.0,41.0,7.3,42.6,7.2,7.8,80.0
2017-02-28,85.0,45.0,8.8,48.2,10.0,7.8,85.0
2017-03-01,112.0,53.0,12.8,45.4,8.6,6.7,112.0
2017-03-02,70.0,34.0,21.6,21.3,5.8,5.6,70.0
2017-03-03,72.0,44.0,12.8,36.2,8.6,6.7,72.0
2017-03-04,93.0,50.0,10.4,45.4,8.6,7.8,93.0
2017-03-05,129.0,57.0,19.2,38.0,7.2,7.8,129.0
2017-03-06,74.0,37.0,24.8,15.8,5.8,4.5,74.0
2017-03-07,68.0,33.0,25.6,15.8,5.8,4.5,68.0
2017-03-08,63.0,42.0,22.4,19.5,7.2,5.6,63.0
2017-03-09,68.0,47.0,21.6,24.1,7.2,5.6,68.0
2017-03-10,78.0,43.0,15.2,36.2,7.2,6.7,78.0
2017-03-11,99.0,56.0,10.4,51.1,10.0,7.8,99.0
2017-03-12,154.0,68.0,19.2,50.1,10.0,8.9,154.0
2017-03-13,114.0,57.0,24.1,26.0,7.2,6.7,114.0
2017-03-14,87.0,50.0,22.4,24.1,7.2,5.6,87.0
2017-03-15,74.0,42.0,15.2,35.2,7.2,5.6,74.0
2017-03-16,114.0,56.0,14.5,48.2,8.6,6.7,114.0
2017-03-17,142.0,62.0,13.6,51.1,8.6,7.8,142.0
2017-03-18,132.0,59.0,20.0,54.4,10.0,7.8,132.0
2017-03-19,142.0,61.0,13.6,44.5,8.6,7.8,142.0
2017-03-20,153.0,71.0,6.4,63.1,8.6,8.9,153.0
2017-03-21,151.0,73.0,20.8,31.5,8.6,6.7,151.0
2017-03-22,87.0,50.0,20.0,33.4,7.2,5.6,87.0
