date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,98.0,45.0,10.6,34.8,8.7,7.3,98.0
2017-01-02,155.0,63.0,9.0,32.5,10.7,10.9,155.0
2017-01-03,168.0,69.0,24.8,33.0,9.0,10.9,168.0
2017-01-04,144.0,54.0,18.7,33.4,10.2,8.2,144.0
2017-01-05,80.0,27.0,30.5,20.9,7.1,7.3,80.0
2017-01-06,70.0,28.0,17.0,25.2,6.6,6.4,70.0
2017-01-07,52.0,13.0,18.7,22.0,6.2,6.4,52.0
2017-01-08,163.0,67.0,4.1,24.5,8.2,16.3,163.0
2017-01-09,155.0,59.0,24.0,19.7,11.2,11.8,155.0
2017-01-10,164.0,68.0,24.0,24.7,9.7,10.9,164.0
2017-01-11,89.0,39.0,26.9,18.3,7.6,6.4,89.0
2017-01-12,142.0,53.0,7.8,34.8,8.6,9.1,142.0
2017-01-13,172.0,80.0,17.1,31.3,15.2,11.8,172.0
2017-01-14,63.0,30.0,27.7,13.3,7.6,6.4,63.0
2017-01-15,50.0,22.0,25.6,11.9,6.6,4.6,50.0
2017-01-16,61.0,25.0,19.9,17.4,7.6,5.5,61.0
2017-01-17,114.0,49.0,11.3,34.3,9.2,7.3,114.0
2017-01-18,95.0,34.0,22.0,24.3,8.2,6.4,95.0
2017-01-19,160.0,65.0,21.6,29.8,10.7,10.0,160.0
2017-01-20,129.0,70.0,25.6,15.1,9.7,9.1,129.0
2017-01-21,92.0,35.0,22.0,22.0,7.8,7.3,92.0
2017-01-22,127.0,57.0,21.6,21.5,11.2,8.2,127.0
2017-01-23,72.0,33.0,26.9,14.7,8.2,6.4,72.0
2017-01-24,70.0,30.0,30.5,17.4,9.7,6.4,70.0
2017-01-25,151.0,55.0,34.2,18.3,9.2,8.2,151.0
2017-01-26,142.0,52.0,32.5,20.2,8.7,7.3,142.0
2017-01-27,104.0,59.0,30.9,11.5,6.6,6.4,104.0
2017-01-28,82.0,61.0,30.9,11.5,6.1,5.5,82.0
2017-01-29,117.0,42.0,26.9,13.8,6.6,8.2,117.0
2017-01-30,59.0,30.0,30.9,6.0,5.1,5.5,59.0
2017-01-31,46.0,18.0,32.1,6.9,4.6,4.6,46.0
2017-02-01,59.0,20.0,32.5,8.3,5.1,6.4,59.0
2017-02-02,55.0,22.0,33.3,9.2,5.6,5.5,55.0
2017-02-03,57.0,22.0,19.1,20.2,5.8,5.5,57.0
2017-02-04,147.0,53.0,4.5,30.7,5.6,10.0,147.0
2017-02-05,181.0,84.0,14.3,26.1,6.6,13.6,181.0
2017-02-06,166.0,70.0,33.8,12.8,6.6,10.0,166.0
2017-02-07,55.0,24.0,32.1,11.5,4.6,4.6,55.0
2017-02-08,55.0,18.0,28.9,13.3,4.6,5.5,55.0
2017-02-09,157.0,63.0,26.4,15.6,9.2,9.1,157.0
2017-02-10,102.0,52.0,25.2,18.8,10.2,8.2,102.0
2017-02-11,119.0,53.0,17.5,24.8,10.2,9.1,119.0
2017-02-12,155.0,58.0,24.8,37.1,10.2,10.0,155.0
2017-02-13,153.0,56.0,26.9,32.0,8.7,7.3,153.0
2017-02-14,156.0,59.0,23.6,41.2,10.2,8.2,156.0
2017-02-15,154.0,60.0,40.4,24.3,9.2,6.4,154.0
2017-02-16,112.0,48.0,27.7,27.7,7.1,6.4,112.0
2017-02-17,82.0,57.0,28.9,13.8,5.1,5.5,82.0
2017-02-18,55.0,30.0,27.7,17.9,6.1,4.6,55.0
2017-02-19,114.0,61.0,30.9,15.6,6.3,6.4,114.0
2017-02-20,132.0,62.0,26.9,11.9,5.6,6.4,132.0
2017-02-21,68.0,42.0,34.2,12.4,4.6,5.5,68.0
2017-02-22,109.0,46.0,11.4,21.7,4.6,9.1,109.0
2017-02-23,175.0,78.0,23.2,16.0,6.8,9.1,175.0
2017-02-24,127.0,48.0,35.0,18.8,6.6,7.3,127.0
2017-02-25,168.0,71.0,28.9,32.5,8.2,9.1,168.0
2017-02-26,181.0,85.0,32.5,38.9,9.7,10.0,181.0
2017-02-27,102.0,41.0,24.4,29.3,7.1,6.4,102.0
2017-02-28,112.0,44.0,32.7,21.8,6.3,5.5,112.0
2017-03-01,134.0,70.0,27.3,24.3,7.1,7.3,134.0
2017-03-02,124.0,54.0,29.7,15.1,7.1,7.3,124.0
2017-03-03,134.0,57.0,32.9,24.7,7.1,6.4,134.0
2017-03-04,151.0,63.0,32.9,35.7,9.2,7.3,151.0
2017-03-05,155.0,62.0,16.7,40.7,6.8,8.2,155.0
2017-03-06,68.0,38.0,38.2,11.4,4.6,5.5,68.0
2017-03-07,104.0,51.0,34.2,22.4,6.1,6.4,104.0
2017-03-08,134.0,59.0,32.2,22.0,7.1,7.3,134.0
2017-03-09,158.0,65.0,26.4,35.1,9.2,8.2,158.0
2017-03-10,157.0,65.0,34.2,25.9,7.1,7.3,157.0
2017-03-11,144.0,55.0,44.7,18.3,6.1,6.4,144.0
2017-03-12,78.0,29.0,37.4,17.8,4.1,5.5,78.0
2017-03-13,80.0,40.0,41.5,13.3,4.1,6.4,80.0
2017-03-14,82.0,44.0,37.4,13.3,5.1,5.5,82.0
2017-03-15,89.0,42.0,37.8,23.4,7.1,6.4,89.0
2017-03-16,74.0,36.0,38.6,18.8,5.4,5.5,74.0
2017-03-17,102.0,41.0,35.4,22.9,5.6,5.5,102.0
2017-03-18,91.0,35.0,37.4,18.3,5.6,5.5,91.0
2017-03-19,105.0,40.0,37.0,22.0,5.6,5.5,105.0
2017-03-20,119.0,44.0,30.5,27.0,4.6,8.2,119.0
2017-03-21,149.0,56.0,45.5,17.3,6.1,7.3,149.0
2017-03-22,61.0,25.0,30.5,18.3,4.2,4.6,61.0
2017-03-23,68.0,26.0,31.3,18.0,3.7,5.5,68.0
2017-03-24,112.0,49.0,35.0,22.4,5.1,6.4,112.0
2017-03-25,162.0,72.0,21.6,27.9,6.6,8.2,162.0
2017-03-26,165.0,78.0,26.0,31.6,9.2,9.1,165.0
2017-03-27,153.0,70.0,29.7,31.1,9.2,7.3,153.0
2017-03-28,104.0,63.0,43.9,19.7,6.6,6.4,104.0
2017-03-29,153.0,66.0,35.8,21.1,6.1,7.3,153.0
2017-03-30,117.0,43.0,37.8,18.8,4.6,5.5,117.0
2017-03-31,78.0,29.0,44.3,13.8,4.3,5.5,78.0
2017-04-01,154.0,66.0,31.7,33.9,8.2,8.2,154.0
2017-04-02,164.0,71.0,33.3,26.9,8.2,8.2,164.0
2017-04-03,159.0,64.0,50.6,19.2,6.1,6.4,159.0
2017-04-04,132.0,55.0,53.2,12.4,5.6,6.4,132.0
2017-04-05,97.0,55.0,34.6,25.6,5.6,7.3,97.0
2017-04-06,158.0,62.0,8.9,38.0,6.1,9.1,158.0
2017-04-07,122.0,46.0,13.5,28.8,4.1,7.3,122.0
2017-04-08,151.0,54.0,21.2,27.9,4.6,7.3,151.0
2017-04-09,95.0,38.0,36.2,15.6,4.1,6.4,95.0
2017-04-10,78.0,30.0,30.1,18.8,3.6,6.4,78.0
2017-04-11,129.0,48.0,17.8,26.6,4.6,10.0,129.0
2017-04-12,80.0,69.0,29.7,27.9,5.6,6.4,80.0
2017-04-13,68.0,62.0,29.7,25.2,5.1,5.5,68.0
2017-04-14,89.0,59.0,36.2,21.5,6.6,7.3,89.0
2017-04-15,119.0,62.0,31.7,24.3,6.6,8.2,119.0
2017-04-16,119.0,55.0,18.3,28.4,5.6,7.3,119.0
2017-04-17,144.0,59.0,22.4,26.1,5.6,10.0,144.0
2017-04-18,122.0,76.0,35.4,24.3,7.6,7.3,122.0
2017-04-19,91.0,78.0,44.7,19.2,6.1,6.4,91.0
2017-04-20,112.0,61.0,48.4,17.4,4.6,8.2,112.0
2017-04-21,139.0,65.0,30.3,22.4,8.2,8.2,139.0
2017-04-22,94.0,53.0,47.2,12.8,5.1,6.4,94.0
2017-04-23,104.0,58.0,49.2,15.1,5.1,5.5,104.0
2017-04-24,109.0,64.0,52.6,14.2,5.1,6.4,109.0
2017-04-25,114.0,59.0,32.5,19.2,5.1,6.4,114.0
2017-04-26,72.0,31.0,41.1,11.9,3.9,5.5,72.0
2017-04-27,75.0,40.0,38.6,16.0,6.1,5.5,75.0
2017-04-28,119.0,61.0,34.6,30.2,7.6,7.3,119.0
2017-04-29,144.0,68.0,45.9,30.7,10.1,7.3,144.0
2017-04-30,114.0,60.0,62.3,19.7,8.2,6.4,114.0
2017-05-01,89.0,47.0,37.4,15.6,5.6,4.6,89.0
2017-05-02,59.0,25.0,34.2,9.2,3.6,4.6,59.0
2017-05-03,59.0,29.0,40.3,9.2,4.1,4.6,59.0
2017-05-04,63.0,25.0,25.6,13.8,3.6,6.4,63.0
2017-05-05,129.0,51.0,18.3,20.6,4.1,7.3,129.0
2017-05-06,139.0,130.0,28.9,19.2,5.1,6.4,139.0
2017-05-07,142.0,147.0,32.9,21.0,5.1,5.5,147.0
2017-05-08,82.0,69.0,35.7,15.1,4.1,4.6,82.0
2017-05-09,124.0,59.0,28.5,17.6,4.5,7.3,124.0
2017-05-10,151.0,73.0,42.7,32.5,7.1,8.2,151.0
2017-05-11,134.0,65.0,44.3,25.5,6.6,8.2,134.0
2017-05-12,85.0,32.0,45.5,18.3,4.1,6.4,85.0
2017-05-13,127.0,56.0,42.7,25.2,6.1,7.3,127.0
2017-05-14,152.0,61.0,51.3,17.0,6.1,6.4,152.0
2017-05-15,70.0,54.0,43.9,16.5,5.6,4.6,70.0
2017-05-16,55.0,35.0,34.6,19.4,6.1,3.7,55.0
2017-05-17,65.0,43.0,39.0,17.4,5.1,4.6,65.0
2017-05-18,72.0,45.0,48.4,13.3,5.1,5.5,72.0
2017-05-19,82.0,46.0,50.0,11.0,5.1,6.4,82.0
2017-05-20,72.0,40.0,41.5,8.6,4.6,5.5,72.0
2017-05-21,63.0,33.0,39.8,7.8,4.1,4.6,63.0
