date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,43.0,23.0,19.2,3.8,1.5,1.2,43.0
2017-01-02,30.0,17.0,16.8,1.9,1.5,2.3,30.0
2017-01-03,28.0,17.0,12.1,2.8,1.5,2.3,28.0
2017-01-04,17.0,11.0,11.2,2.8,1.5,2.3,17.0
2017-01-05,13.0,11.0,10.4,4.7,2.9,1.2,13.0
2017-01-06,17.0,11.0,8.8,4.7,1.5,2.3,17.0
2017-01-07,17.0,11.0,13.6,3.8,1.5,2.3,17.0
2017-01-08,18.0,13.0,12.8,4.7,2.9,1.2,18.0
2017-01-09,36.0,24.0,16.0,6.5,1.5,2.3,36.0
2017-01-10,41.0,24.0,19.2,7.5,2.9,2.3,41.0
2017-01-11,48.0,25.0,24.1,8.4,2.9,3.4,48.0
2017-01-12,42.0,25.0,17.6,3.8,1.5,3.4,42.0
2017-01-13,35.0,24.0,19.2,5.6,1.5,2.3,35.0
2017-01-14,53.0,29.0,17.6,8.4,1.5,3.4,53.0
2017-01-15,45.0,30.0,17.6,2.8,1.5,1.2,45.0
2017-01-16,42.0,27.0,16.0,3.8,1.5,2.3,42.0
2017-01-17,36.0,25.0,25.6,8.4,2.9,3.4,36.0
2017-01-18,43.0,25.0,20.8,5.6,2.9,2.3,43.0
2017-01-19,39.0,28.0,13.6,3.8,1.5,1.2,39.0
2017-01-20,26.0,23.0,14.5,6.5,2.9,2.3,26.0
2017-01-21,33.0,20.0,17.6,1.9,1.5,1.2,33.0
2017-01-22,29.0,21.0,16.0,2.8,1.5,2.3,29.0
2017-01-23,26.0,21.0,16.0,6.5,4.3,2.3,26.0
2017-01-24,33.0,23.0,20.0,4.7,1.5,1.2,33.0
2017-01-25,40.0,30.0,11.2,5.6,1.5,2.3,40.0
2017-01-26,38.0,28.0,12.1,4.7,1.5,2.3,38.0
2017-01-27,38.0,21.0,16.8,3.8,1.5,2.3,38.0
2017-01-28,27.0,18.0,16.0,5.6,2.9,3.4,27.0
2017-01-29,42.0,20.0,18.4,3.8,2.9,2.3,42.0
2017-01-30,40.0,20.0,16.8,7.5,1.5,3.4,40.0
2017-01-31,53.0,31.0,16.8,4.7,2.9,4.5,53.0
2017-02-01,35.0,25.0,10.4,8.4,1.5,3.4,35.0
2017-02-02,28.0,17.0,16.8,6.5,1.5,3.4,28.0
2017-02-03,38.0,24.0,14.5,6.5,1.5,3.4,38.0
2017-02-04,31.0,20.0,13.6,8.4,1.5,3.4,31.0
2017-02-05,35.0,18.0,25.6,7.5,2.9,3.4,35.0
2017-02-06,45.0,24.0,24.8,5.6,1.5,2.3,45.0
2017-02-07,33.0,18.0,11.2,5.6,1.5,2.3,33.0
2017-02-08,13.0,10.0,14.5,3.8,1.5,1.2,14.5
2017-02-09,20.0,15.0,14.5,4.7,1.5,2.3,20.0
2017-02-10,37.0,21.0,27.2,9.3,2.9,3.4,37.0
2017-02-11,41.0,26.0,31.2,5.6,2.9,3.4,41.0
2017-02-12,52.0,25.0,20.0,3.8,1.5,2.3,52.0
2017-02-13,24.0,15.0,17.6,4.7,1.5,1.2,24.0
2017-02-14,23.0,15.0,13.6,4.7,1.5,2.3,23.0
2017-02-15,26.0,15.0,15.2,6.5,1.5,1.2,26.0
2017-02-16,32.0,17.0,20.0,7.5,2.9,2.3,32.0
2017-02-17,44.0,27.0,24.8,11.2,1.5,2.3,44.0
2017-02-18,40.0,22.0,19.2,4.7,1.5,2.3,40.0
2017-02-19,28.0,17.0,16.0,2.8,1.5,2.3,28.0
2017-02-20,19.0,12.0,16.8,5.6,2.9,1.2,19.0
2017-02-21,25.0,15.0,16.0,7.5,1.5,2.3,25.0
2017-02-22,18.0,17.0,19.2,2.8,1.5,3.4,19.2
2017-02-23,23.0,19.0,18.4,4.7,1.5,2.3,23.0
2017-02-24,34.0,23.0,16.0,6.5,1.5,2.3,34.0
2017-02-25,35.0,19.0,14.5,2.8,2.9,1.2,35.0
2017-02-26,20.0,14.0,13.6,2.8,1.5,2.3,20.0
2017-02-27,18.0,15.0,13.6,3.8,1.5,2.3,18.0
2017-02-28,18.0,14.0,11.2,6.5,1.5,3.4,18.0
2017-03-01,18.0,13.0,11.2,6.5,1.5,2.3,18.0
2017-03-02,18.0,10.0,14.5,8.4,1.5,3.4,18.0
2017-03-03,16.0,10.0,10.4,6.5,1.5,1.2,16.0
2017-03-04,13.0,11.0,12.8,3.8,1.5,2.3,13.0
2017-03-05,18.0,10.0,14.5,2.8,2.9,2.3,18.0
2017-03-06,19.0,14.0,13.6,3.8,1.5,2.3,19.0
2017-03-07,24.0,19.0,12.8,3.8,1.5,3.4,24.0
2017-03-08,21.0,15.0,16.0,4.7,1.5,1.2,21.0
2017-03-09,24.0,17.0,13.6,4.7,1.5,2.3,24.0
2017-03-10,24.0,20.0,11.2,6.5,1.5,2.3,24.0
2017-03-11,22.0,18.0,11.2,6.5,1.5,2.3,22.0
2017-03-12,27.0,18.0,20.0,6.5,2.9,3.4,27.0
2017-03-13,39.0,26.0,15.2,8.4,2.9,3.4,39.0
2017-03-14,33.0,25.0,12.8,6.5,1.5,2.3,33.0
2017-03-15,26.0,16.0,12.8,3.8,1.5,2.3,26.0
2017-03-16,23.0,20.0,11.2,4.7,1.5,2.3,23.0
2017-03-17,19.0,14.0,17.6,3.8,1.5,2.3,19.0
2017-03-18,27.0,20.0,14.5,2.8,1.5,2.3,27.0
2017-03-19,24.0,20.0,12.8,1.9,1.5,2.3,24.0
2017-03-20,26.0,19.0,10.4,5.6,2.9,3.4,26.0
2017-03-21,32.0,21.0,8.0,8.4,2.9,3.4,32.0
2017-03-22,25.0,14.0,12.1,11.2,1.5,3.4,25.0
2017-03-23,17.0,11.0,12.8,6.5,1.5,2.3,17.0
2017-03-24,14.0,10.0,11.2,6.5,1.5,2.3,14.0
2017-03-25,18.0,16.0,12.8,7.5,1.5,2.3,18.0
2017-03-26,25.0,18.0,15.2,6.5,1.5,3.4,25.0
2017-03-27,24.0,15.0,13.6,7.5,2.9,3.4,24.0
2017-03-28,29.0,19.0,16.0,6.5,1.5,2.3,29.0
2017-03-29,36.0,25.0,8.0,12.1,1.5,3.4,36.0
2017-03-30,50.0,24.0,16.0,8.4,1.5,2.3,50.0
2017-03-31,22.0,14.0,16.0,3.8,1.5,1.2,22.0
2017-04-01,21.0,13.0,11.2,7.5,1.5,2.3,21.0
2017-04-02,27.0,15.0,17.6,3.8,1.5,1.2,27.0
2017-04-03,18.0,11.0,9.6,8.4,2.9,2.3,18.0
2017-04-04,15.0,10.0,9.6,9.3,1.5,2.3,15.0
2017-04-05,16.0,12.0,11.2,9.3,1.5,2.3,16.0
2017-04-06,22.0,14.0,3.2,13.0,1.5,3.4,22.0
2017-04-07,31.0,15.0,8.0,12.1,1.5,4.5,31.0
2017-04-08,26.0,13.0,9.6,12.1,1.5,3.4,26.0
2017-04-09,21.0,11.0,13.6,6.5,1.5,3.4,21.0
2017-04-10,22.0,26.0,12.1,6.5,1.5,1.2,26.0
2017-04-11,21.0,13.0,12.1,7.5,1.5,2.3,21.0
2017-04-12,21.0,14.0,10.4,6.5,1.5,2.3,21.0
2017-04-13,16.0,10.0,8.8,9.3,1.5,3.4,16.0
2017-04-14,20.0,13.0,8.0,10.2,1.5,2.3,20.0
2017-04-15,35.0,15.0,11.2,10.2,1.5,3.4,35.0
2017-04-16,46.0,19.0,14.5,7.5,1.5,4.5,46.0
2017-04-17,44.0,19.0,7.3,11.2,1.5,3.4,44.0
2017-04-18,40.0,19.0,6.4,13.9,1.5,3.4,40.0
2017-04-19,33.0,16.0,8.0,13.0,1.5,3.4,33.0
2017-04-20,28.0,14.0,3.2,13.0,1.5,4.5,28.0
2017-04-21,30.0,14.0,8.0,13.9,1.5,4.5,30.0
2017-04-22,23.0,12.0,4.0,11.2,4.3,3.4,23.0
2017-04-23,40.0,16.0,11.2,10.2,2.9,3.4,40.0
2017-04-24,41.0,17.0,8.8,13.0,1.5,3.4,41.0
