date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-02,182.0,100.0,13.0,30.7,7.6,12.6,182.0
2017-01-03,198.0,117.0,8.2,41.2,8.7,15.0,198.0
2017-01-04,223.0,137.0,1.7,40.7,6.6,19.0,223.0
2017-01-05,80.0,26.0,4.1,18.8,2.6,15.7,80.0
2017-01-06,61.0,17.0,10.2,15.1,2.1,6.9,61.0
2017-01-07,80.0,26.0,6.1,16.0,2.6,8.5,80.0
2017-01-08,132.0,54.0,16.7,19.2,5.1,11.1,132.0
2017-01-09,175.0,84.0,17.5,29.3,8.2,15.2,175.0
2017-01-10,170.0,75.0,22.8,20.6,5.6,13.1,170.0
2017-01-11,178.0,81.0,10.2,22.4,5.6,12.7,178.0
2017-01-12,170.0,72.0,14.7,22.9,5.1,11.2,170.0
2017-01-13,163.0,74.0,3.3,32.5,5.1,12.6,163.0
2017-01-14,157.0,71.0,13.0,26.6,9.2,8.7,157.0
2017-01-15,134.0,60.0,13.0,22.4,6.1,8.4,134.0
2017-01-16,157.0,71.0,12.2,27.9,6.1,8.5,157.0
2017-01-17,155.0,69.0,10.6,26.6,5.1,8.2,155.0
2017-01-18,168.0,78.0,6.5,25.6,5.1,9.2,168.0
2017-01-19,179.0,85.0,17.1,17.0,5.1,9.6,179.0
2017-01-20,142.0,81.0,21.2,17.0,7.6,7.3,142.0
2017-01-21,147.0,74.0,12.6,27.0,7.6,8.0,147.0
2017-01-22,170.0,97.0,8.6,34.8,8.2,13.1,170.0
2017-01-23,167.0,87.0,17.1,29.8,10.7,11.8,167.0
2017-01-24,154.0,69.0,22.0,22.4,9.2,10.1,154.0
2017-01-25,164.0,73.0,15.5,19.2,5.1,10.5,164.0
2017-01-26,155.0,65.0,16.7,21.5,5.6,10.3,155.0
2017-01-27,180.0,134.0,24.0,15.1,8.2,12.3,180.0
2017-01-28,198.0,121.0,22.4,14.7,10.7,14.9,198.0
2017-01-29,183.0,89.0,18.3,7.8,5.6,12.7,183.0
2017-01-30,177.0,87.0,22.8,8.7,7.1,13.5,177.0
2017-01-31,158.0,67.0,19.1,8.7,5.1,10.6,158.0
2017-02-01,152.0,51.0,14.7,7.8,3.1,8.9,152.0
2017-02-02,155.0,53.0,12.6,10.1,3.1,9.8,155.0
2017-02-03,154.0,52.0,6.1,13.8,3.1,12.1,154.0
2017-02-04,124.0,41.0,5.7,12.8,3.6,10.7,124.0
2017-02-05,144.0,55.0,11.0,16.0,3.6,12.2,144.0
2017-02-06,162.0,68.0,9.0,19.7,4.6,13.8,162.0
2017-02-07,144.0,55.0,18.3,12.8,3.6,8.5,144.0
2017-02-08,97.0,30.0,23.6,7.8,3.1,6.7,97.0
2017-02-09,162.0,65.0,19.5,13.3,5.1,9.7,162.0
2017-02-10,158.0,66.0,19.5,22.0,8.2,8.9,158.0
2017-02-11,129.0,56.0,19.1,23.8,10.2,8.5,129.0
2017-02-12,159.0,71.0,13.0,34.8,7.6,10.0,159.0
2017-02-13,159.0,76.0,13.5,40.7,10.2,11.7,159.0
2017-02-14,137.0,65.0,14.7,32.0,9.2,9.5,137.0
2017-02-15,162.0,90.0,10.2,44.4,9.2,12.0,162.0
2017-02-16,167.0,91.0,22.4,32.0,9.7,10.0,167.0
2017-02-17,195.0,136.0,15.9,18.3,5.1,11.5,195.0
2017-02-18,164.0,81.0,9.0,23.4,6.6,11.9,164.0
2017-02-19,190.0,112.0,11.0,30.2,7.1,13.2,190.0
2017-02-20,175.0,102.0,15.9,16.5,5.6,12.9,175.0
2017-02-21,82.0,51.0,14.7,12.8,3.1,6.1,82.0
2017-02-22,154.0,55.0,16.3,12.8,4.6,8.1,154.0
2017-02-23,154.0,61.0,17.5,21.5,6.6,9.0,154.0
2017-02-24,151.0,63.0,15.9,32.0,6.6,8.8,151.0
2017-02-25,155.0,69.0,17.5,34.8,7.1,8.6,155.0
2017-02-26,158.0,80.0,13.0,40.7,7.1,9.7,158.0
2017-02-27,159.0,85.0,13.0,41.2,11.2,11.7,159.0
2017-02-28,159.0,79.0,22.8,34.8,11.7,9.8,159.0
2017-03-01,155.0,85.0,30.1,17.4,6.1,6.8,155.0
2017-03-02,85.0,72.0,24.4,20.6,7.6,6.1,85.0
2017-03-03,122.0,73.0,17.5,31.6,10.2,7.8,122.0
2017-03-04,160.0,86.0,5.3,39.8,8.7,11.1,160.0
2017-03-05,152.0,61.0,13.0,22.9,4.6,8.7,152.0
2017-03-06,250.0,146.0,18.7,24.3,6.1,15.4,250.0
2017-03-07,205.0,111.0,34.2,30.7,8.2,11.9,205.0
2017-03-08,166.0,87.0,26.9,28.8,8.7,8.8,166.0
2017-03-09,163.0,90.0,22.4,39.8,11.2,10.7,163.0
2017-03-10,152.0,62.0,25.6,22.9,6.6,8.8,152.0
2017-03-11,164.0,85.0,4.1,36.6,7.6,11.1,164.0
2017-03-12,155.0,68.0,11.4,24.7,4.1,9.0,155.0
2017-03-13,87.0,29.0,26.0,10.6,2.6,7.1,87.0
2017-03-14,93.0,54.0,24.8,16.0,5.6,7.9,93.0
2017-03-15,119.0,59.0,19.5,27.0,6.6,7.5,119.0
2017-03-16,153.0,61.0,14.7,25.6,6.1,8.4,153.0
2017-03-17,159.0,67.0,7.8,37.5,5.6,9.7,159.0
2017-03-18,165.0,68.0,7.4,27.0,4.6,9.5,165.0
2017-03-19,164.0,65.0,4.9,28.8,4.1,11.1,164.0
2017-03-20,107.0,40.0,20.8,13.3,2.6,6.8,107.0
2017-03-21,137.0,54.0,19.1,21.1,4.1,7.6,137.0
2017-03-22,95.0,39.0,19.5,22.0,2.6,8.1,95.0
2017-03-23,127.0,50.0,14.3,19.7,3.1,9.6,127.0
2017-03-24,95.0,33.0,15.9,14.2,2.6,6.6,95.0
2017-03-25,127.0,62.0,11.4,23.8,5.1,7.8,127.0
2017-03-26,107.0,90.0,18.3,29.3,5.6,7.1,107.0
2017-03-27,114.0,92.0,24.4,29.8,5.6,7.7,114.0
2017-03-28,122.0,81.0,27.7,23.4,7.6,7.6,122.0
2017-03-29,160.0,91.0,27.3,18.3,7.1,8.9,160.0
2017-03-30,157.0,71.0,19.1,16.5,3.6,9.5,157.0
2017-03-31,117.0,48.0,38.6,9.6,3.1,6.3,117.0
2017-04-01,154.0,69.0,26.0,25.2,4.6,7.7,154.0
2017-04-02,152.0,72.0,29.7,31.6,5.6,8.4,152.0
2017-04-03,152.0,82.0,25.2,30.2,13.7,10.4,152.0
2017-04-04,151.0,76.0,15.1,31.6,10.7,10.2,151.0
2017-04-05,162.0,74.0,6.5,26.6,3.6,12.3,162.0
2017-04-06,109.0,45.0,11.4,16.5,2.6,10.0,109.0
2017-04-07,129.0,57.0,10.6,20.2,3.6,11.4,129.0
2017-04-08,134.0,61.0,17.5,17.9,4.6,14.5,134.0
2017-04-09,42.0,12.0,32.5,9.2,2.6,8.6,42.0
2017-04-10,50.0,15.0,28.1,10.1,2.6,5.3,50.0
2017-04-11,109.0,48.0,22.8,14.7,3.6,8.0,109.0
2017-04-12,129.0,60.0,16.7,26.1,4.1,9.7,129.0
2017-04-13,142.0,67.0,31.7,33.9,5.1,9.4,142.0
2017-04-14,129.0,70.0,22.0,24.7,5.1,8.2,129.0
2017-04-15,151.0,83.0,25.2,28.8,7.6,11.3,151.0
2017-04-16,153.0,81.0,9.0,28.8,4.6,12.1,153.0
2017-04-17,68.0,40.0,28.9,9.2,3.6,5.0,68.0
2017-04-18,87.0,66.0,26.0,14.2,4.6,6.6,87.0
2017-04-19,147.0,101.0,16.3,30.7,5.6,9.8,147.0
2017-04-20,87.0,64.0,24.0,12.8,3.6,6.1,87.0
2017-04-21,93.0,71.0,13.5,20.2,4.6,5.9,93.0
2017-04-22,97.0,77.0,27.7,22.4,5.6,6.2,97.0
2017-04-23,117.0,77.0,31.7,31.1,5.1,7.4,117.0
