"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","19","","AG Holley","12-099-0020","AQS"
"01/02/2011","22","","AG Holley","12-099-0020","AQS"
"01/03/2011","27","","Miami Fire Station","12-086-1016","AQS"
"01/04/2011","21","","AG Holley","12-099-0020","AQS"
"01/05/2011","19","","AG Holley","12-099-0020","AQS"
"01/06/2011","13","","AG Holley","12-099-0020","AQS"
"01/07/2011","19","","AG Holley","12-099-0020","AQS"
"01/08/2011","19","","AG Holley","12-099-0020","AQS"
"01/09/2011","19","","Miami Fire Station","12-086-1016","AQS"
"01/10/2011","22","","AG Holley","12-099-0020","AQS"
"01/11/2011","20","","AG Holley","12-099-0020","AQS"
"01/12/2011","18","","AG Holley","12-099-0020","AQS"
"01/13/2011","18","","AG Holley","12-099-0020","AQS"
"01/14/2011","18","","AG Holley","12-099-0020","AQS"
"01/15/2011","19","","Miami Fire Station","12-086-1016","AQS"
"01/16/2011","12","","AG Holley","12-099-0020","AQS"
"01/17/2011","14","","AG Holley","12-099-0020","AQS"
"01/18/2011","11","","AG Holley","12-099-0020","AQS"
"01/19/2011","19","","AG Holley","12-099-0020","AQS"
"01/20/2011","21","","AG Holley","12-099-0020","AQS"
"01/21/2011","17","","AG Holley","12-099-0020","AQS"
"01/22/2011","15","","AG Holley","12-099-0020","AQS"
"01/23/2011","17","","AG Holley","12-099-0020","AQS"
"01/24/2011","19","","AG Holley","12-099-0020","AQS"
"01/25/2011","26","","AG Holley","12-099-0020","AQS"
"01/26/2011","12","","AG Holley","12-099-0020","AQS"
"01/27/2011","19","","Miami Fire Station","12-086-1016","AQS"
"01/28/2011","18","","AG Holley","12-099-0020","AQS"
"01/29/2011","19","","AG Holley","12-099-0020","AQS"
"01/30/2011","17","","AG Holley","12-099-0020","AQS"
"01/31/2011","14","","AG Holley","12-099-0020","AQS"
"02/01/2011","18","","AG Holley","12-099-0020","AQS"
"02/02/2011","16","","AG Holley","12-099-0020","AQS"
"02/03/2011","12","","AG Holley","12-099-0020","AQS"
"02/04/2011","13","","AG Holley","12-099-0020","AQS"
"02/05/2011","19","","AG Holley","12-099-0020","AQS"
"02/06/2011","17","","AG Holley","12-099-0020","AQS"
"02/07/2011","18","","AG Holley","12-099-0020","AQS"
"02/08/2011","26","","Miami Fire Station","12-086-1016","AQS"
"02/09/2011","16","","AG Holley","12-099-0020","AQS"
"02/10/2011","19","","AG Holley","12-099-0020","AQS"
"02/11/2011","13","","AG Holley","12-099-0020","AQS"
"02/12/2011","18","","AG Holley","12-099-0020","AQS"
"02/13/2011","13","","AG Holley","12-099-0020","AQS"
"02/14/2011","23","","Miami Fire Station","12-086-1016","AQS"
"02/15/2011","20","","AG Holley","12-099-0020","AQS"
"02/16/2011","25","","AG Holley","12-099-0020","AQS"
"02/17/2011","27","","AG Holley","12-099-0020","AQS"
"02/18/2011","16","","AG Holley","12-099-0020","AQS"
"02/19/2011","14","","AG Holley","12-099-0020","AQS"
"02/20/2011","25","","AG Holley","12-099-0020","AQS"
"02/21/2011","29","","AG Holley","12-099-0020","AQS"
"02/22/2011","28","","AG Holley","12-099-0020","AQS"
"02/23/2011","27","","AG Holley","12-099-0020","AQS"
"02/24/2011","28","","AG Holley","12-099-0020","AQS"
"02/25/2011","22","","AG Holley","12-099-0020","AQS"
"02/26/2011","28","","Miami Fire Station","12-086-1016","AQS"
"02/27/2011","19","","AG Holley","12-099-0020","AQS"
"02/28/2011","22","","AG Holley","12-099-0020","AQS"
"03/01/2011","22","","AG Holley","12-099-0020","AQS"
"03/02/2011","38","","AG Holley","12-099-0020","AQS"
"03/03/2011","33","","AG Holley","12-099-0020","AQS"
"03/04/2011","32","","Miami Fire Station","12-086-1016","AQS"
"03/05/2011","27","","AG Holley","12-099-0020","AQS"
"03/06/2011","21","","AG Holley","12-099-0020","AQS"
"03/07/2011","13","","AG Holley","12-099-0020","AQS"
"03/08/2011","17","","AG Holley","12-099-0020","AQS"
"03/09/2011","19","","AG Holley","12-099-0020","AQS"
"03/10/2011","17","","Miami Fire Station","12-086-1016","AQS"
"03/11/2011","13","","AG Holley","12-099-0020","AQS"
"03/12/2011","17","","AG Holley","12-099-0020","AQS"
"03/13/2011","13","","AG Holley","12-099-0020","AQS"
"03/14/2011","14","","AG Holley","12-099-0020","AQS"
"03/15/2011","19","","AG Holley","12-099-0020","AQS"
"03/16/2011","24","","Miami Fire Station","12-086-1016","AQS"
"03/17/2011","21","","AG Holley","12-099-0020","AQS"
"03/18/2011","19","","AG Holley","12-099-0020","AQS"
"03/19/2011","17","","AG Holley","12-099-0020","AQS"
"03/20/2011","28","","AG Holley","12-099-0020","AQS"
"03/21/2011","41","","AG Holley","12-099-0020","AQS"
"03/22/2011","36","","Miami Fire Station","12-086-1016","AQS"
"03/23/2011","26","","AG Holley","12-099-0020","AQS"
"03/24/2011","28","","AG Holley","12-099-0020","AQS"
"03/25/2011","29","","AG Holley","12-099-0020","AQS"
"03/26/2011","20","","AG Holley","12-099-0020","AQS"
"03/27/2011","22","","AG Holley","12-099-0020","AQS"
"03/28/2011","24","","Miami Fire Station","12-086-1016","AQS"
"03/29/2011","15","","AG Holley","12-099-0020","AQS"
"03/30/2011","25","","AG Holley","12-099-0020","AQS"
"03/31/2011","28","","AG Holley","12-099-0020","AQS"
"04/01/2011","25","","AG Holley","12-099-0020","AQS"
"04/02/2011","19","","AG Holley","12-099-0020","AQS"
"04/03/2011","20","","AG Holley","12-099-0020","AQS"
"04/04/2011","29","","AG Holley","12-099-0020","AQS"
"04/05/2011","24","","AG Holley","12-099-0020","AQS"
"04/06/2011","22","","AG Holley","12-099-0020","AQS"
"04/07/2011","24","","AG Holley","12-099-0020","AQS"
"04/08/2011","24","","AG Holley","12-099-0020","AQS"
"04/09/2011","24","","AG Holley","12-099-0020","AQS"
"04/10/2011","24","","AG Holley","12-099-0020","AQS"
"04/11/2011","25","","AG Holley","12-099-0020","AQS"
"04/12/2011","30","","AG Holley","12-099-0020","AQS"
"04/13/2011","25","","AG Holley","12-099-0020","AQS"
"04/14/2011","23","","AG Holley","12-099-0020","AQS"
"04/15/2011","17","","Miami Fire Station","12-086-1016","AQS"
"04/16/2011","17","","AG Holley","12-099-0020","AQS"
"04/17/2011","20","","AG Holley","12-099-0020","AQS"
"04/18/2011","17","","AG Holley","12-099-0020","AQS"
"04/19/2011","16","","AG Holley","12-099-0020","AQS"
"04/20/2011","15","","AG Holley","12-099-0020","AQS"
"04/21/2011","28","","Miami Fire Station","12-086-1016","AQS"
"04/22/2011","20","","AG Holley","12-099-0020","AQS"
"04/23/2011","21","","AG Holley","12-099-0020","AQS"
"04/24/2011","22","","AG Holley","12-099-0020","AQS"
"04/25/2011","24","","AG Holley","12-099-0020","AQS"
"04/26/2011","20","","AG Holley","12-099-0020","AQS"
"04/27/2011","25","","AG Holley","12-099-0020","AQS"
"04/28/2011","19","","AG Holley","12-099-0020","AQS"
"04/29/2011","27","","AG Holley","12-099-0020","AQS"
"04/30/2011","25","","AG Holley","12-099-0020","AQS"
"05/01/2011","26","","AG Holley","12-099-0020","AQS"
