Date,Nitrogen Dioxide AQI Value,Site Name,Site ID,Source
01/01/2011,53,East Orange,34-013-1003,AQS
01/02/2011,48,East Orange,34-013-1003,AQS
01/03/2011,42,Bayonne,34-017-0006,AQS
01/04/2011,49,Pfizer Lab Site,36-005-0133,AQS
01/05/2011,48,Bayonne,34-017-0006,AQS
01/06/2011,55,Elizabeth Lab,34-039-0004,AQS
01/07/2011,48,Elizabeth Lab,34-039-0004,AQS
01/08/2011,53,Elizabeth Lab,34-039-0004,AQS
01/09/2011,24,Bayonne,34-017-0006,AQS
01/10/2011,43,Bayonne,34-017-0006,AQS
01/11/2011,48,Elizabeth Lab,34-039-0004,AQS
01/12/2011,29,Elizabeth Lab,34-039-0004,AQS
01/13/2011,33,Bayonne,34-017-0006,AQS
01/14/2011,50,Bayonne,34-017-0006,AQS
01/15/2011,49,Newark Firehouse,34-013-0003,AQS
01/16/2011,39,Elizabeth Lab,34-039-0004,AQS
01/17/2011,54,Elizabeth Lab,34-039-0004,AQS
01/18/2011,50,Elizabeth Lab,34-039-0004,AQS
01/19/2011,42,Queens College 2,36-081-0124,AQS
01/20/2011,45,Newark Firehouse,34-013-0003,AQS
01/21/2011,41,Newark Firehouse,34-013-0003,AQS
01/22/2011,43,Queens College 2,36-081-0124,AQS
01/23/2011,41,Elizabeth Lab,34-039-0004,AQS
01/24/2011,49,Pfizer Lab Site,36-005-0133,AQS
01/25/2011,67,Queens College 2,36-081-0124,AQS
01/26/2011,80,Elizabeth Lab,34-039-0004,AQS
01/27/2011,53,Bayonne,34-017-0006,AQS
01/28/2011,62,Queens College 2,36-081-0124,AQS
01/29/2011,43,Queens College 2,36-081-0124,AQS
01/30/2011,45,Queens College 2,36-081-0124,AQS
01/31/2011,58,Elizabeth Lab,34-039-0004,AQS
02/01/2011,64,Elizabeth Lab,34-039-0004,AQS
02/02/2011,48,Elizabeth Lab,34-039-0004,AQS
02/03/2011,54,Bayonne,34-017-0006,AQS
02/04/2011,54,Elizabeth Lab,34-039-0004,AQS
02/05/2011,53,East Orange,34-013-1003,AQS
02/06/2011,53,Queens College 2,36-081-0124,AQS
02/07/2011,62,Elizabeth Lab,34-039-0004,AQS
02/08/2011,49,Newark Firehouse,34-013-0003,AQS
02/09/2011,42,Pfizer Lab Site,36-005-0133,AQS
02/10/2011,42,East Orange,34-013-1003,AQS
02/11/2011,56,Elizabeth Lab,34-039-0004,AQS
02/12/2011,53,Newark Firehouse,34-013-0003,AQS
02/13/2011,48,Newark Firehouse,34-013-0003,AQS
02/14/2011,41,Queens College 2,36-081-0124,AQS
02/15/2011,34,Bayonne,34-017-0006,AQS
02/16/2011,65,Elizabeth Lab,34-039-0004,AQS
02/17/2011,79,Newark Firehouse,34-013-0003,AQS
02/18/2011,61,Newark Firehouse,34-013-0003,AQS
02/19/2011,18,Bayonne,34-017-0006,AQS
02/20/2011,35,Queens College 2,36-081-0124,AQS
02/21/2011,44,Elizabeth Lab,34-039-0004,AQS
02/22/2011,45,Elizabeth Lab,34-039-0004,AQS
02/23/2011,58,Elizabeth Lab,34-039-0004,AQS
02/24/2011,96,Elizabeth Lab,34-039-0004,AQS
02/25/2011,55,Newark Firehouse,34-013-0003,AQS
02/26/2011,30,Elizabeth Lab,34-039-0004,AQS
02/27/2011,46,Newark Firehouse,34-013-0003,AQS
02/28/2011,53,Newark Firehouse,34-013-0003,AQS
03/01/2011,51,Newark Firehouse,34-013-0003,AQS
03/02/2011,43,Pfizer Lab Site,36-005-0133,AQS
03/03/2011,47,East Orange,34-013-1003,AQS
03/04/2011,66,Elizabeth Lab,34-039-0004,AQS
03/05/2011,47,Newark Firehouse,34-013-0003,AQS
03/06/2011,40,Newark Firehouse,34-013-0003,AQS
03/07/2011,23,Queens College 2,36-081-0124,AQS
03/08/2011,53,Elizabeth Lab,34-039-0004,AQS
03/09/2011,53,Elizabeth Lab,34-039-0004,AQS
03/10/2011,38,East Orange,34-013-1003,AQS
03/11/2011,52,Newark Firehouse,34-013-0003,AQS
03/12/2011,44,Newark Firehouse,34-013-0003,AQS
03/13/2011,36,Pfizer Lab Site,36-005-0133,AQS
03/14/2011,44,Elizabeth Lab,34-039-0004,AQS
03/15/2011,63,Elizabeth Lab,34-039-0004,AQS
03/16/2011,48,Elizabeth Lab,34-039-0004,AQS
03/17/2011,52,Pfizer Lab Site,36-005-0133,AQS
03/18/2011,47,Elizabeth Lab,34-039-0004,AQS
03/19/2011,16,Queens College 2,36-081-0124,AQS
03/20/2011,25,East Orange,34-013-1003,AQS
03/21/2011,49,Newark Firehouse,34-013-0003,AQS
03/22/2011,36,Bayonne,34-017-0006,AQS
03/23/2011,67,Newark Firehouse,34-013-0003,AQS
03/24/2011,32,Elizabeth Lab,34-039-0004,AQS
03/25/2011,34,Queens College 2,36-081-0124,AQS
03/26/2011,23,Bayonne,34-017-0006,AQS
03/27/2011,20,Queens College 2,36-081-0124,AQS
03/28/2011,25,Queens College 2,36-081-0124,AQS
03/29/2011,39,Bayonne,34-017-0006,AQS
03/30/2011,47,Bayonne,34-017-0006,AQS
03/31/2011,42,Newark Firehouse,34-013-0003,AQS
04/01/2011,31,Newark Firehouse,34-013-0003,AQS
04/02/2011,33,Newark Firehouse,34-013-0003,AQS
04/03/2011,44,Queens College 2,36-081-0124,AQS
04/04/2011,71,Newark Firehouse,34-013-0003,AQS
04/05/2011,55,Newark Firehouse,34-013-0003,AQS
04/06/2011,40,East Orange,34-013-1003,AQS
04/07/2011,53,Newark Firehouse,34-013-0003,AQS
04/08/2011,50,Newark Firehouse,34-013-0003,AQS
04/09/2011,43,East Orange,34-013-1003,AQS
04/10/2011,46,Queens College 2,36-081-0124,AQS
04/11/2011,47,Pfizer Lab Site,36-005-0133,AQS
04/12/2011,33,Elizabeth Lab,34-039-0004,AQS
04/13/2011,41,Bayonne,34-017-0006,AQS
04/14/2011,66,Newark Firehouse,34-013-0003,AQS
04/15/2011,30,Elizabeth Lab,34-039-0004,AQS
04/16/2011,26,Newark Firehouse,34-013-0003,AQS
04/17/2011,47,Elizabeth Lab,34-039-0004,AQS
04/18/2011,61,Newark Firehouse,34-013-0003,AQS
04/19/2011,61,Elizabeth Lab,34-039-0004,AQS
04/20/2011,72,Elizabeth Lab,34-039-0004,AQS
04/21/2011,39,Elizabeth Lab,34-039-0004,AQS
04/22/2011,45,Elizabeth Lab,34-039-0004,AQS
04/23/2011,48,Queens College 2,36-081-0124,AQS
04/24/2011,55,Newark Firehouse,34-013-0003,AQS
04/25/2011,43,Newark Firehouse,34-013-0003,AQS
04/26/2011,41,Elizabeth Lab,34-039-0004,AQS
04/27/2011,33,Newark Firehouse,34-013-0003,AQS
04/28/2011,39,Elizabeth Lab,34-039-0004,AQS
04/29/2011,69,Elizabeth Lab,34-039-0004,AQS
04/30/2011,46,Newark Firehouse,34-013-0003,AQS
05/01/2011,55,Elizabeth Lab,34-039-0004,AQS
05/02/2011,50,Newark Firehouse,34-013-0003,AQS
05/03/2011,54,Newark Firehouse,34-013-0003,AQS
05/04/2011,41,Bayonne,34-017-0006,AQS
05/05/2011,50,Newark Firehouse,34-013-0003,AQS
05/06/2011,54,Elizabeth Lab,34-039-0004,AQS
05/07/2011,38,Newark Firehouse,34-013-0003,AQS
05/08/2011,31,Elizabeth Lab,34-039-0004,AQS
05/09/2011,38,Elizabeth Lab,34-039-0004,AQS
05/10/2011,33,Elizabeth Lab,34-039-0004,AQS
05/11/2011,40,Pfizer Lab Site,36-005-0133,AQS
05/12/2011,42,Elizabeth Lab,34-039-0004,AQS
05/13/2011,36,Elizabeth Lab,34-039-0004,AQS
05/14/2011,28,Bayonne,34-017-0006,AQS
05/15/2011,45,Elizabeth Lab,34-039-0004,AQS
05/16/2011,46,Elizabeth Lab,34-039-0004,AQS
05/17/2011,36,Elizabeth Lab,34-039-0004,AQS
05/18/2011,40,Elizabeth Lab,34-039-0004,AQS
05/19/2011,47,Newark Firehouse,34-013-0003,AQS
05/20/2011,50,Newark Firehouse,34-013-0003,AQS
05/21/2011,48,East Orange,34-013-1003,AQS
05/22/2011,23,Newark Firehouse,34-013-0003,AQS
05/23/2011,42,Newark Firehouse,34-013-0003,AQS
05/24/2011,42,Bayonne,34-017-0006,AQS
05/25/2011,46,Elizabeth Lab,34-039-0004,AQS
05/26/2011,56,Newark Firehouse,34-013-0003,AQS
05/27/2011,60,East Orange,34-013-1003,AQS
05/28/2011,25,Newark Firehouse,34-013-0003,AQS
05/29/2011,32,Pfizer Lab Site,36-005-0133,AQS
05/30/2011,28,Queens College 2,36-081-0124,AQS
05/31/2011,56,East Orange,34-013-1003,AQS
06/01/2011,46,Elizabeth Lab,34-039-0004,AQS
06/02/2011,42,East Orange,34-013-1003,AQS
06/03/2011,37,East Orange,34-013-1003,AQS
06/04/2011,38,Bayonne,34-017-0006,AQS
06/05/2011,32,East Orange,34-013-1003,AQS
06/06/2011,49,East Orange,34-013-1003,AQS
06/07/2011,37,Bayonne,34-017-0006,AQS
06/08/2011,56,Queens College 2,36-081-0124,AQS
06/09/2011,53,Pfizer Lab Site,36-005-0133,AQS
06/10/2011,48,Elizabeth Lab,34-039-0004,AQS
06/11/2011,23,Rutgers University,34-023-0011,AQS
06/12/2011,28,East Orange,34-013-1003,AQS
06/13/2011,33,Elizabeth Lab,34-039-0004,AQS
06/14/2011,33,Pfizer Lab Site,36-005-0133,AQS
06/15/2011,39,Elizabeth Lab,34-039-0004,AQS
06/16/2011,53,Elizabeth Lab,34-039-0004,AQS
06/17/2011,63,Newark Firehouse,34-013-0003,AQS
06/18/2011,55,Pfizer Lab Site,36-005-0133,AQS
06/19/2011,44,Bayonne,34-017-0006,AQS
06/20/2011,43,Pfizer Lab Site,36-005-0133,AQS
06/21/2011,35,Pfizer Lab Site,36-005-0133,AQS
06/22/2011,58,East Orange,34-013-1003,AQS
06/23/2011,41,Elizabeth Lab,34-039-0004,AQS
06/24/2011,38,Elizabeth Lab,34-039-0004,AQS
06/25/2011,28,Elizabeth Lab,34-039-0004,AQS
06/26/2011,21,Bayonne,34-017-0006,AQS
06/27/2011,36,Elizabeth Lab,34-039-0004,AQS
06/28/2011,68,Elizabeth Lab,34-039-0004,AQS
06/29/2011,42,Elizabeth Lab,34-039-0004,AQS
06/30/2011,40,Elizabeth Lab,34-039-0004,AQS
07/01/2011,47,Elizabeth Lab,34-039-0004,AQS
07/02/2011,43,Elizabeth Lab,34-039-0004,AQS
07/03/2011,46,Newark Firehouse,34-013-0003,AQS
