Date,Country,City,Specie,count,min,max,median,variance
2020-01-15T00:00:00Z,IT,Rome,wind speed,167,0.2,4.1,1.5,4.72
2020-02-08T00:00:00Z,IT,Rome,wind speed,25,1.0,4.2,1.5,9.13
2020-02-24T00:00:00Z,IT,Rome,wind speed,24,1.0,4.8,2.5,12.23
2020-03-11T00:00:00Z,IT,Rome,wind speed,140,0.1,6.6,1.6,37.89
2020-03-15T00:00:00Z,IT,Rome,wind speed,168,0.1,5.3,3.0,18.50
2020-03-23T00:00:00Z,IT,Rome,wind speed,161,3.5,16.4,8.2,57.42
2020-01-08T00:00:00Z,IT,Rome,wind speed,128,0.2,9.6,2.3,29.00
2020-01-09T00:00:00Z,IT,Rome,wind speed,155,0.2,5.1,1.5,10.48
2020-01-19T00:00:00Z,IT,Rome,wind speed,168,0.1,6.6,1.8,15.96
2020-01-31T00:00:00Z,IT,Rome,wind speed,161,0.2,9.6,2.8,57.33
2020-02-07T00:00:00Z,IT,Rome,wind speed,112,0.2,12.0,2.5,119.77
2020-03-13T00:00:00Z,IT,Rome,wind speed,140,0.1,4.4,1.1,12.09
2020-03-21T00:00:00Z,IT,Rome,wind speed,122,0.1,5.6,1.3,16.68
2020-01-06T00:00:00Z,IT,Rome,wind speed,163,0.6,18.6,2.5,193.86
2020-01-14T00:00:00Z,IT,Rome,wind speed,167,0.2,4.2,1.8,5.49
2020-02-03T00:00:00Z,IT,Rome,wind speed,158,0.1,6.5,1.5,17.33
2020-03-04T00:00:00Z,IT,Rome,wind speed,77,1.4,7.7,3.3,36.37
2020-03-06T00:00:00Z,IT,Rome,wind speed,164,0.5,15.3,6.1,118.25
2020-03-12T00:00:00Z,IT,Rome,wind speed,135,0.2,5.0,2.0,18.77
2020-01-03T00:00:00Z,IT,Rome,wind speed,111,0.1,6.0,0.5,9.96
2020-03-20T00:00:00Z,IT,Rome,wind speed,124,0.2,5.8,1.1,38.49
2020-03-26T00:00:00Z,IT,Rome,wind speed,162,0.2,11.3,2.7,36.08
2020-03-28T00:00:00Z,IT,Rome,wind speed,129,0.1,5.1,1.6,15.72
2020-03-29T00:00:00Z,IT,Rome,wind speed,103,0.2,6.5,2.5,40.53
2020-03-25T00:00:00Z,IT,Rome,wind speed,161,1.0,10.4,3.6,30.95
2020-01-12T00:00:00Z,IT,Rome,wind speed,168,1.0,4.8,2.3,4.78
2020-01-17T00:00:00Z,IT,Rome,wind speed,168,0.3,4.2,2.0,4.47
2020-01-18T00:00:00Z,IT,Rome,wind speed,168,0.1,8.4,1.5,22.76
2020-01-25T00:00:00Z,IT,Rome,wind speed,159,0.1,10.7,2.8,62.91
2020-01-28T00:00:00Z,IT,Rome,wind speed,168,1.0,10.8,4.0,44.51
2020-03-08T00:00:00Z,IT,Rome,wind speed,168,1.0,7.5,3.7,31.76
2020-01-07T00:00:00Z,IT,Rome,wind speed,147,0.2,13.3,1.8,84.90
2020-02-04T00:00:00Z,IT,Rome,wind speed,160,0.3,33.2,5.0,487.51
2020-02-06T00:00:00Z,IT,Rome,wind speed,168,1.2,27.6,9.2,643.83
2020-03-16T00:00:00Z,IT,Rome,wind speed,162,0.2,7.0,2.5,15.35
2020-03-22T00:00:00Z,IT,Rome,wind speed,151,0.1,6.5,2.0,37.18
2020-01-21T00:00:00Z,IT,Rome,wind speed,168,0.5,5.9,3.3,15.46
2020-02-25T00:00:00Z,IT,Rome,wind speed,51,0.7,8.1,4.1,27.95
2020-03-07T00:00:00Z,IT,Rome,wind speed,153,0.5,7.3,3.4,22.58
2020-03-17T00:00:00Z,IT,Rome,wind speed,113,0.6,4.5,2.5,13.68
2020-03-27T00:00:00Z,IT,Rome,wind speed,162,0.1,9.0,1.9,59.49
2020-01-20T00:00:00Z,IT,Rome,wind speed,168,0.3,6.2,4.3,11.97
2020-01-29T00:00:00Z,IT,Rome,wind speed,149,0.1,14.4,2.3,93.88
2020-02-23T00:00:00Z,IT,Rome,wind speed,11,1.5,3.8,2.5,4.85
2020-02-29T00:00:00Z,IT,Rome,wind speed,73,0.5,9.6,5.3,68.90
2020-01-02T00:00:00Z,IT,Rome,wind speed,19,1.0,2.5,1.5,2.75
2020-01-30T00:00:00Z,IT,Rome,wind speed,162,0.1,9.0,2.5,36.28
2020-02-27T00:00:00Z,IT,Rome,wind speed,72,0.2,7.0,3.3,20.57
2020-03-01T00:00:00Z,IT,Rome,wind speed,168,3.0,15.2,7.2,123.59
2020-03-19T00:00:00Z,IT,Rome,wind speed,138,0.3,7.0,2.0,19.59
2020-03-30T00:00:00Z,IT,Rome,wind speed,83,0.4,6.6,1.5,32.83
