Date,Country,City,Specie,count,min,max,median,variance
2016-12-27T00:00:00Z,CN,Beijing,co,420,1.0,34.4,7.3,217.26
2017-01-28T00:00:00Z,CN,Beijing,co,434,1.9,49.7,23.5,508.57
2017-02-24T00:00:00Z,CN,Beijing,co,427,1.0,37.1,6.4,374.07
2017-03-18T00:00:00Z,CN,Beijing,co,425,1.0,29.0,11.8,334.03
2017-04-16T00:00:00Z,CN,Beijing,co,407,1.0,17.2,9.1,126.15
2017-06-12T00:00:00Z,CN,Beijing,co,434,1.0,46.1,10.0,184.21
2017-02-16T00:00:00Z,CN,Beijing,co,320,1.0,41.6,4.6,1431.20
2017-03-06T00:00:00Z,CN,Beijing,co,391,1.0,101.6,4.6,840.07
2017-04-29T00:00:00Z,CN,Beijing,co,388,1.0,15.4,3.7,52.01
2017-06-03T00:00:00Z,CN,Beijing,co,365,1.0,12.7,6.4,60.08
2016-12-31T00:00:00Z,CN,Beijing,co,255,17.2,70.9,45.2,1026.98
2017-01-15T00:00:00Z,CN,Beijing,co,203,3.7,24.4,7.3,100.85
2017-02-21T00:00:00Z,CN,Beijing,co,368,1.0,87.2,9.1,396.31
2017-04-11T00:00:00Z,CN,Beijing,co,306,1.0,15.4,3.7,84.13
2017-04-28T00:00:00Z,CN,Beijing,co,393,1.0,19.9,3.7,44.71
2017-05-27T00:00:00Z,CN,Beijing,co,215,1.9,19.0,12.7,157.94
2017-05-28T00:00:00Z,CN,Beijing,co,215,1.0,27.2,11.8,391.07
2017-03-09T00:00:00Z,CN,Beijing,co,348,1.0,19.9,4.6,127.12
2017-04-01T00:00:00Z,CN,Beijing,co,384,1.0,19.9,4.6,112.49
2017-06-28T00:00:00Z,CN,Beijing,co,440,1.0,19.9,10.9,195.80
2017-07-02T00:00:00Z,CN,Beijing,co,412,3.7,26.2,10.0,64.60
2016-12-26T00:00:00Z,CN,Beijing,co,424,1.9,44.3,6.4,847.60
2017-01-12T00:00:00Z,CN,Beijing,co,203,1.0,24.4,7.3,256.83
2017-04-07T00:00:00Z,CN,Beijing,co,383,1.0,15.4,7.3,49.33
2017-04-18T00:00:00Z,CN,Beijing,co,221,1.0,17.2,2.8,26.82
2017-05-09T00:00:00Z,CN,Beijing,co,202,1.0,9.1,4.6,23.90
2017-06-26T00:00:00Z,CN,Beijing,co,390,1.0,8.2,4.6,17.01
2017-01-04T00:00:00Z,CN,Beijing,co,446,1.9,134.1,75.8,5385.00
2017-02-23T00:00:00Z,CN,Beijing,co,407,1.0,16.3,5.5,49.29
2017-03-12T00:00:00Z,CN,Beijing,co,147,1.0,10.0,2.8,12.82
2017-03-31T00:00:00Z,CN,Beijing,co,366,1.0,12.7,3.7,79.08
2017-02-07T00:00:00Z,CN,Beijing,co,347,1.0,27.2,11.8,241.23
2017-03-15T00:00:00Z,CN,Beijing,co,336,1.0,67.7,10.9,319.11
2017-03-30T00:00:00Z,CN,Beijing,co,444,2.8,29.0,10.0,197.00
2017-04-03T00:00:00Z,CN,Beijing,co,441,1.0,26.2,11.8,309.92
2017-04-12T00:00:00Z,CN,Beijing,co,357,1.0,19.9,6.4,120.24
2017-05-03T00:00:00Z,CN,Beijing,co,316,1.0,17.2,10.0,163.17
2017-05-20T00:00:00Z,CN,Beijing,co,437,1.0,42.5,6.4,126.96
2017-05-10T00:00:00Z,CN,Beijing,co,198,1.0,8.2,4.6,27.45
2017-05-17T00:00:00Z,CN,Beijing,co,191,1.0,11.8,6.4,36.45
2017-05-24T00:00:00Z,CN,Beijing,co,374,1.0,42.5,3.7,113.37
2017-05-31T00:00:00Z,CN,Beijing,co,252,1.0,13.6,7.3,41.17
2017-06-07T00:00:00Z,CN,Beijing,co,368,1.0,85.5,5.5,282.34
2017-06-22T00:00:00Z,CN,Beijing,co,375,2.8,19.0,6.4,132.67
2017-04-06T00:00:00Z,CN,Beijing,co,432,3.7,13.6,9.1,32.11
2017-05-26T00:00:00Z,CN,Beijing,co,200,2.8,15.4,5.5,17.83
2017-06-08T00:00:00Z,CN,Beijing,co,426,1.0,29.9,5.5,62.87
2017-01-11T00:00:00Z,CN,Beijing,co,320,1.9,44.3,17.2,836.58
2017-02-14T00:00:00Z,CN,Beijing,co,451,1.9,44.3,25.3,575.29
2017-02-20T00:00:00Z,CN,Beijing,co,310,1.0,19.0,3.7,70.76
2017-03-10T00:00:00Z,CN,Beijing,co,341,1.0,34.4,7.3,330.14
2017-04-10T00:00:00Z,CN,Beijing,co,337,3.7,12.7,6.4,27.45
2017-05-18T00:00:00Z,CN,Beijing,co,211,1.0,13.6,8.2,144.84
2017-06-25T00:00:00Z,CN,Beijing,co,402,1.9,10.0,4.6,26.59
2017-01-02T00:00:00Z,CN,Beijing,co,456,1.0,91.2,36.2,4532.27
2017-03-08T00:00:00Z,CN,Beijing,co,318,1.0,140.9,3.7,810.65
2017-03-14T00:00:00Z,CN,Beijing,co,214,1.0,17.2,4.6,111.54
2017-05-12T00:00:00Z,CN,Beijing,co,163,1.9,24.4,4.6,41.16
2017-06-14T00:00:00Z,CN,Beijing,co,412,1.0,64.4,6.4,571.71
2017-06-27T00:00:00Z,CN,Beijing,co,440,1.0,19.9,7.3,91.25
2016-12-28T00:00:00Z,CN,Beijing,co,387,1.0,38.0,10.9,572.94
2017-02-13T00:00:00Z,CN,Beijing,co,449,1.0,55.5,17.2,2238.99
2017-04-14T00:00:00Z,CN,Beijing,co,408,1.0,21.7,8.2,255.06
2017-04-19T00:00:00Z,CN,Beijing,co,386,1.9,21.7,7.3,60.52
2017-05-14T00:00:00Z,CN,Beijing,co,135,1.0,8.2,2.8,24.15
2017-06-09T00:00:00Z,CN,Beijing,co,438,1.0,13.6,5.5,50.22
2017-06-16T00:00:00Z,CN,Beijing,co,375,1.0,13.6,6.4,54.17
2017-02-19T00:00:00Z,CN,Beijing,co,402,1.0,38.0,16.3,732.52
2017-03-25T00:00:00Z,CN,Beijing,co,405,1.0,19.9,7.3,189.61
2017-04-09T00:00:00Z,CN,Beijing,co,427,1.0,16.3,9.1,90.37
2017-06-05T00:00:00Z,CN,Beijing,co,391,2.8,17.2,9.1,81.56
2017-06-18T00:00:00Z,CN,Beijing,co,441,1.0,14.5,7.3,50.17
2017-01-08T00:00:00Z,CN,Beijing,co,405,1.0,60.3,6.4,1680.21
2017-02-27T00:00:00Z,CN,Beijing,co,434,1.0,52.2,12.7,548.99
2017-03-13T00:00:00Z,CN,Beijing,co,211,1.0,12.7,3.7,36.49
2017-05-04T00:00:00Z,CN,Beijing,co,124,1.0,4.6,2.8,7.05
2017-06-21T00:00:00Z,CN,Beijing,co,444,2.8,15.4,8.2,35.16
2017-01-29T00:00:00Z,CN,Beijing,co,301,1.0,51.4,3.7,1637.22
2017-02-02T00:00:00Z,CN,Beijing,co,441,1.0,42.5,14.5,490.80
2017-02-05T00:00:00Z,CN,Beijing,co,383,1.0,83.1,3.7,392.78
2017-02-06T00:00:00Z,CN,Beijing,co,373,1.0,17.2,3.7,50.45
2017-03-17T00:00:00Z,CN,Beijing,co,408,1.0,21.7,10.0,227.16
2017-05-08T00:00:00Z,CN,Beijing,co,172,1.0,9.1,5.5,28.61
2017-07-01T00:00:00Z,CN,Beijing,co,361,5.5,15.4,8.2,30.49
2017-01-24T00:00:00Z,CN,Beijing,co,367,1.0,61.1,19.9,959.24
2017-01-25T00:00:00Z,CN,Beijing,co,396,2.8,58.7,29.0,1176.06
2017-04-21T00:00:00Z,CN,Beijing,co,206,1.0,5.5,2.8,8.53
2017-04-23T00:00:00Z,CN,Beijing,co,220,1.0,10.9,2.8,41.57
2017-01-10T00:00:00Z,CN,Beijing,co,360,1.0,25.3,5.5,252.35
2017-03-19T00:00:00Z,CN,Beijing,co,430,1.0,41.6,19.9,633.47
2017-04-02T00:00:00Z,CN,Beijing,co,426,5.5,29.9,10.0,87.40
2017-04-15T00:00:00Z,CN,Beijing,co,387,1.0,19.0,4.6,118.77
2017-05-15T00:00:00Z,CN,Beijing,co,182,1.0,16.3,4.6,102.62
2017-06-06T00:00:00Z,CN,Beijing,co,341,1.0,10.0,4.6,18.38
2017-06-24T00:00:00Z,CN,Beijing,co,387,1.9,9.1,4.6,18.71
2017-01-06T00:00:00Z,CN,Beijing,co,443,2.8,112.4,41.6,3265.82
2017-01-09T00:00:00Z,CN,Beijing,co,400,1.0,33.5,5.5,264.99
2017-01-14T00:00:00Z,CN,Beijing,co,211,1.0,21.7,6.4,143.72
2017-01-18T00:00:00Z,CN,Beijing,co,306,1.0,21.7,7.3,168.56
2017-02-28T00:00:00Z,CN,Beijing,co,398,1.0,23.5,4.6,126.88
2017-05-11T00:00:00Z,CN,Beijing,co,177,1.0,22.6,2.8,58.47
2017-06-20T00:00:00Z,CN,Beijing,co,410,1.9,13.6,5.5,44.85
2017-01-30T00:00:00Z,CN,Beijing,co,328,1.0,13.6,5.5,62.19
2017-02-03T00:00:00Z,CN,Beijing,co,454,1.9,81.5,25.3,1285.77
2017-02-11T00:00:00Z,CN,Beijing,co,447,1.0,43.4,7.3,354.61
2017-02-12T00:00:00Z,CN,Beijing,co,456,1.0,59.5,21.7,1072.73
2017-03-03T00:00:00Z,CN,Beijing,co,444,1.0,35.3,12.7,439.00
2017-05-01T00:00:00Z,CN,Beijing,co,450,1.0,17.2,6.4,102.37
2017-05-05T00:00:00Z,CN,Beijing,co,163,1.0,6.4,2.8,20.00
2016-12-29T00:00:00Z,CN,Beijing,co,393,1.0,43.4,9.1,569.08
2017-02-10T00:00:00Z,CN,Beijing,co,312,1.0,10.0,2.8,23.44
2017-03-29T00:00:00Z,CN,Beijing,co,367,1.0,15.4,8.2,48.95
2017-04-20T00:00:00Z,CN,Beijing,co,293,1.0,18.1,4.6,176.20
2017-05-06T00:00:00Z,CN,Beijing,co,157,1.0,8.2,2.8,23.35
2017-05-22T00:00:00Z,CN,Beijing,co,465,1.0,24.4,8.2,298.90
2017-02-22T00:00:00Z,CN,Beijing,co,403,1.0,20.8,10.9,167.02
2017-04-08T00:00:00Z,CN,Beijing,co,410,1.0,19.0,9.1,103.71
2017-05-19T00:00:00Z,CN,Beijing,co,373,1.0,48.8,7.3,284.20
2017-06-01T00:00:00Z,CN,Beijing,co,398,1.0,13.6,5.5,55.94
2017-05-30T00:00:00Z,CN,Beijing,co,181,3.7,9.1,6.4,16.27
2017-01-03T00:00:00Z,CN,Beijing,co,445,3.7,107.0,58.7,3142.42
2017-01-17T00:00:00Z,CN,Beijing,co,208,1.0,30.8,19.9,265.07
2017-02-08T00:00:00Z,CN,Beijing,co,336,1.0,47.9,3.7,781.88
2017-03-05T00:00:00Z,CN,Beijing,co,343,1.0,35.3,3.7,238.27
2017-03-24T00:00:00Z,CN,Beijing,co,419,1.9,17.2,9.1,44.51
2017-04-22T00:00:00Z,CN,Beijing,co,254,1.0,9.1,4.6,18.79
2017-05-16T00:00:00Z,CN,Beijing,co,192,2.8,8.2,5.5,13.65
2017-06-10T00:00:00Z,CN,Beijing,co,449,1.0,47.9,6.4,144.84
2017-06-30T00:00:00Z,CN,Beijing,co,410,4.6,14.5,7.3,21.83
2017-02-09T00:00:00Z,CN,Beijing,co,209,1.0,12.7,2.8,29.97
2017-03-20T00:00:00Z,CN,Beijing,co,422,1.0,37.1,12.7,467.06
2017-03-23T00:00:00Z,CN,Beijing,co,436,1.0,24.4,14.5,187.22
2017-06-17T00:00:00Z,CN,Beijing,co,424,1.9,15.4,7.3,53.44
2017-01-19T00:00:00Z,CN,Beijing,co,363,1.0,34.4,8.2,1098.42
2017-01-23T00:00:00Z,CN,Beijing,co,423,1.0,41.6,8.2,440.58
2017-01-26T00:00:00Z,CN,Beijing,co,277,1.0,57.9,34.4,3403.12
2017-02-04T00:00:00Z,CN,Beijing,co,448,1.0,65.2,33.5,1922.23
2017-04-04T00:00:00Z,CN,Beijing,co,400,1.0,19.9,10.0,201.57
2017-04-24T00:00:00Z,CN,Beijing,co,242,1.0,11.8,3.7,102.91
2017-04-27T00:00:00Z,CN,Beijing,co,356,1.0,10.9,2.8,26.46
2017-05-07T00:00:00Z,CN,Beijing,co,185,1.0,12.7,3.7,43.29
2017-02-01T00:00:00Z,CN,Beijing,co,396,1.0,20.8,4.6,117.31
2017-02-15T00:00:00Z,CN,Beijing,co,450,2.8,75.8,29.9,1011.00
2017-03-01T00:00:00Z,CN,Beijing,co,319,1.0,21.7,2.8,50.13
2017-03-16T00:00:00Z,CN,Beijing,co,346,1.0,25.3,12.7,322.90
2017-03-21T00:00:00Z,CN,Beijing,co,411,1.0,14.5,8.2,133.63
2017-03-26T00:00:00Z,CN,Beijing,co,270,1.0,7.3,2.8,11.42
2017-04-26T00:00:00Z,CN,Beijing,co,314,1.0,7.3,2.8,15.62
2017-06-11T00:00:00Z,CN,Beijing,co,433,1.0,15.4,6.4,32.56
2017-01-20T00:00:00Z,CN,Beijing,co,398,1.0,21.7,6.4,117.26
2017-01-21T00:00:00Z,CN,Beijing,co,351,1.0,37.1,4.6,640.72
2017-03-22T00:00:00Z,CN,Beijing,co,365,1.0,21.7,11.8,178.63
2017-04-13T00:00:00Z,CN,Beijing,co,434,1.0,19.0,10.0,65.52
2017-01-13T00:00:00Z,CN,Beijing,co,173,1.0,9.1,3.7,27.54
2017-01-31T00:00:00Z,CN,Beijing,co,428,1.0,46.1,11.8,234.33
