Date,Country,City,Specie,count,min,max,median,variance
2017-01-13T00:00:00Z,CN,Wuhan,co,342,5.9,35.0,12.6,116.43
2017-04-02T00:00:00Z,CN,Wuhan,co,390,3.3,16.6,8.4,67.86
2017-06-27T00:00:00Z,CN,Wuhan,co,394,2.9,10.6,5.4,28.03
2016-12-31T00:00:00Z,CN,Wuhan,co,392,7.0,47.0,16.6,448.96
2017-02-10T00:00:00Z,CN,Wuhan,co,393,1.8,30.6,8.9,147.80
2017-02-11T00:00:00Z,CN,Wuhan,co,370,2.0,27.2,8.5,170.10
2017-02-23T00:00:00Z,CN,Wuhan,co,380,4.2,20.8,9.0,83.80
2017-04-07T00:00:00Z,CN,Wuhan,co,369,6.4,29.2,11.4,82.80
2017-04-08T00:00:00Z,CN,Wuhan,co,369,0.6,22.4,14.5,98.03
2017-05-01T00:00:00Z,CN,Wuhan,co,401,3.9,20.7,8.5,108.50
2017-05-02T00:00:00Z,CN,Wuhan,co,396,3.6,30.2,7.9,126.33
2017-05-12T00:00:00Z,CN,Wuhan,co,408,0.5,24.7,4.6,50.17
2017-05-19T00:00:00Z,CN,Wuhan,co,382,4.3,17.6,9.0,77.55
2017-06-30T00:00:00Z,CN,Wuhan,co,396,0.4,11.2,5.6,28.94
2017-02-09T00:00:00Z,CN,Wuhan,co,391,3.3,19.5,9.7,81.72
2017-06-07T00:00:00Z,CN,Wuhan,co,396,3.8,24.8,6.2,49.08
2017-06-25T00:00:00Z,CN,Wuhan,co,387,3.1,12.4,7.7,30.62
2017-01-28T00:00:00Z,CN,Wuhan,co,370,7.1,26.2,14.9,103.56
2017-02-21T00:00:00Z,CN,Wuhan,co,390,3.1,33.0,6.1,198.60
2017-03-16T00:00:00Z,CN,Wuhan,co,383,3.5,24.5,8.4,130.69
2017-03-23T00:00:00Z,CN,Wuhan,co,390,5.3,26.3,9.6,125.50
2017-06-15T00:00:00Z,CN,Wuhan,co,395,3.9,14.9,7.7,38.45
2017-01-04T00:00:00Z,CN,Wuhan,co,390,10.8,32.1,19.0,251.09
2017-01-18T00:00:00Z,CN,Wuhan,co,381,5.3,27.0,9.2,63.88
2017-01-31T00:00:00Z,CN,Wuhan,co,377,4.9,31.8,10.6,216.57
2017-03-25T00:00:00Z,CN,Wuhan,co,379,4.4,11.3,7.8,26.64
2017-04-16T00:00:00Z,CN,Wuhan,co,390,4.5,22.8,12.1,127.40
2017-04-26T00:00:00Z,CN,Wuhan,co,371,2.1,21.0,8.6,82.39
2017-06-06T00:00:00Z,CN,Wuhan,co,396,2.9,10.1,5.3,20.26
2016-12-29T00:00:00Z,CN,Wuhan,co,392,6.2,28.5,10.8,115.58
2017-02-16T00:00:00Z,CN,Wuhan,co,373,4.8,30.4,10.0,110.43
2017-05-04T00:00:00Z,CN,Wuhan,co,396,3.7,10.5,6.4,23.54
2017-06-10T00:00:00Z,CN,Wuhan,co,396,2.4,21.3,7.4,90.01
2017-06-14T00:00:00Z,CN,Wuhan,co,396,3.3,26.7,6.7,88.19
2017-06-17T00:00:00Z,CN,Wuhan,co,408,2.7,12.0,7.1,29.16
2017-06-18T00:00:00Z,CN,Wuhan,co,396,3.1,17.4,7.6,39.51
2017-01-27T00:00:00Z,CN,Wuhan,co,393,6.0,27.8,12.3,120.17
2017-02-02T00:00:00Z,CN,Wuhan,co,400,3.6,19.8,9.8,92.22
2017-02-18T00:00:00Z,CN,Wuhan,co,390,3.9,26.9,11.9,259.90
2017-03-31T00:00:00Z,CN,Wuhan,co,389,2.7,21.8,6.3,64.64
2017-04-22T00:00:00Z,CN,Wuhan,co,374,2.1,25.7,6.2,53.05
2017-05-10T00:00:00Z,CN,Wuhan,co,396,1.8,20.5,9.0,123.19
2017-06-29T00:00:00Z,CN,Wuhan,co,255,3.9,13.8,7.2,42.10
2017-01-10T00:00:00Z,CN,Wuhan,co,375,5.8,21.5,13.1,98.57
2017-01-25T00:00:00Z,CN,Wuhan,co,400,5.5,29.4,10.5,103.49
2017-02-12T00:00:00Z,CN,Wuhan,co,391,2.3,26.2,10.0,183.92
2017-02-22T00:00:00Z,CN,Wuhan,co,355,4.3,13.7,8.1,45.71
2017-03-01T00:00:00Z,CN,Wuhan,co,390,0.7,20.2,6.8,167.79
