Date,Country,City,Specie,count,min,max,median,variance
2017-03-20T00:00:00Z,IT,Rome,no2,192,5.5,31.6,16.5,597.92
2017-05-17T00:00:00Z,IT,Rome,no2,192,1.4,33.9,12.4,1080.64
2017-05-27T00:00:00Z,IT,Rome,no2,192,2.3,34.3,12.8,1095.83
2016-12-27T00:00:00Z,IT,Rome,no2,168,7.8,31.1,27.9,599.08
2017-01-18T00:00:00Z,IT,Rome,no2,192,1.9,20.6,11.9,387.09
2017-01-25T00:00:00Z,IT,Rome,no2,192,6.4,33.4,29.3,874.82
2017-02-19T00:00:00Z,IT,Rome,no2,192,2.3,26.6,15.1,541.95
2017-02-22T00:00:00Z,IT,Rome,no2,192,11.0,35.2,20.2,599.62
2017-01-12T00:00:00Z,IT,Rome,no2,192,13.3,34.3,31.1,720.29
2017-04-03T00:00:00Z,IT,Rome,no2,144,3.2,26.6,20.6,731.05
2017-06-01T00:00:00Z,IT,Rome,no2,192,2.8,35.2,18.3,867.92
2017-04-02T00:00:00Z,IT,Rome,no2,145,5.1,32.0,19.7,618.91
2017-06-08T00:00:00Z,IT,Rome,no2,169,1.4,32.0,14.7,819.65
2017-06-16T00:00:00Z,IT,Rome,no2,192,3.2,31.1,12.4,658.07
2017-01-05T00:00:00Z,IT,Rome,no2,192,4.6,20.6,13.3,288.35
2017-01-10T00:00:00Z,IT,Rome,no2,192,5.5,32.5,25.6,790.28
2017-02-05T00:00:00Z,IT,Rome,no2,192,1.4,21.1,12.4,555.21
2017-02-06T00:00:00Z,IT,Rome,no2,192,6.0,27.5,20.2,464.99
2017-02-18T00:00:00Z,IT,Rome,no2,192,2.3,29.3,10.6,669.06
2017-06-25T00:00:00Z,IT,Rome,no2,192,2.8,24.3,8.3,334.26
2017-02-24T00:00:00Z,IT,Rome,no2,192,2.3,28.4,17.9,765.58
2017-03-07T00:00:00Z,IT,Rome,no2,144,1.9,20.2,5.1,405.64
2017-04-30T00:00:00Z,IT,Rome,no2,192,2.8,22.9,12.8,438.66
2017-05-01T00:00:00Z,IT,Rome,no2,192,2.8,22.9,12.8,334.56
2017-05-13T00:00:00Z,IT,Rome,no2,169,1.9,30.7,12.4,516.46
2017-01-13T00:00:00Z,IT,Rome,no2,192,1.4,33.4,14.2,986.23
2017-01-14T00:00:00Z,IT,Rome,no2,192,12.4,33.4,25.2,673.17
2017-03-04T00:00:00Z,IT,Rome,no2,192,4.2,30.2,12.8,755.70
2017-03-25T00:00:00Z,IT,Rome,no2,192,6.9,25.6,13.8,378.77
2017-06-18T00:00:00Z,IT,Rome,no2,192,2.8,21.1,6.4,209.51
