Date,Country,City,Specie,count,min,max,median,variance
2017-01-07T00:00:00Z,US,Miami,so2,2,0.6,1.1,0.6,1.25
2017-01-11T00:00:00Z,US,Miami,so2,2,0.6,0.6,0.6,0.00
2017-04-08T00:00:00Z,US,Miami,so2,2,0.6,0.6,0.6,0.00
2017-05-13T00:00:00Z,US,Miami,so2,3,0.6,0.6,0.6,0.00
2017-06-02T00:00:00Z,US,Miami,co,24,0.7,2.1,1.4,1.35
2016-12-28T00:00:00Z,US,Miami,co,24,1.2,4.5,2.9,10.40
2017-02-10T00:00:00Z,US,Miami,co,22,1.4,2.5,1.6,0.80
2017-02-28T00:00:00Z,US,Miami,co,22,1.0,1.7,1.2,0.38
2017-03-19T00:00:00Z,US,Miami,co,21,1.7,3.2,1.9,0.98
2017-06-01T00:00:00Z,US,Miami,co,24,1.0,2.1,1.3,0.99
2017-05-07T00:00:00Z,US,Miami,co,20,1.3,2.7,1.4,1.41
2017-06-24T00:00:00Z,US,Miami,co,24,1.8,2.4,2.2,0.26
2017-02-03T00:00:00Z,US,Miami,co,24,1.3,12.9,3.0,62.62
2017-02-08T00:00:00Z,US,Miami,co,23,1.0,3.4,1.5,7.19
2017-03-18T00:00:00Z,US,Miami,co,23,1.5,4.8,2.0,6.34
2017-04-06T00:00:00Z,US,Miami,co,24,1.3,2.5,1.5,1.00
2017-05-01T00:00:00Z,US,Miami,co,24,1.0,1.3,1.2,0.13
2017-05-19T00:00:00Z,US,Miami,co,22,1.1,1.8,1.5,0.39
2017-06-09T00:00:00Z,US,Miami,co,22,1.6,3.0,2.0,1.82
2017-06-18T00:00:00Z,US,Miami,co,24,1.5,2.2,1.7,0.25
2017-01-02T00:00:00Z,US,Miami,co,22,1.0,1.6,1.2,0.29
2017-01-28T00:00:00Z,US,Miami,co,24,1.3,2.6,1.7,0.85
2017-03-15T00:00:00Z,US,Miami,co,22,1.3,2.8,1.6,1.65
2017-04-01T00:00:00Z,US,Miami,co,23,1.5,2.2,1.8,0.34
2017-05-08T00:00:00Z,US,Miami,co,24,1.6,2.9,1.9,1.34
2017-06-29T00:00:00Z,US,Miami,co,24,1.6,3.8,1.9,3.03
2017-02-06T00:00:00Z,US,Miami,co,23,1.5,5.7,1.7,13.61
2017-02-23T00:00:00Z,US,Miami,co,21,1.1,2.8,1.3,1.81
2017-03-05T00:00:00Z,US,Miami,co,21,1.3,1.6,1.4,0.09
2017-03-07T00:00:00Z,US,Miami,co,20,1.2,1.7,1.5,0.21
2017-04-13T00:00:00Z,US,Miami,co,21,1.1,1.6,1.3,0.22
2017-04-15T00:00:00Z,US,Miami,co,21,1.1,1.6,1.3,0.14
2017-05-03T00:00:00Z,US,Miami,co,23,1.1,3.0,1.3,2.60
2017-01-09T00:00:00Z,US,Miami,co,21,1.2,3.0,1.5,1.89
2017-01-11T00:00:00Z,US,Miami,co,20,1.1,1.9,1.3,0.51
2017-02-18T00:00:00Z,US,Miami,co,24,1.6,4.8,2.7,12.37
2017-03-08T00:00:00Z,US,Miami,co,22,1.2,2.3,1.4,1.20
2017-03-28T00:00:00Z,US,Miami,co,22,1.3,3.3,1.6,1.86
2017-05-12T00:00:00Z,US,Miami,co,9,1.6,2.1,1.9,0.24
2017-07-01T00:00:00Z,US,Miami,co,19,1.4,3.1,1.9,1.16
2017-04-14T00:00:00Z,US,Miami,co,17,1.2,1.8,1.4,0.22
2017-04-25T00:00:00Z,US,Miami,co,20,1.2,2.0,1.4,0.34
2017-06-21T00:00:00Z,US,Miami,co,24,1.2,1.9,1.7,0.51
2017-01-31T00:00:00Z,US,Miami,co,20,1.5,6.6,1.6,21.45
2017-03-11T00:00:00Z,US,Miami,co,22,1.5,2.1,1.8,0.39
2017-03-30T00:00:00Z,US,Miami,co,24,1.1,4.7,1.5,6.68
2017-04-03T00:00:00Z,US,Miami,co,22,1.2,1.9,1.4,0.35
2017-04-07T00:00:00Z,US,Miami,co,23,1.2,2.9,1.4,1.39
2017-01-15T00:00:00Z,US,Miami,co,18,1.1,1.3,1.2,0.06
2017-01-29T00:00:00Z,US,Miami,co,24,1.3,1.9,1.6,0.35
2017-06-04T00:00:00Z,US,Miami,co,24,1.5,3.5,1.9,2.23
2017-06-10T00:00:00Z,US,Miami,co,24,2.1,3.9,2.6,3.47
2017-06-06T00:00:00Z,US,Miami,co,24,1.6,3.7,2.2,2.97
2017-01-24T00:00:00Z,US,Miami,co,21,1.0,1.7,1.3,0.53
2017-03-17T00:00:00Z,US,Miami,co,24,1.5,2.7,1.6,1.36
2017-03-25T00:00:00Z,US,Miami,co,23,1.2,3.7,1.4,2.62
2017-05-13T00:00:00Z,US,Miami,co,24,1.4,2.8,1.7,1.60
2017-05-22T00:00:00Z,US,Miami,co,24,1.4,3.5,1.8,2.10
2017-05-04T00:00:00Z,US,Miami,co,23,1.0,3.8,1.2,4.48
2017-05-25T00:00:00Z,US,Miami,co,23,1.3,2.4,1.9,0.79
2017-06-08T00:00:00Z,US,Miami,co,24,1.4,2.9,2.1,1.63
2017-01-04T00:00:00Z,US,Miami,co,24,1.0,4.7,1.4,14.43
2017-01-08T00:00:00Z,US,Miami,co,20,1.3,1.7,1.4,0.09
2017-02-01T00:00:00Z,US,Miami,co,24,1.2,5.7,2.7,20.03
2017-04-09T00:00:00Z,US,Miami,co,24,1.5,4.1,1.6,6.40
2017-04-27T00:00:00Z,US,Miami,co,22,1.2,2.7,1.6,1.01
2017-06-15T00:00:00Z,US,Miami,co,24,1.7,5.9,2.3,25.77
2017-01-18T00:00:00Z,US,Miami,co,24,1.2,9.0,3.8,41.72
2017-01-30T00:00:00Z,US,Miami,co,24,1.3,2.9,1.5,3.10
2017-02-05T00:00:00Z,US,Miami,co,24,1.4,5.8,2.4,20.29
2017-02-24T00:00:00Z,US,Miami,co,20,1.2,2.6,1.3,2.51
2017-04-05T00:00:00Z,US,Miami,co,21,1.6,4.3,1.9,4.06
2017-01-22T00:00:00Z,US,Miami,co,22,1.0,4.8,1.2,6.73
2017-03-09T00:00:00Z,US,Miami,co,23,1.3,3.9,1.9,4.89
2017-04-10T00:00:00Z,US,Miami,co,22,1.3,2.9,1.5,1.53
2017-05-21T00:00:00Z,US,Miami,co,24,1.3,1.9,1.6,0.22
2017-07-02T00:00:00Z,US,Miami,co,18,1.2,1.9,1.5,0.44
2017-06-30T00:00:00Z,US,Miami,co,24,1.2,2.6,1.7,1.24
2016-12-26T00:00:00Z,US,Miami,co,18,0.9,1.4,1.1,0.19
2017-02-16T00:00:00Z,US,Miami,co,20,1.0,1.8,1.4,0.46
2017-03-20T00:00:00Z,US,Miami,co,22,1.3,3.2,1.5,2.56
2017-04-19T00:00:00Z,US,Miami,co,24,1.3,1.9,1.6,0.33
2017-06-12T00:00:00Z,US,Miami,co,24,1.1,2.1,1.4,0.56
2017-06-14T00:00:00Z,US,Miami,co,24,1.3,5.4,1.9,11.27
2017-01-25T00:00:00Z,US,Miami,co,24,1.3,4.8,2.4,10.88
2017-01-27T00:00:00Z,US,Miami,co,24,1.2,2.7,1.6,1.40
2017-02-15T00:00:00Z,US,Miami,co,21,1.2,4.7,1.6,7.24
2017-03-03T00:00:00Z,US,Miami,co,23,1.1,1.9,1.6,0.45
2017-03-31T00:00:00Z,US,Miami,co,24,1.1,2.9,1.5,1.52
2017-04-04T00:00:00Z,US,Miami,co,21,1.2,2.5,1.7,1.12
2017-04-08T00:00:00Z,US,Miami,co,23,1.2,4.3,1.7,4.82
2017-05-17T00:00:00Z,US,Miami,co,23,1.0,1.7,1.3,0.21
2017-05-16T00:00:00Z,US,Miami,co,24,1.0,3.8,1.2,5.42
2017-05-27T00:00:00Z,US,Miami,co,24,1.5,3.2,2.0,1.73
2017-01-01T00:00:00Z,US,Miami,co,22,1.1,2.6,1.5,1.85
2017-02-13T00:00:00Z,US,Miami,co,22,1.5,3.9,1.9,3.85
2017-03-29T00:00:00Z,US,Miami,co,24,1.3,4.4,2.0,4.63
2017-04-22T00:00:00Z,US,Miami,co,22,1.1,1.7,1.4,0.27
2017-04-30T00:00:00Z,US,Miami,co,16,1.0,1.2,1.1,0.05
2017-01-06T00:00:00Z,US,Miami,co,22,1.7,4.1,2.1,3.85
2017-01-20T00:00:00Z,US,Miami,co,24,1.2,5.7,2.1,11.71
2017-04-28T00:00:00Z,US,Miami,co,22,1.2,1.9,1.3,0.44
2017-05-29T00:00:00Z,US,Miami,co,24,1.7,4.3,2.3,4.09
2017-06-19T00:00:00Z,US,Miami,co,24,1.2,2.4,1.8,1.07
2017-06-23T00:00:00Z,US,Miami,co,24,1.5,2.5,1.9,0.78
2017-01-23T00:00:00Z,US,Miami,co,21,1.0,1.5,1.2,0.16
2017-02-12T00:00:00Z,US,Miami,co,23,1.4,3.5,2.8,5.02
2017-02-21T00:00:00Z,US,Miami,co,24,1.3,5.8,1.6,12.02
2017-02-25T00:00:00Z,US,Miami,co,24,1.2,3.6,1.6,5.56
2017-03-14T00:00:00Z,US,Miami,co,13,1.1,1.4,1.2,0.18
2017-06-07T00:00:00Z,US,Miami,co,23,0.6,2.5,1.3,2.41
2017-01-07T00:00:00Z,US,Miami,co,23,1.0,2.3,1.3,1.22
2017-02-04T00:00:00Z,US,Miami,co,23,1.7,5.4,1.9,10.72
2017-02-17T00:00:00Z,US,Miami,co,23,1.6,3.2,2.1,2.46
2017-03-22T00:00:00Z,US,Miami,co,24,1.7,3.8,2.2,3.22
2017-05-15T00:00:00Z,US,Miami,co,24,1.1,2.0,1.6,0.39
2016-12-29T00:00:00Z,US,Miami,co,24,1.0,4.8,1.8,17.37
2017-01-03T00:00:00Z,US,Miami,co,22,1.0,3.0,1.6,3.39
2017-01-13T00:00:00Z,US,Miami,co,23,1.2,1.7,1.3,0.28
2017-05-05T00:00:00Z,US,Miami,co,22,1.1,4.0,1.4,3.91
2017-05-18T00:00:00Z,US,Miami,co,22,1.1,1.6,1.3,0.14
2017-06-13T00:00:00Z,US,Miami,co,23,1.1,2.3,1.6,0.82
2017-01-14T00:00:00Z,US,Miami,co,21,1.0,1.5,1.2,0.29
2017-01-21T00:00:00Z,US,Miami,co,24,1.5,5.3,2.5,10.40
2017-03-13T00:00:00Z,US,Miami,co,24,1.2,7.5,1.5,21.31
2017-03-26T00:00:00Z,US,Miami,co,22,1.2,1.9,1.4,0.37
2017-05-11T00:00:00Z,US,Miami,co,15,0.4,2.9,2.0,5.38
2017-05-14T00:00:00Z,US,Miami,co,22,1.0,1.9,1.2,0.86
2017-06-05T00:00:00Z,US,Miami,co,24,1.1,4.2,2.0,5.50
2017-06-28T00:00:00Z,US,Miami,co,24,1.5,4.4,2.0,9.61
2017-05-30T00:00:00Z,US,Miami,co,24,1.7,4.1,1.9,3.73
2017-06-16T00:00:00Z,US,Miami,co,24,1.3,3.1,1.9,2.15
2017-06-22T00:00:00Z,US,Miami,co,24,1.7,2.6,2.0,0.32
2017-03-02T00:00:00Z,US,Miami,co,19,1.1,3.8,2.1,4.75
2017-03-12T00:00:00Z,US,Miami,co,24,1.5,5.9,1.7,7.35
2017-04-12T00:00:00Z,US,Miami,co,24,1.3,2.5,1.4,1.14
2017-04-18T00:00:00Z,US,Miami,co,23,1.2,1.9,1.4,0.27
2017-04-23T00:00:00Z,US,Miami,co,24,1.2,2.6,1.4,1.39
2017-06-26T00:00:00Z,US,Miami,co,24,1.3,2.7,1.7,0.82
2017-03-04T00:00:00Z,US,Miami,co,22,1.2,1.5,1.4,0.04
2017-04-20T00:00:00Z,US,Miami,co,21,1.2,1.9,1.3,0.40
2017-05-26T00:00:00Z,US,Miami,co,24,1.4,2.5,1.9,0.99
2017-01-10T00:00:00Z,US,Miami,co,20,1.1,1.8,1.4,0.38
2017-01-19T00:00:00Z,US,Miami,co,22,1.4,5.1,2.1,12.30
2017-02-02T00:00:00Z,US,Miami,co,22,1.5,4.1,2.4,4.60
2017-02-07T00:00:00Z,US,Miami,co,24,1.1,2.3,1.3,1.48
2017-02-20T00:00:00Z,US,Miami,co,23,1.5,3.4,1.9,2.74
2017-04-29T00:00:00Z,US,Miami,co,18,1.0,1.2,1.1,0.06
2017-02-14T00:00:00Z,US,Miami,co,24,1.5,4.4,2.3,5.41
2017-03-10T00:00:00Z,US,Miami,co,22,1.4,2.8,2.2,1.72
2017-04-11T00:00:00Z,US,Miami,co,22,1.4,3.7,1.6,2.71
2017-04-16T00:00:00Z,US,Miami,co,21,1.3,1.7,1.5,0.10
2017-04-24T00:00:00Z,US,Miami,co,23,1.1,1.9,1.3,0.54
2017-03-01T00:00:00Z,US,Miami,co,22,1.0,2.5,1.2,1.78
2017-05-10T00:00:00Z,US,Miami,co,24,1.8,2.9,2.0,0.92
2017-05-20T00:00:00Z,US,Miami,co,24,1.2,1.7,1.5,0.13
2017-05-28T00:00:00Z,US,Miami,co,24,1.4,3.1,1.9,2.12
2017-06-11T00:00:00Z,US,Miami,co,20,1.7,2.3,1.9,0.21
2017-03-27T00:00:00Z,US,Miami,co,22,1.2,4.4,1.5,7.53
2017-04-21T00:00:00Z,US,Miami,co,23,1.2,2.5,1.5,1.03
2017-02-11T00:00:00Z,US,Miami,co,21,1.3,2.8,1.6,2.25
2017-03-06T00:00:00Z,US,Miami,co,16,1.2,1.8,1.5,0.21
2017-04-26T00:00:00Z,US,Miami,co,21,1.2,4.0,1.5,5.47
2017-05-31T00:00:00Z,US,Miami,co,24,1.3,2.5,1.8,0.70
2017-06-27T00:00:00Z,US,Miami,co,24,1.4,4.6,1.9,5.00
2017-01-05T00:00:00Z,US,Miami,co,23,1.0,4.9,1.4,16.82
2017-01-16T00:00:00Z,US,Miami,co,23,1.0,2.0,1.3,0.58
