Date,Country,City,Specie,count,min,max,median,variance
2018-05-27T00:00:00Z,HK,Hong Kong,wind-speed,336,0.9,8.9,4.0,48.39
2018-05-29T00:00:00Z,HK,Hong Kong,wind-speed,336,2.7,7.2,3.6,21.27
2018-06-02T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,8.9,6.3,15.20
2018-06-04T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,8.7,6.7,21.73
2018-06-09T00:00:00Z,HK,Hong Kong,wind-speed,336,0.9,6.3,3.1,23.16
2018-06-28T00:00:00Z,HK,Hong Kong,wind-speed,322,2.7,6.7,5.4,11.70
2018-05-15T00:00:00Z,HK,Hong Kong,wind-speed,26,3.1,3.1,3.1,0.00
2018-05-21T00:00:00Z,HK,Hong Kong,wind-speed,322,0.4,5.8,2.7,14.49
2018-06-24T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,7.6,5.4,16.99
2018-05-22T00:00:00Z,HK,Hong Kong,wind-speed,154,2.7,5.8,3.3,11.43
2018-05-25T00:00:00Z,HK,Hong Kong,wind-speed,336,1.8,7.2,3.6,15.96
2018-06-03T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,7.6,5.6,16.41
2018-06-08T00:00:00Z,HK,Hong Kong,wind-speed,336,3.6,9.4,5.8,15.42
2018-06-13T00:00:00Z,HK,Hong Kong,wind-speed,336,0.9,7.6,4.5,37.01
2018-06-21T00:00:00Z,HK,Hong Kong,wind-speed,336,1.8,7.2,4.0,22.67
2018-05-26T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,8.0,4.9,14.70
2018-05-30T00:00:00Z,HK,Hong Kong,wind-speed,322,1.8,6.7,3.1,22.41
2018-06-07T00:00:00Z,HK,Hong Kong,wind-speed,336,2.7,9.8,6.9,40.20
2018-06-17T00:00:00Z,HK,Hong Kong,wind-speed,336,0.9,6.7,4.0,26.07
2018-06-18T00:00:00Z,HK,Hong Kong,wind-speed,336,4.0,8.0,5.8,13.26
2018-05-18T00:00:00Z,HK,Hong Kong,wind-speed,336,1.8,6.3,3.1,13.77
2018-05-28T00:00:00Z,HK,Hong Kong,wind-speed,336,1.8,7.6,2.7,22.45
2018-06-05T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,7.1,4.5,14.77
2018-06-15T00:00:00Z,HK,Hong Kong,wind-speed,336,2.2,5.4,3.6,4.99
2018-06-16T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,9.4,5.8,20.18
2018-06-27T00:00:00Z,HK,Hong Kong,wind-speed,322,0.9,6.7,2.7,29.24
2018-05-17T00:00:00Z,HK,Hong Kong,wind-speed,322,1.8,5.4,3.6,9.18
2018-05-19T00:00:00Z,HK,Hong Kong,wind-speed,336,1.8,6.7,3.6,20.43
2018-05-23T00:00:00Z,HK,Hong Kong,wind-speed,125,1.8,4.5,3.1,6.85
2018-06-10T00:00:00Z,HK,Hong Kong,wind-speed,336,0.9,6.3,3.1,27.30
2018-06-14T00:00:00Z,HK,Hong Kong,wind-speed,336,2.2,5.4,3.6,4.46
2018-06-19T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,9.4,4.5,37.26
2018-06-20T00:00:00Z,HK,Hong Kong,wind-speed,336,2.2,7.6,5.4,25.58
2018-05-16T00:00:00Z,HK,Hong Kong,wind-speed,329,1.8,6.3,3.6,13.33
2018-05-20T00:00:00Z,HK,Hong Kong,wind-speed,336,2.2,6.7,3.6,24.77
2018-05-24T00:00:00Z,HK,Hong Kong,wind-speed,210,1.3,6.3,3.6,23.44
2018-06-06T00:00:00Z,HK,Hong Kong,wind-speed,322,1.8,13.4,5.8,61.22
2018-06-23T00:00:00Z,HK,Hong Kong,wind-speed,336,3.1,7.6,4.5,13.44
2018-06-26T00:00:00Z,HK,Hong Kong,wind-speed,336,1.3,6.5,3.6,24.47
2018-05-31T00:00:00Z,HK,Hong Kong,wind-speed,322,1.8,6.7,3.6,27.74
2018-06-01T00:00:00Z,HK,Hong Kong,wind-speed,336,2.2,8.9,6.7,31.52
2018-06-11T00:00:00Z,HK,Hong Kong,wind-speed,336,0.9,5.4,3.1,14.01
2018-06-12T00:00:00Z,HK,Hong Kong,wind-speed,336,2.2,8.0,5.4,28.69
2018-06-22T00:00:00Z,HK,Hong Kong,wind-speed,322,2.2,6.3,3.6,10.42
2018-06-25T00:00:00Z,HK,Hong Kong,wind-speed,336,1.8,6.7,4.2,15.08
2018-07-01T00:00:00Z,HK,Hong Kong,wind-speed,224,3.1,6.7,4.9,8.40
2018-01-18T00:00:00Z,HK,Hong Kong,co,165,3.0,13.8,7.8,54.65
2018-01-20T00:00:00Z,HK,Hong Kong,co,166,3.2,17.4,7.5,48.69
2018-03-19T00:00:00Z,HK,Hong Kong,co,159,3.9,20.2,7.6,64.38
2018-03-23T00:00:00Z,HK,Hong Kong,co,166,4.1,11.0,7.3,31.28
2018-05-23T00:00:00Z,HK,Hong Kong,co,161,1.7,13.3,4.6,46.98
2018-06-15T00:00:00Z,HK,Hong Kong,co,166,3.4,14.4,6.4,51.04
2018-02-27T00:00:00Z,HK,Hong Kong,co,166,2.2,29.9,7.0,90.91
2018-03-11T00:00:00Z,HK,Hong Kong,co,166,3.2,13.6,6.4,36.35
2018-04-07T00:00:00Z,HK,Hong Kong,co,167,2.0,8.8,4.5,16.50
2018-05-01T00:00:00Z,HK,Hong Kong,co,166,2.9,9.4,5.1,20.35
2018-05-03T00:00:00Z,HK,Hong Kong,co,166,3.5,12.1,6.4,27.27
2018-06-12T00:00:00Z,HK,Hong Kong,co,166,3.7,14.9,6.4,35.41
2018-01-17T00:00:00Z,HK,Hong Kong,co,157,3.9,21.1,10.3,114.67
2018-03-03T00:00:00Z,HK,Hong Kong,co,166,3.7,15.4,7.9,62.20
2018-04-26T00:00:00Z,HK,Hong Kong,co,160,5.2,11.0,6.7,12.79
2018-05-08T00:00:00Z,HK,Hong Kong,co,166,2.7,12.8,5.8,37.76
2018-01-29T00:00:00Z,HK,Hong Kong,co,157,3.8,12.8,7.4,48.98
2018-02-12T00:00:00Z,HK,Hong Kong,co,167,4.1,17.2,9.4,85.44
2018-05-02T00:00:00Z,HK,Hong Kong,co,163,2.7,13.2,4.9,35.99
2018-05-19T00:00:00Z,HK,Hong Kong,co,167,1.8,8.6,4.4,27.45
2018-05-26T00:00:00Z,HK,Hong Kong,co,166,1.2,8.1,4.2,32.16
2018-02-20T00:00:00Z,HK,Hong Kong,co,162,3.8,19.7,8.2,147.76
2018-03-02T00:00:00Z,HK,Hong Kong,co,167,4.0,12.3,7.6,37.76
2018-03-10T00:00:00Z,HK,Hong Kong,co,167,3.8,11.3,7.4,30.77
2018-04-19T00:00:00Z,HK,Hong Kong,co,167,1.0,10.0,5.8,32.08
2018-05-27T00:00:00Z,HK,Hong Kong,co,167,1.5,10.8,4.4,45.50
2018-06-07T00:00:00Z,HK,Hong Kong,co,161,2.3,12.1,5.3,65.16
2018-06-20T00:00:00Z,HK,Hong Kong,co,160,1.8,13.5,5.0,37.58
2018-01-08T00:00:00Z,HK,Hong Kong,co,163,2.6,22.1,8.3,112.16
2018-02-17T00:00:00Z,HK,Hong Kong,co,166,3.3,20.7,7.9,105.22
2018-04-04T00:00:00Z,HK,Hong Kong,co,160,3.1,9.5,5.5,20.87
2018-04-25T00:00:00Z,HK,Hong Kong,co,160,5.5,11.7,7.3,12.19
2018-01-21T00:00:00Z,HK,Hong Kong,co,167,3.2,15.9,7.8,65.85
2018-02-09T00:00:00Z,HK,Hong Kong,co,166,2.7,16.0,7.6,91.27
2018-03-24T00:00:00Z,HK,Hong Kong,co,167,3.9,11.1,6.9,31.21
2018-04-24T00:00:00Z,HK,Hong Kong,co,162,3.1,12.1,6.2,46.35
2018-04-30T00:00:00Z,HK,Hong Kong,co,160,3.4,9.8,6.1,24.61
2018-01-16T00:00:00Z,HK,Hong Kong,co,160,2.4,23.5,6.8,110.33
2018-01-19T00:00:00Z,HK,Hong Kong,co,166,3.3,21.1,8.3,90.52
2018-02-18T00:00:00Z,HK,Hong Kong,co,167,3.3,13.3,7.5,65.59
2018-03-04T00:00:00Z,HK,Hong Kong,co,167,3.1,22.8,7.5,139.45
2018-06-03T00:00:00Z,HK,Hong Kong,co,166,2.6,10.5,5.4,37.73
2018-06-14T00:00:00Z,HK,Hong Kong,co,166,4.9,14.0,7.9,50.28
2018-05-18T00:00:00Z,HK,Hong Kong,co,166,1.4,8.4,4.3,29.15
2018-01-05T00:00:00Z,HK,Hong Kong,co,164,3.0,22.6,6.5,70.46
2018-01-12T00:00:00Z,HK,Hong Kong,co,166,1.1,29.3,4.0,81.44
2018-01-14T00:00:00Z,HK,Hong Kong,co,166,0.6,22.7,5.1,94.69
2018-01-25T00:00:00Z,HK,Hong Kong,co,155,2.2,10.6,6.6,47.45
2018-02-28T00:00:00Z,HK,Hong Kong,co,159,3.9,15.5,7.5,79.71
2018-05-09T00:00:00Z,HK,Hong Kong,co,158,2.8,9.2,5.4,16.14
2018-05-15T00:00:00Z,HK,Hong Kong,co,161,1.8,12.3,4.3,31.66
2018-06-21T00:00:00Z,HK,Hong Kong,co,160,1.8,12.5,5.1,43.09
2018-01-11T00:00:00Z,HK,Hong Kong,co,166,1.4,15.9,4.4,41.99
2018-02-02T00:00:00Z,HK,Hong Kong,co,167,4.0,15.6,8.4,52.88
2018-02-26T00:00:00Z,HK,Hong Kong,co,167,4.2,11.3,7.9,38.24
2018-05-13T00:00:00Z,HK,Hong Kong,co,167,2.5,10.2,4.3,34.32
2018-06-30T00:00:00Z,HK,Hong Kong,co,167,2.6,9.2,4.9,21.63
2018-03-08T00:00:00Z,HK,Hong Kong,co,166,3.7,25.6,7.6,76.24
2018-03-27T00:00:00Z,HK,Hong Kong,co,160,3.8,15.1,7.2,55.91
2018-04-08T00:00:00Z,HK,Hong Kong,co,165,2.7,11.4,4.9,26.77
2018-04-16T00:00:00Z,HK,Hong Kong,co,163,2.9,10.5,6.6,23.84
2018-04-21T00:00:00Z,HK,Hong Kong,co,167,3.1,13.2,5.1,33.13
2018-05-16T00:00:00Z,HK,Hong Kong,co,165,1.6,8.5,4.3,30.06
2018-06-01T00:00:00Z,HK,Hong Kong,co,165,1.9,14.7,4.9,49.33
2018-01-27T00:00:00Z,HK,Hong Kong,co,167,2.0,15.1,7.4,53.37
2018-02-04T00:00:00Z,HK,Hong Kong,co,167,3.1,16.2,8.1,55.08
2018-02-14T00:00:00Z,HK,Hong Kong,co,159,2.5,26.4,7.9,86.98
2018-02-21T00:00:00Z,HK,Hong Kong,co,166,2.4,11.7,6.4,37.34
2018-04-27T00:00:00Z,HK,Hong Kong,co,164,6.1,11.9,7.9,14.05
2018-06-17T00:00:00Z,HK,Hong Kong,co,166,1.9,8.2,5.0,25.02
2018-06-04T00:00:00Z,HK,Hong Kong,co,166,1.9,10.9,5.0,48.91
2018-01-09T00:00:00Z,HK,Hong Kong,co,166,4.6,12.3,7.5,27.79
2018-01-24T00:00:00Z,HK,Hong Kong,co,154,2.4,12.3,7.1,49.86
2018-02-07T00:00:00Z,HK,Hong Kong,co,162,2.6,40.8,7.5,145.40
2018-03-07T00:00:00Z,HK,Hong Kong,co,166,3.5,12.5,6.2,38.97
2018-03-18T00:00:00Z,HK,Hong Kong,co,167,4.5,12.4,7.2,28.91
2018-03-31T00:00:00Z,HK,Hong Kong,co,166,2.5,8.8,4.3,11.22
2018-05-07T00:00:00Z,HK,Hong Kong,co,167,1.6,9.0,4.1,21.78
2018-03-21T00:00:00Z,HK,Hong Kong,co,166,4.5,16.8,8.6,48.18
2018-05-22T00:00:00Z,HK,Hong Kong,co,165,1.3,7.7,3.9,31.55
2018-06-19T00:00:00Z,HK,Hong Kong,co,163,1.5,9.2,4.7,36.14
2018-02-10T00:00:00Z,HK,Hong Kong,co,167,3.4,16.8,10.1,113.49
2018-02-11T00:00:00Z,HK,Hong Kong,co,166,3.8,14.8,9.3,69.43
2018-02-25T00:00:00Z,HK,Hong Kong,co,166,4.7,19.0,8.9,76.43
2018-04-29T00:00:00Z,HK,Hong Kong,co,167,4.1,9.8,6.4,12.01
2018-05-10T00:00:00Z,HK,Hong Kong,co,162,2.5,8.1,4.7,15.35
2018-06-06T00:00:00Z,HK,Hong Kong,co,163,1.7,11.7,5.3,77.50
2018-01-10T00:00:00Z,HK,Hong Kong,co,165,1.8,14.0,4.9,41.67
2018-02-01T00:00:00Z,HK,Hong Kong,co,162,3.6,17.0,8.0,62.89
2018-03-22T00:00:00Z,HK,Hong Kong,co,161,3.7,12.4,7.1,39.11
2018-02-24T00:00:00Z,HK,Hong Kong,co,167,4.8,13.4,8.1,37.04
2018-03-05T00:00:00Z,HK,Hong Kong,co,162,2.8,33.0,6.6,131.00
