Date,Country,City,Specie,count,min,max,median,variance
2018-03-06T00:00:00Z,GB,London,o3,276,0.1,28.8,13.4,725.67
2018-03-10T00:00:00Z,GB,London,o3,287,0.3,24.7,12.0,339.88
2018-03-18T00:00:00Z,GB,London,o3,288,6.0,26.9,20.6,171.24
2018-06-06T00:00:00Z,GB,London,o3,311,3.5,37.7,17.4,393.19
2018-06-09T00:00:00Z,GB,London,o3,312,6.9,37.5,19.9,398.95
2018-06-21T00:00:00Z,GB,London,o3,298,7.2,33.3,18.0,260.67
2018-04-29T00:00:00Z,GB,London,o3,288,6.8,34.9,24.5,234.54
2018-05-07T00:00:00Z,GB,London,o3,287,0.1,75.3,23.5,3915.37
2018-02-12T00:00:00Z,GB,London,o3,268,0.1,29.2,11.9,463.34
2018-04-02T00:00:00Z,GB,London,o3,287,3.2,31.0,19.3,433.93
2018-06-16T00:00:00Z,GB,London,o3,291,3.9,30.3,15.6,413.56
2018-02-01T00:00:00Z,GB,London,o3,329,2.4,27.1,12.9,377.27
2018-02-13T00:00:00Z,GB,London,o3,257,0.2,30.3,16.0,674.41
2018-03-11T00:00:00Z,GB,London,o3,263,0.1,28.6,4.7,421.30
2018-03-28T00:00:00Z,GB,London,o3,288,0.5,27.9,11.9,541.19
2018-04-19T00:00:00Z,GB,London,o3,279,0.1,60.7,12.0,2466.24
2018-04-22T00:00:00Z,GB,London,o3,311,0.1,48.1,22.1,1416.07
2018-01-08T00:00:00Z,GB,London,o3,264,0.4,18.0,4.4,267.01
2018-01-13T00:00:00Z,GB,London,o3,264,1.5,19.7,8.6,123.40
2018-04-12T00:00:00Z,GB,London,o3,287,2.2,22.9,7.9,240.79
2018-04-15T00:00:00Z,GB,London,o3,288,0.7,39.5,14.5,1052.43
2018-06-14T00:00:00Z,GB,London,o3,308,1.1,36.8,15.4,534.61
2018-06-26T00:00:00Z,GB,London,o3,310,0.4,39.9,15.6,896.12
2018-01-07T00:00:00Z,GB,London,o3,264,2.6,22.4,15.6,179.16
2018-01-10T00:00:00Z,GB,London,o3,254,0.1,23.6,4.5,352.78
2018-01-23T00:00:00Z,GB,London,o3,243,3.0,28.1,15.7,478.37
2018-01-27T00:00:00Z,GB,London,o3,253,0.1,22.7,7.8,438.55
2018-03-25T00:00:00Z,GB,London,o3,273,0.1,30.8,10.3,615.82
2018-05-04T00:00:00Z,GB,London,o3,286,0.5,36.9,15.8,761.66
2018-04-10T00:00:00Z,GB,London,o3,284,0.1,27.3,11.6,357.17
2018-04-28T00:00:00Z,GB,London,o3,288,0.2,28.8,15.6,380.58
2018-01-22T00:00:00Z,GB,London,o3,262,0.2,24.1,7.6,356.52
2018-01-25T00:00:00Z,GB,London,o3,252,0.6,26.5,14.7,475.60
2018-02-19T00:00:00Z,GB,London,o3,283,0.3,18.5,4.1,253.87
2018-03-08T00:00:00Z,GB,London,o3,273,1.1,30.8,18.0,578.49
2018-03-12T00:00:00Z,GB,London,o3,280,0.2,19.3,5.7,178.02
2018-02-03T00:00:00Z,GB,London,o3,325,0.1,18.6,4.1,182.09
2018-02-25T00:00:00Z,GB,London,o3,288,3.8,28.7,18.1,223.18
2018-02-28T00:00:00Z,GB,London,o3,286,0.2,30.2,15.3,498.75
2018-04-17T00:00:00Z,GB,London,o3,288,3.7,38.8,23.5,686.10
2018-04-21T00:00:00Z,GB,London,o3,303,0.2,36.1,11.6,563.89
2018-06-02T00:00:00Z,GB,London,o3,312,0.6,40.8,12.8,776.48
2018-06-22T00:00:00Z,GB,London,o3,312,3.6,35.8,15.2,508.14
2018-01-19T00:00:00Z,GB,London,o3,262,0.1,24.4,11.5,399.49
2018-01-26T00:00:00Z,GB,London,o3,232,0.1,22.6,4.0,226.72
2018-02-27T00:00:00Z,GB,London,o3,270,0.3,27.4,14.3,649.49
2018-05-08T00:00:00Z,GB,London,o3,273,0.2,62.0,14.9,2701.73
2018-05-11T00:00:00Z,GB,London,o3,287,0.9,39.8,19.7,904.62
