Date,Country,City,Specie,count,min,max,median,variance
2018-05-09T00:00:00Z,US,The Bronx,co,21,2.9,6.3,3.6,9.09
2018-01-23T00:00:00Z,US,The Bronx,co,14,0.1,0.1,0.1,0.00
2018-02-07T00:00:00Z,US,The Bronx,co,24,3.0,11.8,3.4,40.16
2018-02-08T00:00:00Z,US,The Bronx,co,24,2.7,4.6,3.2,3.32
2018-02-17T00:00:00Z,US,The Bronx,co,24,2.6,4.0,3.0,2.25
2018-02-24T00:00:00Z,US,The Bronx,co,24,3.2,6.2,4.4,7.01
2018-03-16T00:00:00Z,US,The Bronx,co,23,2.8,5.1,3.3,3.52
2018-03-21T00:00:00Z,US,The Bronx,co,24,2.7,3.7,3.0,0.63
2018-05-26T00:00:00Z,US,The Bronx,co,24,3.2,11.0,3.7,27.52
2018-06-02T00:00:00Z,US,The Bronx,co,24,2.5,7.3,2.9,14.90
2018-06-07T00:00:00Z,US,The Bronx,co,24,2.4,3.5,2.6,0.89
2018-01-22T00:00:00Z,US,The Bronx,co,15,0.1,0.1,0.1,0.00
2018-03-13T00:00:00Z,US,The Bronx,co,23,2.7,4.7,3.2,1.82
2018-04-05T00:00:00Z,US,The Bronx,co,24,2.5,4.5,3.1,3.47
2018-04-25T00:00:00Z,US,The Bronx,co,24,2.3,5.0,3.0,4.46
2018-06-22T00:00:00Z,US,The Bronx,co,24,2.1,4.0,2.6,1.30
2018-01-17T00:00:00Z,US,The Bronx,co,17,0.1,0.1,0.1,0.00
2018-01-31T00:00:00Z,US,The Bronx,co,58,2.3,7.8,3.5,11.54
2018-02-25T00:00:00Z,US,The Bronx,co,24,2.7,5.1,3.1,4.75
2018-04-18T00:00:00Z,US,The Bronx,co,24,3.0,4.5,3.7,2.11
2018-05-14T00:00:00Z,US,The Bronx,co,16,2.7,5.9,3.2,12.59
2018-05-27T00:00:00Z,US,The Bronx,co,24,2.3,12.7,2.5,94.80
2018-06-10T00:00:00Z,US,The Bronx,co,24,2.4,6.3,3.7,12.75
2018-02-12T00:00:00Z,US,The Bronx,co,18,2.7,9.5,3.2,27.92
2018-03-27T00:00:00Z,US,The Bronx,co,23,2.8,9.2,4.1,26.02
2018-05-01T00:00:00Z,US,The Bronx,co,24,2.9,8.4,3.8,16.72
2018-05-11T00:00:00Z,US,The Bronx,co,24,2.5,7.8,2.8,18.89
2018-06-09T00:00:00Z,US,The Bronx,co,24,2.3,6.7,2.7,12.18
2018-06-20T00:00:00Z,US,The Bronx,co,24,2.3,3.4,2.9,1.22
2018-02-04T00:00:00Z,US,The Bronx,co,24,3.4,12.5,4.5,58.68
2018-04-17T00:00:00Z,US,The Bronx,co,24,3.0,5.3,3.8,2.94
2018-01-14T00:00:00Z,US,The Bronx,co,2,0.1,0.1,0.1,0.00
2018-01-29T00:00:00Z,US,The Bronx,co,60,0.1,15.6,3.4,99.22
2018-03-10T00:00:00Z,US,The Bronx,co,24,3.0,4.4,3.5,1.29
2018-03-14T00:00:00Z,US,The Bronx,co,24,3.0,4.1,3.3,1.11
2018-04-30T00:00:00Z,US,The Bronx,co,24,2.5,4.2,2.9,2.00
2018-03-03T00:00:00Z,US,The Bronx,co,24,2.6,3.6,2.8,0.66
2018-04-06T00:00:00Z,US,The Bronx,co,24,2.8,7.8,3.7,17.32
2018-04-23T00:00:00Z,US,The Bronx,co,24,2.8,8.4,3.7,32.37
2018-06-04T00:00:00Z,US,The Bronx,co,24,1.9,3.6,2.5,3.00
2018-06-27T00:00:00Z,US,The Bronx,co,24,2.1,2.8,2.3,0.39
2018-03-15T00:00:00Z,US,The Bronx,co,24,2.9,4.4,3.6,2.07
2018-04-03T00:00:00Z,US,The Bronx,co,24,2.6,10.5,3.5,45.17
2018-04-13T00:00:00Z,US,The Bronx,co,15,3.0,5.4,4.1,5.25
