Date,Country,City,Specie,count,min,max,median,variance
2018-06-03T00:00:00Z,US,Brooklyn,pressure,137,1012.2,1017.8,1015.2,19.68
2018-06-09T00:00:00Z,US,Brooklyn,pressure,144,1016.9,1021.4,1018.8,11.97
2018-06-12T00:00:00Z,US,Brooklyn,pressure,144,1018.6,1025.6,1022.8,38.61
2018-05-16T00:00:00Z,US,Brooklyn,pressure,48,1016.5,1020.9,1019.2,13.93
2018-05-19T00:00:00Z,US,Brooklyn,pressure,85,1017.9,1031.2,1025.1,114.01
2018-05-22T00:00:00Z,US,Brooklyn,pressure,143,1014.1,1023.5,1020.4,57.97
2018-05-24T00:00:00Z,US,Brooklyn,pressure,144,1015.9,1021.1,1018.5,17.59
2018-05-31T00:00:00Z,US,Brooklyn,pressure,128,1012.3,1020.6,1016.9,42.06
2018-06-13T00:00:00Z,US,Brooklyn,pressure,142,1006.4,1020.6,1013.3,161.94
2018-06-22T00:00:00Z,US,Brooklyn,pressure,137,1010.5,1017.5,1015.5,29.53
2018-06-24T00:00:00Z,US,Brooklyn,pressure,142,1007.1,1011.2,1009.7,10.31
2018-06-26T00:00:00Z,US,Brooklyn,pressure,144,1020.7,1026.0,1022.9,17.60
2018-06-23T00:00:00Z,US,Brooklyn,pressure,144,1009.3,1016.5,1011.1,26.75
2018-06-27T00:00:00Z,US,Brooklyn,pressure,144,1012.2,1022.1,1018.4,78.90
2018-06-28T00:00:00Z,US,Brooklyn,pressure,144,1006.6,1013.3,1008.9,20.92
2018-05-18T00:00:00Z,US,Brooklyn,pressure,121,1018.4,1031.2,1026.2,116.95
2018-05-26T00:00:00Z,US,Brooklyn,pressure,140,1007.7,1011.8,1009.7,8.57
2018-05-28T00:00:00Z,US,Brooklyn,pressure,131,1016.1,1020.4,1018.4,13.60
2018-06-07T00:00:00Z,US,Brooklyn,pressure,144,1015.3,1023.1,1019.5,26.01
2018-06-14T00:00:00Z,US,Brooklyn,pressure,137,1006.3,1012.9,1008.2,20.78
2018-05-29T00:00:00Z,US,Brooklyn,pressure,127,1013.3,1017.6,1015.4,7.68
2018-06-20T00:00:00Z,US,Brooklyn,pressure,135,1007.5,1013.7,1010.9,30.16
2018-07-01T00:00:00Z,US,Brooklyn,pressure,144,1014.5,1017.8,1016.2,6.98
