Date,Country,City,Specie,count,min,max,median,variance
2018-07-01T00:00:00Z,US,Los Angeles,pm10,44,6.0,30.0,14.0,405.94
2018-02-18T00:00:00Z,US,Los Angeles,pm10,24,15.0,40.0,22.0,430.42
2018-03-01T00:00:00Z,US,Los Angeles,pm10,24,6.0,37.0,22.0,562.01
2018-03-12T00:00:00Z,US,Los Angeles,pm10,24,12.0,40.0,19.0,690.15
2018-06-05T00:00:00Z,US,Los Angeles,pm10,48,13.0,46.0,23.0,922.70
2018-04-28T00:00:00Z,US,Los Angeles,pm10,24,28.0,45.0,38.0,327.54
2018-05-10T00:00:00Z,US,Los Angeles,pm10,24,23.0,55.0,38.0,1057.37
2018-02-08T00:00:00Z,US,Los Angeles,pm10,24,23.0,56.0,33.0,993.91
2018-02-16T00:00:00Z,US,Los Angeles,pm10,24,13.0,43.0,21.0,664.57
2018-02-20T00:00:00Z,US,Los Angeles,pm10,24,10.0,31.0,19.0,302.88
2018-04-15T00:00:00Z,US,Los Angeles,pm10,24,28.0,51.0,33.0,279.71
2018-06-20T00:00:00Z,US,Los Angeles,pm10,48,16.0,62.0,32.0,1747.80
2018-01-08T00:00:00Z,US,Los Angeles,pm10,24,10.0,54.0,24.0,2277.81
2018-02-09T00:00:00Z,US,Los Angeles,pm10,24,31.0,62.0,44.0,918.97
2018-02-17T00:00:00Z,US,Los Angeles,pm10,24,13.0,40.0,25.0,558.97
2018-05-07T00:00:00Z,US,Los Angeles,pm10,24,20.0,53.0,34.0,1067.81
2018-03-07T00:00:00Z,US,Los Angeles,pm10,22,21.0,49.0,33.0,727.04
2018-02-04T00:00:00Z,US,Los Angeles,pm10,24,27.0,61.0,45.0,896.50
2018-02-25T00:00:00Z,US,Los Angeles,pm10,24,13.0,40.0,20.0,443.19
2018-03-11T00:00:00Z,US,Los Angeles,pm10,24,1.0,18.0,10.0,267.54
2018-04-21T00:00:00Z,US,Los Angeles,pm10,24,31.0,48.0,40.0,266.88
2018-01-03T00:00:00Z,US,Los Angeles,pm10,24,20.0,66.0,51.0,1318.26
