Date,Country,City,Specie,count,min,max,median,variance
2018-06-29T00:00:00Z,US,Manhattan,co,35,1.4,4.5,1.9,4.70
2018-01-11T00:00:00Z,US,Manhattan,co,24,6.7,24.5,11.2,207.49
2018-02-14T00:00:00Z,US,Manhattan,co,47,2.3,5.6,3.5,8.75
2018-06-18T00:00:00Z,US,Manhattan,co,35,0.8,7.5,2.4,25.70
2018-06-20T00:00:00Z,US,Manhattan,co,42,1.1,3.4,2.3,3.90
2018-06-23T00:00:00Z,US,Manhattan,co,55,1.1,3.4,1.6,2.12
2018-05-07T00:00:00Z,US,Manhattan,co,39,1.5,3.4,2.3,3.42
2018-05-18T00:00:00Z,US,Manhattan,co,39,1.2,6.1,2.2,19.10
2018-06-17T00:00:00Z,US,Manhattan,co,40,1.2,4.5,2.5,4.57
2018-01-12T00:00:00Z,US,Manhattan,co,23,5.6,25.6,7.8,220.14
2018-03-05T00:00:00Z,US,Manhattan,co,33,1.2,4.5,2.3,3.74
2018-03-07T00:00:00Z,US,Manhattan,co,24,1.8,3.2,2.3,1.25
2018-04-09T00:00:00Z,US,Manhattan,co,43,1.2,4.5,2.3,7.44
2018-05-03T00:00:00Z,US,Manhattan,co,38,2.1,4.1,2.5,3.31
2018-06-05T00:00:00Z,US,Manhattan,co,61,1.2,5.4,2.0,9.68
2018-01-13T00:00:00Z,US,Manhattan,co,15,0.1,6.7,5.6,86.08
2018-02-09T00:00:00Z,US,Manhattan,co,41,2.7,8.9,3.5,18.65
2018-04-05T00:00:00Z,US,Manhattan,co,43,1.7,5.6,2.3,8.74
2018-04-20T00:00:00Z,US,Manhattan,co,40,1.5,3.4,2.1,3.91
2018-04-27T00:00:00Z,US,Manhattan,co,38,2.0,4.5,3.1,5.75
2018-06-15T00:00:00Z,US,Manhattan,co,35,1.1,3.4,1.3,4.21
2018-06-21T00:00:00Z,US,Manhattan,co,49,1.2,5.6,2.3,11.16
2018-02-23T00:00:00Z,US,Manhattan,co,34,3.0,6.7,4.7,7.83
2018-03-30T00:00:00Z,US,Manhattan,co,43,1.8,13.4,4.2,138.97
2018-04-18T00:00:00Z,US,Manhattan,co,40,1.6,4.6,2.3,5.15
2018-05-13T00:00:00Z,US,Manhattan,co,36,1.8,3.9,2.3,3.18
2018-05-23T00:00:00Z,US,Manhattan,co,36,1.5,5.0,2.3,9.24
2018-01-01T00:00:00Z,US,Manhattan,co,10,3.4,5.6,4.5,4.84
2018-02-13T00:00:00Z,US,Manhattan,co,39,1.2,5.6,2.6,5.96
2018-05-01T00:00:00Z,US,Manhattan,co,41,1.8,5.6,2.5,6.69
2018-05-28T00:00:00Z,US,Manhattan,co,55,1.1,3.6,2.6,5.92
2018-05-15T00:00:00Z,US,Manhattan,co,41,1.2,4.2,2.9,5.17
2018-01-05T00:00:00Z,US,Manhattan,co,7,4.5,7.8,5.6,13.83
2018-01-30T00:00:00Z,US,Manhattan,co,37,0.1,15.6,2.4,87.54
2018-02-25T00:00:00Z,US,Manhattan,co,33,3.0,5.6,3.9,3.41
2018-03-17T00:00:00Z,US,Manhattan,co,40,1.7,4.5,2.3,4.15
2018-04-14T00:00:00Z,US,Manhattan,co,20,2.3,4.8,3.4,7.57
2018-05-11T00:00:00Z,US,Manhattan,co,35,1.6,5.1,2.0,6.21
2018-05-12T00:00:00Z,US,Manhattan,co,31,1.6,4.5,2.9,4.96
2018-06-13T00:00:00Z,US,Manhattan,co,36,1.0,2.5,2.2,2.91
2018-02-04T00:00:00Z,US,Manhattan,co,37,2.3,11.9,3.8,63.73
2018-02-17T00:00:00Z,US,Manhattan,co,37,2.3,10.1,4.3,37.61
2018-04-06T00:00:00Z,US,Manhattan,co,38,1.9,30.0,3.4,220.59
2018-04-26T00:00:00Z,US,Manhattan,co,39,1.7,8.9,3.3,38.49
2018-05-06T00:00:00Z,US,Manhattan,co,41,1.8,4.5,2.7,3.25
2018-06-14T00:00:00Z,US,Manhattan,co,36,1.2,2.3,1.3,1.53
2018-01-28T00:00:00Z,US,Manhattan,co,47,0.1,5.6,0.1,41.62
2018-02-08T00:00:00Z,US,Manhattan,co,42,2.1,4.5,2.8,3.59
2018-04-04T00:00:00Z,US,Manhattan,co,39,1.6,13.4,4.2,113.34
2018-05-19T00:00:00Z,US,Manhattan,co,33,1.2,3.9,2.3,7.49
2018-06-11T00:00:00Z,US,Manhattan,co,35,1.2,3.7,1.7,4.70
2018-03-24T00:00:00Z,US,Manhattan,co,38,1.7,4.5,2.3,7.41
2018-03-25T00:00:00Z,US,Manhattan,co,32,1.7,3.4,2.3,2.49
2018-03-26T00:00:00Z,US,Manhattan,co,33,1.2,5.9,2.6,14.44
2018-01-08T00:00:00Z,US,Manhattan,co,17,5.6,8.9,7.8,9.16
2018-01-20T00:00:00Z,US,Manhattan,co,42,0.1,4.5,0.1,32.27
2018-02-20T00:00:00Z,US,Manhattan,co,46,3.4,15.8,5.3,101.22
2018-02-27T00:00:00Z,US,Manhattan,co,44,1.7,7.8,3.9,22.86
2018-03-18T00:00:00Z,US,Manhattan,co,37,1.8,4.5,2.3,7.18
2018-01-16T00:00:00Z,US,Manhattan,co,43,0.1,10.0,0.1,128.68
2018-01-17T00:00:00Z,US,Manhattan,co,41,0.1,7.8,0.1,59.26
2018-03-06T00:00:00Z,US,Manhattan,co,36,1.8,4.5,2.5,5.35
2018-03-31T00:00:00Z,US,Manhattan,co,23,1.7,2.7,2.4,0.91
2018-06-10T00:00:00Z,US,Manhattan,co,37,1.2,3.9,2.3,5.49
2018-06-27T00:00:00Z,US,Manhattan,co,54,0.9,2.3,1.5,1.10
2018-03-10T00:00:00Z,US,Manhattan,co,30,1.7,3.4,2.1,1.92
2018-04-22T00:00:00Z,US,Manhattan,co,40,1.6,5.6,2.4,11.98
2018-05-09T00:00:00Z,US,Manhattan,co,38,2.2,4.9,3.0,4.48
2018-05-10T00:00:00Z,US,Manhattan,co,42,1.4,5.5,2.3,10.01
2018-06-24T00:00:00Z,US,Manhattan,co,63,1.8,4.0,2.6,3.05
2018-03-23T00:00:00Z,US,Manhattan,co,42,1.8,6.7,2.3,11.08
2018-04-25T00:00:00Z,US,Manhattan,co,45,1.6,7.8,3.4,28.11
2018-05-08T00:00:00Z,US,Manhattan,co,41,1.9,4.2,2.3,3.53
2018-06-07T00:00:00Z,US,Manhattan,co,64,1.2,3.4,2.0,2.37
2018-06-08T00:00:00Z,US,Manhattan,co,49,1.2,5.9,2.3,10.81
2018-03-03T00:00:00Z,US,Manhattan,co,32,1.2,2.7,2.0,1.17
2018-04-03T00:00:00Z,US,Manhattan,co,43,2.6,7.8,3.9,9.90
2018-04-21T00:00:00Z,US,Manhattan,co,42,1.6,6.7,2.3,8.65
2018-05-17T00:00:00Z,US,Manhattan,co,43,1.2,5.6,4.1,16.82
2018-06-04T00:00:00Z,US,Manhattan,co,56,1.0,4.5,1.7,5.30
2018-02-18T00:00:00Z,US,Manhattan,co,42,2.3,10.6,4.5,24.34
2018-06-19T00:00:00Z,US,Manhattan,co,36,0.1,3.4,1.2,6.53
2018-06-22T00:00:00Z,US,Manhattan,co,65,1.2,4.5,1.8,2.38
2018-01-29T00:00:00Z,US,Manhattan,co,43,0.1,15.6,0.1,113.84
2018-02-12T00:00:00Z,US,Manhattan,co,35,2.1,10.0,2.6,32.74
2018-04-24T00:00:00Z,US,Manhattan,co,45,1.5,8.9,3.4,39.62
2018-05-20T00:00:00Z,US,Manhattan,co,41,1.2,8.7,2.3,29.82
2018-05-21T00:00:00Z,US,Manhattan,co,42,1.2,4.5,2.2,6.31
2018-03-15T00:00:00Z,US,Manhattan,co,34,1.4,4.5,2.4,5.03
2018-03-27T00:00:00Z,US,Manhattan,co,47,2.3,5.6,3.7,4.94
2018-04-01T00:00:00Z,US,Manhattan,co,24,1.8,3.4,2.2,1.31
2018-05-25T00:00:00Z,US,Manhattan,co,34,2.0,3.7,2.3,2.60
2018-07-01T00:00:00Z,US,Manhattan,co,54,1.8,8.3,3.2,23.52
2018-02-24T00:00:00Z,US,Manhattan,co,42,2.8,6.7,3.4,7.87
2018-02-28T00:00:00Z,US,Manhattan,co,38,2.7,5.6,3.4,7.43
2018-05-24T00:00:00Z,US,Manhattan,co,41,1.2,3.4,2.3,3.18
2018-05-31T00:00:00Z,US,Manhattan,co,60,1.8,4.5,2.5,2.75
2018-01-25T00:00:00Z,US,Manhattan,co,38,0.1,3.4,0.1,16.26
2018-03-08T00:00:00Z,US,Manhattan,co,40,2.1,8.9,2.7,16.69
2018-04-29T00:00:00Z,US,Manhattan,co,28,1.6,4.5,1.8,5.08
2018-05-05T00:00:00Z,US,Manhattan,co,34,1.2,3.4,1.7,5.78
2018-04-12T00:00:00Z,US,Manhattan,co,46,2.1,6.7,3.4,17.89
2018-05-29T00:00:00Z,US,Manhattan,co,67,2.1,6.7,3.4,10.47
2018-06-06T00:00:00Z,US,Manhattan,co,65,1.0,2.9,1.8,1.82
2018-01-02T00:00:00Z,US,Manhattan,co,15,3.4,8.9,4.5,28.00
2018-01-03T00:00:00Z,US,Manhattan,co,20,5.6,15.6,8.9,80.77
2018-03-01T00:00:00Z,US,Manhattan,co,40,2.3,10.0,3.6,32.87
2018-03-09T00:00:00Z,US,Manhattan,co,31,1.2,3.4,2.3,1.48
2018-03-11T00:00:00Z,US,Manhattan,co,44,1.2,3.4,2.3,2.25
2018-03-20T00:00:00Z,US,Manhattan,co,43,2.0,7.8,3.4,9.41
2018-05-27T00:00:00Z,US,Manhattan,co,30,1.2,4.5,1.9,7.89
2018-06-01T00:00:00Z,US,Manhattan,co,69,1.7,5.6,3.4,10.93
2018-06-28T00:00:00Z,US,Manhattan,co,39,1.1,5.8,2.3,17.09
2018-03-02T00:00:00Z,US,Manhattan,co,26,1.7,3.0,2.3,1.04
2018-04-08T00:00:00Z,US,Manhattan,co,35,1.7,4.5,2.3,4.21
2018-01-22T00:00:00Z,US,Manhattan,co,46,0.1,10.0,0.1,116.00
2018-02-02T00:00:00Z,US,Manhattan,co,39,1.2,7.8,2.4,15.90
2018-02-10T00:00:00Z,US,Manhattan,co,47,3.4,16.0,6.7,106.07
2018-02-19T00:00:00Z,US,Manhattan,co,45,3.4,10.0,5.6,24.71
2018-02-22T00:00:00Z,US,Manhattan,co,30,2.3,6.0,5.0,11.51
2018-06-30T00:00:00Z,US,Manhattan,co,37,1.5,5.4,2.3,8.69
2018-01-14T00:00:00Z,US,Manhattan,co,24,0.1,0.1,0.1,0.00
2018-01-27T00:00:00Z,US,Manhattan,co,44,0.1,54.0,0.1,1073.65
2018-02-16T00:00:00Z,US,Manhattan,co,40,2.2,7.8,3.4,17.16
2018-03-14T00:00:00Z,US,Manhattan,co,28,1.5,3.4,1.9,1.34
2018-04-07T00:00:00Z,US,Manhattan,co,47,1.9,4.5,2.3,3.54
2018-01-15T00:00:00Z,US,Manhattan,co,33,0.1,10.0,0.1,100.95
2018-02-07T00:00:00Z,US,Manhattan,co,43,2.1,12.1,4.3,35.59
2018-04-19T00:00:00Z,US,Manhattan,co,33,1.7,4.6,2.3,5.08
2018-05-14T00:00:00Z,US,Manhattan,co,33,2.3,5.1,2.7,6.38
2018-06-12T00:00:00Z,US,Manhattan,co,30,1.2,2.4,1.6,1.34
2018-03-16T00:00:00Z,US,Manhattan,co,38,1.8,4.5,2.3,2.85
2018-03-19T00:00:00Z,US,Manhattan,co,40,1.8,6.0,3.2,11.40
2018-04-11T00:00:00Z,US,Manhattan,co,46,2.3,9.1,3.2,19.47
2018-01-10T00:00:00Z,US,Manhattan,co,23,5.6,12.3,7.8,30.93
2018-01-21T00:00:00Z,US,Manhattan,co,44,0.1,7.8,0.1,66.41
2018-02-03T00:00:00Z,US,Manhattan,co,33,1.8,3.4,2.7,2.06
2018-02-11T00:00:00Z,US,Manhattan,co,48,3.4,14.6,9.5,74.78
2018-02-26T00:00:00Z,US,Manhattan,co,44,2.1,8.9,3.7,26.56
