Date,Country,City,Specie,count,min,max,median,variance
2018-01-21T00:00:00Z,US,Queens,no2,48,13.7,44.9,28.6,1058.19
2018-01-24T00:00:00Z,US,Queens,no2,47,5.2,22.9,11.9,148.02
2018-02-04T00:00:00Z,US,Queens,no2,48,8.2,42.6,14.6,964.55
2018-03-01T00:00:00Z,US,Queens,no2,48,8.9,54.1,21.6,1634.93
2018-03-12T00:00:00Z,US,Queens,no2,48,5.6,35.7,12.4,557.89
2018-02-07T00:00:00Z,US,Queens,no2,45,8.5,41.5,27.0,522.22
2018-02-15T00:00:00Z,US,Queens,no2,48,15.1,30.4,22.3,162.28
2018-06-06T00:00:00Z,US,Queens,no2,63,3.8,17.6,10.7,127.13
2018-06-18T00:00:00Z,US,Queens,no2,96,3.0,17.9,8.7,153.82
2018-06-22T00:00:00Z,US,Queens,no2,96,2.9,19.0,8.5,210.71
2018-02-02T00:00:00Z,US,Queens,no2,112,5.1,36.2,11.8,616.89
2018-02-27T00:00:00Z,US,Queens,no2,43,9.7,40.0,25.1,874.59
2018-02-28T00:00:00Z,US,Queens,no2,48,10.2,50.9,20.3,1406.87
2018-03-19T00:00:00Z,US,Queens,no2,48,7.3,46.2,22.0,1381.78
2018-05-02T00:00:00Z,US,Queens,no2,48,3.7,35.4,11.1,806.92
2018-05-17T00:00:00Z,US,Queens,no2,48,4.0,41.4,21.2,1413.49
2018-02-19T00:00:00Z,US,Queens,no2,48,5.7,44.1,24.5,1413.38
2018-03-06T00:00:00Z,US,Queens,no2,46,5.5,41.2,10.9,996.00
2018-04-29T00:00:00Z,US,Queens,no2,48,2.6,18.0,7.1,183.41
2018-05-31T00:00:00Z,US,Queens,no2,96,5.4,24.0,10.3,181.40
2018-01-15T00:00:00Z,US,Queens,no2,48,7.6,26.9,14.9,323.78
2018-03-21T00:00:00Z,US,Queens,no2,48,5.9,15.4,10.0,80.71
2018-04-03T00:00:00Z,US,Queens,no2,45,6.4,39.4,19.3,1000.93
2018-04-23T00:00:00Z,US,Queens,no2,44,4.9,47.6,20.2,1551.06
2018-05-19T00:00:00Z,US,Queens,no2,48,3.1,17.2,10.0,152.72
2018-01-26T00:00:00Z,US,Queens,no2,43,17.1,43.8,26.5,573.13
2018-02-01T00:00:00Z,US,Queens,no2,120,9.7,65.3,28.5,989.48
2018-02-14T00:00:00Z,US,Queens,no2,48,15.1,41.8,27.6,569.43
2018-05-20T00:00:00Z,US,Queens,no2,48,2.3,20.4,9.5,249.96
2018-06-19T00:00:00Z,US,Queens,no2,85,3.5,22.5,13.8,270.84
2018-02-05T00:00:00Z,US,Queens,no2,48,6.9,35.2,17.6,517.21
2018-03-15T00:00:00Z,US,Queens,no2,48,6.4,23.0,11.8,163.78
2018-05-04T00:00:00Z,US,Queens,no2,65,5.9,59.3,14.3,1431.67
2018-05-05T00:00:00Z,US,Queens,no2,96,4.0,23.7,7.8,192.05
2018-06-11T00:00:00Z,US,Queens,no2,48,3.6,31.3,8.6,556.81
2018-04-17T00:00:00Z,US,Queens,no2,48,5.7,17.9,9.8,84.70
2018-05-09T00:00:00Z,US,Queens,no2,84,5.7,38.7,10.5,1056.23
2018-05-10T00:00:00Z,US,Queens,no2,63,4.6,32.6,8.7,493.24
2018-05-12T00:00:00Z,US,Queens,no2,48,3.6,19.6,9.5,139.96
2018-06-25T00:00:00Z,US,Queens,no2,92,4.2,21.1,11.0,202.13
2018-05-08T00:00:00Z,US,Queens,no2,96,4.6,35.5,11.0,835.30
2018-06-02T00:00:00Z,US,Queens,no2,96,2.6,33.8,5.9,1260.36
2018-02-17T00:00:00Z,US,Queens,no2,48,3.6,32.7,12.4,848.70
2018-03-10T00:00:00Z,US,Queens,no2,48,4.9,19.1,10.1,146.83
2018-03-25T00:00:00Z,US,Queens,no2,46,2.8,21.4,9.1,216.77
2018-03-26T00:00:00Z,US,Queens,no2,44,3.9,41.7,14.0,1095.87
2018-04-10T00:00:00Z,US,Queens,no2,37,6.2,36.8,16.6,577.33
2018-04-26T00:00:00Z,US,Queens,no2,48,4.2,38.2,12.3,778.82
2018-06-24T00:00:00Z,US,Queens,no2,96,3.7,17.3,7.6,136.37
2018-06-30T00:00:00Z,US,Queens,no2,96,2.6,37.1,12.8,1117.00
2018-02-22T00:00:00Z,US,Queens,no2,44,3.2,19.9,9.3,227.68
2018-05-22T00:00:00Z,US,Queens,no2,89,7.5,30.6,20.4,510.15
2018-06-01T00:00:00Z,US,Queens,no2,90,7.4,29.8,16.3,399.49
2018-01-20T00:00:00Z,US,Queens,no2,48,7.5,44.0,22.5,1221.63
2018-01-30T00:00:00Z,US,Queens,no2,120,0.1,31.3,12.8,313.36
2018-02-08T00:00:00Z,US,Queens,no2,45,6.7,32.5,16.7,401.01
2018-02-23T00:00:00Z,US,Queens,no2,48,6.8,24.9,16.5,342.00
2018-03-13T00:00:00Z,US,Queens,no2,48,5.3,27.6,13.0,301.50
2018-05-11T00:00:00Z,US,Queens,no2,44,5.2,38.2,15.7,967.83
2018-02-21T00:00:00Z,US,Queens,no2,48,6.5,40.5,16.2,817.77
2018-03-05T00:00:00Z,US,Queens,no2,38,6.5,23.9,13.3,189.29
2018-03-07T00:00:00Z,US,Queens,no2,45,5.4,28.9,12.6,214.27
2018-04-21T00:00:00Z,US,Queens,no2,48,2.7,29.8,13.5,458.47
2018-06-04T00:00:00Z,US,Queens,no2,81,2.7,27.2,8.9,422.91
2018-06-16T00:00:00Z,US,Queens,no2,48,2.4,36.2,12.7,553.05
2018-01-25T00:00:00Z,US,Queens,no2,44,7.4,27.6,14.8,319.09
2018-04-02T00:00:00Z,US,Queens,no2,48,4.8,38.0,15.8,992.52
2018-04-27T00:00:00Z,US,Queens,no2,41,6.1,38.8,21.7,747.80
2018-04-28T00:00:00Z,US,Queens,no2,48,4.1,36.2,10.6,1308.88
2018-02-18T00:00:00Z,US,Queens,no2,48,4.1,41.2,17.5,1703.02
2018-03-14T00:00:00Z,US,Queens,no2,36,7.1,21.3,12.1,109.57
2018-04-04T00:00:00Z,US,Queens,no2,48,5.4,37.1,12.2,801.70
2018-05-18T00:00:00Z,US,Queens,no2,48,5.5,32.3,12.4,737.48
2018-06-08T00:00:00Z,US,Queens,no2,60,5.3,37.2,10.5,679.74
2018-01-13T00:00:00Z,US,Queens,no2,6,7.8,9.0,8.3,1.67
2018-01-16T00:00:00Z,US,Queens,no2,44,13.7,39.4,29.5,403.21
2018-02-20T00:00:00Z,US,Queens,no2,48,8.1,42.7,20.8,989.38
2018-04-20T00:00:00Z,US,Queens,no2,43,4.2,23.5,10.2,204.24
2018-05-07T00:00:00Z,US,Queens,no2,96,3.7,33.3,14.5,615.15
2018-06-17T00:00:00Z,US,Queens,no2,82,3.5,29.0,11.3,611.37
2018-02-16T00:00:00Z,US,Queens,no2,38,8.2,33.2,15.3,549.37
2018-03-03T00:00:00Z,US,Queens,no2,48,4.2,9.5,6.4,18.21
2018-04-12T00:00:00Z,US,Queens,no2,48,7.0,49.3,15.3,1406.53
2018-05-28T00:00:00Z,US,Queens,no2,96,2.3,14.8,7.1,141.78
2018-05-30T00:00:00Z,US,Queens,no2,96,2.9,25.7,7.4,262.48
2018-06-23T00:00:00Z,US,Queens,no2,96,3.1,12.6,9.1,79.23
2018-01-14T00:00:00Z,US,Queens,no2,48,6.6,14.5,10.3,45.15
2018-01-27T00:00:00Z,US,Queens,no2,47,7.0,33.6,19.9,416.76
2018-02-11T00:00:00Z,US,Queens,no2,48,8.7,38.3,28.4,937.97
2018-03-30T00:00:00Z,US,Queens,no2,48,6.0,36.7,16.7,709.87
2018-04-18T00:00:00Z,US,Queens,no2,48,5.5,28.6,9.3,294.45
2018-05-16T00:00:00Z,US,Queens,no2,45,5.1,27.6,10.7,456.28
2018-06-28T00:00:00Z,US,Queens,no2,45,2.5,36.0,6.7,1096.55
2018-03-16T00:00:00Z,US,Queens,no2,41,5.1,29.5,12.4,311.37
2018-04-09T00:00:00Z,US,Queens,no2,47,6.3,30.0,12.7,297.30
2018-05-21T00:00:00Z,US,Queens,no2,44,3.7,25.7,11.0,521.17
2018-06-13T00:00:00Z,US,Queens,no2,45,3.9,25.9,9.3,282.72
2018-05-14T00:00:00Z,US,Queens,no2,32,4.8,23.7,9.9,388.98
2018-06-21T00:00:00Z,US,Queens,no2,78,4.6,33.8,16.3,738.59
2018-01-29T00:00:00Z,US,Queens,no2,111,5.9,31.0,13.9,232.50
2018-02-03T00:00:00Z,US,Queens,no2,52,0.1,27.8,12.6,288.74
2018-03-11T00:00:00Z,US,Queens,no2,48,4.8,24.3,9.1,228.19
2018-03-27T00:00:00Z,US,Queens,no2,48,8.8,49.3,21.2,1378.82
2018-04-19T00:00:00Z,US,Queens,no2,48,7.0,31.0,15.4,435.93
2018-04-24T00:00:00Z,US,Queens,no2,48,2.5,42.4,7.0,1922.34
2018-02-13T00:00:00Z,US,Queens,no2,48,5.8,42.4,13.4,567.26
2018-03-08T00:00:00Z,US,Queens,no2,48,8.8,34.0,16.4,314.54
2018-04-01T00:00:00Z,US,Queens,no2,48,5.0,20.9,10.9,144.59
2018-04-15T00:00:00Z,US,Queens,no2,5,3.3,5.9,5.0,10.60
2018-01-19T00:00:00Z,US,Queens,no2,48,18.0,46.2,32.5,605.60
2018-01-28T00:00:00Z,US,Queens,no2,108,0.1,33.6,18.7,431.73
2018-02-24T00:00:00Z,US,Queens,no2,48,7.5,24.1,18.0,173.95
