Date,Country,City,Specie,count,min,max,median,variance
2018-05-13T00:00:00Z,US,Staten Island,no2,42,3.8,18.6,9.3,177.16
2018-02-05T00:00:00Z,US,Staten Island,no2,48,2.8,38.0,15.8,784.20
2018-02-13T00:00:00Z,US,Staten Island,no2,48,5.6,34.3,17.6,804.30
2018-03-07T00:00:00Z,US,Staten Island,no2,48,6.5,30.6,12.1,513.42
2018-03-14T00:00:00Z,US,Staten Island,no2,41,3.8,21.3,9.3,243.91
2018-03-21T00:00:00Z,US,Staten Island,no2,47,5.6,24.1,10.2,254.38
2018-04-25T00:00:00Z,US,Staten Island,no2,24,9.3,43.6,29.7,955.53
2018-04-29T00:00:00Z,US,Staten Island,no2,32,1.9,13.0,4.7,70.44
2018-05-25T00:00:00Z,US,Staten Island,no2,72,0.1,35.2,13.9,582.68
2018-06-28T00:00:00Z,US,Staten Island,no2,72,1.9,40.8,14.9,810.03
2018-02-18T00:00:00Z,US,Staten Island,no2,42,1.9,47.3,7.5,2502.08
2018-02-26T00:00:00Z,US,Staten Island,no2,44,4.7,42.6,13.9,1026.39
2018-02-19T00:00:00Z,US,Staten Island,no2,48,13.0,42.6,32.5,562.69
2018-02-28T00:00:00Z,US,Staten Island,no2,48,10.2,44.5,22.3,833.98
2018-03-24T00:00:00Z,US,Staten Island,no2,43,1.0,16.7,5.6,135.03
2018-04-15T00:00:00Z,US,Staten Island,no2,42,2.8,13.9,6.5,61.87
2018-04-19T00:00:00Z,US,Staten Island,no2,48,3.8,38.9,11.2,900.62
2018-05-23T00:00:00Z,US,Staten Island,no2,71,2.8,23.2,11.2,375.72
2018-06-29T00:00:00Z,US,Staten Island,no2,72,1.0,24.1,10.2,426.89
2018-02-22T00:00:00Z,US,Staten Island,no2,48,1.9,33.4,13.0,908.22
2018-03-05T00:00:00Z,US,Staten Island,no2,36,0.1,17.6,8.4,184.63
2018-01-05T00:00:00Z,US,Staten Island,no2,40,3.8,13.0,6.5,48.08
2018-02-24T00:00:00Z,US,Staten Island,no2,48,5.6,25.1,12.1,239.67
