Date,Country,City,Specie,count,min,max,median,variance
2019-01-25T00:00:00Z,AU,Sydney,co,21,3.4,4.5,3.4,2.59
2019-02-19T00:00:00Z,AU,Sydney,co,27,1.2,3.4,1.2,8.38
2019-02-24T00:00:00Z,AU,Sydney,co,9,1.2,1.2,1.2,0.00
2019-03-03T00:00:00Z,AU,Sydney,co,33,1.2,2.3,1.2,2.89
2019-01-03T00:00:00Z,AU,Sydney,co,9,1.2,3.4,3.4,12.10
2019-01-04T00:00:00Z,AU,Sydney,co,55,1.2,3.4,2.3,7.06
2019-01-09T00:00:00Z,AU,Sydney,co,28,1.2,3.4,2.3,7.11
2019-01-16T00:00:00Z,AU,Sydney,co,43,1.2,4.5,3.4,10.52
2019-03-20T00:00:00Z,AU,Sydney,co,68,1.2,4.5,3.4,9.25
2019-03-11T00:00:00Z,AU,Sydney,co,34,1.2,4.5,3.4,9.19
2019-03-18T00:00:00Z,AU,Sydney,co,41,1.2,4.5,2.3,8.41
2019-01-06T00:00:00Z,AU,Sydney,co,9,1.2,2.3,1.2,3.03
2019-02-02T00:00:00Z,AU,Sydney,co,41,1.2,4.5,3.4,10.31
2019-02-04T00:00:00Z,AU,Sydney,co,36,1.2,3.4,3.4,5.19
2019-03-04T00:00:00Z,AU,Sydney,co,40,1.2,3.4,2.3,5.09
2019-03-23T00:00:00Z,AU,Sydney,co,24,1.2,3.4,3.4,6.12
2019-03-24T00:00:00Z,AU,Sydney,co,27,1.2,4.5,3.4,14.27
2019-01-13T00:00:00Z,AU,Sydney,co,15,1.2,2.3,2.3,3.11
2019-01-14T00:00:00Z,AU,Sydney,co,27,1.2,3.4,2.3,4.96
2019-01-23T00:00:00Z,AU,Sydney,co,68,1.2,4.5,3.4,9.12
2019-03-09T00:00:00Z,AU,Sydney,co,23,1.2,4.5,3.4,16.21
2019-03-15T00:00:00Z,AU,Sydney,co,39,1.2,3.4,2.3,7.35
2019-03-16T00:00:00Z,AU,Sydney,co,61,1.2,3.4,2.3,4.96
2019-03-22T00:00:00Z,AU,Sydney,co,64,1.2,4.5,3.4,8.44
