Date,Country,City,Specie,count,min,max,median,variance
2019-04-13T00:00:00Z,US,The Bronx,dew,24,12.0,15.0,13.0,8.53
2019-05-10T00:00:00Z,US,The Bronx,dew,22,8.0,18.0,14.0,79.27
2019-06-02T00:00:00Z,US,The Bronx,dew,28,11.0,17.0,14.0,42.80
2019-04-04T00:00:00Z,US,The Bronx,dew,42,-14.0,-7.0,-8.0,30.38
2019-04-09T00:00:00Z,US,The Bronx,dew,34,5.0,7.0,6.0,2.85
2019-05-15T00:00:00Z,US,The Bronx,dew,2,7.0,7.0,7.0,0.00
2019-05-24T00:00:00Z,US,The Bronx,dew,16,9.0,18.0,10.0,122.50
2019-05-27T00:00:00Z,US,The Bronx,dew,48,7.0,16.0,10.0,49.34
2019-04-17T00:00:00Z,US,The Bronx,dew,22,-6.0,4.0,-1.0,104.52
2019-04-18T00:00:00Z,US,The Bronx,dew,23,0.0,13.0,8.0,172.02
2019-04-22T00:00:00Z,US,The Bronx,dew,15,7.0,12.0,9.0,33.52
2019-05-12T00:00:00Z,US,The Bronx,dew,24,4.0,11.0,6.5,29.23
2019-06-07T00:00:00Z,US,The Bronx,dew,42,13.0,16.0,15.0,12.15
2019-04-19T00:00:00Z,US,The Bronx,dew,20,11.0,15.6,13.0,23.61
2019-04-26T00:00:00Z,US,The Bronx,dew,23,7.0,13.3,9.2,30.90
2019-05-11T00:00:00Z,US,The Bronx,dew,22,3.0,14.0,6.0,123.14
2019-06-03T00:00:00Z,US,The Bronx,dew,6,7.0,9.0,9.0,10.67
2019-06-14T00:00:00Z,US,The Bronx,dew,40,4.0,15.0,8.0,132.38
2019-06-16T00:00:00Z,US,The Bronx,dew,40,12.0,19.0,16.0,33.72
2019-06-30T00:00:00Z,US,The Bronx,dew,19,10.0,19.0,13.0,80.00
2019-04-21T00:00:00Z,US,The Bronx,dew,18,3.0,12.0,9.0,55.59
2019-04-24T00:00:00Z,US,The Bronx,dew,21,2.0,12.0,4.0,124.57
2019-06-06T00:00:00Z,US,The Bronx,dew,20,14.0,20.0,16.0,39.24
2019-06-17T00:00:00Z,US,The Bronx,dew,34,15.0,18.0,17.0,7.42
2019-06-19T00:00:00Z,US,The Bronx,dew,12,18.0,19.0,18.0,2.24
2019-06-26T00:00:00Z,US,The Bronx,dew,44,11.0,21.0,16.0,108.41
2019-06-21T00:00:00Z,US,The Bronx,dew,44,8.0,19.3,14.0,167.28
2019-04-03T00:00:00Z,US,The Bronx,dew,46,-12.0,3.0,-4.0,236.11
2019-04-05T00:00:00Z,US,The Bronx,dew,48,-14.0,2.5,-4.0,357.38
2019-04-06T00:00:00Z,US,The Bronx,dew,26,2.5,6.0,4.0,13.66
2019-04-27T00:00:00Z,US,The Bronx,dew,2,7.5,8.6,7.5,6.05
2019-05-05T00:00:00Z,US,The Bronx,dew,3,11.7,12.6,12.0,2.10
2019-05-13T00:00:00Z,US,The Bronx,dew,17,4.0,7.0,6.0,8.57
2019-06-01T00:00:00Z,US,The Bronx,dew,42,10.0,16.0,13.0,33.08
2019-06-24T00:00:00Z,US,The Bronx,dew,46,9.0,19.0,12.0,88.89
2019-04-15T00:00:00Z,US,The Bronx,dew,22,-3.0,14.0,5.0,459.55
2019-04-20T00:00:00Z,US,The Bronx,dew,24,8.0,16.0,14.0,72.42
2019-05-02T00:00:00Z,US,The Bronx,dew,21,8.0,13.0,11.0,25.68
