Date,Country,City,Specie,count,min,max,median,variance
2019-04-08T00:00:00Z,US,Los Angeles,pm10,48,15.0,46.0,28.0,724.68
2019-05-04T00:00:00Z,US,Los Angeles,pm10,48,18.0,47.0,31.0,725.39
2019-05-07T00:00:00Z,US,Los Angeles,pm10,47,1.0,33.0,10.0,494.78
2019-05-24T00:00:00Z,US,Los Angeles,pm10,47,5.0,37.0,21.0,538.63
2019-06-01T00:00:00Z,US,Los Angeles,pm10,48,4.0,30.0,14.0,427.66
2019-06-13T00:00:00Z,US,Los Angeles,pm10,72,11.0,55.0,20.0,1397.45
2019-06-21T00:00:00Z,US,Los Angeles,pm10,43,1.0,13.0,7.0,123.61
2019-06-24T00:00:00Z,US,Los Angeles,pm10,48,4.0,33.0,20.0,453.83
2019-05-17T00:00:00Z,US,Los Angeles,pm10,68,8.0,45.0,21.0,512.51
2019-05-19T00:00:00Z,US,Los Angeles,pm10,46,1.0,23.0,10.0,333.51
2019-05-20T00:00:00Z,US,Los Angeles,pm10,48,6.0,30.0,12.0,226.38
2019-06-08T00:00:00Z,US,Los Angeles,pm10,72,5.0,33.0,13.0,599.90
2019-06-09T00:00:00Z,US,Los Angeles,pm10,72,13.0,41.0,29.0,490.14
2019-06-15T00:00:00Z,US,Los Angeles,pm10,68,5.0,30.0,16.0,501.87
2019-05-13T00:00:00Z,US,Los Angeles,pm10,71,10.0,30.0,17.0,364.06
2019-05-16T00:00:00Z,US,Los Angeles,pm10,68,2.0,32.0,12.0,622.32
2019-05-29T00:00:00Z,US,Los Angeles,pm10,45,12.0,34.0,24.0,338.71
2019-06-18T00:00:00Z,US,Los Angeles,pm10,46,7.0,30.0,16.0,568.66
2019-06-27T00:00:00Z,US,Los Angeles,pm10,48,8.0,54.0,19.0,1015.53
2019-06-28T00:00:00Z,US,Los Angeles,pm10,48,8.0,46.0,25.0,692.02
2019-04-03T00:00:00Z,US,Los Angeles,pm10,46,2.0,21.0,9.0,122.88
2019-04-06T00:00:00Z,US,Los Angeles,pm10,48,1.0,24.0,10.0,277.59
2019-04-22T00:00:00Z,US,Los Angeles,pm10,48,9.0,45.0,25.0,841.77
2019-05-22T00:00:00Z,US,Los Angeles,pm10,48,5.0,47.0,18.0,821.06
2019-06-04T00:00:00Z,US,Los Angeles,pm10,48,6.0,47.0,18.0,1233.15
2019-06-26T00:00:00Z,US,Los Angeles,pm10,48,4.0,29.0,15.0,456.59
2019-04-05T00:00:00Z,US,Los Angeles,pm10,46,1.0,18.0,8.0,161.99
2019-04-17T00:00:00Z,US,Los Angeles,pm10,47,6.0,56.0,24.0,882.27
2019-05-03T00:00:00Z,US,Los Angeles,pm10,44,16.0,50.0,31.0,541.63
2019-05-14T00:00:00Z,US,Los Angeles,pm10,72,6.0,51.0,20.0,1149.58
2019-05-30T00:00:00Z,US,Los Angeles,pm10,48,12.0,52.0,28.0,1183.39
2019-06-22T00:00:00Z,US,Los Angeles,pm10,48,2.0,22.0,12.0,418.51
2019-06-19T00:00:00Z,US,Los Angeles,pm10,48,3.0,40.0,16.0,702.65
2019-04-18T00:00:00Z,US,Los Angeles,pm10,46,14.0,55.0,33.0,834.52
2019-04-19T00:00:00Z,US,Los Angeles,pm10,48,9.0,60.0,26.0,1670.90
2019-04-26T00:00:00Z,US,Los Angeles,pm10,48,10.0,54.0,19.0,2000.92
2019-04-29T00:00:00Z,US,Los Angeles,pm10,48,4.0,20.0,12.0,270.90
2019-05-02T00:00:00Z,US,Los Angeles,pm10,47,13.0,51.0,27.0,790.05
2019-05-26T00:00:00Z,US,Los Angeles,pm10,48,3.0,23.0,14.0,308.83
2019-04-15T00:00:00Z,US,Los Angeles,pm10,56,6.0,48.0,23.0,977.11
2019-05-12T00:00:00Z,US,Los Angeles,pm10,70,8.0,32.0,15.0,348.40
2019-06-29T00:00:00Z,US,Los Angeles,pm10,48,12.0,43.0,26.0,360.69
2019-05-10T00:00:00Z,US,Los Angeles,pm10,65,1.0,30.0,6.0,416.55
2019-05-15T00:00:00Z,US,Los Angeles,pm10,72,7.0,39.0,17.0,667.70
2019-05-23T00:00:00Z,US,Los Angeles,pm10,47,8.0,62.0,20.0,2079.02
2019-06-05T00:00:00Z,US,Los Angeles,pm10,48,6.0,50.0,18.0,1488.51
2019-06-06T00:00:00Z,US,Los Angeles,pm10,61,2.0,38.0,16.0,988.27
2019-06-11T00:00:00Z,US,Los Angeles,pm10,69,11.0,51.0,26.0,1076.42
2019-06-25T00:00:00Z,US,Los Angeles,pm10,48,6.0,28.0,16.0,439.93
2019-04-04T00:00:00Z,US,Los Angeles,pm10,48,1.0,30.0,8.0,318.68
2019-04-16T00:00:00Z,US,Los Angeles,pm10,47,5.0,56.0,19.0,1265.02
2019-04-23T00:00:00Z,US,Los Angeles,pm10,48,16.0,60.0,32.0,997.34
2019-04-25T00:00:00Z,US,Los Angeles,pm10,48,9.0,59.0,28.0,2157.29
2019-05-05T00:00:00Z,US,Los Angeles,pm10,48,9.0,40.0,22.0,671.24
2019-05-21T00:00:00Z,US,Los Angeles,pm10,48,7.0,35.0,25.0,474.11
2019-04-09T00:00:00Z,US,Los Angeles,pm10,52,20.0,91.0,52.0,3896.66
2019-04-30T00:00:00Z,US,Los Angeles,pm10,47,4.0,20.0,14.0,162.59
2019-05-11T00:00:00Z,US,Los Angeles,pm10,71,3.0,28.0,10.0,280.33
2019-05-28T00:00:00Z,US,Los Angeles,pm10,48,4.0,35.0,18.0,625.95
2019-06-07T00:00:00Z,US,Los Angeles,pm10,72,2.0,29.0,10.0,566.38
2019-04-10T00:00:00Z,US,Los Angeles,pm10,67,6.0,55.0,19.0,993.33
2019-05-06T00:00:00Z,US,Los Angeles,pm10,44,3.0,21.0,12.0,142.96
2019-06-14T00:00:00Z,US,Los Angeles,pm10,72,7.0,36.0,18.0,678.01
2019-06-23T00:00:00Z,US,Los Angeles,pm10,48,10.0,31.0,20.0,237.87
2019-06-30T00:00:00Z,US,Los Angeles,pm10,48,12.0,38.0,27.0,282.87
