Date,Country,City,Specie,count,min,max,median,variance
2019-04-21T00:00:00Z,US,Staten Island,temperature,75,0.0,19.0,14.1,128.73
2019-05-01T00:00:00Z,US,Staten Island,temperature,78,0.0,13.3,11.5,103.18
2019-05-21T00:00:00Z,US,Staten Island,temperature,74,0.0,23.2,17.5,163.76
2019-05-22T00:00:00Z,US,Staten Island,temperature,76,0.0,25.0,19.0,370.64
2019-06-15T00:00:00Z,US,Staten Island,temperature,77,0.0,29.3,23.8,540.45
2019-04-05T00:00:00Z,US,Staten Island,temperature,75,0.0,7.0,4.4,14.11
2019-04-06T00:00:00Z,US,Staten Island,temperature,73,0.0,20.1,12.3,368.35
2019-04-13T00:00:00Z,US,Staten Island,temperature,75,0.0,26.0,19.3,260.36
2019-05-15T00:00:00Z,US,Staten Island,temperature,78,0.0,22.0,15.4,425.16
2019-05-16T00:00:00Z,US,Staten Island,temperature,78,0.0,23.6,16.6,366.61
2019-06-11T00:00:00Z,US,Staten Island,temperature,74,0.0,25.8,21.0,178.76
2019-06-28T00:00:00Z,US,Staten Island,temperature,72,21.9,33.0,28.1,134.35
2019-04-09T00:00:00Z,US,Staten Island,temperature,74,0.0,11.8,9.0,32.55
2019-04-25T00:00:00Z,US,Staten Island,temperature,75,0.0,17.6,10.8,114.80
2019-04-30T00:00:00Z,US,Staten Island,temperature,80,0.0,18.0,12.0,220.37
2019-05-27T00:00:00Z,US,Staten Island,temperature,76,0.0,28.6,22.3,368.79
2019-05-30T00:00:00Z,US,Staten Island,temperature,81,0.0,20.8,16.8,311.24
2019-06-02T00:00:00Z,US,Staten Island,temperature,75,0.0,29.7,21.6,333.67
2019-04-16T00:00:00Z,US,Staten Island,temperature,74,0.0,18.1,12.3,215.70
2019-04-24T00:00:00Z,US,Staten Island,temperature,76,0.0,22.2,18.0,206.68
2019-05-09T00:00:00Z,US,Staten Island,temperature,78,0.0,15.5,13.0,132.25
2019-04-27T00:00:00Z,US,Staten Island,temperature,74,0.0,16.3,12.0,80.28
2019-04-03T00:00:00Z,US,Staten Island,temperature,76,0.0,19.1,10.8,337.17
2019-04-04T00:00:00Z,US,Staten Island,temperature,74,0.0,16.4,9.3,134.51
2019-04-11T00:00:00Z,US,Staten Island,temperature,74,0.0,12.6,7.5,76.17
2019-05-20T00:00:00Z,US,Staten Island,temperature,77,0.0,31.0,25.0,543.62
2019-04-01T00:00:00Z,US,Staten Island,temperature,74,-0.4,8.3,3.0,76.79
2019-04-29T00:00:00Z,US,Staten Island,temperature,71,0.0,15.0,9.6,215.35
2019-05-05T00:00:00Z,US,Staten Island,temperature,75,0.0,14.0,12.6,73.81
2019-06-17T00:00:00Z,US,Staten Island,temperature,77,0.0,25.0,22.7,331.85
2019-04-15T00:00:00Z,US,Staten Island,temperature,75,0.0,21.3,13.6,235.29
2019-05-06T00:00:00Z,US,Staten Island,temperature,82,0.0,22.3,15.0,370.71
2019-05-24T00:00:00Z,US,Staten Island,temperature,78,0.0,24.6,20.3,360.35
2019-05-29T00:00:00Z,US,Staten Island,temperature,75,0.0,22.3,19.0,196.94
2019-06-01T00:00:00Z,US,Staten Island,temperature,77,0.0,28.1,20.6,360.70
2019-06-06T00:00:00Z,US,Staten Island,temperature,75,0.0,29.7,24.5,322.43
2019-06-21T00:00:00Z,US,Staten Island,temperature,73,0.0,26.1,21.1,227.90
2019-04-02T00:00:00Z,US,Staten Island,temperature,80,-1.2,9.5,5.7,129.63
2019-04-12T00:00:00Z,US,Staten Island,temperature,76,0.0,20.1,14.3,281.23
2019-04-19T00:00:00Z,US,Staten Island,temperature,78,0.0,26.3,21.1,408.31
2019-06-23T00:00:00Z,US,Staten Island,temperature,80,0.0,30.1,24.0,708.62
2019-06-26T00:00:00Z,US,Staten Island,temperature,75,0.0,32.9,27.3,405.79
2019-05-07T00:00:00Z,US,Staten Island,temperature,72,11.8,24.2,16.6,178.01
2019-06-05T00:00:00Z,US,Staten Island,temperature,75,0.0,29.5,23.4,364.85
2019-06-22T00:00:00Z,US,Staten Island,temperature,77,0.0,27.9,22.1,438.67
2019-04-07T00:00:00Z,US,Staten Island,temperature,73,0.0,17.9,14.8,136.57
2019-05-13T00:00:00Z,US,Staten Island,temperature,81,0.0,10.0,7.7,70.42
2019-06-07T00:00:00Z,US,Staten Island,temperature,75,0.0,28.3,21.5,275.45
2019-05-11T00:00:00Z,US,Staten Island,temperature,74,0.0,21.9,16.6,141.70
2019-05-28T00:00:00Z,US,Staten Island,temperature,73,0.0,23.6,19.6,75.37
2019-05-31T00:00:00Z,US,Staten Island,temperature,76,0.0,27.7,22.2,369.12
2019-06-03T00:00:00Z,US,Staten Island,temperature,78,0.0,22.2,17.0,305.49
2019-06-12T00:00:00Z,US,Staten Island,temperature,75,0.0,24.7,19.2,246.28
2019-04-10T00:00:00Z,US,Staten Island,temperature,73,0.0,15.4,10.3,90.80
2019-04-26T00:00:00Z,US,Staten Island,temperature,76,0.0,16.4,12.7,106.51
2019-05-02T00:00:00Z,US,Staten Island,temperature,76,0.0,25.9,12.5,344.47
2019-06-14T00:00:00Z,US,Staten Island,temperature,76,0.0,24.0,19.3,271.01
2019-05-10T00:00:00Z,US,Staten Island,temperature,74,0.0,25.6,20.2,279.16
2019-06-10T00:00:00Z,US,Staten Island,temperature,75,0.0,21.1,18.0,158.79
2019-04-08T00:00:00Z,US,Staten Island,temperature,73,0.0,26.0,18.0,349.09
2019-04-23T00:00:00Z,US,Staten Island,temperature,75,0.0,25.0,19.3,273.52
2019-04-28T00:00:00Z,US,Staten Island,temperature,75,0.0,14.0,9.7,57.43
2019-06-25T00:00:00Z,US,Staten Island,temperature,78,0.0,30.7,24.6,551.08
2019-06-27T00:00:00Z,US,Staten Island,temperature,72,21.8,33.3,28.4,134.92
2019-05-03T00:00:00Z,US,Staten Island,temperature,75,0.0,14.7,12.0,74.51
2019-05-14T00:00:00Z,US,Staten Island,temperature,79,0.0,11.8,8.0,80.77
2019-06-18T00:00:00Z,US,Staten Island,temperature,77,0.0,24.0,21.1,291.45
2019-05-25T00:00:00Z,US,Staten Island,temperature,75,0.0,22.5,17.2,185.40
2019-05-26T00:00:00Z,US,Staten Island,temperature,79,0.0,31.9,21.6,658.92
2019-06-08T00:00:00Z,US,Staten Island,temperature,73,0.0,28.1,20.6,189.15
2019-06-09T00:00:00Z,US,Staten Island,temperature,74,0.0,25.9,19.4,207.08
2019-06-24T00:00:00Z,US,Staten Island,temperature,74,0.0,30.9,25.7,327.99
2019-04-22T00:00:00Z,US,Staten Island,temperature,75,0.0,17.6,15.5,123.59
2019-05-04T00:00:00Z,US,Staten Island,temperature,72,11.8,22.0,14.2,92.29
2019-05-19T00:00:00Z,US,Staten Island,temperature,79,0.0,28.9,21.6,560.03
2019-06-29T00:00:00Z,US,Staten Island,temperature,72,21.6,34.7,24.1,166.77
2019-05-18T00:00:00Z,US,Staten Island,temperature,77,0.0,25.9,18.0,356.73
2019-06-04T00:00:00Z,US,Staten Island,temperature,76,0.0,23.1,18.3,319.21
2019-06-16T00:00:00Z,US,Staten Island,temperature,75,0.0,28.0,23.3,279.89
2019-04-17T00:00:00Z,US,Staten Island,temperature,77,0.0,16.5,11.1,130.99
2019-04-20T00:00:00Z,US,Staten Island,temperature,73,0.0,21.0,17.2,96.57
2019-05-17T00:00:00Z,US,Staten Island,temperature,74,0.0,26.2,20.7,275.11
2019-06-13T00:00:00Z,US,Staten Island,temperature,73,0.0,20.0,17.7,68.23
2019-06-20T00:00:00Z,US,Staten Island,temperature,56,0.0,28.0,20.8,654.59
2019-04-18T00:00:00Z,US,Staten Island,temperature,75,0.0,19.0,13.0,130.17
2019-05-12T00:00:00Z,US,Staten Island,temperature,78,0.0,15.0,8.0,102.67
2019-05-23T00:00:00Z,US,Staten Island,temperature,74,0.0,23.4,19.0,157.44
2019-06-30T00:00:00Z,US,Staten Island,temperature,76,1.4,30.0,24.4,335.09
2019-04-14T00:00:00Z,US,Staten Island,temperature,77,0.0,22.0,17.2,230.64
2019-05-08T00:00:00Z,US,Staten Island,temperature,81,0.0,21.1,16.0,332.63
2019-06-19T00:00:00Z,US,Staten Island,temperature,58,0.0,21.5,20.0,72.64
2019-04-29T00:00:00Z,US,Staten Island,humidity,65,0.0,89.0,53.0,4059.02
2019-06-08T00:00:00Z,US,Staten Island,humidity,75,0.0,93.0,49.3,5587.77
2019-06-12T00:00:00Z,US,Staten Island,humidity,81,0.0,79.7,48.2,4165.23
2019-06-23T00:00:00Z,US,Staten Island,humidity,74,0.0,68.0,40.6,2220.51
2019-06-28T00:00:00Z,US,Staten Island,humidity,96,31.0,87.5,49.3,2159.57
2019-04-15T00:00:00Z,US,Staten Island,humidity,74,0.0,95.2,58.0,4695.55
2019-04-17T00:00:00Z,US,Staten Island,humidity,74,0.0,71.0,45.0,2416.63
2019-04-21T00:00:00Z,US,Staten Island,humidity,72,48.0,93.0,72.2,1435.10
2019-04-28T00:00:00Z,US,Staten Island,humidity,73,0.0,74.5,64.5,1004.29
2019-06-21T00:00:00Z,US,Staten Island,humidity,70,31.3,95.7,84.0,5138.63
2019-04-12T00:00:00Z,US,Staten Island,humidity,74,0.0,95.0,63.5,3472.52
2019-04-20T00:00:00Z,US,Staten Island,humidity,74,0.0,95.5,85.2,2874.61
2019-04-26T00:00:00Z,US,Staten Island,humidity,74,0.0,96.0,89.8,2399.59
2019-05-03T00:00:00Z,US,Staten Island,humidity,76,0.0,95.9,87.0,4037.07
2019-05-14T00:00:00Z,US,Staten Island,humidity,74,0.0,93.0,89.0,2267.06
2019-04-07T00:00:00Z,US,Staten Island,humidity,73,0.0,81.9,59.2,2227.72
2019-04-23T00:00:00Z,US,Staten Island,humidity,72,32.3,94.0,56.7,3263.06
2019-05-05T00:00:00Z,US,Staten Island,humidity,94,0.0,97.6,94.0,1889.39
2019-05-16T00:00:00Z,US,Staten Island,humidity,73,0.0,93.0,51.3,4827.46
2019-05-17T00:00:00Z,US,Staten Island,humidity,73,0.0,80.5,61.0,1552.58
2019-06-05T00:00:00Z,US,Staten Island,humidity,72,40.0,86.5,61.6,1381.44
2019-04-05T00:00:00Z,US,Staten Island,humidity,74,0.0,94.0,55.2,8152.90
2019-04-11T00:00:00Z,US,Staten Island,humidity,72,24.0,59.0,36.5,864.42
2019-05-06T00:00:00Z,US,Staten Island,humidity,96,43.0,94.5,64.2,2848.20
2019-05-10T00:00:00Z,US,Staten Island,humidity,89,0.0,94.0,79.0,1885.58
2019-05-13T00:00:00Z,US,Staten Island,humidity,77,0.0,96.0,92.0,5192.92
2019-05-27T00:00:00Z,US,Staten Island,humidity,74,0.0,93.8,46.0,3189.26
2019-05-19T00:00:00Z,US,Staten Island,humidity,74,0.0,93.2,67.2,2361.75
2019-05-28T00:00:00Z,US,Staten Island,humidity,75,0.0,96.2,82.5,4065.39
2019-06-07T00:00:00Z,US,Staten Island,humidity,76,5.1,90.2,63.7,3567.03
2019-04-02T00:00:00Z,US,Staten Island,humidity,72,33.0,82.2,63.7,1705.10
2019-04-04T00:00:00Z,US,Staten Island,humidity,74,0.0,41.0,29.6,437.38
2019-04-06T00:00:00Z,US,Staten Island,humidity,73,0.0,95.3,61.6,5293.48
2019-06-11T00:00:00Z,US,Staten Island,humidity,72,16.5,100.0,46.0,6896.88
2019-06-19T00:00:00Z,US,Staten Island,humidity,57,77.2,100.0,93.0,233.78
2019-06-20T00:00:00Z,US,Staten Island,humidity,53,0.0,100.0,94.0,7895.67
2019-04-01T00:00:00Z,US,Staten Island,humidity,72,23.2,60.2,41.0,885.00
2019-04-19T00:00:00Z,US,Staten Island,humidity,74,0.0,92.0,74.0,2648.69
2019-05-20T00:00:00Z,US,Staten Island,humidity,73,0.0,96.0,52.6,4476.64
2019-06-16T00:00:00Z,US,Staten Island,humidity,74,0.0,88.5,64.5,2509.13
2019-06-25T00:00:00Z,US,Staten Island,humidity,93,44.4,99.0,72.2,2584.18
2019-06-26T00:00:00Z,US,Staten Island,humidity,97,0.0,86.0,52.0,2762.41
2019-04-27T00:00:00Z,US,Staten Island,humidity,73,0.0,84.5,41.0,2846.32
2019-05-08T00:00:00Z,US,Staten Island,humidity,96,0.0,95.7,63.6,2947.91
2019-06-04T00:00:00Z,US,Staten Island,humidity,72,26.8,73.7,41.3,1683.89
2019-06-13T00:00:00Z,US,Staten Island,humidity,73,0.0,94.0,73.2,1849.75
2019-06-15T00:00:00Z,US,Staten Island,humidity,73,0.0,69.6,44.0,1618.30
2019-04-24T00:00:00Z,US,Staten Island,humidity,72,25.2,79.4,43.0,2029.52
2019-05-11T00:00:00Z,US,Staten Island,humidity,73,0.0,90.5,55.6,4324.87
2019-05-23T00:00:00Z,US,Staten Island,humidity,74,0.0,94.5,78.0,3479.51
2019-05-25T00:00:00Z,US,Staten Island,humidity,72,40.6,78.0,61.6,1201.01
2019-05-29T00:00:00Z,US,Staten Island,humidity,79,0.0,97.0,82.0,6425.86
2019-06-22T00:00:00Z,US,Staten Island,humidity,78,0.0,75.3,42.0,3702.90
2019-06-14T00:00:00Z,US,Staten Island,humidity,74,0.0,94.2,48.0,6069.54
2019-04-09T00:00:00Z,US,Staten Island,humidity,72,73.6,93.0,87.0,244.21
2019-04-13T00:00:00Z,US,Staten Island,humidity,76,0.0,95.0,70.6,5857.36
2019-04-14T00:00:00Z,US,Staten Island,humidity,75,0.0,100.0,84.2,3474.45
2019-05-24T00:00:00Z,US,Staten Island,humidity,74,0.0,94.0,52.0,3430.09
2019-06-02T00:00:00Z,US,Staten Island,humidity,74,0.0,91.3,66.0,3584.46
2019-06-06T00:00:00Z,US,Staten Island,humidity,74,0.0,94.0,58.2,4495.55
2019-04-16T00:00:00Z,US,Staten Island,humidity,72,14.0,60.7,33.8,1442.26
2019-05-12T00:00:00Z,US,Staten Island,humidity,74,0.0,94.5,91.2,2451.34
2019-06-09T00:00:00Z,US,Staten Island,humidity,76,0.0,79.2,47.0,3028.91
2019-06-27T00:00:00Z,US,Staten Island,humidity,96,25.0,88.0,49.3,3258.87
2019-06-30T00:00:00Z,US,Staten Island,humidity,96,30.0,92.0,55.5,3618.69
2019-06-03T00:00:00Z,US,Staten Island,humidity,73,0.0,82.0,44.0,3579.62
2019-04-18T00:00:00Z,US,Staten Island,humidity,72,46.0,88.7,67.6,687.31
2019-05-04T00:00:00Z,US,Staten Island,humidity,72,64.6,100.0,91.1,979.55
2019-05-09T00:00:00Z,US,Staten Island,humidity,97,0.0,92.2,67.7,2473.17
2019-05-15T00:00:00Z,US,Staten Island,humidity,72,29.1,93.0,52.2,4437.62
2019-05-21T00:00:00Z,US,Staten Island,humidity,72,27.7,62.8,41.2,806.88
2019-05-31T00:00:00Z,US,Staten Island,humidity,73,0.0,98.0,61.2,4915.31
2019-04-03T00:00:00Z,US,Staten Island,humidity,74,0.0,81.5,30.0,6279.28
2019-04-08T00:00:00Z,US,Staten Island,humidity,73,0.0,94.0,71.0,4627.87
2019-05-02T00:00:00Z,US,Staten Island,humidity,74,0.0,100.0,86.5,4128.90
2019-06-29T00:00:00Z,US,Staten Island,humidity,96,7.1,92.7,73.3,3059.04
2019-05-30T00:00:00Z,US,Staten Island,humidity,77,0.0,97.0,93.0,5388.42
2019-06-17T00:00:00Z,US,Staten Island,humidity,73,0.0,90.0,75.4,1366.75
2019-04-10T00:00:00Z,US,Staten Island,humidity,72,27.0,93.0,39.6,2048.08
2019-04-30T00:00:00Z,US,Staten Island,humidity,75,0.0,93.2,81.0,3823.01
2019-05-01T00:00:00Z,US,Staten Island,humidity,76,0.0,97.6,76.2,3838.43
2019-05-18T00:00:00Z,US,Staten Island,humidity,77,0.0,67.2,48.2,3395.82
2019-05-22T00:00:00Z,US,Staten Island,humidity,73,0.0,64.8,41.0,1997.89
2019-05-26T00:00:00Z,US,Staten Island,humidity,72,34.3,95.0,77.2,3452.60
2019-06-24T00:00:00Z,US,Staten Island,humidity,73,0.0,71.2,52.8,2326.07
2019-04-22T00:00:00Z,US,Staten Island,humidity,73,0.0,94.0,74.3,1893.47
2019-04-25T00:00:00Z,US,Staten Island,humidity,74,0.0,92.8,59.6,4560.02
2019-05-07T00:00:00Z,US,Staten Island,humidity,96,41.8,93.7,67.0,1927.85
2019-06-01T00:00:00Z,US,Staten Island,humidity,72,36.6,85.0,66.6,2565.73
2019-06-10T00:00:00Z,US,Staten Island,humidity,74,0.0,99.0,93.0,3268.65
2019-06-18T00:00:00Z,US,Staten Island,humidity,74,0.0,96.5,92.0,2360.43
2019-05-06T00:00:00Z,US,Staten Island,o3,50,6.4,500.0,28.1,430203.00
2019-05-18T00:00:00Z,US,Staten Island,o3,55,19.2,500.0,37.6,458236.00
2019-05-30T00:00:00Z,US,Staten Island,o3,57,0.8,500.0,19.2,550730.00
2019-05-15T00:00:00Z,US,Staten Island,o3,50,7.3,500.0,28.1,371556.00
2019-05-26T00:00:00Z,US,Staten Island,o3,54,16.0,500.0,31.2,368008.00
2019-06-14T00:00:00Z,US,Staten Island,o3,50,10.4,500.0,28.1,540704.00
2019-06-15T00:00:00Z,US,Staten Island,o3,54,4.0,500.0,38.4,313277.00
2019-06-21T00:00:00Z,US,Staten Island,o3,50,7.3,500.0,19.2,318544.00
2019-04-07T00:00:00Z,US,Staten Island,o3,50,0.8,500.0,36.8,392389.00
2019-04-20T00:00:00Z,US,Staten Island,o3,50,8.0,500.0,24.8,469014.00
2019-05-20T00:00:00Z,US,Staten Island,o3,55,7.3,500.0,39.2,357263.00
2019-06-10T00:00:00Z,US,Staten Island,o3,50,2.4,500.0,16.8,438912.00
2019-05-04T00:00:00Z,US,Staten Island,o3,46,0.8,500.0,6.4,318287.00
2019-05-11T00:00:00Z,US,Staten Island,o3,53,13.6,500.0,31.2,314039.00
2019-05-28T00:00:00Z,US,Staten Island,o3,60,0.8,500.0,28.1,592927.00
2019-05-03T00:00:00Z,US,Staten Island,o3,43,0.8,500.0,23.3,575758.00
2019-05-13T00:00:00Z,US,Staten Island,o3,47,8.8,500.0,18.4,394624.00
2019-06-23T00:00:00Z,US,Staten Island,o3,52,9.6,500.0,25.6,385824.00
2019-04-08T00:00:00Z,US,Staten Island,o3,32,1.6,500.0,33.6,303946.00
2019-04-23T00:00:00Z,US,Staten Island,o3,51,4.0,500.0,28.1,415894.00
2019-04-29T00:00:00Z,US,Staten Island,o3,50,1.6,500.0,30.4,460598.00
2019-04-30T00:00:00Z,US,Staten Island,o3,58,4.8,500.0,26.4,568085.00
2019-05-05T00:00:00Z,US,Staten Island,o3,50,1.6,500.0,20.0,408798.00
2019-05-12T00:00:00Z,US,Staten Island,o3,51,21.6,500.0,27.2,455964.00
2019-06-30T00:00:00Z,US,Staten Island,o3,53,12.8,500.0,29.6,495350.00
2019-04-02T00:00:00Z,US,Staten Island,o3,46,0.8,500.0,33.6,388282.00
2019-04-04T00:00:00Z,US,Staten Island,o3,48,6.4,500.0,24.8,253939.00
2019-04-13T00:00:00Z,US,Staten Island,o3,51,19.2,500.0,37.6,463291.00
2019-06-19T00:00:00Z,US,Staten Island,o3,38,3.2,500.0,13.6,385835.00
2019-05-16T00:00:00Z,US,Staten Island,o3,53,0.8,500.0,38.4,445315.00
2019-06-03T00:00:00Z,US,Staten Island,o3,51,9.6,500.0,30.4,525440.00
2019-06-16T00:00:00Z,US,Staten Island,o3,57,18.4,500.0,36.1,345650.00
2019-04-14T00:00:00Z,US,Staten Island,o3,52,4.0,500.0,16.8,472843.00
2019-04-22T00:00:00Z,US,Staten Island,o3,48,2.4,500.0,16.8,395097.00
2019-04-25T00:00:00Z,US,Staten Island,o3,50,1.6,500.0,21.6,406465.00
2019-05-01T00:00:00Z,US,Staten Island,o3,50,9.6,500.0,27.2,445832.00
2019-05-31T00:00:00Z,US,Staten Island,o3,53,2.4,500.0,35.2,378473.00
2019-06-06T00:00:00Z,US,Staten Island,o3,50,14.5,500.0,39.2,406530.00
2019-06-17T00:00:00Z,US,Staten Island,o3,51,4.8,500.0,19.2,341706.00
2019-04-12T00:00:00Z,US,Staten Island,o3,53,6.4,500.0,28.9,457136.00
2019-05-22T00:00:00Z,US,Staten Island,o3,56,20.8,500.0,39.2,471848.00
2019-06-02T00:00:00Z,US,Staten Island,o3,58,15.2,500.0,40.0,362945.00
2019-06-09T00:00:00Z,US,Staten Island,o3,51,1.6,500.0,29.6,480811.00
2019-04-18T00:00:00Z,US,Staten Island,o3,50,0.8,500.0,31.2,368078.00
2019-04-24T00:00:00Z,US,Staten Island,o3,49,7.3,500.0,31.2,279399.00
2019-04-26T00:00:00Z,US,Staten Island,o3,48,2.4,500.0,23.3,498761.00
2019-05-14T00:00:00Z,US,Staten Island,o3,49,3.2,500.0,11.2,195926.00
2019-04-05T00:00:00Z,US,Staten Island,o3,50,4.8,500.0,20.8,213236.00
2019-04-06T00:00:00Z,US,Staten Island,o3,52,3.2,500.0,25.6,236986.00
2019-04-09T00:00:00Z,US,Staten Island,o3,49,1.6,500.0,15.2,392925.00
2019-04-15T00:00:00Z,US,Staten Island,o3,50,6.4,500.0,30.4,481288.00
2019-06-12T00:00:00Z,US,Staten Island,o3,50,2.4,500.0,26.4,372995.00
2019-06-20T00:00:00Z,US,Staten Island,o3,50,1.6,500.0,12.1,550825.00
2019-06-25T00:00:00Z,US,Staten Island,o3,58,0.8,500.0,29.6,403263.00
2019-06-18T00:00:00Z,US,Staten Island,o3,52,4.8,500.0,22.4,272320.00
2019-06-22T00:00:00Z,US,Staten Island,o3,47,9.6,500.0,19.2,284832.00
2019-04-10T00:00:00Z,US,Staten Island,o3,50,0.8,500.0,26.4,312388.00
2019-04-28T00:00:00Z,US,Staten Island,o3,49,2.4,500.0,22.4,383157.00
2019-06-07T00:00:00Z,US,Staten Island,o3,58,4.0,500.0,32.0,394878.00
2019-06-13T00:00:00Z,US,Staten Island,o3,48,5.6,500.0,24.8,385823.00
2019-05-27T00:00:00Z,US,Staten Island,o3,50,0.8,500.0,32.8,571933.00
2019-06-27T00:00:00Z,US,Staten Island,o3,49,1.6,500.0,38.4,129031.00
2019-04-01T00:00:00Z,US,Staten Island,o3,47,4.0,500.0,31.2,288586.00
2019-04-11T00:00:00Z,US,Staten Island,o3,53,8.0,500.0,25.6,454117.00
2019-04-27T00:00:00Z,US,Staten Island,o3,48,8.0,500.0,35.2,347691.00
2019-05-08T00:00:00Z,US,Staten Island,o3,49,1.6,500.0,22.4,410618.00
2019-06-01T00:00:00Z,US,Staten Island,o3,53,0.8,500.0,25.6,198432.00
2019-06-08T00:00:00Z,US,Staten Island,o3,53,3.2,500.0,33.6,484393.00
2019-06-11T00:00:00Z,US,Staten Island,o3,45,6.4,500.0,26.4,347703.00
2019-06-24T00:00:00Z,US,Staten Island,o3,54,1.6,500.0,38.4,389728.00
2019-04-19T00:00:00Z,US,Staten Island,o3,58,19.2,500.0,32.0,523426.00
2019-05-10T00:00:00Z,US,Staten Island,o3,49,4.8,500.0,29.6,452670.00
2019-05-17T00:00:00Z,US,Staten Island,o3,53,0.8,500.0,35.2,193932.00
2019-05-25T00:00:00Z,US,Staten Island,o3,49,12.8,500.0,30.4,465543.00
2019-06-26T00:00:00Z,US,Staten Island,o3,53,13.6,500.0,43.2,309500.00
2019-05-19T00:00:00Z,US,Staten Island,o3,58,22.4,500.0,34.4,409479.00
2019-05-21T00:00:00Z,US,Staten Island,o3,50,19.2,500.0,28.1,427130.00
2019-05-23T00:00:00Z,US,Staten Island,o3,49,2.4,500.0,23.3,320970.00
2019-06-04T00:00:00Z,US,Staten Island,o3,48,1.6,500.0,31.2,321464.00
2019-04-16T00:00:00Z,US,Staten Island,o3,47,10.4,500.0,38.4,244264.00
2019-04-17T00:00:00Z,US,Staten Island,o3,52,14.5,500.0,31.2,484638.00
2019-05-02T00:00:00Z,US,Staten Island,o3,56,0.8,500.0,24.1,546305.00
2019-05-09T00:00:00Z,US,Staten Island,o3,52,1.6,500.0,23.3,363179.00
2019-06-05T00:00:00Z,US,Staten Island,o3,52,14.5,500.0,43.2,364703.00
2019-06-28T00:00:00Z,US,Staten Island,o3,52,0.8,500.0,43.2,258970.00
2019-06-29T00:00:00Z,US,Staten Island,o3,48,15.2,500.0,34.4,89386.10
2019-05-29T00:00:00Z,US,Staten Island,o3,55,2.4,500.0,21.6,567489.00
2019-04-03T00:00:00Z,US,Staten Island,o3,50,8.8,500.0,29.6,275487.00
2019-04-21T00:00:00Z,US,Staten Island,o3,41,5.6,500.0,27.2,458342.00
2019-05-07T00:00:00Z,US,Staten Island,o3,48,6.4,500.0,27.2,380906.00
2019-05-24T00:00:00Z,US,Staten Island,o3,52,12.1,500.0,32.8,512374.00
2019-04-18T00:00:00Z,US,Staten Island,wind-speed,89,0.1,5.6,1.6,17.47
2019-04-24T00:00:00Z,US,Staten Island,wind-speed,85,0.1,8.2,2.7,49.98
2019-05-22T00:00:00Z,US,Staten Island,wind-speed,99,0.1,3.7,0.7,6.27
2019-06-09T00:00:00Z,US,Staten Island,wind-speed,79,0.0,6.3,1.7,37.54
2019-06-17T00:00:00Z,US,Staten Island,wind-speed,50,0.0,2.0,0.5,2.00
2019-06-25T00:00:00Z,US,Staten Island,wind-speed,67,0.0,4.8,0.7,14.41
2019-04-10T00:00:00Z,US,Staten Island,wind-speed,93,0.2,9.5,3.0,47.62
