Date,Country,City,Specie,count,min,max,median,variance
2019-10-02T00:00:00Z,US,Brooklyn,wind-speed,141,0.1,11.5,4.0,65.79
2019-12-11T00:00:00Z,US,Brooklyn,wind-speed,164,0.1,12.6,3.0,126.86
2020-01-02T00:00:00Z,US,Brooklyn,wind-speed,16,0.2,7.0,1.7,60.69
2019-12-23T00:00:00Z,US,Brooklyn,wind-speed,154,0.1,10.0,2.3,47.91
2019-10-03T00:00:00Z,US,Brooklyn,wind-speed,155,0.1,10.8,2.7,109.62
2019-10-15T00:00:00Z,US,Brooklyn,wind-speed,141,0.1,5.0,1.7,18.81
2019-10-25T00:00:00Z,US,Brooklyn,wind-speed,133,0.1,7.7,2.0,32.97
2019-11-19T00:00:00Z,US,Brooklyn,wind-speed,129,0.1,8.2,2.0,42.15
2019-12-04T00:00:00Z,US,Brooklyn,wind-speed,143,0.1,8.0,3.1,38.87
2019-12-09T00:00:00Z,US,Brooklyn,wind-speed,152,0.1,11.7,2.4,40.95
2019-12-13T00:00:00Z,US,Brooklyn,wind-speed,150,0.1,8.1,2.5,50.70
2019-12-26T00:00:00Z,US,Brooklyn,wind-speed,149,0.1,15.6,2.3,62.85
2019-10-13T00:00:00Z,US,Brooklyn,wind-speed,133,0.1,8.0,2.0,20.17
2019-10-20T00:00:00Z,US,Brooklyn,wind-speed,131,0.1,14.0,1.6,102.36
2019-11-06T00:00:00Z,US,Brooklyn,wind-speed,160,0.1,7.8,1.8,22.71
2019-12-12T00:00:00Z,US,Brooklyn,wind-speed,161,0.1,11.8,2.9,63.12
2020-01-05T00:00:00Z,US,Brooklyn,wind-speed,165,0.5,33.0,7.6,435.97
2019-10-27T00:00:00Z,US,Brooklyn,wind-speed,161,0.2,20.6,3.8,280.77
2019-11-27T00:00:00Z,US,Brooklyn,wind-speed,144,0.1,14.4,3.6,167.90
2019-12-16T00:00:00Z,US,Brooklyn,wind-speed,143,0.1,9.7,2.0,46.69
2019-12-19T00:00:00Z,US,Brooklyn,wind-speed,168,0.5,27.0,7.2,276.73
2019-12-20T00:00:00Z,US,Brooklyn,wind-speed,164,0.1,15.0,2.7,64.19
2019-12-24T00:00:00Z,US,Brooklyn,wind-speed,166,0.1,10.8,2.8,52.07
2019-12-28T00:00:00Z,US,Brooklyn,wind-speed,96,0.1,11.1,2.4,52.42
2019-10-04T00:00:00Z,US,Brooklyn,wind-speed,153,0.1,15.3,4.1,140.83
2019-10-19T00:00:00Z,US,Brooklyn,wind-speed,135,0.1,5.6,2.0,18.36
2019-10-29T00:00:00Z,US,Brooklyn,wind-speed,153,0.1,10.8,1.5,55.39
2019-11-04T00:00:00Z,US,Brooklyn,wind-speed,126,0.1,12.9,3.0,100.05
2019-11-09T00:00:00Z,US,Brooklyn,wind-speed,130,0.1,8.4,2.3,26.82
2019-11-13T00:00:00Z,US,Brooklyn,wind-speed,139,0.1,13.4,4.1,120.34
