Date,Country,City,Specie,count,min,max,median,variance
2020-02-04T00:00:00Z,CN,Beijing,wind gust,40,9.7,9.7,9.7,0.00
2020-03-03T00:00:00Z,CN,Beijing,wind gust,100,11.8,16.4,15.4,26.48
2020-01-19T00:00:00Z,CN,Beijing,wind gust,60,9.7,9.7,9.7,0.00
2020-01-25T00:00:00Z,CN,Beijing,wind gust,20,6.6,6.6,6.6,0.00
2020-02-03T00:00:00Z,CN,Beijing,wind gust,20,5.6,5.6,5.6,0.00
2020-03-14T00:00:00Z,CN,Beijing,wind gust,20,11.8,11.8,11.8,0.00
2020-03-22T00:00:00Z,CN,Beijing,wind gust,19,8.7,8.7,8.7,0.00
2020-01-31T00:00:00Z,CN,Beijing,wind gust,80,7.7,8.7,8.7,1.90
2020-03-20T00:00:00Z,CN,Beijing,wind gust,19,12.8,12.8,12.8,0.00
2020-03-27T00:00:00Z,CN,Beijing,wind gust,100,13.8,15.9,14.9,6.33
2020-03-29T00:00:00Z,CN,Beijing,wind gust,20,8.7,8.7,8.7,0.00
2020-01-02T00:00:00Z,CN,Beijing,wind gust,60,6.6,8.7,7.7,7.48
2020-01-20T00:00:00Z,CN,Beijing,wind gust,20,10.8,10.8,10.8,0.00
2020-03-10T00:00:00Z,CN,Beijing,wind gust,19,15.9,15.9,15.9,0.00
2020-03-18T00:00:00Z,CN,Beijing,wind gust,114,13.8,22.1,19.0,66.15
2020-01-13T00:00:00Z,CN,Beijing,wind gust,60,9.7,11.8,10.8,7.48
2020-03-04T00:00:00Z,CN,Beijing,wind gust,20,7.7,7.7,7.7,0.00
2020-03-16T00:00:00Z,CN,Beijing,wind gust,20,6.6,6.6,6.6,0.00
2020-03-30T00:00:00Z,CN,Beijing,wind gust,20,8.7,8.7,8.7,0.00
2020-03-12T00:00:00Z,CN,Beijing,wind gust,20,10.8,10.8,10.8,0.00
2020-03-26T00:00:00Z,CN,Beijing,wind gust,60,11.8,12.8,11.8,2.26
2020-01-10T00:00:00Z,CN,Beijing,wind gust,81,11.8,13.8,11.8,7.53
2020-02-21T00:00:00Z,CN,Beijing,wind gust,2,12.8,12.8,12.8,0.00
