Date,Country,City,Specie,count,min,max,median,variance
2020-01-16T00:00:00Z,GB,London,o3,404,2.1,28.8,15.1,511.28
2020-02-06T00:00:00Z,GB,London,o3,343,0.1,25.3,1.9,189.97
2020-04-01T00:00:00Z,GB,London,o3,381,0.1,34.5,19.7,640.14
2020-01-02T00:00:00Z,GB,London,o3,365,1.2,29.3,12.0,503.23
2020-01-04T00:00:00Z,GB,London,o3,382,0.9,24.6,7.9,333.15
2020-01-18T00:00:00Z,GB,London,o3,402,0.4,25.1,5.8,379.29
2020-03-21T00:00:00Z,GB,London,o3,360,8.0,34.0,21.2,285.98
2020-03-29T00:00:00Z,GB,London,o3,368,18.9,35.9,30.3,145.74
2020-03-30T00:00:00Z,GB,London,o3,379,9.7,34.7,24.8,324.55
2020-02-21T00:00:00Z,GB,London,o3,277,2.7,34.6,22.3,639.84
2020-02-28T00:00:00Z,GB,London,o3,392,0.5,32.2,12.9,587.83
2019-12-30T00:00:00Z,GB,London,o3,259,0.1,9.9,1.1,43.41
2020-01-09T00:00:00Z,GB,London,o3,384,0.9,31.3,12.7,484.53
2020-01-11T00:00:00Z,GB,London,o3,407,8.3,32.2,21.0,489.58
2020-01-14T00:00:00Z,GB,London,o3,392,2.4,34.4,20.8,653.63
2020-01-27T00:00:00Z,GB,London,o3,397,1.0,31.3,15.2,752.46
2020-02-12T00:00:00Z,GB,London,o3,288,0.5,31.9,18.9,658.84
2020-03-07T00:00:00Z,GB,London,o3,403,0.1,41.5,12.8,1113.37
2020-02-19T00:00:00Z,GB,London,o3,268,1.2,33.7,15.9,603.70
2020-02-29T00:00:00Z,GB,London,o3,384,6.1,34.6,22.5,450.11
2020-01-01T00:00:00Z,GB,London,o3,251,0.2,13.6,1.1,59.98
2020-01-26T00:00:00Z,GB,London,o3,399,0.1,25.8,11.9,507.12
2020-01-28T00:00:00Z,GB,London,o3,391,1.7,34.8,18.1,823.71
2020-02-08T00:00:00Z,GB,London,o3,384,1.9,30.1,16.9,554.45
2020-02-09T00:00:00Z,GB,London,o3,308,12.3,34.5,26.2,274.31
2020-02-16T00:00:00Z,GB,London,o3,288,9.5,36.0,24.2,391.09
2020-03-04T00:00:00Z,GB,London,o3,392,0.1,33.3,7.3,602.36
2020-01-05T00:00:00Z,GB,London,o3,383,1.6,32.0,13.2,505.45
2020-01-12T00:00:00Z,GB,London,o3,399,3.5,50.3,18.7,638.60
2020-02-11T00:00:00Z,GB,London,o3,288,3.5,34.0,22.6,486.56
2020-03-17T00:00:00Z,GB,London,o3,368,1.9,31.9,19.1,583.40
2020-01-10T00:00:00Z,GB,London,o3,393,0.5,28.3,12.6,400.35
2020-01-25T00:00:00Z,GB,London,o3,399,0.3,22.1,6.8,248.05
2020-02-05T00:00:00Z,GB,London,o3,360,0.1,23.2,2.1,205.27
2020-02-17T00:00:00Z,GB,London,o3,276,3.9,33.3,23.1,584.04
2020-01-20T00:00:00Z,GB,London,o3,350,0.1,7.1,0.8,9.48
2020-01-21T00:00:00Z,GB,London,o3,346,0.1,9.0,0.7,10.19
2020-02-15T00:00:00Z,GB,London,o3,287,8.7,28.1,20.7,241.45
2020-03-11T00:00:00Z,GB,London,o3,381,3.7,37.1,22.3,802.40
2020-03-28T00:00:00Z,GB,London,o3,384,18.1,42.2,33.1,240.96
2020-04-03T00:00:00Z,GB,London,o3,407,0.3,36.5,20.2,797.46
