Date,Country,City,Specie,count,min,max,median,variance
2020-01-05T00:00:00Z,US,Manhattan,pressure,72,415.4,1015.5,1006.7,787441.00
2020-01-19T00:00:00Z,US,Manhattan,pressure,70,415.4,1015.4,1005.6,757071.00
2020-02-22T00:00:00Z,US,Manhattan,pressure,24,415.6,425.7,422.2,97.75
2020-03-10T00:00:00Z,US,Manhattan,pressure,72,417.9,1023.6,1013.0,651589.00
2020-03-14T00:00:00Z,US,Manhattan,pressure,72,415.7,1029.1,1025.5,721364.00
2020-03-25T00:00:00Z,US,Manhattan,pressure,72,416.9,1021.6,1017.2,808422.00
2020-04-02T00:00:00Z,US,Manhattan,pressure,72,417.0,1008.8,1003.4,775434.00
2020-02-04T00:00:00Z,US,Manhattan,pressure,95,418.0,1012.8,1008.5,659189.00
2020-02-23T00:00:00Z,US,Manhattan,pressure,24,415.5,427.7,422.3,134.97
2020-02-24T00:00:00Z,US,Manhattan,pressure,24,415.4,425.6,421.1,71.18
2020-02-28T00:00:00Z,US,Manhattan,pressure,72,415.4,1011.7,1007.9,783220.00
2020-03-09T00:00:00Z,US,Manhattan,pressure,72,415.4,1028.7,1024.0,826111.00
2020-04-04T00:00:00Z,US,Manhattan,pressure,72,416.9,1017.9,1013.8,799803.00
2020-01-24T00:00:00Z,US,Manhattan,pressure,72,415.4,1029.1,1025.6,826477.00
2020-02-29T00:00:00Z,US,Manhattan,pressure,72,415.4,1017.7,1008.9,786253.00
2020-04-01T00:00:00Z,US,Manhattan,pressure,68,415.9,1013.5,1007.5,733386.00
2020-04-03T00:00:00Z,US,Manhattan,pressure,72,415.6,1011.9,1003.3,776643.00
2020-01-03T00:00:00Z,US,Manhattan,pressure,56,418.0,1010.2,1007.5,858086.00
2020-02-25T00:00:00Z,US,Manhattan,pressure,56,415.4,1012.0,1009.8,860718.00
2020-03-04T00:00:00Z,US,Manhattan,pressure,43,415.5,1011.1,1007.4,780882.00
2020-03-30T00:00:00Z,US,Manhattan,pressure,54,415.6,1016.2,1013.8,727234.00
2020-01-17T00:00:00Z,US,Manhattan,pressure,72,415.4,1039.2,1031.0,851967.00
2020-03-01T00:00:00Z,US,Manhattan,pressure,72,417.3,1021.3,1017.9,804639.00
2020-03-21T00:00:00Z,US,Manhattan,pressure,72,415.5,1031.8,1022.0,829812.00
2020-03-27T00:00:00Z,US,Manhattan,pressure,72,416.1,1019.2,1009.1,792348.00
2020-01-06T00:00:00Z,US,Manhattan,pressure,72,418.0,1016.3,1013.4,792464.00
2020-01-08T00:00:00Z,US,Manhattan,pressure,72,415.5,1028.5,1011.9,799046.00
2020-01-13T00:00:00Z,US,Manhattan,pressure,72,418.4,1030.8,1027.6,831964.00
2020-02-07T00:00:00Z,US,Manhattan,pressure,89,418.8,1008.8,988.0,507749.00
2020-03-08T00:00:00Z,US,Manhattan,pressure,72,415.5,1031.5,1026.8,835044.00
2020-03-15T00:00:00Z,US,Manhattan,pressure,72,415.5,1034.1,1029.1,844625.00
2020-03-18T00:00:00Z,US,Manhattan,pressure,69,415.5,1033.5,1029.4,820401.00
2020-03-26T00:00:00Z,US,Manhattan,pressure,72,416.6,1018.9,1011.3,797343.00
2020-01-09T00:00:00Z,US,Manhattan,pressure,72,416.0,1041.6,1036.9,854679.00
2020-01-16T00:00:00Z,US,Manhattan,pressure,68,415.4,1022.6,1011.9,749981.00
2020-01-23T00:00:00Z,US,Manhattan,pressure,72,418.2,1030.0,1027.0,824837.00
2020-01-31T00:00:00Z,US,Manhattan,pressure,72,417.3,1027.4,1023.2,817815.00
2020-03-16T00:00:00Z,US,Manhattan,pressure,72,415.4,1037.5,1032.6,851360.00
2020-01-21T00:00:00Z,US,Manhattan,pressure,72,415.8,1032.1,1028.4,831122.00
2020-02-03T00:00:00Z,US,Manhattan,pressure,72,415.5,1012.5,1006.2,780124.00
2020-02-21T00:00:00Z,US,Manhattan,pressure,24,415.6,426.4,423.6,89.95
2020-02-27T00:00:00Z,US,Manhattan,pressure,65,415.4,1009.5,996.6,663272.00
2020-03-07T00:00:00Z,US,Manhattan,pressure,72,415.4,1028.8,1016.6,816176.00
2020-03-22T00:00:00Z,US,Manhattan,pressure,72,415.4,1039.9,1035.2,853068.00
2020-01-04T00:00:00Z,US,Manhattan,pressure,72,416.4,1008.4,999.5,766209.00
2020-01-20T00:00:00Z,US,Manhattan,pressure,72,416.5,1029.0,1020.2,814834.00
2020-01-28T00:00:00Z,US,Manhattan,pressure,72,417.9,1013.5,1008.3,778835.00
2020-02-26T00:00:00Z,US,Manhattan,pressure,72,417.3,1014.8,1010.0,787581.00
2020-03-02T00:00:00Z,US,Manhattan,pressure,48,417.0,1020.9,1013.3,804295.00
2020-03-11T00:00:00Z,US,Manhattan,pressure,72,415.4,1020.6,1017.1,707811.00
2020-03-12T00:00:00Z,US,Manhattan,pressure,72,419.4,1022.1,1018.6,807668.00
2020-03-19T00:00:00Z,US,Manhattan,pressure,72,415.3,1029.1,1023.4,828049.00
2020-03-28T00:00:00Z,US,Manhattan,pressure,72,415.4,1021.6,1017.9,811958.00
2020-01-12T00:00:00Z,US,Manhattan,pressure,72,415.4,1029.4,1011.7,808569.00
2020-01-18T00:00:00Z,US,Manhattan,pressure,72,417.6,1038.8,1016.9,826534.00
