Date,Country,City,Specie,count,min,max,median,variance
2020-07-17T00:00:00Z,HK,Hong Kong,humidity,343,54.5,83.5,68.5,953.19
2020-07-29T00:00:00Z,HK,Hong Kong,humidity,360,56.5,85.8,74.0,644.86
2020-09-01T00:00:00Z,HK,Hong Kong,humidity,347,56.0,83.0,72.0,574.92
2020-09-08T00:00:00Z,HK,Hong Kong,humidity,282,78.0,94.0,83.0,212.11
2020-09-25T00:00:00Z,HK,Hong Kong,humidity,330,62.0,87.8,74.0,300.70
2020-09-27T00:00:00Z,HK,Hong Kong,humidity,360,62.0,88.3,74.0,355.87
2020-07-03T00:00:00Z,HK,Hong Kong,humidity,224,0.3,90.5,82.3,3215.32
2020-07-23T00:00:00Z,HK,Hong Kong,humidity,347,52.0,84.1,72.0,811.65
2020-07-25T00:00:00Z,HK,Hong Kong,humidity,360,54.5,85.5,66.0,780.90
2020-07-26T00:00:00Z,HK,Hong Kong,humidity,360,50.0,86.8,70.0,947.51
2020-08-02T00:00:00Z,HK,Hong Kong,humidity,360,70.0,94.0,85.5,370.57
2020-08-31T00:00:00Z,HK,Hong Kong,humidity,321,59.0,85.5,69.5,547.86
2020-09-12T00:00:00Z,HK,Hong Kong,humidity,269,60.5,93.2,79.0,821.87
2020-09-09T00:00:00Z,HK,Hong Kong,humidity,334,72.0,92.1,80.5,375.80
2020-09-17T00:00:00Z,HK,Hong Kong,humidity,320,60.6,93.6,83.0,628.93
2020-10-02T00:00:00Z,HK,Hong Kong,humidity,360,62.6,82.6,75.4,204.20
2020-09-30T00:00:00Z,HK,Hong Kong,humidity,358,70.0,95.3,83.1,283.12
2020-07-02T00:00:00Z,HK,Hong Kong,humidity,315,0.6,88.0,77.3,4354.19
2020-07-09T00:00:00Z,HK,Hong Kong,humidity,309,0.2,84.0,74.0,1328.32
2020-07-12T00:00:00Z,HK,Hong Kong,humidity,323,0.2,87.2,70.0,2415.94
2020-08-09T00:00:00Z,HK,Hong Kong,humidity,360,58.8,88.6,74.0,520.44
2020-08-14T00:00:00Z,HK,Hong Kong,humidity,321,60.4,91.6,82.1,671.21
2020-09-13T00:00:00Z,HK,Hong Kong,humidity,347,64.0,93.0,74.0,509.56
2020-09-28T00:00:00Z,HK,Hong Kong,humidity,350,70.0,93.0,80.6,363.51
2020-10-04T00:00:00Z,HK,Hong Kong,humidity,360,59.5,85.0,74.0,420.00
2020-07-07T00:00:00Z,HK,Hong Kong,humidity,319,1.4,88.0,74.0,2389.17
2020-07-21T00:00:00Z,HK,Hong Kong,humidity,360,50.5,84.3,68.8,995.01
2020-08-06T00:00:00Z,HK,Hong Kong,humidity,360,57.0,94.0,76.5,1405.28
2020-08-07T00:00:00Z,HK,Hong Kong,humidity,360,55.3,91.2,74.0,1084.67
2020-08-16T00:00:00Z,HK,Hong Kong,humidity,360,57.0,85.2,74.0,613.59
2020-08-25T00:00:00Z,HK,Hong Kong,humidity,360,51.0,89.0,72.0,951.30
2020-09-02T00:00:00Z,HK,Hong Kong,humidity,360,56.0,88.0,72.0,486.29
2020-09-19T00:00:00Z,HK,Hong Kong,humidity,280,68.0,94.3,86.7,282.59
2020-07-06T00:00:00Z,HK,Hong Kong,humidity,312,9.4,87.8,72.0,1998.97
2020-07-08T00:00:00Z,HK,Hong Kong,humidity,324,0.5,87.0,74.0,1598.48
2020-07-15T00:00:00Z,HK,Hong Kong,humidity,340,0.8,83.0,66.0,3055.47
2020-07-16T00:00:00Z,HK,Hong Kong,humidity,336,3.0,83.5,70.0,1876.97
2020-07-22T00:00:00Z,HK,Hong Kong,humidity,360,55.5,88.0,74.0,927.23
2020-07-30T00:00:00Z,HK,Hong Kong,humidity,360,45.5,88.0,72.0,1557.32
2020-07-31T00:00:00Z,HK,Hong Kong,humidity,308,70.0,94.0,83.0,408.70
2020-09-26T00:00:00Z,HK,Hong Kong,humidity,360,62.0,84.5,72.7,268.89
2020-07-13T00:00:00Z,HK,Hong Kong,humidity,332,0.5,86.6,68.0,2112.51
2020-07-20T00:00:00Z,HK,Hong Kong,humidity,360,55.0,87.0,72.0,587.42
2020-08-20T00:00:00Z,HK,Hong Kong,humidity,333,59.0,92.7,79.0,1232.57
2020-08-24T00:00:00Z,HK,Hong Kong,humidity,360,56.0,87.0,74.0,666.74
2020-09-15T00:00:00Z,HK,Hong Kong,humidity,243,79.0,94.0,83.5,208.65
2020-09-20T00:00:00Z,HK,Hong Kong,humidity,350,62.0,93.1,79.3,558.40
2020-07-01T00:00:00Z,HK,Hong Kong,humidity,294,63.0,86.0,76.5,316.73
2020-08-11T00:00:00Z,HK,Hong Kong,humidity,360,66.0,85.6,74.0,312.50
2020-08-21T00:00:00Z,HK,Hong Kong,humidity,334,62.0,89.8,74.0,640.99
2020-09-03T00:00:00Z,HK,Hong Kong,humidity,360,50.5,85.8,72.0,815.72
2020-07-19T00:00:00Z,HK,Hong Kong,humidity,349,21.0,85.6,70.0,665.20
2020-07-24T00:00:00Z,HK,Hong Kong,humidity,360,52.5,84.3,70.0,955.66
2020-08-01T00:00:00Z,HK,Hong Kong,humidity,348,78.1,89.3,85.0,59.82
2020-08-03T00:00:00Z,HK,Hong Kong,humidity,360,79.0,95.0,90.3,185.11
2020-08-10T00:00:00Z,HK,Hong Kong,humidity,270,60.5,86.6,74.0,393.92
2020-10-01T00:00:00Z,HK,Hong Kong,humidity,360,65.3,91.0,76.5,371.67
2020-10-03T00:00:00Z,HK,Hong Kong,humidity,360,56.5,86.0,71.5,651.88
2020-08-15T00:00:00Z,HK,Hong Kong,humidity,360,62.4,87.0,78.8,638.61
2020-08-27T00:00:00Z,HK,Hong Kong,humidity,334,62.0,91.0,78.6,725.38
