Date,Country,City,Specie,count,min,max,median,variance
2020-11-26T00:00:00Z,CN,Wuhan,dew,289,4.0,6.0,5.0,4.58
2020-12-07T00:00:00Z,CN,Wuhan,dew,238,4.0,6.0,5.0,5.53
2020-12-15T00:00:00Z,CN,Wuhan,dew,340,-11.0,-5.0,-7.0,22.34
2020-12-19T00:00:00Z,CN,Wuhan,dew,391,-7.0,-2.0,-5.0,15.24
2020-11-03T00:00:00Z,CN,Wuhan,dew,305,0.0,9.0,5.0,35.56
2020-11-08T00:00:00Z,CN,Wuhan,dew,386,0.0,9.0,5.0,103.56
2020-10-06T00:00:00Z,CN,Wuhan,dew,244,9.0,11.4,10.0,5.40
2020-12-13T00:00:00Z,CN,Wuhan,dew,408,-8.0,7.0,-1.0,216.92
2020-10-25T00:00:00Z,CN,Wuhan,dew,365,6.0,14.0,10.0,33.58
2020-11-12T00:00:00Z,CN,Wuhan,dew,323,7.0,10.0,8.0,6.34
2020-11-15T00:00:00Z,CN,Wuhan,dew,310,8.0,13.0,10.0,11.88
2020-12-08T00:00:00Z,CN,Wuhan,dew,204,5.0,7.0,6.0,5.02
2021-01-01T00:00:00Z,CN,Wuhan,dew,408,-11.0,-3.0,-6.0,50.38
2020-10-07T00:00:00Z,CN,Wuhan,dew,182,10.0,13.0,12.0,7.70
2020-10-18T00:00:00Z,CN,Wuhan,dew,357,11.0,13.8,11.0,4.45
2020-11-23T00:00:00Z,CN,Wuhan,dew,289,2.0,6.0,5.0,18.96
2020-12-05T00:00:00Z,CN,Wuhan,dew,391,-5.0,1.0,-2.0,29.34
2020-12-11T00:00:00Z,CN,Wuhan,dew,357,3.0,8.0,7.0,17.65
2020-09-28T00:00:00Z,CN,Wuhan,dew,327,18.0,21.2,20.0,5.73
2020-11-04T00:00:00Z,CN,Wuhan,dew,378,1.0,9.5,5.0,31.19
2020-10-11T00:00:00Z,CN,Wuhan,dew,297,14.0,18.0,16.0,13.33
2020-11-10T00:00:00Z,CN,Wuhan,dew,357,5.0,9.0,6.0,12.55
2020-11-18T00:00:00Z,CN,Wuhan,dew,297,13.0,20.0,16.0,51.04
2020-11-28T00:00:00Z,CN,Wuhan,dew,306,3.0,7.0,5.0,11.67
2020-12-29T00:00:00Z,CN,Wuhan,dew,323,-2.0,10.0,1.0,137.16
2020-10-03T00:00:00Z,CN,Wuhan,dew,339,14.0,17.0,15.0,5.81
2020-10-10T00:00:00Z,CN,Wuhan,dew,374,14.0,17.0,15.0,11.77
2020-10-21T00:00:00Z,CN,Wuhan,dew,408,12.0,15.0,13.0,9.19
2020-12-06T00:00:00Z,CN,Wuhan,dew,306,0.0,6.0,3.0,42.14
2020-12-21T00:00:00Z,CN,Wuhan,dew,408,-7.0,1.0,-4.0,32.14
2020-12-22T00:00:00Z,CN,Wuhan,dew,408,-5.0,0.0,-2.0,16.43
2020-10-12T00:00:00Z,CN,Wuhan,dew,284,14.0,17.0,15.0,8.64
2020-10-15T00:00:00Z,CN,Wuhan,dew,88,14.0,15.0,15.0,1.64
2020-12-01T00:00:00Z,CN,Wuhan,dew,323,2.0,4.0,3.0,6.22
2020-12-14T00:00:00Z,CN,Wuhan,dew,408,-11.0,-5.0,-8.0,34.46
2020-10-22T00:00:00Z,CN,Wuhan,dew,374,10.0,15.0,13.0,17.48
2020-11-20T00:00:00Z,CN,Wuhan,dew,208,8.0,10.0,9.0,5.73
2020-10-17T00:00:00Z,CN,Wuhan,dew,297,9.0,13.7,12.0,15.17
2020-10-23T00:00:00Z,CN,Wuhan,dew,408,5.0,11.0,8.0,30.63
2020-11-24T00:00:00Z,CN,Wuhan,dew,136,3.0,5.0,4.0,7.56
2020-12-20T00:00:00Z,CN,Wuhan,dew,374,-6.0,0.0,-2.0,28.03
2020-10-04T00:00:00Z,CN,Wuhan,dew,306,9.0,15.0,13.0,25.05
2020-10-13T00:00:00Z,CN,Wuhan,dew,314,14.0,18.0,16.0,9.54
2020-11-13T00:00:00Z,CN,Wuhan,dew,340,6.0,11.0,8.0,13.51
