Date,Country,City,Specie,count,min,max,median,variance
2020-12-19T00:00:00Z,IT,Milan,wind-gust,21,0.2,5.7,1.2,17.69
2020-10-06T00:00:00Z,IT,Milan,wind-gust,48,0.1,5.8,1.2,27.22
2020-10-14T00:00:00Z,IT,Milan,wind-gust,51,0.2,5.7,2.0,30.97
2020-11-22T00:00:00Z,IT,Milan,wind-gust,23,0.2,8.0,3.0,65.26
2020-11-28T00:00:00Z,IT,Milan,wind-gust,12,0.2,5.5,1.5,44.76
2020-12-02T00:00:00Z,IT,Milan,wind-gust,28,0.2,6.7,3.0,31.25
2020-11-08T00:00:00Z,IT,Milan,wind-gust,34,0.1,7.7,2.0,63.44
2020-11-25T00:00:00Z,IT,Milan,wind-gust,10,0.2,5.5,3.7,48.89
2020-12-07T00:00:00Z,IT,Milan,wind-gust,22,0.5,13.0,6.0,200.11
2020-12-09T00:00:00Z,IT,Milan,wind-gust,23,0.2,5.0,1.7,17.44
2020-12-21T00:00:00Z,IT,Milan,wind-gust,19,0.2,4.0,1.0,11.51
2020-10-18T00:00:00Z,IT,Milan,wind-gust,39,0.1,7.7,1.2,39.74
2020-10-24T00:00:00Z,IT,Milan,wind-gust,60,0.1,6.4,1.7,23.79
2020-11-16T00:00:00Z,IT,Milan,wind-gust,50,0.7,7.5,2.6,43.18
2020-10-13T00:00:00Z,IT,Milan,wind-gust,43,0.2,9.0,4.4,92.51
2020-11-29T00:00:00Z,IT,Milan,wind-gust,17,0.2,4.0,1.0,19.17
2020-12-30T00:00:00Z,IT,Milan,wind-gust,15,0.5,4.7,1.5,15.38
2020-10-08T00:00:00Z,IT,Milan,wind-gust,44,0.1,7.5,1.9,47.55
2020-10-27T00:00:00Z,IT,Milan,wind-gust,56,0.2,13.7,6.0,132.02
2020-11-26T00:00:00Z,IT,Milan,wind-gust,10,0.2,6.0,1.7,44.52
2020-12-13T00:00:00Z,IT,Milan,wind-gust,16,0.5,4.2,1.5,14.27
2020-12-17T00:00:00Z,IT,Milan,wind-gust,16,0.5,6.0,2.0,37.53
2020-11-27T00:00:00Z,IT,Milan,wind-gust,13,0.2,3.7,1.7,14.86
2020-12-06T00:00:00Z,IT,Milan,wind-gust,21,0.2,5.5,4.0,16.40
2020-12-29T00:00:00Z,IT,Milan,wind-gust,23,0.2,7.5,2.2,33.64
2020-10-04T00:00:00Z,IT,Milan,wind-gust,72,2.2,16.1,8.0,132.47
2020-10-09T00:00:00Z,IT,Milan,wind-gust,41,0.1,5.0,1.0,25.82
2020-10-21T00:00:00Z,IT,Milan,wind-gust,50,0.1,7.7,2.3,52.35
2020-11-02T00:00:00Z,IT,Milan,wind-gust,55,0.4,8.5,3.0,38.99
2020-11-05T00:00:00Z,IT,Milan,wind-gust,45,0.1,8.5,1.2,73.90
2020-11-10T00:00:00Z,IT,Milan,wind-gust,41,0.1,6.4,1.6,38.17
2020-12-04T00:00:00Z,IT,Milan,wind-gust,24,0.7,14.7,7.2,165.77
2020-12-12T00:00:00Z,IT,Milan,wind-gust,44,0.1,5.0,1.5,30.12
2020-09-30T00:00:00Z,IT,Milan,wind-gust,54,0.1,7.6,5.0,70.23
2020-10-02T00:00:00Z,IT,Milan,wind-gust,77,1.5,30.5,18.7,529.20
2020-10-22T00:00:00Z,IT,Milan,wind-gust,64,0.1,8.0,2.8,37.64
2020-10-26T00:00:00Z,IT,Milan,wind-gust,70,0.5,16.5,10.5,199.97
2020-11-06T00:00:00Z,IT,Milan,wind-gust,44,0.2,6.0,2.2,22.24
2020-12-28T00:00:00Z,IT,Milan,wind-gust,17,0.2,10.5,3.5,88.80
2020-09-29T00:00:00Z,IT,Milan,wind-gust,59,0.1,10.8,2.0,140.84
2020-10-16T00:00:00Z,IT,Milan,wind-gust,44,0.1,8.5,3.6,96.85
2020-11-11T00:00:00Z,IT,Milan,wind-gust,43,0.2,10.0,3.1,49.23
2020-12-31T00:00:00Z,IT,Milan,wind-gust,9,0.2,3.5,2.2,13.90
2021-01-03T00:00:00Z,IT,Milan,wind-gust,20,0.5,8.7,3.7,58.19
2020-12-20T00:00:00Z,IT,Milan,wind-gust,17,0.2,3.0,1.5,8.00
2020-10-20T00:00:00Z,IT,Milan,wind-gust,39,0.1,5.2,1.5,18.39
2020-10-28T00:00:00Z,IT,Milan,wind-gust,48,0.1,7.2,1.5,67.07
2020-11-04T00:00:00Z,IT,Milan,wind-gust,52,0.2,6.4,1.9,38.82
2020-11-24T00:00:00Z,IT,Milan,wind-gust,11,0.5,4.7,2.7,21.58
2020-12-15T00:00:00Z,IT,Milan,wind-gust,20,0.5,3.7,1.2,7.46
2020-11-18T00:00:00Z,IT,Milan,wind-gust,20,0.2,6.5,2.2,44.64
2020-12-10T00:00:00Z,IT,Milan,wind-gust,27,0.2,5.8,2.5,37.16
2020-12-11T00:00:00Z,IT,Milan,wind-gust,47,0.1,4.0,0.7,11.42
2020-12-14T00:00:00Z,IT,Milan,wind-gust,19,0.2,3.5,1.0,10.11
2020-12-27T00:00:00Z,IT,Milan,wind-gust,17,0.2,5.2,2.0,27.82
2021-01-01T00:00:00Z,IT,Milan,wind-gust,11,0.2,3.0,1.2,11.00
2020-10-11T00:00:00Z,IT,Milan,wind-gust,67,0.2,10.2,5.7,109.52
2020-10-15T00:00:00Z,IT,Milan,wind-gust,49,0.2,12.1,4.0,93.87
2020-11-07T00:00:00Z,IT,Milan,wind-gust,30,0.1,6.7,3.0,44.41
2020-11-14T00:00:00Z,IT,Milan,wind-gust,49,0.1,5.2,1.7,24.19
2020-12-24T00:00:00Z,IT,Milan,wind-gust,22,0.2,2.7,0.7,6.13
2020-12-22T00:00:00Z,IT,Milan,wind-gust,24,0.5,4.5,2.5,14.44
2020-10-10T00:00:00Z,IT,Milan,wind-gust,40,0.2,8.0,3.6,60.29
2020-10-30T00:00:00Z,IT,Milan,wind-gust,46,0.1,5.4,1.0,28.73
2020-11-17T00:00:00Z,IT,Milan,wind-gust,42,0.2,5.7,1.6,36.74
2020-12-05T00:00:00Z,IT,Milan,wind-gust,18,0.7,6.0,3.2,20.32
2020-12-18T00:00:00Z,IT,Milan,wind-gust,10,0.5,5.2,2.0,25.50
2020-11-03T00:00:00Z,IT,Milan,wind-gust,46,0.1,5.8,1.2,20.69
2020-11-09T00:00:00Z,IT,Milan,wind-gust,37,0.1,6.6,1.2,52.10
2020-12-08T00:00:00Z,IT,Milan,wind-gust,21,0.2,4.2,1.2,13.36
2020-10-01T00:00:00Z,IT,Milan,wind-gust,51,0.1,6.4,1.4,26.44
2020-10-12T00:00:00Z,IT,Milan,wind-gust,55,0.1,11.8,3.7,106.91
2020-10-17T00:00:00Z,IT,Milan,wind-gust,49,0.1,6.5,2.5,44.52
2020-10-19T00:00:00Z,IT,Milan,wind-gust,35,0.1,6.0,0.8,37.21
2020-10-23T00:00:00Z,IT,Milan,wind-gust,53,0.1,6.6,4.3,43.80
2020-11-19T00:00:00Z,IT,Milan,wind-gust,37,0.2,6.1,2.6,29.10
2020-11-21T00:00:00Z,IT,Milan,wind-gust,57,0.4,7.1,3.7,44.26
2020-12-01T00:00:00Z,IT,Milan,wind-gust,18,0.2,6.7,1.5,46.55
2020-09-28T00:00:00Z,IT,Milan,wind-gust,67,0.2,9.3,3.7,72.34
2020-10-05T00:00:00Z,IT,Milan,wind-gust,56,0.2,14.2,4.2,158.74
2020-10-31T00:00:00Z,IT,Milan,wind-gust,39,0.1,5.7,2.1,32.37
2020-11-12T00:00:00Z,IT,Milan,wind-gust,59,0.1,5.7,1.4,26.49
2020-11-15T00:00:00Z,IT,Milan,wind-gust,55,0.1,6.2,1.5,26.13
2020-12-25T00:00:00Z,IT,Milan,wind-gust,21,0.2,16.0,4.0,261.35
2020-12-26T00:00:00Z,IT,Milan,wind-gust,23,0.2,8.2,2.8,69.91
2020-12-23T00:00:00Z,IT,Milan,wind-gust,22,0.5,3.2,1.7,4.77
2021-01-02T00:00:00Z,IT,Milan,wind-gust,24,0.2,7.5,1.7,31.67
2020-10-07T00:00:00Z,IT,Milan,wind-gust,67,0.2,15.5,7.3,170.54
2020-10-29T00:00:00Z,IT,Milan,wind-gust,51,0.1,7.2,1.0,53.37
2020-11-01T00:00:00Z,IT,Milan,wind-gust,53,0.1,7.0,2.0,37.38
2020-11-23T00:00:00Z,IT,Milan,wind-gust,13,0.2,5.2,2.5,36.15
2020-12-03T00:00:00Z,IT,Milan,wind-gust,24,0.2,5.0,1.7,13.88
2020-12-16T00:00:00Z,IT,Milan,wind-gust,19,0.2,4.7,2.0,19.12
2020-10-03T00:00:00Z,IT,Milan,wind-gust,73,0.9,31.9,11.5,858.33
2020-10-25T00:00:00Z,IT,Milan,wind-gust,49,0.2,6.2,1.8,29.88
2020-11-13T00:00:00Z,IT,Milan,wind-gust,47,0.1,3.7,1.0,8.43
2020-11-20T00:00:00Z,IT,Milan,wind-gust,46,0.1,9.2,1.7,99.76
2020-11-30T00:00:00Z,IT,Milan,wind-gust,12,0.2,5.0,1.2,33.81
2020-10-19T00:00:00Z,IT,Milan,dew,24,5.5,11.0,8.5,22.54
2020-11-08T00:00:00Z,IT,Milan,dew,24,7.0,11.0,9.5,13.69
2020-11-16T00:00:00Z,IT,Milan,dew,10,6.0,10.0,7.5,21.92
2020-11-23T00:00:00Z,IT,Milan,dew,21,-2.0,2.0,0.0,12.39
2020-11-25T00:00:00Z,IT,Milan,dew,20,-0.5,4.0,1.0,20.23
2020-12-24T00:00:00Z,IT,Milan,dew,9,8.0,9.0,8.5,1.53
2020-12-19T00:00:00Z,IT,Milan,dew,18,6.0,8.0,7.0,5.00
2020-10-02T00:00:00Z,IT,Milan,dew,10,14.5,15.5,15.0,0.81
2020-10-16T00:00:00Z,IT,Milan,dew,18,8.0,11.0,9.0,7.69
2020-10-30T00:00:00Z,IT,Milan,dew,23,7.5,13.0,10.5,33.77
2020-11-01T00:00:00Z,IT,Milan,dew,20,9.0,12.5,11.0,14.28
2020-12-02T00:00:00Z,IT,Milan,dew,12,1.0,2.0,1.5,1.88
2020-12-13T00:00:00Z,IT,Milan,dew,23,0.0,5.0,2.5,22.48
2020-12-21T00:00:00Z,IT,Milan,dew,4,8.0,8.5,8.0,0.62
2020-10-07T00:00:00Z,IT,Milan,dew,24,2.0,12.0,10.0,128.41
2020-10-12T00:00:00Z,IT,Milan,dew,24,3.5,9.0,6.0,22.60
2020-10-25T00:00:00Z,IT,Milan,dew,19,8.5,14.0,13.0,34.14
2020-11-09T00:00:00Z,IT,Milan,dew,23,7.0,12.0,9.5,25.21
2020-11-22T00:00:00Z,IT,Milan,dew,10,-1.0,0.0,-0.5,2.11
2020-12-16T00:00:00Z,IT,Milan,dew,7,6.0,7.0,6.5,2.50
2020-12-22T00:00:00Z,IT,Milan,dew,8,7.0,8.0,7.5,2.14
2020-10-11T00:00:00Z,IT,Milan,dew,22,8.5,14.0,11.5,26.32
2020-11-20T00:00:00Z,IT,Milan,dew,22,3.5,8.0,6.0,17.27
2020-11-24T00:00:00Z,IT,Milan,dew,22,0.0,3.0,1.5,6.84
2020-11-29T00:00:00Z,IT,Milan,dew,16,1.0,7.0,5.5,29.62
2020-12-06T00:00:00Z,IT,Milan,dew,9,2.5,4.5,3.5,4.38
2020-12-07T00:00:00Z,IT,Milan,dew,21,3.0,5.0,4.0,2.75
2020-09-28T00:00:00Z,IT,Milan,dew,23,5.0,10.0,7.0,16.24
2020-11-10T00:00:00Z,IT,Milan,dew,23,6.0,12.0,8.5,44.20
2020-11-12T00:00:00Z,IT,Milan,dew,20,7.5,10.0,9.0,3.12
2020-12-09T00:00:00Z,IT,Milan,dew,11,5.0,6.0,5.5,1.50
2020-12-25T00:00:00Z,IT,Milan,dew,22,3.0,8.0,4.0,47.69
2020-10-05T00:00:00Z,IT,Milan,dew,23,10.0,13.0,11.5,9.20
2020-10-18T00:00:00Z,IT,Milan,dew,23,7.0,10.5,9.0,10.42
2020-10-27T00:00:00Z,IT,Milan,dew,22,7.0,11.5,9.0,13.08
2020-11-06T00:00:00Z,IT,Milan,dew,21,9.0,13.0,11.5,14.04
2020-12-05T00:00:00Z,IT,Milan,dew,20,1.0,3.5,2.0,4.24
2020-12-14T00:00:00Z,IT,Milan,dew,24,-1.0,6.0,0.5,48.32
2020-12-10T00:00:00Z,IT,Milan,dew,15,2.0,7.0,5.5,26.02
2020-12-15T00:00:00Z,IT,Milan,dew,24,1.0,6.0,4.0,29.71
2020-10-29T00:00:00Z,IT,Milan,dew,23,7.0,11.0,9.5,17.09
2020-11-03T00:00:00Z,IT,Milan,dew,14,12.0,14.0,13.0,3.74
2020-11-11T00:00:00Z,IT,Milan,dew,22,6.0,11.0,8.5,21.89
2020-11-28T00:00:00Z,IT,Milan,dew,21,1.0,6.0,4.5,20.25
2020-12-01T00:00:00Z,IT,Milan,dew,17,0.5,3.0,2.0,5.04
2020-12-04T00:00:00Z,IT,Milan,dew,18,1.0,5.0,2.0,15.53
2020-12-17T00:00:00Z,IT,Milan,dew,19,6.0,8.0,7.0,2.63
2020-12-23T00:00:00Z,IT,Milan,dew,4,8.5,9.0,9.0,0.62
2021-01-03T00:00:00Z,IT,Milan,dew,20,4.0,5.5,5.0,3.55
2020-10-14T00:00:00Z,IT,Milan,dew,22,4.0,7.5,5.5,9.91
2020-10-20T00:00:00Z,IT,Milan,dew,23,6.5,11.0,9.0,22.94
2020-11-14T00:00:00Z,IT,Milan,dew,13,9.0,10.0,10.0,1.06
2020-11-19T00:00:00Z,IT,Milan,dew,21,4.5,8.0,6.0,12.32
2020-12-03T00:00:00Z,IT,Milan,dew,15,1.0,3.0,2.0,2.79
2020-12-26T00:00:00Z,IT,Milan,dew,24,-0.5,3.0,1.5,11.52
2020-11-07T00:00:00Z,IT,Milan,dew,24,7.0,12.0,8.5,27.79
2020-12-08T00:00:00Z,IT,Milan,dew,15,4.0,6.0,5.0,4.10
2020-12-31T00:00:00Z,IT,Milan,dew,18,-5.5,1.5,-3.5,52.13
2021-01-01T00:00:00Z,IT,Milan,dew,15,0.5,2.0,1.5,2.67
2020-10-01T00:00:00Z,IT,Milan,dew,17,13.0,14.5,14.0,2.15
2020-10-31T00:00:00Z,IT,Milan,dew,23,6.5,13.0,11.0,49.84
2020-11-02T00:00:00Z,IT,Milan,dew,12,10.0,13.0,12.0,13.69
2020-11-15T00:00:00Z,IT,Milan,dew,19,8.0,10.0,9.0,3.68
2020-12-11T00:00:00Z,IT,Milan,dew,20,1.5,5.0,3.0,17.34
2020-12-20T00:00:00Z,IT,Milan,dew,4,7.5,8.0,8.0,0.62
2020-11-30T00:00:00Z,IT,Milan,dew,10,0.0,2.0,1.0,5.67
2020-09-29T00:00:00Z,IT,Milan,dew,24,8.5,12.0,10.0,11.67
2020-10-03T00:00:00Z,IT,Milan,dew,18,5.5,15.5,10.5,60.75
2020-10-10T00:00:00Z,IT,Milan,dew,22,9.5,14.0,12.0,14.40
2020-10-15T00:00:00Z,IT,Milan,dew,18,8.0,11.0,10.0,7.13
2020-11-05T00:00:00Z,IT,Milan,dew,22,10.0,14.0,11.5,21.04
2020-11-26T00:00:00Z,IT,Milan,dew,24,-2.0,4.0,1.5,37.50
2020-10-04T00:00:00Z,IT,Milan,dew,20,8.0,12.0,10.0,14.55
2020-10-06T00:00:00Z,IT,Milan,dew,22,10.0,12.0,11.0,3.55
2020-10-22T00:00:00Z,IT,Milan,dew,14,11.5,13.0,12.0,2.54
2020-11-21T00:00:00Z,IT,Milan,dew,23,-2.5,4.0,0.5,47.25
2020-12-27T00:00:00Z,IT,Milan,dew,21,-2.5,1.0,-1.5,14.00
2020-12-28T00:00:00Z,IT,Milan,dew,16,-2.5,1.0,0.0,15.41
2020-10-24T00:00:00Z,IT,Milan,dew,6,9.0,12.5,10.5,16.00
2020-11-18T00:00:00Z,IT,Milan,dew,22,5.0,8.0,6.0,11.59
2020-10-26T00:00:00Z,IT,Milan,dew,7,12.5,14.0,13.0,3.93
2020-11-17T00:00:00Z,IT,Milan,dew,24,4.0,9.0,5.5,28.55
2020-10-13T00:00:00Z,IT,Milan,dew,24,-1.0,6.0,4.0,39.71
2020-10-17T00:00:00Z,IT,Milan,dew,23,5.0,10.0,8.0,19.47
2020-11-04T00:00:00Z,IT,Milan,dew,10,12.0,14.0,13.5,4.33
2020-11-27T00:00:00Z,IT,Milan,dew,19,-2.0,5.0,0.0,76.68
2020-12-12T00:00:00Z,IT,Milan,dew,23,2.0,6.0,4.5,11.28
2020-11-13T00:00:00Z,IT,Milan,dew,6,9.0,10.0,9.0,3.00
2020-12-18T00:00:00Z,IT,Milan,dew,19,5.0,7.0,6.5,2.85
2020-09-30T00:00:00Z,IT,Milan,dew,24,10.5,13.5,12.0,9.34
2020-10-08T00:00:00Z,IT,Milan,dew,24,6.5,11.0,8.0,15.76
2020-10-09T00:00:00Z,IT,Milan,dew,22,9.0,13.0,11.0,18.40
2020-10-21T00:00:00Z,IT,Milan,dew,19,9.0,11.5,10.5,4.33
2020-10-23T00:00:00Z,IT,Milan,dew,5,13.0,13.5,13.0,0.75
2020-10-28T00:00:00Z,IT,Milan,dew,22,7.0,10.0,8.0,8.55
2020-12-29T00:00:00Z,IT,Milan,dew,15,-5.0,0.0,-1.5,20.60
2020-12-30T00:00:00Z,IT,Milan,dew,16,-2.5,2.0,1.0,19.82
2021-01-02T00:00:00Z,IT,Milan,dew,22,1.0,4.5,3.0,11.58
2020-12-30T00:00:00Z,IT,Milan,temperature,96,-2.6,5.8,2.0,34.21
2020-10-07T00:00:00Z,IT,Milan,temperature,96,9.3,23.6,15.4,171.63
2020-10-29T00:00:00Z,IT,Milan,temperature,95,5.5,17.2,11.5,111.22
2020-10-31T00:00:00Z,IT,Milan,temperature,96,5.8,17.0,11.5,87.85
2020-11-11T00:00:00Z,IT,Milan,temperature,96,4.0,11.2,9.9,35.41
2020-11-26T00:00:00Z,IT,Milan,temperature,96,-2.0,11.1,4.7,149.48
2020-12-02T00:00:00Z,IT,Milan,temperature,96,0.5,3.8,1.7,7.05
2020-12-04T00:00:00Z,IT,Milan,temperature,92,1.1,6.0,2.7,18.27
2020-10-01T00:00:00Z,IT,Milan,temperature,96,11.2,21.0,17.0,47.24
2020-10-06T00:00:00Z,IT,Milan,temperature,96,8.0,18.5,14.9,86.58
2020-12-19T00:00:00Z,IT,Milan,temperature,96,6.0,10.5,8.0,14.24
2020-12-25T00:00:00Z,IT,Milan,temperature,96,3.7,8.6,6.8,22.40
2020-12-29T00:00:00Z,IT,Milan,temperature,96,-5.0,2.5,1.0,22.95
2020-11-10T00:00:00Z,IT,Milan,temperature,96,4.4,17.2,11.0,129.07
2020-11-19T00:00:00Z,IT,Milan,temperature,96,0.8,14.2,6.1,95.20
2020-12-16T00:00:00Z,IT,Milan,temperature,96,5.5,8.8,7.0,9.23
2020-10-17T00:00:00Z,IT,Milan,temperature,96,3.3,18.1,11.1,171.62
2020-11-06T00:00:00Z,IT,Milan,temperature,96,7.7,18.2,13.8,59.75
2020-11-09T00:00:00Z,IT,Milan,temperature,96,5.0,18.3,11.6,160.71
2020-11-16T00:00:00Z,IT,Milan,temperature,96,5.0,13.8,10.1,35.26
2020-11-22T00:00:00Z,IT,Milan,temperature,96,-2.2,10.8,4.0,123.41
2020-12-06T00:00:00Z,IT,Milan,temperature,95,2.0,5.0,3.8,7.49
2020-12-11T00:00:00Z,IT,Milan,temperature,96,0.4,6.6,4.5,23.37
2020-09-29T00:00:00Z,IT,Milan,temperature,96,8.3,22.0,15.8,137.19
2020-10-08T00:00:00Z,IT,Milan,temperature,96,5.5,22.9,14.6,249.28
2020-10-25T00:00:00Z,IT,Milan,temperature,96,8.0,18.3,14.0,62.72
2020-11-03T00:00:00Z,IT,Milan,temperature,96,11.6,16.6,13.8,24.24
2020-11-15T00:00:00Z,IT,Milan,temperature,96,10.0,13.7,11.6,7.99
2020-11-17T00:00:00Z,IT,Milan,temperature,96,3.3,15.1,8.3,117.60
2020-12-08T00:00:00Z,IT,Milan,temperature,96,4.4,7.0,5.3,3.31
2020-12-21T00:00:00Z,IT,Milan,temperature,96,7.7,9.4,8.3,2.81
2020-12-24T00:00:00Z,IT,Milan,temperature,96,7.2,9.4,8.8,1.79
2020-12-28T00:00:00Z,IT,Milan,temperature,95,-2.5,2.0,0.5,6.22
2021-01-01T00:00:00Z,IT,Milan,temperature,96,1.0,3.4,2.2,4.96
2020-12-22T00:00:00Z,IT,Milan,temperature,96,6.6,11.3,8.3,12.65
2020-09-28T00:00:00Z,IT,Milan,temperature,96,6.2,22.2,14.0,232.14
2020-10-13T00:00:00Z,IT,Milan,temperature,96,1.1,17.9,10.5,217.60
2020-10-16T00:00:00Z,IT,Milan,temperature,96,6.5,16.0,11.0,50.35
2020-10-18T00:00:00Z,IT,Milan,temperature,96,4.4,17.2,11.5,130.05
2020-10-24T00:00:00Z,IT,Milan,temperature,96,8.8,16.0,13.3,20.22
2020-11-21T00:00:00Z,IT,Milan,temperature,96,-0.5,11.4,7.1,106.83
2020-12-13T00:00:00Z,IT,Milan,temperature,75,-1.1,10.0,3.3,78.32
2020-11-01T00:00:00Z,IT,Milan,temperature,96,6.2,17.2,11.0,47.02
2020-11-02T00:00:00Z,IT,Milan,temperature,96,8.3,18.2,11.6,58.96
2020-11-18T00:00:00Z,IT,Milan,temperature,95,1.6,13.1,6.2,60.99
2020-10-12T00:00:00Z,IT,Milan,temperature,96,4.8,18.6,11.0,156.76
2020-10-27T00:00:00Z,IT,Milan,temperature,96,7.5,16.7,11.0,60.06
2020-11-04T00:00:00Z,IT,Milan,temperature,96,12.5,17.0,14.4,9.62
2020-11-25T00:00:00Z,IT,Milan,temperature,96,-1.6,11.5,5.0,164.11
2020-12-05T00:00:00Z,IT,Milan,temperature,60,1.8,5.0,3.3,7.03
2020-12-17T00:00:00Z,IT,Milan,temperature,90,5.5,9.6,7.7,10.87
2020-10-02T00:00:00Z,IT,Milan,temperature,96,13.0,19.0,16.0,13.40
2020-12-01T00:00:00Z,IT,Milan,temperature,96,3.0,7.2,5.0,13.82
2021-01-03T00:00:00Z,IT,Milan,temperature,96,3.4,8.4,5.5,16.28
2020-09-30T00:00:00Z,IT,Milan,temperature,96,8.3,23.1,17.5,174.98
2020-10-10T00:00:00Z,IT,Milan,temperature,96,7.7,21.5,15.5,148.74
2020-11-05T00:00:00Z,IT,Milan,temperature,96,8.0,18.6,13.6,72.97
2020-11-07T00:00:00Z,IT,Milan,temperature,95,5.3,17.7,11.6,115.68
2020-11-20T00:00:00Z,IT,Milan,temperature,96,1.5,13.8,8.5,93.41
2020-11-28T00:00:00Z,IT,Milan,temperature,96,0.0,9.9,6.9,53.34
2020-12-07T00:00:00Z,IT,Milan,temperature,96,2.7,6.3,4.5,7.91
2021-01-02T00:00:00Z,IT,Milan,temperature,96,1.0,5.5,3.5,13.83
2020-10-15T00:00:00Z,IT,Milan,temperature,96,8.7,12.5,10.5,6.16
2020-11-24T00:00:00Z,IT,Milan,temperature,96,-1.1,13.0,5.5,154.14
2020-12-09T00:00:00Z,IT,Milan,temperature,96,5.0,7.0,6.0,1.88
2020-12-18T00:00:00Z,IT,Milan,temperature,96,5.0,10.4,7.5,10.29
2020-12-23T00:00:00Z,IT,Milan,temperature,96,7.7,10.4,9.0,4.43
2020-12-26T00:00:00Z,IT,Milan,temperature,96,-1.9,8.9,5.0,81.57
2020-12-31T00:00:00Z,IT,Milan,temperature,96,-5.5,5.8,1.5,89.40
2020-10-11T00:00:00Z,IT,Milan,temperature,96,8.4,15.9,12.7,25.35
2020-10-19T00:00:00Z,IT,Milan,temperature,96,5.4,17.5,11.2,132.02
2020-10-22T00:00:00Z,IT,Milan,temperature,96,10.0,14.8,13.3,8.09
2020-10-26T00:00:00Z,IT,Milan,temperature,96,11.7,15.0,13.3,3.31
2020-12-10T00:00:00Z,IT,Milan,temperature,96,2.0,9.6,6.1,24.07
2020-10-09T00:00:00Z,IT,Milan,temperature,96,7.5,20.1,15.0,130.33
2020-10-28T00:00:00Z,IT,Milan,temperature,96,5.5,18.0,11.1,128.08
2020-11-30T00:00:00Z,IT,Milan,temperature,91,-1.1,7.7,5.7,61.16
2020-12-27T00:00:00Z,IT,Milan,temperature,96,-3.3,5.1,2.0,47.98
2020-12-20T00:00:00Z,IT,Milan,temperature,96,6.9,8.3,7.7,1.38
2020-10-03T00:00:00Z,IT,Milan,temperature,96,13.1,21.0,17.2,34.19
2020-10-05T00:00:00Z,IT,Milan,temperature,96,9.7,18.0,13.7,45.38
2020-10-21T00:00:00Z,IT,Milan,temperature,96,7.6,16.5,13.3,39.96
2020-11-08T00:00:00Z,IT,Milan,temperature,91,4.8,18.3,11.1,155.10
2020-11-23T00:00:00Z,IT,Milan,temperature,89,-2.2,10.9,6.5,132.56
2020-11-29T00:00:00Z,IT,Milan,temperature,96,0.2,10.8,7.7,50.39
2020-12-12T00:00:00Z,IT,Milan,temperature,93,1.3,7.6,5.0,16.90
2020-10-14T00:00:00Z,IT,Milan,temperature,94,3.8,16.9,11.1,119.18
2020-10-20T00:00:00Z,IT,Milan,temperature,96,3.8,15.5,12.0,116.70
