Date,Country,City,Specie,count,min,max,median,variance
2021-02-18T00:00:00Z,HK,Hong Kong,pressure,360,1022.5,1027.4,1024.0,15.38
2021-01-16T00:00:00Z,HK,Hong Kong,pressure,360,1014.9,1020.6,1017.0,23.72
2021-01-30T00:00:00Z,HK,Hong Kong,pressure,360,1020.0,1024.6,1022.0,13.51
2021-02-01T00:00:00Z,HK,Hong Kong,pressure,360,1013.0,1026.0,1020.0,63.72
2021-02-26T00:00:00Z,HK,Hong Kong,pressure,330,1008.0,1020.0,1010.7,166.26
2021-03-05T00:00:00Z,HK,Hong Kong,pressure,360,1014.0,1018.0,1016.0,12.90
2021-01-02T00:00:00Z,HK,Hong Kong,pressure,360,1019.7,1025.3,1022.5,27.44
2021-01-11T00:00:00Z,HK,Hong Kong,pressure,360,1007.5,1028.5,1024.0,323.36
2021-01-20T00:00:00Z,HK,Hong Kong,pressure,357,1015.0,1020.2,1018.0,21.01
2021-02-17T00:00:00Z,HK,Hong Kong,pressure,360,1004.5,1024.0,1019.0,128.63
2021-03-13T00:00:00Z,HK,Hong Kong,pressure,330,998.0,1022.0,1018.0,437.61
2021-03-20T00:00:00Z,HK,Hong Kong,pressure,357,1008.0,1022.0,1011.0,117.56
2021-01-09T00:00:00Z,HK,Hong Kong,pressure,360,1021.7,1030.0,1024.7,38.17
2021-01-23T00:00:00Z,HK,Hong Kong,pressure,360,1012.0,1021.0,1014.0,27.45
2021-02-03T00:00:00Z,HK,Hong Kong,pressure,360,1008.5,1024.1,1021.1,111.76
2021-02-22T00:00:00Z,HK,Hong Kong,pressure,360,1013.7,1019.5,1016.0,16.40
2021-02-23T00:00:00Z,HK,Hong Kong,pressure,320,1012.0,1017.5,1014.9,17.53
2021-03-02T00:00:00Z,HK,Hong Kong,pressure,360,1007.0,1021.5,1018.2,78.55
2021-03-06T00:00:00Z,HK,Hong Kong,pressure,360,992.0,1018.6,1015.8,169.75
2021-01-03T00:00:00Z,HK,Hong Kong,pressure,360,1019.5,1031.5,1022.0,93.76
2021-02-06T00:00:00Z,HK,Hong Kong,pressure,360,1015.0,1020.4,1017.3,25.26
2021-02-20T00:00:00Z,HK,Hong Kong,pressure,360,1012.5,1022.7,1020.0,48.59
2021-02-11T00:00:00Z,HK,Hong Kong,pressure,360,1013.0,1037.5,1015.5,198.24
2021-02-14T00:00:00Z,HK,Hong Kong,pressure,360,1013.5,1018.9,1016.5,19.26
2021-02-15T00:00:00Z,HK,Hong Kong,pressure,360,1013.0,1031.0,1014.8,105.54
2021-03-01T00:00:00Z,HK,Hong Kong,pressure,360,1014.6,1018.6,1016.2,10.86
2021-03-04T00:00:00Z,HK,Hong Kong,pressure,360,1015.5,1022.0,1018.1,15.60
2020-12-29T00:00:00Z,HK,Hong Kong,pressure,360,1012.0,1034.5,1015.0,121.73
2021-01-13T00:00:00Z,HK,Hong Kong,pressure,360,1016.8,1022.0,1020.0,23.14
2021-01-15T00:00:00Z,HK,Hong Kong,pressure,360,1013.8,1017.6,1016.0,16.08
2021-03-12T00:00:00Z,HK,Hong Kong,pressure,284,1008.0,1021.3,1018.0,75.26
2021-02-24T00:00:00Z,HK,Hong Kong,pressure,340,1011.0,1023.0,1014.0,72.28
2021-03-03T00:00:00Z,HK,Hong Kong,pressure,360,1010.0,1022.4,1019.4,88.34
2021-03-10T00:00:00Z,HK,Hong Kong,pressure,330,1015.0,1022.9,1019.8,36.47
2021-01-29T00:00:00Z,HK,Hong Kong,pressure,360,1020.0,1025.3,1022.0,14.12
2021-02-04T00:00:00Z,HK,Hong Kong,pressure,360,1019.0,1024.9,1021.0,26.31
2021-02-09T00:00:00Z,HK,Hong Kong,pressure,360,997.0,1020.3,1016.3,692.13
2021-02-27T00:00:00Z,HK,Hong Kong,pressure,332,1011.4,1026.0,1014.4,188.29
2021-03-17T00:00:00Z,HK,Hong Kong,pressure,350,1010.9,1028.0,1013.1,293.49
2021-03-18T00:00:00Z,HK,Hong Kong,pressure,350,1010.0,1029.0,1015.8,478.32
2021-01-17T00:00:00Z,HK,Hong Kong,pressure,360,1020.5,1026.2,1023.0,29.60
2021-01-26T00:00:00Z,HK,Hong Kong,pressure,360,1014.0,1031.5,1017.0,150.56
2021-01-28T00:00:00Z,HK,Hong Kong,pressure,360,1012.5,1023.5,1020.0,46.31
2021-02-25T00:00:00Z,HK,Hong Kong,pressure,330,1008.0,1014.0,1011.0,31.26
2020-12-31T00:00:00Z,HK,Hong Kong,pressure,360,1024.4,1030.3,1026.7,19.03
2021-01-14T00:00:00Z,HK,Hong Kong,pressure,357,1015.1,1019.3,1018.0,13.29
2021-02-08T00:00:00Z,HK,Hong Kong,pressure,360,1016.0,1020.5,1018.0,11.26
2021-03-09T00:00:00Z,HK,Hong Kong,pressure,340,994.5,1023.0,1019.2,246.35
2021-01-07T00:00:00Z,HK,Hong Kong,pressure,360,1009.5,1035.0,1020.7,198.73
2021-02-19T00:00:00Z,HK,Hong Kong,pressure,360,1013.5,1026.5,1023.0,76.20
2021-02-21T00:00:00Z,HK,Hong Kong,pressure,330,1013.5,1026.0,1017.1,46.10
