Date,Country,City,Specie,count,min,max,median,variance
2021-02-25T00:00:00Z,US,Brooklyn,temperature,129,-0.6,11.0,6.9,39.33
2021-02-28T00:00:00Z,US,Brooklyn,temperature,143,1.8,7.7,6.0,18.80
2021-01-29T00:00:00Z,US,Brooklyn,temperature,120,-12.2,-3.0,-6.6,37.31
2021-02-11T00:00:00Z,US,Brooklyn,temperature,120,-6.7,1.0,-2.0,26.63
2021-01-25T00:00:00Z,US,Brooklyn,temperature,143,-8.3,4.0,-0.3,94.26
2021-02-01T00:00:00Z,US,Brooklyn,temperature,119,-7.4,1.0,-2.0,37.62
2021-02-12T00:00:00Z,US,Brooklyn,temperature,120,-10.2,-0.9,-3.0,50.43
2021-02-13T00:00:00Z,US,Brooklyn,temperature,129,-8.2,-0.9,-2.2,25.87
2021-02-17T00:00:00Z,US,Brooklyn,temperature,144,-7.3,1.0,-1.1,37.79
2021-02-22T00:00:00Z,US,Brooklyn,temperature,120,-4.3,4.0,1.3,28.08
2020-12-30T00:00:00Z,US,Brooklyn,temperature,123,-4.4,7.0,1.7,101.23
2021-01-15T00:00:00Z,US,Brooklyn,temperature,120,-0.8,8.0,5.0,51.03
2021-03-20T00:00:00Z,US,Brooklyn,temperature,120,-2.6,15.0,7.7,253.86
2021-03-21T00:00:00Z,US,Brooklyn,temperature,120,2.4,17.5,9.8,177.56
2021-02-27T00:00:00Z,US,Brooklyn,temperature,144,0.1,11.0,6.5,70.65
2021-03-12T00:00:00Z,US,Brooklyn,temperature,120,9.3,20.7,16.2,44.46
2021-02-05T00:00:00Z,US,Brooklyn,temperature,120,-1.6,9.1,4.6,68.88
2021-03-13T00:00:00Z,US,Brooklyn,temperature,120,-1.7,12.5,6.6,108.56
2021-01-17T00:00:00Z,US,Brooklyn,temperature,120,0.0,8.0,4.9,40.83
2021-01-31T00:00:00Z,US,Brooklyn,temperature,120,-10.5,3.8,-5.0,37.51
2021-01-08T00:00:00Z,US,Brooklyn,temperature,120,-4.8,4.0,-0.2,45.98
2021-01-10T00:00:00Z,US,Brooklyn,temperature,120,-4.4,5.5,0.9,62.68
2021-02-23T00:00:00Z,US,Brooklyn,temperature,120,-1.2,7.7,4.3,47.57
2021-03-11T00:00:00Z,US,Brooklyn,temperature,124,5.5,22.0,14.6,266.73
2020-12-28T00:00:00Z,US,Brooklyn,temperature,120,-2.2,11.0,7.0,99.74
2021-01-05T00:00:00Z,US,Brooklyn,temperature,141,0.0,6.0,4.0,15.51
2021-01-21T00:00:00Z,US,Brooklyn,temperature,125,-7.3,6.6,1.6,142.18
2021-01-26T00:00:00Z,US,Brooklyn,temperature,139,-2.2,2.0,1.0,14.69
2021-02-10T00:00:00Z,US,Brooklyn,temperature,120,-6.3,2.4,-1.4,43.31
2021-03-04T00:00:00Z,US,Brooklyn,temperature,118,-4.7,7.6,4.4,90.85
2021-03-16T00:00:00Z,US,Brooklyn,temperature,120,-5.4,3.3,0.3,40.57
2021-01-04T00:00:00Z,US,Brooklyn,temperature,142,0.0,7.0,3.0,27.70
2021-01-14T00:00:00Z,US,Brooklyn,temperature,120,0.0,10.1,5.8,65.60
2021-03-05T00:00:00Z,US,Brooklyn,temperature,126,-7.2,3.5,-0.5,80.48
2021-01-11T00:00:00Z,US,Brooklyn,temperature,120,-5.5,3.3,0.0,50.00
2021-02-16T00:00:00Z,US,Brooklyn,temperature,143,-1.5,12.0,4.3,104.59
2021-02-18T00:00:00Z,US,Brooklyn,temperature,135,-6.1,-0.5,-2.6,12.46
2021-02-19T00:00:00Z,US,Brooklyn,temperature,120,-4.4,1.0,-1.0,17.03
2021-02-20T00:00:00Z,US,Brooklyn,temperature,114,-5.2,1.6,-0.2,24.56
2021-02-26T00:00:00Z,US,Brooklyn,temperature,141,-2.6,8.4,4.0,48.67
2021-03-07T00:00:00Z,US,Brooklyn,temperature,144,-3.8,5.7,0.5,58.03
2021-03-17T00:00:00Z,US,Brooklyn,temperature,120,-1.1,9.4,5.5,79.08
2021-01-07T00:00:00Z,US,Brooklyn,temperature,133,-2.8,6.0,1.0,42.59
2021-02-06T00:00:00Z,US,Brooklyn,temperature,120,-3.6,7.2,4.0,73.16
2021-03-22T00:00:00Z,US,Brooklyn,temperature,120,1.8,17.0,9.0,149.73
2021-01-13T00:00:00Z,US,Brooklyn,temperature,120,-1.6,6.6,3.8,36.24
2021-01-18T00:00:00Z,US,Brooklyn,temperature,120,-1.1,8.0,4.8,42.17
2020-12-31T00:00:00Z,US,Brooklyn,temperature,144,-0.5,10.0,6.5,52.98
2021-01-06T00:00:00Z,US,Brooklyn,temperature,144,-0.5,6.0,2.7,18.56
2021-01-12T00:00:00Z,US,Brooklyn,temperature,120,-3.8,7.7,3.0,68.90
2021-01-22T00:00:00Z,US,Brooklyn,temperature,143,-1.3,8.0,4.6,47.11
2021-02-04T00:00:00Z,US,Brooklyn,temperature,120,-2.2,6.1,2.0,56.62
2021-02-08T00:00:00Z,US,Brooklyn,temperature,120,-11.1,-0.1,-4.0,66.54
2021-03-06T00:00:00Z,US,Brooklyn,temperature,144,-5.2,2.0,0.0,19.36
2021-03-19T00:00:00Z,US,Brooklyn,temperature,120,-2.1,6.1,3.0,43.61
2021-01-02T00:00:00Z,US,Brooklyn,temperature,144,-0.4,11.4,4.8,88.90
2021-01-03T00:00:00Z,US,Brooklyn,temperature,144,-1.8,4.0,2.7,19.25
2021-03-03T00:00:00Z,US,Brooklyn,temperature,120,-5.6,11.6,7.0,211.19
2021-02-03T00:00:00Z,US,Brooklyn,temperature,120,-3.3,3.0,-0.3,27.25
2021-03-01T00:00:00Z,US,Brooklyn,temperature,144,-2.9,9.3,5.1,53.64
2021-01-28T00:00:00Z,US,Brooklyn,temperature,120,-8.8,2.0,-1.6,58.83
2021-02-21T00:00:00Z,US,Brooklyn,temperature,120,-7.6,3.5,-0.5,75.36
