Date,Country,City,Specie,count,min,max,median,variance
2021-02-21T00:00:00Z,US,Queens,co,48,2.1,4.3,2.5,5.01
2021-02-23T00:00:00Z,US,Queens,co,48,2.6,4.3,3.3,2.55
2021-03-14T00:00:00Z,US,Queens,co,72,1.5,3.8,2.0,2.62
2021-01-07T00:00:00Z,US,Queens,co,67,1.6,3.0,2.5,1.55
2021-01-17T00:00:00Z,US,Queens,co,48,2.2,2.9,2.6,0.47
2021-01-29T00:00:00Z,US,Queens,co,72,1.6,3.4,1.9,1.32
2021-02-18T00:00:00Z,US,Queens,co,60,1.9,3.2,2.4,0.82
2021-02-19T00:00:00Z,US,Queens,co,46,2.2,4.6,2.5,6.78
2021-03-15T00:00:00Z,US,Queens,co,48,1.5,2.3,2.1,0.38
2021-02-20T00:00:00Z,US,Queens,co,48,2.2,4.0,2.6,2.35
2021-02-24T00:00:00Z,US,Queens,co,56,2.2,4.3,3.0,3.99
2021-03-13T00:00:00Z,US,Queens,co,72,1.4,3.9,2.1,2.92
2021-03-01T00:00:00Z,US,Queens,co,70,2.0,9.0,2.8,30.62
2021-01-02T00:00:00Z,US,Queens,co,72,1.9,6.5,2.6,9.52
2021-01-08T00:00:00Z,US,Queens,co,48,2.5,3.9,2.8,1.96
2021-01-28T00:00:00Z,US,Queens,co,72,1.7,7.3,2.2,11.34
2021-02-11T00:00:00Z,US,Queens,co,44,2.3,4.5,2.8,3.12
2021-02-25T00:00:00Z,US,Queens,co,70,2.0,6.1,2.3,3.95
2020-12-28T00:00:00Z,US,Queens,co,46,2.4,5.8,2.9,14.67
2021-01-19T00:00:00Z,US,Queens,co,42,2.0,5.3,2.9,7.75
2021-01-30T00:00:00Z,US,Queens,co,72,1.7,3.2,2.3,1.20
2021-02-04T00:00:00Z,US,Queens,co,48,2.0,8.9,2.4,28.10
2021-01-18T00:00:00Z,US,Queens,co,48,2.3,3.8,2.6,1.74
2021-02-27T00:00:00Z,US,Queens,co,72,2.2,8.7,3.4,28.95
2021-02-05T00:00:00Z,US,Queens,co,48,2.5,7.0,3.3,18.31
2021-03-08T00:00:00Z,US,Queens,co,67,1.8,12.0,2.7,18.69
2021-03-19T00:00:00Z,US,Queens,co,48,1.8,3.2,2.1,1.34
2020-12-30T00:00:00Z,US,Queens,co,68,1.8,6.2,2.9,12.07
2021-01-03T00:00:00Z,US,Queens,co,72,2.0,3.7,2.5,1.01
2021-01-06T00:00:00Z,US,Queens,co,72,1.8,4.4,2.4,3.84
2021-01-14T00:00:00Z,US,Queens,co,48,3.6,11.4,5.6,49.73
2021-01-21T00:00:00Z,US,Queens,co,72,1.7,14.1,3.1,67.86
2021-03-22T00:00:00Z,US,Queens,co,48,2.3,8.0,3.9,43.17
2021-01-27T00:00:00Z,US,Queens,co,68,2.0,8.9,2.8,11.96
2021-02-14T00:00:00Z,US,Queens,co,72,2.2,4.0,2.8,2.60
2021-02-22T00:00:00Z,US,Queens,co,48,2.2,6.9,3.6,12.34
2021-03-03T00:00:00Z,US,Queens,co,48,2.5,4.8,3.5,3.62
2021-03-04T00:00:00Z,US,Queens,co,48,1.8,6.1,2.2,15.47
2021-03-05T00:00:00Z,US,Queens,co,48,1.7,2.5,2.0,0.41
2021-03-23T00:00:00Z,US,Queens,co,30,2.4,3.0,2.6,0.36
2021-03-17T00:00:00Z,US,Queens,co,48,2.3,3.6,2.6,1.16
2021-03-18T00:00:00Z,US,Queens,co,48,2.2,4.5,3.0,2.81
2021-01-23T00:00:00Z,US,Queens,co,72,1.5,2.2,1.9,0.20
2021-02-06T00:00:00Z,US,Queens,co,48,2.0,5.3,2.7,11.46
2021-03-06T00:00:00Z,US,Queens,co,48,1.8,2.7,2.0,0.47
2021-03-11T00:00:00Z,US,Queens,co,72,2.6,9.2,3.8,19.03
2021-03-12T00:00:00Z,US,Queens,co,72,1.9,4.5,2.5,3.38
2021-01-15T00:00:00Z,US,Queens,co,48,2.2,5.4,3.6,10.13
2021-01-22T00:00:00Z,US,Queens,co,72,1.9,12.5,3.0,28.65
2021-02-02T00:00:00Z,US,Queens,co,46,1.9,3.9,2.7,4.82
2021-02-09T00:00:00Z,US,Queens,co,48,3.5,7.1,4.4,10.15
2021-03-16T00:00:00Z,US,Queens,co,48,1.9,3.1,2.4,0.99
2021-03-07T00:00:00Z,US,Queens,co,48,1.9,2.7,2.1,0.33
2020-12-31T00:00:00Z,US,Queens,co,72,2.0,5.0,2.8,4.01
2021-01-05T00:00:00Z,US,Queens,co,66,2.0,3.2,2.6,1.20
2021-01-24T00:00:00Z,US,Queens,co,72,1.6,2.4,1.9,0.38
2021-01-31T00:00:00Z,US,Queens,co,67,1.9,7.6,2.5,4.63
2021-02-07T00:00:00Z,US,Queens,co,48,2.3,10.7,4.0,61.68
2021-03-09T00:00:00Z,US,Queens,co,72,1.9,5.0,3.5,7.57
2021-01-12T00:00:00Z,US,Queens,co,48,3.2,12.5,5.3,87.49
2021-01-20T00:00:00Z,US,Queens,co,70,1.7,5.3,2.4,11.20
2021-01-26T00:00:00Z,US,Queens,co,69,1.9,3.2,2.4,1.11
2021-02-03T00:00:00Z,US,Queens,co,48,2.1,3.5,2.4,1.62
2021-02-13T00:00:00Z,US,Queens,co,72,2.0,3.7,2.4,1.44
2021-01-09T00:00:00Z,US,Queens,co,48,2.0,3.0,2.3,0.72
2021-01-13T00:00:00Z,US,Queens,co,48,2.7,7.8,4.6,31.46
2021-02-26T00:00:00Z,US,Queens,co,72,2.1,4.2,2.8,2.20
2021-03-20T00:00:00Z,US,Queens,co,48,2.3,5.9,3.1,5.68
2021-02-28T00:00:00Z,US,Queens,co,72,2.3,11.5,3.1,24.74
2021-03-02T00:00:00Z,US,Queens,co,63,1.6,3.6,1.9,2.08
2021-03-21T00:00:00Z,US,Queens,co,48,2.4,12.1,5.6,101.51
2020-12-29T00:00:00Z,US,Queens,co,48,1.8,2.6,2.0,0.52
2021-01-01T00:00:00Z,US,Queens,co,72,1.8,4.3,2.7,4.12
2021-02-08T00:00:00Z,US,Queens,co,48,2.0,6.0,2.9,9.10
2021-02-15T00:00:00Z,US,Queens,co,72,2.1,4.3,2.9,1.09
2021-02-17T00:00:00Z,US,Queens,co,72,1.8,4.2,2.3,2.70
2021-01-16T00:00:00Z,US,Queens,co,48,2.0,4.9,2.7,4.45
2021-01-25T00:00:00Z,US,Queens,co,61,1.6,7.9,3.0,16.80
2021-02-10T00:00:00Z,US,Queens,co,48,2.7,4.5,3.5,2.93
2021-02-12T00:00:00Z,US,Queens,co,58,1.9,3.6,2.7,1.63
2021-03-10T00:00:00Z,US,Queens,co,72,2.0,9.7,2.7,17.77
2021-01-04T00:00:00Z,US,Queens,co,71,1.8,3.7,2.6,1.97
2021-01-10T00:00:00Z,US,Queens,co,48,2.1,5.1,2.5,7.25
2021-01-11T00:00:00Z,US,Queens,co,44,2.9,10.5,6.3,47.44
2021-02-01T00:00:00Z,US,Queens,co,48,2.0,2.7,2.2,0.40
2021-02-16T00:00:00Z,US,Queens,co,69,1.7,9.8,3.2,31.84
2021-01-11T00:00:00Z,US,Queens,temperature,119,-5.0,37.2,1.6,1808.56
2021-01-27T00:00:00Z,US,Queens,temperature,120,-2.1,36.5,1.5,1828.01
2021-02-05T00:00:00Z,US,Queens,temperature,120,-1.0,47.8,5.7,2264.31
2021-02-26T00:00:00Z,US,Queens,temperature,113,-2.4,44.1,4.5,2208.06
2021-02-03T00:00:00Z,US,Queens,temperature,120,-3.0,36.8,0.4,1769.14
2021-02-12T00:00:00Z,US,Queens,temperature,120,-10.0,28.9,-2.5,1438.93
2021-03-22T00:00:00Z,US,Queens,temperature,120,-0.7,58.0,9.8,2703.66
2021-01-13T00:00:00Z,US,Queens,temperature,118,-3.0,42.1,4.3,2053.93
2021-01-20T00:00:00Z,US,Queens,temperature,120,-4.4,39.2,2.6,1933.46
2021-02-09T00:00:00Z,US,Queens,temperature,120,-7.2,33.4,-0.6,1621.12
2021-02-15T00:00:00Z,US,Queens,temperature,120,-1.6,34.4,0.6,1716.55
2021-03-18T00:00:00Z,US,Queens,temperature,120,5.0,45.7,6.6,2274.59
2021-02-10T00:00:00Z,US,Queens,temperature,120,-6.1,33.5,-0.4,1619.89
2021-02-16T00:00:00Z,US,Queens,temperature,120,-0.3,50.9,6.3,2348.45
2021-03-01T00:00:00Z,US,Queens,temperature,120,-2.2,47.7,5.8,2264.19
2021-01-14T00:00:00Z,US,Queens,temperature,120,-1.0,48.6,6.4,2326.94
2021-01-16T00:00:00Z,US,Queens,temperature,119,1.0,46.8,5.7,2268.99
2021-01-24T00:00:00Z,US,Queens,temperature,120,-7.2,31.7,-2.4,1477.85
2021-01-28T00:00:00Z,US,Queens,temperature,120,-8.3,32.2,-1.1,1612.06
