Date,Country,City,Specie,count,min,max,median,variance
2021-03-01T00:00:00Z,US,Staten Island,co,60,1.2,7.8,4.4,43.42
2021-03-13T00:00:00Z,US,Staten Island,co,45,1.2,4.4,2.0,5.48
2021-02-12T00:00:00Z,US,Staten Island,co,53,1.2,7.2,3.4,15.56
2021-02-20T00:00:00Z,US,Staten Island,co,44,1.2,4.5,2.5,5.51
2021-02-21T00:00:00Z,US,Staten Island,co,49,1.2,9.5,2.5,23.04
2021-01-13T00:00:00Z,US,Staten Island,co,69,2.7,24.0,5.6,124.19
2021-01-23T00:00:00Z,US,Staten Island,co,30,1.5,3.4,1.8,2.10
2021-02-04T00:00:00Z,US,Staten Island,co,43,1.2,6.8,2.7,19.49
2021-03-10T00:00:00Z,US,Staten Island,co,59,2.6,11.2,4.5,48.67
2020-12-28T00:00:00Z,US,Staten Island,co,56,2.3,7.0,4.5,15.02
2020-12-31T00:00:00Z,US,Staten Island,co,63,2.3,4.5,3.4,4.55
2021-01-17T00:00:00Z,US,Staten Island,co,35,2.3,3.6,2.7,2.12
2021-03-19T00:00:00Z,US,Staten Island,co,47,1.2,5.4,2.3,9.92
2021-01-18T00:00:00Z,US,Staten Island,co,46,2.3,6.7,3.4,7.78
2021-02-03T00:00:00Z,US,Staten Island,co,45,1.2,3.4,2.4,2.55
2021-02-10T00:00:00Z,US,Staten Island,co,61,2.4,7.8,4.5,23.81
2021-01-27T00:00:00Z,US,Staten Island,co,55,2.3,6.7,3.4,15.63
2021-02-16T00:00:00Z,US,Staten Island,co,61,2.8,11.3,4.5,39.11
2021-02-25T00:00:00Z,US,Staten Island,co,53,1.2,13.7,2.9,43.66
2021-02-27T00:00:00Z,US,Staten Island,co,51,2.2,6.7,4.5,16.78
2021-01-09T00:00:00Z,US,Staten Island,co,49,1.2,5.6,2.5,9.85
2021-01-19T00:00:00Z,US,Staten Island,co,59,2.3,7.4,3.4,15.37
2021-01-20T00:00:00Z,US,Staten Island,co,57,1.9,6.7,4.0,17.57
2021-03-09T00:00:00Z,US,Staten Island,co,55,2.5,6.7,4.5,9.86
2021-03-21T00:00:00Z,US,Staten Island,co,71,2.3,18.3,4.5,187.07
2021-01-12T00:00:00Z,US,Staten Island,co,69,2.9,18.9,6.9,93.52
2021-01-29T00:00:00Z,US,Staten Island,co,34,1.2,2.3,1.9,1.00
2021-02-07T00:00:00Z,US,Staten Island,co,71,2.6,22.3,5.8,136.32
2021-01-28T00:00:00Z,US,Staten Island,co,29,1.9,3.2,2.3,0.62
2021-02-02T00:00:00Z,US,Staten Island,co,39,1.2,5.4,3.4,7.16
2021-03-07T00:00:00Z,US,Staten Island,co,51,1.2,3.4,2.3,3.23
2021-01-02T00:00:00Z,US,Staten Island,co,45,2.4,6.3,3.4,6.95
2021-01-06T00:00:00Z,US,Staten Island,co,47,2.3,8.9,3.2,22.46
2021-01-26T00:00:00Z,US,Staten Island,co,53,2.3,5.6,4.5,9.40
2021-03-15T00:00:00Z,US,Staten Island,co,28,1.8,5.6,2.3,10.41
2021-03-22T00:00:00Z,US,Staten Island,co,66,2.3,17.8,4.5,139.76
2021-01-04T00:00:00Z,US,Staten Island,co,58,2.3,5.6,3.4,7.02
2021-01-05T00:00:00Z,US,Staten Island,co,61,2.3,4.5,3.4,3.15
2021-02-15T00:00:00Z,US,Staten Island,co,44,1.2,6.6,4.5,13.52
2021-02-01T00:00:00Z,US,Staten Island,co,50,2.3,8.0,3.8,19.27
2021-02-14T00:00:00Z,US,Staten Island,co,51,2.3,5.7,3.9,4.40
2021-03-03T00:00:00Z,US,Staten Island,co,43,2.3,6.7,3.4,22.21
2021-03-12T00:00:00Z,US,Staten Island,co,46,1.2,4.5,2.7,8.72
2021-01-14T00:00:00Z,US,Staten Island,co,63,3.8,34.2,8.2,249.44
2021-01-21T00:00:00Z,US,Staten Island,co,59,2.3,29.7,4.5,262.13
2021-01-30T00:00:00Z,US,Staten Island,co,39,1.9,3.4,2.5,2.89
2021-02-06T00:00:00Z,US,Staten Island,co,57,2.0,19.0,3.4,92.67
2021-02-09T00:00:00Z,US,Staten Island,co,57,4.4,15.6,7.6,39.59
2021-02-17T00:00:00Z,US,Staten Island,co,55,1.2,7.8,2.6,23.31
2021-03-20T00:00:00Z,US,Staten Island,co,59,1.2,17.0,3.4,88.99
2020-12-30T00:00:00Z,US,Staten Island,co,63,2.2,8.5,3.4,11.55
2021-01-22T00:00:00Z,US,Staten Island,co,61,2.3,9.6,3.4,33.80
2021-02-05T00:00:00Z,US,Staten Island,co,55,2.3,7.7,4.5,13.00
2021-03-17T00:00:00Z,US,Staten Island,co,65,2.9,6.7,4.5,10.13
2021-02-18T00:00:00Z,US,Staten Island,co,57,2.2,5.6,4.3,11.30
2021-02-19T00:00:00Z,US,Staten Island,co,61,2.7,6.7,4.5,10.24
2021-03-06T00:00:00Z,US,Staten Island,co,43,1.2,4.3,2.3,4.11
2021-03-11T00:00:00Z,US,Staten Island,co,47,2.7,8.0,4.5,24.68
2021-01-16T00:00:00Z,US,Staten Island,co,47,2.3,4.8,3.4,4.49
2021-02-08T00:00:00Z,US,Staten Island,co,61,1.2,7.2,3.4,19.94
2021-03-05T00:00:00Z,US,Staten Island,co,42,1.2,3.4,1.9,4.31
2021-02-11T00:00:00Z,US,Staten Island,co,65,2.3,6.8,3.8,12.95
2021-02-22T00:00:00Z,US,Staten Island,co,56,1.2,9.5,3.5,32.11
2021-02-24T00:00:00Z,US,Staten Island,co,63,2.5,6.3,3.4,6.74
2020-12-29T00:00:00Z,US,Staten Island,co,57,1.2,3.4,2.3,4.72
2021-01-15T00:00:00Z,US,Staten Island,co,59,3.0,9.4,5.6,23.20
2021-01-24T00:00:00Z,US,Staten Island,co,47,1.2,3.4,2.3,3.13
2021-03-04T00:00:00Z,US,Staten Island,co,52,1.2,9.0,2.6,43.75
2021-03-08T00:00:00Z,US,Staten Island,co,43,1.2,4.9,2.4,7.20
2021-03-14T00:00:00Z,US,Staten Island,co,45,1.2,4.2,2.0,7.13
2021-03-16T00:00:00Z,US,Staten Island,co,47,2.3,5.6,2.9,5.96
