Date,PM2.5 AQI Value,Site Name,Site ID,Source
01/01/2011,99,Burbank,06-037-1002,AQS
01/02/2011,64,Burbank,06-037-1002,AQS
01/03/2011,44,Burbank,06-037-1002,AQS
01/04/2011,51,Burbank,06-037-1002,AQS
01/05/2011,58,Burbank,06-037-1002,AQS
01/06/2011,59,Anaheim,06-059-0007,AQS
01/07/2011,81,Los Angeles-north Main Street,06-037-1103,AQS
01/08/2011,93,Reseda,06-037-1201,AQS
01/09/2011,87,Reseda,06-037-1201,AQS
01/10/2011,83,Long Beach (north),06-037-4002,AQS
01/11/2011,41,Burbank,06-037-1002,AQS
01/12/2011,56,Anaheim,06-059-0007,AQS
01/13/2011,62,Anaheim,06-059-0007,AQS
01/14/2011,57,Los Angeles-north Main Street,06-037-1103,AQS
01/15/2011,83,Compton,06-037-1302,AQS
01/16/2011,74,Long Beach (north),06-037-4002,AQS
01/17/2011,93,Anaheim,06-059-0007,AQS
01/18/2011,94,Anaheim,06-059-0007,AQS
01/19/2011,118,Los Angeles-north Main Street,06-037-1103,AQS
01/20/2011,80,Los Angeles-north Main Street,06-037-1103,AQS
01/21/2011,57,Burbank,06-037-1002,AQS
01/22/2011,82,Reseda,06-037-1201,AQS
01/23/2011,71,Burbank,06-037-1002,AQS
01/24/2011,64,Compton,06-037-1302,AQS
01/25/2011,84,Long Beach (north),06-037-4002,AQS
01/26/2011,67,Long Beach (north),06-037-4002,AQS
01/27/2011,55,Compton,06-037-1302,AQS
01/28/2011,60,Los Angeles-north Main Street,06-037-1103,AQS
01/29/2011,75,Burbank,06-037-1002,AQS
01/30/2011,55,Glendora,06-037-0016,AQS
01/31/2011,53,Anaheim,06-059-0007,AQS
02/01/2011,66,Burbank,06-037-1002,AQS
02/02/2011,60,Los Angeles-north Main Street,06-037-1103,AQS
02/03/2011,53,Long Beach (north),06-037-4002,AQS
02/04/2011,69,Burbank,06-037-1002,AQS
02/05/2011,98,Long Beach (north),06-037-4002,AQS
02/06/2011,100,Anaheim,06-059-0007,AQS
02/07/2011,70,Long Beach (south),06-037-4004,AQS
