Date,Ozone AQI Value,Site Name,Site ID,Source
01/01/2011,31,Susan Wagner Hs,36-085-0067,AQS
01/02/2011,29,Flemington,34-019-0001,AQS
01/03/2011,35,Mt Ninham,36-079-0005,AQS
01/04/2011,25,Millbrook,36-027-0007,AQS
01/05/2011,32,Mt Ninham,36-079-0005,AQS
01/06/2011,28,Chester,34-027-3001,AQS
01/07/2011,22,Millbrook,36-027-0007,AQS
01/08/2011,31,Rockland County,36-087-0005,AQS
01/09/2011,34,Mt Ninham,36-079-0005,AQS
01/10/2011,36,Mt Ninham,36-079-0005,AQS
01/11/2011,31,Mt Ninham,36-079-0005,AQS
01/12/2011,34,Rockland County,36-087-0005,AQS
01/13/2011,35,Mt Ninham,36-079-0005,AQS
01/14/2011,33,Mt Ninham,36-079-0005,AQS
01/15/2011,30,Rutgers University,34-023-0011,AQS
01/16/2011,36,Mt Ninham,36-079-0005,AQS
01/17/2011,38,Mt Ninham,36-079-0005,AQS
01/18/2011,31,Babylon,36-103-0002,AQS
01/19/2011,25,Mt Ninham,36-079-0005,AQS
01/20/2011,34,Rockland County,36-087-0005,AQS
01/21/2011,33,Flemington,34-019-0001,AQS
01/22/2011,32,Rockland County,36-087-0005,AQS
01/23/2011,33,Rockland County,36-087-0005,AQS
01/24/2011,31,Millbrook,36-027-0007,AQS
01/25/2011,20,Susan Wagner Hs,36-085-0067,AQS
01/26/2011,26,Flemington,34-019-0001,AQS
01/27/2011,35,Mt Ninham,36-079-0005,AQS
01/28/2011,27,Millbrook,36-027-0007,AQS
01/29/2011,33,Rockland County,36-087-0005,AQS
01/30/2011,35,Rockland County,36-087-0005,AQS
01/31/2011,38,Mt Ninham,36-079-0005,AQS
02/01/2011,32,Mt Ninham,36-079-0005,AQS
02/02/2011,33,Flemington,34-019-0001,AQS
02/03/2011,40,Flemington,34-019-0001,AQS
02/04/2011,36,Mt Ninham,36-079-0005,AQS
02/05/2011,30,Rockland County,36-087-0005,AQS
02/06/2011,43,Rutgers University,34-023-0011,AQS
02/07/2011,36,Susan Wagner Hs,36-085-0067,AQS
02/08/2011,37,Flemington,34-019-0001,AQS
02/09/2011,35,Mt Ninham,36-079-0005,AQS
02/10/2011,38,Rockland County,36-087-0005,AQS
02/11/2011,33,Flemington,34-019-0001,AQS
02/12/2011,44,Rockland County,36-087-0005,AQS
02/13/2011,41,Mt Ninham,36-079-0005,AQS
02/14/2011,45,Rockland County,36-087-0005,AQS
02/15/2011,41,Mt Ninham,36-079-0005,AQS
02/16/2011,41,Leonia,34-003-0006,AQS
02/17/2011,44,Chester,34-027-3001,AQS
02/18/2011,44,Mt Ninham,36-079-0005,AQS
02/19/2011,43,Rockland County,36-087-0005,AQS
02/20/2011,41,Rockland County,36-087-0005,AQS
02/21/2011,37,Flemington,34-019-0001,AQS
02/22/2011,37,Ramapo,34-031-5001,AQS
02/23/2011,39,Millbrook,36-027-0007,AQS
02/24/2011,35,Colliers Mills,34-029-0006,AQS
02/25/2011,37,Rockland County,36-087-0005,AQS
02/26/2011,42,Rockland County,36-087-0005,AQS
02/27/2011,43,Rockland County,36-087-0005,AQS
02/28/2011,39,Rockland County,36-087-0005,AQS
03/01/2011,42,Rockland County,36-087-0005,AQS
03/02/2011,41,Rockland County,36-087-0005,AQS
03/03/2011,39,Flemington,34-019-0001,AQS
03/04/2011,44,Susan Wagner Hs,36-085-0067,AQS
03/05/2011,48,Babylon,36-103-0002,AQS
03/06/2011,47,Babylon,36-103-0002,AQS
03/07/2011,44,Babylon,36-103-0002,AQS
03/08/2011,39,Millbrook,36-027-0007,AQS
03/09/2011,43,Babylon,36-103-0002,AQS
03/10/2011,44,Babylon,36-103-0002,AQS
03/11/2011,42,Riverhead,36-103-0004,AQS
03/12/2011,41,Colliers Mills,34-029-0006,AQS
03/13/2011,42,Babylon,36-103-0002,AQS
03/14/2011,34,Flemington,34-019-0001,AQS
03/15/2011,38,Susan Wagner Hs,36-085-0067,AQS
03/16/2011,33,Flemington,34-019-0001,AQS
03/17/2011,49,Rockland County,36-087-0005,AQS
03/18/2011,49,Riverhead,36-103-0004,AQS
03/19/2011,45,Babylon,36-103-0002,AQS
03/20/2011,44,Babylon,36-103-0002,AQS
03/21/2011,41,Babylon,36-103-0002,AQS
03/22/2011,42,Babylon,36-103-0002,AQS
03/23/2011,38,Colliers Mills,34-029-0006,AQS
03/24/2011,44,Chester,34-027-3001,AQS
03/25/2011,42,Rockland County,36-087-0005,AQS
03/26/2011,45,Flemington,34-019-0001,AQS
03/27/2011,45,Rockland County,36-087-0005,AQS
03/28/2011,45,Rockland County,36-087-0005,AQS
03/29/2011,45,Flemington,34-019-0001,AQS
03/30/2011,46,Valley Central High School,36-071-5001,AQS
03/31/2011,44,Valley Central High School,36-071-5001,AQS
04/01/2011,44,Rockland County,36-087-0005,AQS
04/02/2011,50,Rockland County,36-087-0005,AQS
04/03/2011,50,Rutgers University,34-023-0011,AQS
04/04/2011,48,Riverhead,36-103-0004,AQS
04/05/2011,41,Valley Central High School,36-071-5001,AQS
04/06/2011,44,Rutgers University,34-023-0011,AQS
04/07/2011,44,Millbrook,36-027-0007,AQS
04/08/2011,43,Millbrook,36-027-0007,AQS
04/09/2011,54,Susan Wagner Hs,36-085-0067,AQS
04/10/2011,47,Riverhead,36-103-0004,AQS
04/11/2011,44,Rutgers University,34-023-0011,AQS
04/12/2011,48,Rockland County,36-087-0005,AQS
04/13/2011,47,Rockland County,36-087-0005,AQS
04/14/2011,49,Flemington,34-019-0001,AQS
04/15/2011,41,Mt Ninham,36-079-0005,AQS
04/16/2011,48,Rutgers University,34-023-0011,AQS
04/17/2011,48,Rutgers University,34-023-0011,AQS
04/18/2011,48,Colliers Mills,34-029-0006,AQS
04/19/2011,39,Rutgers University,34-023-0011,AQS
04/20/2011,44,Colliers Mills,34-029-0006,AQS
04/21/2011,49,Colliers Mills,34-029-0006,AQS
04/22/2011,41,Ramapo,34-031-5001,AQS
04/23/2011,42,Riverhead,36-103-0004,AQS
04/24/2011,51,Rutgers University,34-023-0011,AQS
04/25/2011,45,Colliers Mills,34-029-0006,AQS
04/26/2011,42,Valley Central High School,36-071-5001,AQS
04/27/2011,31,Riverhead,36-103-0004,AQS
