Date,Sulfur Dioxide AQI Value,Site Name,Site ID,Source
01/01/2011,47,Pfizer Lab Site,36-005-0133,AQS
01/02/2011,41,Pfizer Lab Site,36-005-0133,AQS
01/03/2011,52,Bayonne,34-017-0006,AQS
01/04/2011,37,Bayonne,34-017-0006,AQS
01/05/2011,46,Bayonne,34-017-0006,AQS
01/06/2011,33,Eisenhower Park,36-059-0005,AQS
01/07/2011,33,Newark Firehouse,34-013-0003,AQS
01/08/2011,37,Pfizer Lab Site,36-005-0133,AQS
01/09/2011,16,Bayonne,34-017-0006,AQS
01/10/2011,23,Pfizer Lab Site,36-005-0133,AQS
01/11/2011,16,Newark Firehouse,34-013-0003,AQS
01/12/2011,21,Pfizer Lab Site,36-005-0133,AQS
01/13/2011,17,Pfizer Lab Site,36-005-0133,AQS
01/14/2011,27,Pfizer Lab Site,36-005-0133,AQS
01/15/2011,69,Eisenhower Park,36-059-0005,AQS
01/16/2011,20,Pfizer Lab Site,36-005-0133,AQS
01/17/2011,21,Bayonne,34-017-0006,AQS
01/18/2011,16,Pfizer Lab Site,36-005-0133,AQS
01/19/2011,37,Pfizer Lab Site,36-005-0133,AQS
01/20/2011,20,Pfizer Lab Site,36-005-0133,AQS
01/21/2011,26,Pfizer Lab Site,36-005-0133,AQS
01/22/2011,90,Chester,34-027-3001,AQS
01/23/2011,55,Chester,34-027-3001,AQS
01/24/2011,37,Queens College 2,36-081-0124,AQS
01/25/2011,65,Pfizer Lab Site,36-005-0133,AQS
01/26/2011,50,Pfizer Lab Site,36-005-0133,AQS
01/27/2011,46,Pfizer Lab Site,36-005-0133,AQS
01/28/2011,55,Pfizer Lab Site,36-005-0133,AQS
01/29/2011,43,Pfizer Lab Site,36-005-0133,AQS
01/30/2011,40,Pfizer Lab Site,36-005-0133,AQS
01/31/2011,20,Eisenhower Park,36-059-0005,AQS
02/01/2011,19,Pfizer Lab Site,36-005-0133,AQS
02/02/2011,49,Pfizer Lab Site,36-005-0133,AQS
02/03/2011,26,Bayonne,34-017-0006,AQS
02/04/2011,49,Pfizer Lab Site,36-005-0133,AQS
02/05/2011,55,Pfizer Lab Site,36-005-0133,AQS
02/06/2011,36,Pfizer Lab Site,36-005-0133,AQS
02/07/2011,89,Chester,34-027-3001,AQS
02/08/2011,16,Pfizer Lab Site,36-005-0133,AQS
02/09/2011,21,Pfizer Lab Site,36-005-0133,AQS
02/10/2011,29,Pfizer Lab Site,36-005-0133,AQS
02/11/2011,39,Pfizer Lab Site,36-005-0133,AQS
02/12/2011,37,Pfizer Lab Site,36-005-0133,AQS
02/13/2011,24,Pfizer Lab Site,36-005-0133,AQS
02/14/2011,20,Pfizer Lab Site,36-005-0133,AQS
02/15/2011,16,Pfizer Lab Site,36-005-0133,AQS
02/16/2011,60,Eisenhower Park,36-059-0005,AQS
02/17/2011,57,Pfizer Lab Site,36-005-0133,AQS
02/18/2011,24,Pfizer Lab Site,36-005-0133,AQS
02/19/2011,10,Bayonne,34-017-0006,AQS
02/20/2011,17,Pfizer Lab Site,36-005-0133,AQS
02/21/2011,13,Bayonne,34-017-0006,AQS
02/22/2011,23,Pfizer Lab Site,36-005-0133,AQS
02/23/2011,34,Pfizer Lab Site,36-005-0133,AQS
02/24/2011,67,Pfizer Lab Site,36-005-0133,AQS
02/25/2011,11,Pfizer Lab Site,36-005-0133,AQS
02/26/2011,17,Pfizer Lab Site,36-005-0133,AQS
02/27/2011,21,Elizabeth Lab,34-039-0004,AQS
02/28/2011,19,Pfizer Lab Site,36-005-0133,AQS
03/01/2011,31,Jersey City,34-017-1002,AQS
03/02/2011,17,Bayonne,34-017-0006,AQS
03/03/2011,24,Eisenhower Park,36-059-0005,AQS
03/04/2011,30,Eisenhower Park,36-059-0005,AQS
03/05/2011,21,Newark Firehouse,34-013-0003,AQS
03/06/2011,10,Newark Firehouse,34-013-0003,AQS
03/07/2011,11,Bayonne,34-017-0006,AQS
03/08/2011,27,Eisenhower Park,36-059-0005,AQS
03/09/2011,16,Elizabeth Lab,34-039-0004,AQS
03/10/2011,11,Bayonne,34-017-0006,AQS
03/11/2011,14,Elizabeth Lab,34-039-0004,AQS
03/12/2011,17,Bayonne,34-017-0006,AQS
03/13/2011,19,Pfizer Lab Site,36-005-0133,AQS
03/14/2011,21,Pfizer Lab Site,36-005-0133,AQS
03/15/2011,26,Elizabeth Lab,34-039-0004,AQS
03/16/2011,17,Pfizer Lab Site,36-005-0133,AQS
03/17/2011,17,Pfizer Lab Site,36-005-0133,AQS
03/18/2011,19,Pfizer Lab Site,36-005-0133,AQS
03/19/2011,9,Pfizer Lab Site,36-005-0133,AQS
03/20/2011,14,Pfizer Lab Site,36-005-0133,AQS
03/21/2011,26,Pfizer Lab Site,36-005-0133,AQS
03/22/2011,14,Pfizer Lab Site,36-005-0133,AQS
03/23/2011,26,Pfizer Lab Site,36-005-0133,AQS
03/24/2011,14,Pfizer Lab Site,36-005-0133,AQS
03/25/2011,14,Pfizer Lab Site,36-005-0133,AQS
03/26/2011,17,Pfizer Lab Site,36-005-0133,AQS
03/27/2011,11,Pfizer Lab Site,36-005-0133,AQS
03/28/2011,19,Pfizer Lab Site,36-005-0133,AQS
03/29/2011,23,Pfizer Lab Site,36-005-0133,AQS
03/30/2011,29,Pfizer Lab Site,36-005-0133,AQS
03/31/2011,6,Newark Firehouse,34-013-0003,AQS
04/01/2011,13,Bayonne,34-017-0006,AQS
04/02/2011,21,Bayonne,34-017-0006,AQS
04/03/2011,16,Pfizer Lab Site,36-005-0133,AQS
04/04/2011,43,Elizabeth Lab,34-039-0004,AQS
04/05/2011,19,Bayonne,34-017-0006,AQS
04/06/2011,21,Pfizer Lab Site,36-005-0133,AQS
04/07/2011,26,Pfizer Lab Site,36-005-0133,AQS
04/08/2011,29,Pfizer Lab Site,36-005-0133,AQS
04/09/2011,27,Elizabeth Lab,34-039-0004,AQS
04/10/2011,41,Elizabeth Lab,34-039-0004,AQS
04/11/2011,26,Newark Firehouse,34-013-0003,AQS
04/12/2011,6,Elizabeth Lab,34-039-0004,AQS
04/13/2011,34,Bayonne,34-017-0006,AQS
04/14/2011,34,Pfizer Lab Site,36-005-0133,AQS
04/15/2011,6,Newark Firehouse,34-013-0003,AQS
04/16/2011,7,Elizabeth Lab,34-039-0004,AQS
04/17/2011,11,Elizabeth Lab,34-039-0004,AQS
04/18/2011,26,Bayonne,34-017-0006,AQS
04/19/2011,20,Pfizer Lab Site,36-005-0133,AQS
04/20/2011,26,Pfizer Lab Site,36-005-0133,AQS
04/21/2011,16,Bayonne,34-017-0006,AQS
04/22/2011,11,Pfizer Lab Site,36-005-0133,AQS
04/23/2011,16,Bayonne,34-017-0006,AQS
04/24/2011,16,Bayonne,34-017-0006,AQS
04/25/2011,21,Elizabeth Lab,34-039-0004,AQS
04/26/2011,62,Bayonne,34-017-0006,AQS
04/27/2011,36,Elizabeth Lab,34-039-0004,AQS
04/28/2011,13,Bayonne,34-017-0006,AQS
04/29/2011,17,Jersey City,34-017-1002,AQS
04/30/2011,16,Newark Firehouse,34-013-0003,AQS
05/01/2011,21,Elizabeth Lab,34-039-0004,AQS
05/02/2011,30,Elizabeth Lab,34-039-0004,AQS
05/03/2011,30,Elizabeth Lab,34-039-0004,AQS
05/04/2011,11,Bayonne,34-017-0006,AQS
05/05/2011,11,Pfizer Lab Site,36-005-0133,AQS
05/06/2011,24,Queens College 2,36-081-0124,AQS
05/07/2011,9,Pfizer Lab Site,36-005-0133,AQS
05/08/2011,10,Newark Firehouse,34-013-0003,AQS
05/09/2011,10,Bayonne,34-017-0006,AQS
05/10/2011,10,Newark Firehouse,34-013-0003,AQS
05/11/2011,10,Newark Firehouse,34-013-0003,AQS
05/12/2011,14,Elizabeth Lab,34-039-0004,AQS
05/13/2011,17,Bayonne,34-017-0006,AQS
05/14/2011,14,Bayonne,34-017-0006,AQS
05/15/2011,34,Bayonne,34-017-0006,AQS
05/16/2011,24,Bayonne,34-017-0006,AQS
05/17/2011,11,Jersey City,34-017-1002,AQS
05/18/2011,11,Elizabeth Lab,34-039-0004,AQS
05/19/2011,21,Bayonne,34-017-0006,AQS
05/20/2011,10,Newark Firehouse,34-013-0003,AQS
05/21/2011,10,Bayonne,34-017-0006,AQS
05/22/2011,6,Bayonne,34-017-0006,AQS
05/23/2011,19,Bayonne,34-017-0006,AQS
05/24/2011,21,Bayonne,34-017-0006,AQS
05/25/2011,71,Elizabeth Lab,34-039-0004,AQS
05/26/2011,30,Newark Firehouse,34-013-0003,AQS
05/27/2011,26,Bayonne,34-017-0006,AQS
05/28/2011,27,Elizabeth Lab,34-039-0004,AQS
05/29/2011,10,Bayonne,34-017-0006,AQS
05/30/2011,14,Bayonne,34-017-0006,AQS
05/31/2011,17,Elizabeth Lab,34-039-0004,AQS
06/01/2011,27,Chester,34-027-3001,AQS
06/02/2011,17,Chester,34-027-3001,AQS
06/03/2011,6,Chester,34-027-3001,AQS
06/04/2011,20,Chester,34-027-3001,AQS
06/05/2011,16,Elizabeth Lab,34-039-0004,AQS
06/06/2011,19,Newark Firehouse,34-013-0003,AQS
06/07/2011,19,Chester,34-027-3001,AQS
06/08/2011,13,Newark Firehouse,34-013-0003,AQS
06/09/2011,20,Chester,34-027-3001,AQS
06/10/2011,23,Chester,34-027-3001,AQS
06/11/2011,10,Elizabeth Lab,34-039-0004,AQS
06/12/2011,9,Jersey City,34-017-1002,AQS
06/13/2011,7,Elizabeth Lab,34-039-0004,AQS
06/14/2011,20,Elizabeth Lab,34-039-0004,AQS
06/15/2011,10,Pfizer Lab Site,36-005-0133,AQS
06/16/2011,17,Bayonne,34-017-0006,AQS
06/17/2011,23,Elizabeth Lab,34-039-0004,AQS
06/18/2011,13,Bayonne,34-017-0006,AQS
06/19/2011,14,Elizabeth Lab,34-039-0004,AQS
06/20/2011,69,Elizabeth Lab,34-039-0004,AQS
06/21/2011,24,Bayonne,34-017-0006,AQS
06/22/2011,13,Elizabeth Lab,34-039-0004,AQS
06/23/2011,21,Bayonne,34-017-0006,AQS
06/24/2011,10,Elizabeth Lab,34-039-0004,AQS
06/25/2011,23,Bayonne,34-017-0006,AQS
06/26/2011,20,Bayonne,34-017-0006,AQS
06/27/2011,13,Elizabeth Lab,34-039-0004,AQS
06/28/2011,21,Elizabeth Lab,34-039-0004,AQS
06/29/2011,13,Bayonne,34-017-0006,AQS
06/30/2011,10,Bayonne,34-017-0006,AQS
07/01/2011,14,Bayonne,34-017-0006,AQS
07/02/2011,10,Bayonne,34-017-0006,AQS
07/03/2011,21,Bayonne,34-017-0006,AQS
07/04/2011,17,Chester,34-027-3001,AQS
07/05/2011,10,Jersey City,34-017-1002,AQS
07/06/2011,21,Bayonne,34-017-0006,AQS
07/07/2011,17,Bayonne,34-017-0006,AQS
07/08/2011,17,Bayonne,34-017-0006,AQS
07/09/2011,6,Bayonne,34-017-0006,AQS
07/10/2011,17,Elizabeth Lab,34-039-0004,AQS
07/11/2011,13,Bayonne,34-017-0006,AQS
07/12/2011,11,Bayonne,34-017-0006,AQS
07/13/2011,14,Bayonne,34-017-0006,AQS
07/14/2011,14,Elizabeth Lab,34-039-0004,AQS
07/15/2011,36,Bayonne,34-017-0006,AQS
07/16/2011,11,Bayonne,34-017-0006,AQS
07/17/2011,7,Pfizer Lab Site,36-005-0133,AQS
07/18/2011,29,Chester,34-027-3001,AQS
07/19/2011,17,Chester,34-027-3001,AQS
07/20/2011,24,Bayonne,34-017-0006,AQS
