Date,Country,City,Specie,count,min,max,median,variance
2017-01-15T00:00:00Z,HK,Hong Kong,uvi,126,0.1,2.0,0.8,2.72
2017-03-21T00:00:00Z,HK,Hong Kong,uvi,154,0.2,9.0,5.0,96.21
2017-03-24T00:00:00Z,HK,Hong Kong,uvi,154,0.1,6.0,2.0,39.12
2017-04-05T00:00:00Z,HK,Hong Kong,uvi,154,0.1,9.0,4.0,113.28
2017-05-12T00:00:00Z,HK,Hong Kong,uvi,168,0.1,10.0,3.0,104.09
2016-12-29T00:00:00Z,HK,Hong Kong,uvi,150,0.2,5.0,2.0,26.91
2017-01-16T00:00:00Z,HK,Hong Kong,uvi,140,0.1,4.0,2.0,17.34
2017-01-17T00:00:00Z,HK,Hong Kong,uvi,140,0.1,4.0,3.0,18.80
2017-01-19T00:00:00Z,HK,Hong Kong,uvi,140,0.1,7.0,2.0,57.56
2017-03-07T00:00:00Z,HK,Hong Kong,uvi,140,0.1,6.0,0.7,32.89
2017-03-16T00:00:00Z,HK,Hong Kong,uvi,140,0.3,4.0,2.0,12.01
2017-06-06T00:00:00Z,HK,Hong Kong,uvi,168,0.4,9.0,3.0,98.54
2017-02-09T00:00:00Z,HK,Hong Kong,uvi,140,0.2,6.0,2.0,42.21
2017-03-26T00:00:00Z,HK,Hong Kong,uvi,140,0.1,2.0,1.0,4.88
2017-05-11T00:00:00Z,HK,Hong Kong,uvi,168,0.2,9.0,3.0,88.07
2017-05-17T00:00:00Z,HK,Hong Kong,uvi,168,0.3,10.0,3.0,103.77
2017-06-03T00:00:00Z,HK,Hong Kong,uvi,168,0.2,10.0,4.0,126.23
2017-06-26T00:00:00Z,HK,Hong Kong,uvi,168,0.5,10.0,3.0,112.81
2017-06-22T00:00:00Z,HK,Hong Kong,uvi,168,0.4,9.0,4.0,77.07
2017-06-24T00:00:00Z,HK,Hong Kong,uvi,168,0.2,10.0,3.0,94.89
2017-01-03T00:00:00Z,HK,Hong Kong,uvi,140,0.2,3.0,1.0,12.59
2017-02-25T00:00:00Z,HK,Hong Kong,uvi,126,0.3,2.0,1.0,2.29
2017-04-03T00:00:00Z,HK,Hong Kong,uvi,154,0.1,8.0,4.0,74.97
