Date,Country,City,Specie,count,min,max,median,variance
2017-02-07T00:00:00Z,GB,London,pm10,515,1.0,98.0,22.0,2387.88
2017-03-27T00:00:00Z,GB,London,pm10,525,12.0,69.0,42.0,1409.97
2017-04-01T00:00:00Z,GB,London,pm10,514,6.0,88.0,16.0,700.94
2017-04-29T00:00:00Z,GB,London,pm10,545,6.0,118.0,18.0,809.17
2017-05-25T00:00:00Z,GB,London,pm10,539,1.0,73.0,21.0,1261.12
2017-06-06T00:00:00Z,GB,London,pm10,550,1.0,72.0,12.0,753.38
2017-04-02T00:00:00Z,GB,London,pm10,507,5.0,51.0,16.0,395.87
2017-06-04T00:00:00Z,GB,London,pm10,548,1.0,57.0,14.0,229.94
2017-06-16T00:00:00Z,GB,London,pm10,543,7.0,92.0,19.0,942.99
2017-02-05T00:00:00Z,GB,London,pm10,530,4.0,47.0,18.0,313.58
2017-02-23T00:00:00Z,GB,London,pm10,556,2.0,79.0,11.0,1555.19
2017-03-15T00:00:00Z,GB,London,pm10,571,7.0,111.0,26.0,1459.46
2017-04-19T00:00:00Z,GB,London,pm10,548,6.0,78.0,19.0,693.95
2017-05-02T00:00:00Z,GB,London,pm10,556,2.0,106.0,23.0,946.62
2017-05-20T00:00:00Z,GB,London,pm10,543,3.0,57.0,13.0,490.40
2017-06-10T00:00:00Z,GB,London,pm10,514,2.0,56.0,18.0,375.45
2017-06-30T00:00:00Z,GB,London,pm10,524,2.0,66.0,14.0,614.88
2017-01-02T00:00:00Z,GB,London,pm10,531,1.0,60.0,14.0,599.12
2017-01-27T00:00:00Z,GB,London,pm10,554,15.0,99.0,43.0,902.71
2017-04-03T00:00:00Z,GB,London,pm10,505,6.0,63.0,25.0,1222.37
2017-04-09T00:00:00Z,GB,London,pm10,545,9.0,91.0,40.0,1798.54
2017-04-13T00:00:00Z,GB,London,pm10,535,2.0,89.0,15.0,1509.66
2017-06-27T00:00:00Z,GB,London,pm10,556,4.0,67.0,25.0,1095.04
2017-06-02T00:00:00Z,GB,London,pm10,553,9.0,94.0,24.0,1090.69
2017-01-03T00:00:00Z,GB,London,pm10,526,6.0,37.0,18.0,298.61
2017-01-15T00:00:00Z,GB,London,pm10,500,2.0,51.0,13.0,374.21
2017-02-13T00:00:00Z,GB,London,pm10,567,31.0,89.0,52.0,536.25
2017-03-23T00:00:00Z,GB,London,pm10,533,7.0,59.0,27.0,815.91
2017-04-11T00:00:00Z,GB,London,pm10,519,6.0,79.0,18.0,895.89
2017-05-27T00:00:00Z,GB,London,pm10,555,4.0,75.0,22.0,899.04
2017-05-31T00:00:00Z,GB,London,pm10,544,2.0,62.0,17.0,737.39
2017-06-26T00:00:00Z,GB,London,pm10,544,1.0,44.0,15.0,490.70
2017-04-16T00:00:00Z,GB,London,pm10,525,4.0,36.0,11.0,188.21
2016-12-26T00:00:00Z,GB,London,pm10,541,1.0,234.0,14.0,2199.00
2016-12-30T00:00:00Z,GB,London,pm10,535,15.0,69.0,32.0,927.92
2017-01-07T00:00:00Z,GB,London,pm10,532,1.0,46.0,17.0,681.51
2017-01-19T00:00:00Z,GB,London,pm10,508,10.0,90.0,41.0,1449.89
2017-02-15T00:00:00Z,GB,London,pm10,562,1.0,90.0,26.0,1300.76
2017-02-17T00:00:00Z,GB,London,pm10,566,4.0,91.0,25.0,2372.16
2017-03-08T00:00:00Z,GB,London,pm10,552,1.0,76.0,13.0,1469.01
2017-06-08T00:00:00Z,GB,London,pm10,486,5.0,131.0,15.0,1091.35
2017-06-29T00:00:00Z,GB,London,pm10,519,2.0,71.0,13.0,864.83
2017-03-21T00:00:00Z,GB,London,pm10,532,1.0,119.0,15.0,1961.83
2017-03-22T00:00:00Z,GB,London,pm10,539,3.0,61.0,16.0,753.21
2017-04-10T00:00:00Z,GB,London,pm10,542,3.0,529.0,19.0,5726.93
2017-06-24T00:00:00Z,GB,London,pm10,541,1.0,79.0,14.0,671.84
2017-03-10T00:00:00Z,GB,London,pm10,567,5.0,79.0,21.0,1339.81
2017-03-28T00:00:00Z,GB,London,pm10,521,11.0,144.0,44.0,2122.94
2017-06-19T00:00:00Z,GB,London,pm10,545,9.0,66.0,30.0,652.61
2017-07-01T00:00:00Z,GB,London,pm10,526,1.0,67.0,16.0,487.71
2017-06-12T00:00:00Z,GB,London,pm10,515,1.0,94.0,15.0,1011.45
2017-01-09T00:00:00Z,GB,London,pm10,522,3.0,39.0,15.0,241.91
2017-02-08T00:00:00Z,GB,London,pm10,525,5.0,67.0,29.0,987.77
2017-02-21T00:00:00Z,GB,London,pm10,554,1.0,79.0,12.0,979.83
2017-03-16T00:00:00Z,GB,London,pm10,558,1.0,93.0,27.0,1666.38
2017-03-20T00:00:00Z,GB,London,pm10,525,1.0,69.0,11.0,725.91
2017-04-21T00:00:00Z,GB,London,pm10,562,5.0,93.0,25.0,1274.58
2017-05-09T00:00:00Z,GB,London,pm10,525,8.0,52.0,23.0,488.17
2016-12-27T00:00:00Z,GB,London,pm10,531,2.0,91.0,29.0,3383.83
2017-03-02T00:00:00Z,GB,London,pm10,568,8.0,97.0,20.0,1075.68
2017-03-03T00:00:00Z,GB,London,pm10,558,6.0,63.0,22.0,657.77
2017-03-26T00:00:00Z,GB,London,pm10,498,4.0,37.0,15.0,286.18
2017-03-30T00:00:00Z,GB,London,pm10,508,9.0,265.0,20.0,2121.01
2017-05-03T00:00:00Z,GB,London,pm10,533,11.0,53.0,26.0,461.94
2017-06-25T00:00:00Z,GB,London,pm10,544,1.0,57.0,11.0,251.79
2017-02-18T00:00:00Z,GB,London,pm10,566,1.0,73.0,28.0,1310.89
2017-03-14T00:00:00Z,GB,London,pm10,562,6.0,96.0,19.0,1066.12
2017-05-24T00:00:00Z,GB,London,pm10,531,3.0,81.0,17.0,1063.20
2017-06-23T00:00:00Z,GB,London,pm10,535,1.0,97.0,17.0,1411.36
2017-04-04T00:00:00Z,GB,London,pm10,517,7.0,73.0,21.0,811.84
2017-01-17T00:00:00Z,GB,London,pm10,501,10.0,107.0,35.0,2316.44
2017-01-28T00:00:00Z,GB,London,pm10,537,4.0,74.0,19.0,1100.38
2017-02-01T00:00:00Z,GB,London,pm10,508,2.0,52.0,16.0,349.35
2017-02-25T00:00:00Z,GB,London,pm10,567,9.0,58.0,17.0,561.85
2017-03-01T00:00:00Z,GB,London,pm10,563,2.0,72.0,16.0,1401.80
2017-03-09T00:00:00Z,GB,London,pm10,553,2.0,62.0,14.0,1251.35
2017-03-25T00:00:00Z,GB,London,pm10,545,3.0,105.0,19.0,910.72
2017-04-30T00:00:00Z,GB,London,pm10,546,6.0,52.0,22.0,438.61
2017-05-10T00:00:00Z,GB,London,pm10,532,10.0,93.0,25.0,706.18
2017-03-13T00:00:00Z,GB,London,pm10,561,8.0,64.0,21.0,1021.94
2017-04-14T00:00:00Z,GB,London,pm10,530,3.0,61.0,13.0,534.48
2017-05-05T00:00:00Z,GB,London,pm10,556,11.0,57.0,22.0,546.80
2017-05-07T00:00:00Z,GB,London,pm10,546,6.0,56.0,23.0,692.72
2017-05-11T00:00:00Z,GB,London,pm10,541,17.0,77.0,43.0,1369.31
2017-01-01T00:00:00Z,GB,London,pm10,457,1.0,58.0,15.0,911.09
2017-02-06T00:00:00Z,GB,London,pm10,529,4.0,120.0,29.0,2387.55
2017-02-28T00:00:00Z,GB,London,pm10,548,2.0,79.0,12.0,951.08
2017-03-07T00:00:00Z,GB,London,pm10,557,4.0,74.0,16.0,1231.13
2017-04-07T00:00:00Z,GB,London,pm10,535,11.0,74.0,28.0,1038.78
2017-04-18T00:00:00Z,GB,London,pm10,536,3.0,71.0,15.0,559.59
2017-05-12T00:00:00Z,GB,London,pm10,539,4.0,62.0,22.0,2303.49
2017-01-05T00:00:00Z,GB,London,pm10,526,7.0,85.0,30.0,3264.44
2017-03-24T00:00:00Z,GB,London,pm10,543,13.0,60.0,33.0,828.07
2016-12-28T00:00:00Z,GB,London,pm10,548,7.0,86.0,43.0,1682.32
2017-02-26T00:00:00Z,GB,London,pm10,557,2.0,38.0,10.0,246.92
2017-04-26T00:00:00Z,GB,London,pm10,552,1.0,53.0,13.0,556.22
2017-06-11T00:00:00Z,GB,London,pm10,501,1.0,48.0,15.0,315.04
2017-01-29T00:00:00Z,GB,London,pm10,542,1.0,75.0,11.0,426.95
2017-02-04T00:00:00Z,GB,London,pm10,544,3.0,73.0,19.0,855.47
2017-02-20T00:00:00Z,GB,London,pm10,555,5.0,84.0,15.0,1193.69
2017-03-06T00:00:00Z,GB,London,pm10,550,1.0,61.0,17.0,1205.66
2017-05-04T00:00:00Z,GB,London,pm10,547,14.0,57.0,30.0,555.07
2017-06-05T00:00:00Z,GB,London,pm10,544,5.0,67.0,15.0,819.11
2017-01-11T00:00:00Z,GB,London,pm10,516,8.0,714.0,20.0,9983.40
2017-01-12T00:00:00Z,GB,London,pm10,500,1.0,999.0,16.0,20144.60
2017-01-24T00:00:00Z,GB,London,pm10,518,21.0,154.0,51.0,1487.99
2017-04-22T00:00:00Z,GB,London,pm10,567,2.0,65.0,17.0,709.81
2017-04-27T00:00:00Z,GB,London,pm10,559,4.0,79.0,17.0,1233.03
2017-05-23T00:00:00Z,GB,London,pm10,549,5.0,81.0,17.0,995.42
