Date,Country,City,Specie,count,min,max,median,variance
2017-03-31T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-04-17T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-05-20T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-01-23T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-02-03T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-16T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-18T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-28T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-05-25T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-06-04T00:00:00Z,IT,Milan,co,24,0.1,0.1,0.1,0.00
2017-06-06T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-06-21T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-06-05T00:00:00Z,IT,Milan,co,48,0.1,0.1,0.1,0.00
2017-02-07T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-02-25T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-04T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-04-03T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-05-12T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-02-26T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-25T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-27T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-06-23T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-02-27T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-02-28T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-05-14T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-05-24T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-05-26T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-04-05T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-04-27T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-06-01T00:00:00Z,IT,Milan,co,49,0.1,0.1,0.1,0.00
2016-12-28T00:00:00Z,IT,Milan,co,48,0.1,0.1,0.1,0.00
2017-01-28T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-11T00:00:00Z,IT,Milan,co,48,0.1,0.1,0.1,0.00
2017-03-19T00:00:00Z,IT,Milan,co,72,0.1,0.1,0.1,0.00
2017-03-26T00:00:00Z,IT,Milan,co,69,0.1,0.1,0.1,0.00
