Date,Country,City,Specie,count,min,max,median,variance
2017-03-21T00:00:00Z,US,The Bronx,co,16,2.3,7.8,3.4,23.39
2017-04-12T00:00:00Z,US,The Bronx,co,20,2.3,7.8,3.4,29.80
2017-04-26T00:00:00Z,US,The Bronx,co,11,2.3,3.4,3.4,3.30
2017-06-20T00:00:00Z,US,The Bronx,co,15,2.3,5.6,3.4,11.87
2017-01-07T00:00:00Z,US,The Bronx,co,11,2.3,8.9,3.4,78.32
2017-02-04T00:00:00Z,US,The Bronx,co,14,2.3,4.5,3.4,6.45
2017-03-05T00:00:00Z,US,The Bronx,co,15,2.3,4.5,3.4,6.34
2017-01-08T00:00:00Z,US,The Bronx,co,21,2.3,3.4,2.3,3.17
2017-02-01T00:00:00Z,US,The Bronx,co,12,2.3,4.5,3.4,5.13
2017-02-21T00:00:00Z,US,The Bronx,co,14,2.3,4.5,3.4,4.85
2017-05-16T00:00:00Z,US,The Bronx,co,19,2.3,8.9,3.4,38.14
2017-06-29T00:00:00Z,US,The Bronx,co,19,2.3,4.5,3.4,5.45
2017-01-06T00:00:00Z,US,The Bronx,co,23,2.3,13.4,4.5,101.93
2017-02-11T00:00:00Z,US,The Bronx,co,22,3.4,14.5,6.7,60.80
2017-03-20T00:00:00Z,US,The Bronx,co,23,2.3,12.3,3.4,48.27
2017-03-25T00:00:00Z,US,The Bronx,co,16,2.3,7.8,4.5,31.01
2017-05-30T00:00:00Z,US,The Bronx,co,7,1.2,2.3,2.3,3.46
2017-05-31T00:00:00Z,US,The Bronx,co,17,1.2,3.4,2.3,6.41
2017-06-09T00:00:00Z,US,The Bronx,co,23,1.2,4.5,3.4,10.14
2017-06-10T00:00:00Z,US,The Bronx,co,13,2.3,4.5,3.4,5.74
2017-02-05T00:00:00Z,US,The Bronx,co,12,2.3,4.5,3.4,7.61
2017-03-10T00:00:00Z,US,The Bronx,co,13,2.3,4.5,2.3,5.27
2017-05-09T00:00:00Z,US,The Bronx,co,6,2.3,3.4,3.4,3.23
2017-05-12T00:00:00Z,US,The Bronx,co,19,1.2,4.5,2.3,11.11
2017-05-15T00:00:00Z,US,The Bronx,co,17,1.2,2.3,2.3,3.20
2017-05-19T00:00:00Z,US,The Bronx,co,17,1.2,3.4,2.3,7.38
2017-06-15T00:00:00Z,US,The Bronx,co,9,1.2,2.3,2.3,3.03
2017-06-26T00:00:00Z,US,The Bronx,co,18,1.2,4.5,2.3,12.53
2017-01-19T00:00:00Z,US,The Bronx,co,17,2.3,7.8,3.4,30.96
2017-03-30T00:00:00Z,US,The Bronx,co,18,2.3,20.0,3.4,182.17
2017-03-28T00:00:00Z,US,The Bronx,co,10,2.3,5.6,3.4,16.27
2017-05-14T00:00:00Z,US,The Bronx,co,14,1.2,3.4,2.3,5.92
2017-06-12T00:00:00Z,US,The Bronx,co,4,2.3,2.3,2.3,0.00
2017-02-07T00:00:00Z,US,The Bronx,co,7,3.4,12.3,4.5,100.79
2017-03-06T00:00:00Z,US,The Bronx,co,19,2.3,15.6,3.4,99.13
2017-01-20T00:00:00Z,US,The Bronx,co,12,3.4,5.6,3.4,5.41
2017-05-05T00:00:00Z,US,The Bronx,co,20,1.2,3.4,2.3,6.37
2016-12-31T00:00:00Z,US,The Bronx,co,17,2.3,4.5,3.4,6.41
2017-01-13T00:00:00Z,US,The Bronx,co,12,2.3,5.6,2.3,12.83
2017-05-29T00:00:00Z,US,The Bronx,co,13,1.2,2.3,1.2,3.26
2017-06-30T00:00:00Z,US,The Bronx,co,18,2.3,4.5,3.4,3.99
2017-03-27T00:00:00Z,US,The Bronx,co,16,3.4,6.7,4.5,16.94
2017-04-04T00:00:00Z,US,The Bronx,co,5,2.3,3.4,2.3,3.63
2017-01-26T00:00:00Z,US,The Bronx,co,18,2.3,6.7,3.4,31.32
2017-04-07T00:00:00Z,US,The Bronx,co,16,2.3,3.4,2.3,3.23
2017-04-10T00:00:00Z,US,The Bronx,co,23,2.3,8.9,4.5,31.33
2017-05-23T00:00:00Z,US,The Bronx,co,17,2.3,5.6,3.4,9.43
2017-06-22T00:00:00Z,US,The Bronx,co,18,2.3,6.7,3.4,15.50
2017-06-24T00:00:00Z,US,The Bronx,co,11,2.3,3.4,2.3,3.30
2017-01-11T00:00:00Z,US,The Bronx,co,19,2.3,6.7,4.5,15.99
2017-01-18T00:00:00Z,US,The Bronx,co,11,2.3,4.5,3.4,5.06
2017-06-28T00:00:00Z,US,The Bronx,co,24,1.2,3.4,2.3,6.64
2017-03-22T00:00:00Z,US,The Bronx,co,18,2.3,4.5,2.3,6.05
2017-04-01T00:00:00Z,US,The Bronx,co,17,2.3,7.8,3.4,47.24
2017-04-09T00:00:00Z,US,The Bronx,co,15,2.3,5.6,3.4,12.91
2017-01-10T00:00:00Z,US,The Bronx,co,19,2.3,12.3,5.6,59.35
2017-01-14T00:00:00Z,US,The Bronx,co,12,3.4,5.6,3.4,9.07
2017-03-01T00:00:00Z,US,The Bronx,co,22,2.3,7.8,3.4,27.58
2017-04-28T00:00:00Z,US,The Bronx,co,17,2.3,8.9,4.5,25.53
2017-05-03T00:00:00Z,US,The Bronx,co,3,2.3,2.3,2.3,0.00
2017-05-06T00:00:00Z,US,The Bronx,co,10,2.3,3.4,2.3,2.82
2017-06-14T00:00:00Z,US,The Bronx,co,7,2.3,3.4,2.3,3.46
2017-06-25T00:00:00Z,US,The Bronx,co,13,1.2,5.6,2.3,17.37
2017-02-14T00:00:00Z,US,The Bronx,co,17,3.4,7.8,4.5,18.06
2017-02-25T00:00:00Z,US,The Bronx,co,8,2.3,3.4,2.3,3.24
2017-07-02T00:00:00Z,US,The Bronx,co,6,2.3,4.5,3.4,4.84
2017-06-27T00:00:00Z,US,The Bronx,co,20,1.2,3.4,2.3,6.24
2017-02-02T00:00:00Z,US,The Bronx,co,14,2.3,4.5,3.4,7.78
2017-04-23T00:00:00Z,US,The Bronx,co,10,2.3,4.5,3.4,4.84
2017-04-20T00:00:00Z,US,The Bronx,co,9,2.3,6.7,3.4,21.17
2017-06-01T00:00:00Z,US,The Bronx,co,18,1.2,6.7,3.4,16.92
2017-06-13T00:00:00Z,US,The Bronx,co,13,2.3,4.5,3.4,6.98
2017-04-11T00:00:00Z,US,The Bronx,co,21,2.3,7.8,4.5,20.57
2017-04-19T00:00:00Z,US,The Bronx,co,3,2.3,2.3,2.3,0.00
2017-02-12T00:00:00Z,US,The Bronx,co,21,2.3,5.6,3.4,10.26
2017-03-14T00:00:00Z,US,The Bronx,co,11,2.3,7.8,3.4,36.52
2017-03-23T00:00:00Z,US,The Bronx,co,20,2.3,5.6,3.4,15.89
2017-06-23T00:00:00Z,US,The Bronx,co,17,2.3,5.6,3.4,8.99
2017-01-02T00:00:00Z,US,The Bronx,co,11,2.3,4.5,3.4,5.06
2017-02-08T00:00:00Z,US,The Bronx,co,21,2.3,23.4,7.8,283.05
2017-01-09T00:00:00Z,US,The Bronx,co,13,3.4,4.5,3.4,2.79
2017-02-17T00:00:00Z,US,The Bronx,co,15,2.3,6.7,3.4,12.91
2017-03-11T00:00:00Z,US,The Bronx,co,14,2.3,3.4,2.3,2.99
2017-03-31T00:00:00Z,US,The Bronx,co,8,2.3,3.4,2.3,2.59
2017-04-15T00:00:00Z,US,The Bronx,co,17,2.3,5.6,3.4,9.07
2017-05-11T00:00:00Z,US,The Bronx,co,13,2.3,6.7,3.4,29.32
2016-12-29T00:00:00Z,US,The Bronx,co,18,2.3,6.7,3.4,14.24
2016-12-30T00:00:00Z,US,The Bronx,co,16,2.3,3.4,3.4,3.03
2017-05-21T00:00:00Z,US,The Bronx,co,17,1.2,3.4,2.3,5.96
2017-01-25T00:00:00Z,US,The Bronx,co,18,2.3,12.3,4.5,68.93
2017-02-24T00:00:00Z,US,The Bronx,co,14,2.3,11.2,3.4,83.68
2017-03-02T00:00:00Z,US,The Bronx,co,8,2.3,3.4,2.3,3.46
2017-03-24T00:00:00Z,US,The Bronx,co,12,3.4,6.7,3.4,11.27
2017-04-14T00:00:00Z,US,The Bronx,co,5,2.3,6.7,3.4,27.83
2017-04-16T00:00:00Z,US,The Bronx,co,11,2.3,3.4,2.3,3.30
2016-12-28T00:00:00Z,US,The Bronx,co,6,2.3,3.4,2.3,3.63
2017-01-21T00:00:00Z,US,The Bronx,co,23,3.4,7.8,5.6,15.26
2017-06-06T00:00:00Z,US,The Bronx,co,14,1.2,4.5,2.3,12.03
2017-06-17T00:00:00Z,US,The Bronx,co,13,2.3,4.5,3.4,6.36
2017-02-26T00:00:00Z,US,The Bronx,co,10,2.3,3.4,3.4,2.15
2017-05-10T00:00:00Z,US,The Bronx,co,15,2.3,3.4,2.3,3.23
2017-05-24T00:00:00Z,US,The Bronx,co,21,1.2,3.4,2.3,6.80
2017-05-27T00:00:00Z,US,The Bronx,co,7,3.4,4.5,3.4,2.88
2017-01-04T00:00:00Z,US,The Bronx,co,13,2.3,5.6,4.5,15.36
2017-02-23T00:00:00Z,US,The Bronx,co,24,4.5,15.6,6.7,103.27
