Date,Country,City,Specie,count,min,max,median,variance
2017-03-25T00:00:00Z,US,Brooklyn,o3,24,12.1,30.1,24.1,261.42
2017-03-28T00:00:00Z,US,Brooklyn,o3,24,3.7,18.8,9.6,262.98
2017-04-09T00:00:00Z,US,Brooklyn,o3,24,14.8,43.2,34.0,661.24
2017-05-04T00:00:00Z,US,Brooklyn,o3,24,22.8,39.6,31.6,259.36
2017-01-17T00:00:00Z,US,Brooklyn,o3,24,2.0,17.6,5.9,260.07
2017-02-04T00:00:00Z,US,Brooklyn,o3,24,19.2,32.4,30.0,172.34
2017-02-06T00:00:00Z,US,Brooklyn,o3,24,3.2,32.8,27.6,1058.99
2017-02-22T00:00:00Z,US,Brooklyn,o3,24,0.8,20.0,12.1,351.97
2017-05-16T00:00:00Z,US,Brooklyn,o3,24,20.0,33.6,27.8,118.56
2017-06-29T00:00:00Z,US,Brooklyn,o3,24,24.1,53.9,35.8,925.38
2017-02-14T00:00:00Z,US,Brooklyn,o3,17,0.8,32.8,25.6,1091.02
2017-03-02T00:00:00Z,US,Brooklyn,o3,24,27.6,37.2,34.4,63.19
2017-03-12T00:00:00Z,US,Brooklyn,o3,22,28.9,32.0,30.4,9.73
2017-05-09T00:00:00Z,US,Brooklyn,o3,24,18.8,34.0,25.6,257.33
2017-03-11T00:00:00Z,US,Brooklyn,o3,24,31.2,33.2,32.4,4.61
2017-05-21T00:00:00Z,US,Brooklyn,o3,24,7.6,37.6,24.4,791.94
2016-12-27T00:00:00Z,US,Brooklyn,o3,24,14.9,29.6,19.6,164.13
2016-12-31T00:00:00Z,US,Brooklyn,o3,24,16.4,25.6,20.8,75.55
2017-01-11T00:00:00Z,US,Brooklyn,o3,23,0.8,27.2,21.4,572.07
2017-02-01T00:00:00Z,US,Brooklyn,o3,19,19.6,32.0,26.4,118.60
2017-06-28T00:00:00Z,US,Brooklyn,o3,24,15.2,32.0,24.4,264.81
2017-03-24T00:00:00Z,US,Brooklyn,o3,24,5.6,32.0,23.2,607.02
2017-03-26T00:00:00Z,US,Brooklyn,o3,23,21.6,33.2,29.2,106.88
2017-04-20T00:00:00Z,US,Brooklyn,o3,24,12.4,32.8,22.4,566.22
2017-05-30T00:00:00Z,US,Brooklyn,o3,24,14.1,25.2,19.2,133.22
2017-02-09T00:00:00Z,US,Brooklyn,o3,18,25.2,33.6,27.8,58.71
2017-06-20T00:00:00Z,US,Brooklyn,o3,24,12.1,42.0,30.0,988.33
2017-03-17T00:00:00Z,US,Brooklyn,o3,24,31.2,42.4,38.0,113.36
2017-04-04T00:00:00Z,US,Brooklyn,o3,24,20.5,34.8,30.4,205.60
2017-04-10T00:00:00Z,US,Brooklyn,o3,24,12.1,46.4,35.6,1268.85
2017-04-05T00:00:00Z,US,Brooklyn,o3,24,12.1,35.6,27.2,469.81
2017-04-24T00:00:00Z,US,Brooklyn,o3,24,2.4,28.5,20.8,787.45
2017-06-03T00:00:00Z,US,Brooklyn,o3,24,24.1,32.4,28.1,83.71
2017-06-12T00:00:00Z,US,Brooklyn,o3,24,29.6,52.0,43.6,520.57
2016-12-29T00:00:00Z,US,Brooklyn,o3,24,2.4,24.1,9.6,569.15
2017-01-09T00:00:00Z,US,Brooklyn,o3,24,2.4,26.4,14.2,784.16
2017-01-13T00:00:00Z,US,Brooklyn,o3,24,21.6,32.8,27.8,143.14
2017-01-27T00:00:00Z,US,Brooklyn,o3,22,18.8,22.4,21.4,9.25
2017-02-07T00:00:00Z,US,Brooklyn,o3,24,6.8,18.7,14.8,131.12
2017-04-13T00:00:00Z,US,Brooklyn,o3,24,24.4,39.6,33.9,188.67
2017-06-10T00:00:00Z,US,Brooklyn,o3,24,19.2,59.7,46.0,1828.39
2017-05-14T00:00:00Z,US,Brooklyn,o3,24,26.0,38.9,30.4,133.10
2017-01-23T00:00:00Z,US,Brooklyn,o3,18,22.4,29.2,25.2,40.23
2017-02-05T00:00:00Z,US,Brooklyn,o3,24,9.9,27.6,22.0,176.84
2017-02-16T00:00:00Z,US,Brooklyn,o3,24,24.1,28.5,26.4,16.12
2017-02-28T00:00:00Z,US,Brooklyn,o3,24,10.0,28.3,19.6,348.92
2017-04-06T00:00:00Z,US,Brooklyn,o3,23,20.0,31.6,29.6,171.16
2017-04-16T00:00:00Z,US,Brooklyn,o3,24,12.8,43.6,36.8,1030.20
2017-05-18T00:00:00Z,US,Brooklyn,o3,24,31.6,56.5,45.6,729.86
2017-05-20T00:00:00Z,US,Brooklyn,o3,24,9.1,33.2,24.8,424.92
2016-12-26T00:00:00Z,US,Brooklyn,o3,24,6.8,24.1,16.8,373.94
2016-12-30T00:00:00Z,US,Brooklyn,o3,24,18.1,24.8,22.8,36.16
2017-01-02T00:00:00Z,US,Brooklyn,o3,24,8.8,19.2,16.8,82.14
2017-02-21T00:00:00Z,US,Brooklyn,o3,24,13.6,32.0,23.3,294.75
2017-04-25T00:00:00Z,US,Brooklyn,o3,24,23.2,29.2,25.6,22.22
2017-05-12T00:00:00Z,US,Brooklyn,o3,24,2.4,33.6,21.6,860.76
2017-05-19T00:00:00Z,US,Brooklyn,o3,24,22.8,45.6,36.1,467.98
2017-05-22T00:00:00Z,US,Brooklyn,o3,24,10.2,22.8,18.8,148.93
2017-02-11T00:00:00Z,US,Brooklyn,o3,24,11.2,20.8,17.1,49.01
2017-02-20T00:00:00Z,US,Brooklyn,o3,24,28.1,37.2,31.6,69.01
2017-03-13T00:00:00Z,US,Brooklyn,o3,24,14.1,30.4,28.9,217.30
2017-04-15T00:00:00Z,US,Brooklyn,o3,24,16.8,39.6,28.5,660.82
2017-05-28T00:00:00Z,US,Brooklyn,o3,24,9.2,38.4,27.8,947.26
2017-06-27T00:00:00Z,US,Brooklyn,o3,24,16.0,39.6,24.8,580.70
2017-07-01T00:00:00Z,US,Brooklyn,o3,24,9.6,30.5,22.0,367.70
2017-01-18T00:00:00Z,US,Brooklyn,o3,24,11.7,23.6,19.6,130.01
2017-03-19T00:00:00Z,US,Brooklyn,o3,24,33.6,44.4,36.5,110.16
2017-04-28T00:00:00Z,US,Brooklyn,o3,23,15.2,48.8,33.2,1299.31
2017-05-05T00:00:00Z,US,Brooklyn,o3,24,20.5,29.6,24.1,48.70
2017-04-23T00:00:00Z,US,Brooklyn,o3,24,4.4,35.5,19.2,842.49
2017-05-06T00:00:00Z,US,Brooklyn,o3,24,16.6,31.6,28.1,227.83
2017-06-07T00:00:00Z,US,Brooklyn,o3,24,14.8,32.0,22.8,271.68
2017-06-19T00:00:00Z,US,Brooklyn,o3,24,5.6,33.2,17.2,574.08
2017-06-30T00:00:00Z,US,Brooklyn,o3,24,20.0,54.5,36.8,857.51
2017-01-04T00:00:00Z,US,Brooklyn,o3,24,9.6,26.8,18.8,472.69
2017-01-30T00:00:00Z,US,Brooklyn,o3,16,26.0,32.0,29.4,31.34
2017-05-03T00:00:00Z,US,Brooklyn,o3,24,27.2,37.6,32.0,71.79
2017-05-13T00:00:00Z,US,Brooklyn,o3,24,19.2,33.2,21.6,259.61
2017-06-11T00:00:00Z,US,Brooklyn,o3,24,28.9,48.4,43.2,281.49
2017-02-10T00:00:00Z,US,Brooklyn,o3,20,17.6,32.8,31.2,181.36
2017-03-01T00:00:00Z,US,Brooklyn,o3,24,5.2,29.6,18.4,713.74
2017-05-02T00:00:00Z,US,Brooklyn,o3,24,6.8,40.9,38.0,1516.93
2017-05-07T00:00:00Z,US,Brooklyn,o3,24,17.6,26.4,23.6,93.30
2017-06-04T00:00:00Z,US,Brooklyn,o3,24,8.8,26.0,20.5,278.99
2017-06-24T00:00:00Z,US,Brooklyn,o3,24,10.8,34.8,26.7,585.98
2017-02-27T00:00:00Z,US,Brooklyn,o3,24,12.1,33.2,20.8,469.27
2017-03-20T00:00:00Z,US,Brooklyn,o3,24,33.6,44.4,41.2,126.83
2017-04-17T00:00:00Z,US,Brooklyn,o3,24,31.2,39.0,34.0,69.07
2017-05-23T00:00:00Z,US,Brooklyn,o3,24,10.0,36.8,21.6,959.58
2017-01-08T00:00:00Z,US,Brooklyn,o3,24,24.3,28.9,27.2,22.92
2017-02-08T00:00:00Z,US,Brooklyn,o3,24,6.2,25.2,20.6,339.54
2017-04-02T00:00:00Z,US,Brooklyn,o3,24,26.4,38.0,33.2,116.14
2017-01-16T00:00:00Z,US,Brooklyn,o3,24,5.9,23.6,16.0,303.61
2017-03-30T00:00:00Z,US,Brooklyn,o3,24,10.4,36.1,23.7,694.36
2017-05-11T00:00:00Z,US,Brooklyn,o3,24,6.7,35.6,24.4,561.67
2017-06-02T00:00:00Z,US,Brooklyn,o3,24,18.4,38.4,28.1,364.91
2017-05-08T00:00:00Z,US,Brooklyn,o3,24,20.8,29.7,25.2,60.17
2017-06-08T00:00:00Z,US,Brooklyn,o3,24,12.4,39.2,24.4,712.15
2017-06-09T00:00:00Z,US,Brooklyn,o3,24,6.4,39.2,30.0,1026.57
2017-06-14T00:00:00Z,US,Brooklyn,o3,24,10.4,40.6,29.6,584.85
2017-01-15T00:00:00Z,US,Brooklyn,o3,24,17.6,29.2,24.4,126.90
2017-01-21T00:00:00Z,US,Brooklyn,o3,19,0.8,14.5,6.8,182.37
2017-01-22T00:00:00Z,US,Brooklyn,o3,16,0.8,6.4,2.7,23.43
2017-04-11T00:00:00Z,US,Brooklyn,o3,24,23.3,53.3,32.8,695.70
2017-06-17T00:00:00Z,US,Brooklyn,o3,24,7.8,16.8,13.6,81.15
2017-06-18T00:00:00Z,US,Brooklyn,o3,24,4.3,36.1,16.4,1049.40
2016-12-28T00:00:00Z,US,Brooklyn,o3,24,13.6,24.1,20.8,88.27
2017-02-17T00:00:00Z,US,Brooklyn,o3,24,22.8,34.4,30.9,90.26
2017-04-08T00:00:00Z,US,Brooklyn,o3,24,29.2,35.6,31.2,40.67
2017-05-31T00:00:00Z,US,Brooklyn,o3,24,12.4,38.0,23.6,837.32
2017-03-08T00:00:00Z,US,Brooklyn,o3,24,22.0,38.0,36.1,162.25
2017-03-15T00:00:00Z,US,Brooklyn,o3,23,28.5,35.5,32.6,37.55
2017-04-21T00:00:00Z,US,Brooklyn,o3,24,23.6,32.6,29.6,60.49
2017-05-29T00:00:00Z,US,Brooklyn,o3,24,15.6,27.2,22.8,120.79
2017-03-21T00:00:00Z,US,Brooklyn,o3,24,30.8,42.8,36.1,113.18
2017-04-14T00:00:00Z,US,Brooklyn,o3,24,17.6,40.4,30.9,357.57
2017-04-30T00:00:00Z,US,Brooklyn,o3,24,25.6,34.4,31.2,69.13
2017-05-01T00:00:00Z,US,Brooklyn,o3,24,7.3,26.4,18.4,317.16
2017-01-06T00:00:00Z,US,Brooklyn,o3,24,17.6,26.4,23.3,69.72
2017-02-02T00:00:00Z,US,Brooklyn,o3,24,12.3,31.2,29.6,319.48
2017-02-26T00:00:00Z,US,Brooklyn,o3,23,10.8,29.6,26.8,175.83
2017-03-05T00:00:00Z,US,Brooklyn,o3,23,14.1,33.2,30.4,259.85
2017-04-03T00:00:00Z,US,Brooklyn,o3,24,18.4,38.0,32.0,327.89
2017-04-19T00:00:00Z,US,Brooklyn,o3,24,16.8,32.0,28.9,190.38
2017-04-22T00:00:00Z,US,Brooklyn,o3,24,14.8,24.4,20.8,89.64
2017-06-06T00:00:00Z,US,Brooklyn,o3,24,15.2,20.0,17.6,21.02
2017-01-19T00:00:00Z,US,Brooklyn,o3,24,6.2,20.8,17.2,175.81
2017-01-24T00:00:00Z,US,Brooklyn,o3,24,26.4,29.6,28.5,8.91
2017-01-31T00:00:00Z,US,Brooklyn,o3,13,16.8,26.8,18.8,87.04
2017-02-19T00:00:00Z,US,Brooklyn,o3,24,28.9,39.2,34.2,90.24
2017-05-10T00:00:00Z,US,Brooklyn,o3,24,20.3,31.6,25.2,122.61
2017-05-15T00:00:00Z,US,Brooklyn,o3,24,24.4,30.4,28.1,27.04
2017-06-25T00:00:00Z,US,Brooklyn,o3,24,17.6,36.8,28.9,292.42
2017-02-03T00:00:00Z,US,Brooklyn,o3,24,28.9,32.4,30.4,8.21
2017-03-29T00:00:00Z,US,Brooklyn,o3,24,14.0,36.1,27.2,508.57
2017-04-12T00:00:00Z,US,Brooklyn,o3,24,14.9,40.0,25.2,555.39
2017-04-27T00:00:00Z,US,Brooklyn,o3,24,3.7,31.2,20.8,975.57
2017-03-14T00:00:00Z,US,Brooklyn,o3,24,25.4,31.6,29.2,27.88
2017-03-16T00:00:00Z,US,Brooklyn,o3,24,33.6,41.6,38.0,73.89
2017-06-21T00:00:00Z,US,Brooklyn,o3,24,20.0,42.0,29.2,549.34
2017-06-13T00:00:00Z,US,Brooklyn,o3,24,24.1,53.7,41.6,621.15
2017-06-16T00:00:00Z,US,Brooklyn,o3,24,10.4,20.8,16.8,119.28
2017-06-22T00:00:00Z,US,Brooklyn,o3,24,17.6,51.3,32.8,1207.27
2017-01-05T00:00:00Z,US,Brooklyn,o3,24,16.0,27.2,24.8,140.44
2017-02-12T00:00:00Z,US,Brooklyn,o3,24,13.6,23.2,21.6,57.59
2017-02-25T00:00:00Z,US,Brooklyn,o3,24,16.0,31.2,24.8,246.10
2017-05-17T00:00:00Z,US,Brooklyn,o3,24,15.7,61.6,45.6,2506.17
2017-05-24T00:00:00Z,US,Brooklyn,o3,24,7.3,39.6,31.6,1035.01
