Date,Country,City,Specie,count,min,max,median,variance
2017-06-17T00:00:00Z,US,Los Angeles,co,24,1.7,4.6,3.3,8.32
2017-07-01T00:00:00Z,US,Los Angeles,co,23,1.8,3.0,2.5,2.11
2017-03-29T00:00:00Z,US,Los Angeles,co,24,2.7,17.8,7.7,138.13
2017-04-20T00:00:00Z,US,Los Angeles,co,22,2.6,9.2,4.5,25.34
2017-05-07T00:00:00Z,US,Los Angeles,co,24,1.5,5.6,1.8,13.03
2017-03-22T00:00:00Z,US,Los Angeles,co,24,1.6,5.6,2.2,12.16
2017-04-08T00:00:00Z,US,Los Angeles,co,16,1.5,4.5,2.3,8.85
2017-05-16T00:00:00Z,US,Los Angeles,co,23,1.6,6.4,2.3,11.70
2017-05-21T00:00:00Z,US,Los Angeles,co,24,2.2,8.0,3.4,22.79
2017-06-14T00:00:00Z,US,Los Angeles,co,21,3.2,10.2,4.9,31.53
2017-01-05T00:00:00Z,US,Los Angeles,co,24,2.2,5.2,3.2,6.23
2017-02-06T00:00:00Z,US,Los Angeles,co,20,1.9,5.6,4.2,12.79
2017-02-10T00:00:00Z,US,Los Angeles,co,24,3.3,8.7,6.8,18.69
2017-04-13T00:00:00Z,US,Los Angeles,co,24,1.7,7.4,2.6,19.10
2017-06-27T00:00:00Z,US,Los Angeles,co,24,2.3,8.5,3.2,35.57
2017-01-25T00:00:00Z,US,Los Angeles,co,24,2.8,12.3,6.7,89.87
2017-02-24T00:00:00Z,US,Los Angeles,co,24,2.4,11.4,3.8,57.15
2017-03-16T00:00:00Z,US,Los Angeles,co,24,3.7,14.5,6.4,142.32
2017-04-17T00:00:00Z,US,Los Angeles,co,22,1.6,6.2,3.8,17.95
2017-05-12T00:00:00Z,US,Los Angeles,co,24,1.7,5.6,2.8,14.03
2017-06-03T00:00:00Z,US,Los Angeles,co,24,2.4,5.3,2.9,8.13
2017-06-22T00:00:00Z,US,Los Angeles,co,24,2.4,5.6,3.4,6.66
2017-02-02T00:00:00Z,US,Los Angeles,co,23,3.4,7.8,5.6,15.38
2017-02-19T00:00:00Z,US,Los Angeles,co,23,1.7,7.6,2.2,20.04
2017-03-23T00:00:00Z,US,Los Angeles,co,21,1.8,5.9,2.8,14.27
2017-03-24T00:00:00Z,US,Los Angeles,co,24,2.2,12.3,4.5,68.30
2017-04-23T00:00:00Z,US,Los Angeles,co,19,1.6,3.9,2.2,4.80
2017-05-23T00:00:00Z,US,Los Angeles,co,24,1.9,7.5,2.8,26.78
2017-01-09T00:00:00Z,US,Los Angeles,co,24,1.6,8.2,3.3,41.65
2017-02-12T00:00:00Z,US,Los Angeles,co,22,3.3,12.9,6.0,82.45
2017-02-27T00:00:00Z,US,Los Angeles,co,24,2.4,5.3,3.0,3.60
2017-01-10T00:00:00Z,US,Los Angeles,co,24,1.7,8.2,3.5,42.20
2017-02-16T00:00:00Z,US,Los Angeles,co,24,1.8,17.6,9.0,230.85
2017-06-23T00:00:00Z,US,Los Angeles,co,24,1.6,4.8,2.4,8.00
2017-01-04T00:00:00Z,US,Los Angeles,co,24,2.7,13.6,5.0,123.06
2017-06-13T00:00:00Z,US,Los Angeles,co,24,1.9,6.0,2.7,11.33
2017-06-16T00:00:00Z,US,Los Angeles,co,24,2.4,7.8,5.0,23.98
2017-07-02T00:00:00Z,US,Los Angeles,co,24,1.7,2.5,1.9,0.43
2017-05-04T00:00:00Z,US,Los Angeles,co,24,1.9,6.8,3.4,18.41
2017-05-09T00:00:00Z,US,Los Angeles,co,24,1.7,4.0,2.8,4.32
2017-06-25T00:00:00Z,US,Los Angeles,co,23,2.9,7.8,3.8,18.14
2017-03-07T00:00:00Z,US,Los Angeles,co,24,2.8,12.9,5.4,81.83
2017-03-15T00:00:00Z,US,Los Angeles,co,24,3.6,14.3,7.7,102.04
2017-03-21T00:00:00Z,US,Los Angeles,co,19,1.8,5.6,3.7,13.75
2017-03-27T00:00:00Z,US,Los Angeles,co,24,1.7,6.0,2.3,20.29
2017-03-30T00:00:00Z,US,Los Angeles,co,24,1.7,13.6,3.9,120.99
2016-12-30T00:00:00Z,US,Los Angeles,co,24,1.6,8.6,2.8,44.53
2017-01-01T00:00:00Z,US,Los Angeles,co,23,2.0,6.0,3.8,20.24
2017-01-07T00:00:00Z,US,Los Angeles,co,24,2.5,11.8,4.6,77.69
2017-06-10T00:00:00Z,US,Los Angeles,co,24,1.2,3.4,1.7,3.07
2017-02-09T00:00:00Z,US,Los Angeles,co,23,6.7,13.4,8.9,50.78
2017-03-18T00:00:00Z,US,Los Angeles,co,21,2.7,7.8,4.5,23.49
2017-03-25T00:00:00Z,US,Los Angeles,co,24,1.5,6.7,2.9,27.19
2017-04-06T00:00:00Z,US,Los Angeles,co,24,2.0,11.2,5.0,80.33
2017-04-07T00:00:00Z,US,Los Angeles,co,22,1.7,4.5,2.5,6.17
2017-04-29T00:00:00Z,US,Los Angeles,co,24,2.2,9.9,2.8,44.69
2017-06-29T00:00:00Z,US,Los Angeles,co,22,2.0,6.7,3.4,25.72
2017-01-06T00:00:00Z,US,Los Angeles,co,24,2.2,10.9,3.3,76.13
2017-01-20T00:00:00Z,US,Los Angeles,co,24,1.7,5.6,2.8,9.86
2017-02-26T00:00:00Z,US,Los Angeles,co,23,1.5,7.4,1.8,24.60
2017-03-14T00:00:00Z,US,Los Angeles,co,24,3.2,12.9,7.8,64.07
2017-04-10T00:00:00Z,US,Los Angeles,co,24,3.0,10.3,4.3,33.74
2017-04-11T00:00:00Z,US,Los Angeles,co,23,2.6,13.3,5.8,76.88
2017-06-05T00:00:00Z,US,Los Angeles,co,24,2.3,5.6,2.7,7.04
2017-06-20T00:00:00Z,US,Los Angeles,co,24,2.8,10.0,3.9,47.24
2017-01-08T00:00:00Z,US,Los Angeles,co,23,2.2,10.9,5.5,85.91
2017-02-08T00:00:00Z,US,Los Angeles,co,24,1.6,6.8,4.0,23.20
2017-03-02T00:00:00Z,US,Los Angeles,co,24,3.0,14.3,5.6,119.83
2017-06-28T00:00:00Z,US,Los Angeles,co,20,1.8,6.5,3.3,11.43
2017-02-11T00:00:00Z,US,Los Angeles,co,24,1.6,8.3,2.3,41.21
