Date,Country,City,Specie,count,min,max,median,variance
2017-02-21T00:00:00Z,US,Manhattan,co,31,1.2,3.4,2.3,4.61
2017-03-20T00:00:00Z,US,Manhattan,co,33,1.2,4.5,2.3,9.90
2017-04-10T00:00:00Z,US,Manhattan,co,32,1.2,5.6,3.4,20.10
2017-05-08T00:00:00Z,US,Manhattan,co,30,1.2,6.7,4.5,43.80
2017-05-20T00:00:00Z,US,Manhattan,co,12,1.2,2.3,2.3,2.93
2016-12-30T00:00:00Z,US,Manhattan,co,29,1.2,3.4,2.3,3.90
2017-01-09T00:00:00Z,US,Manhattan,co,34,1.2,6.7,2.3,10.49
2017-01-30T00:00:00Z,US,Manhattan,co,36,1.2,5.6,2.3,9.64
2017-05-04T00:00:00Z,US,Manhattan,co,25,1.2,8.9,6.7,68.24
2017-05-14T00:00:00Z,US,Manhattan,co,6,1.2,2.3,1.2,3.23
2017-05-17T00:00:00Z,US,Manhattan,co,20,1.2,3.4,2.3,4.97
2017-05-29T00:00:00Z,US,Manhattan,co,8,1.2,3.4,1.2,13.83
2017-06-01T00:00:00Z,US,Manhattan,co,37,1.2,6.7,3.4,22.04
2016-12-27T00:00:00Z,US,Manhattan,co,23,1.2,5.6,2.3,13.15
2017-01-15T00:00:00Z,US,Manhattan,co,34,1.2,7.8,3.4,18.60
2017-02-01T00:00:00Z,US,Manhattan,co,22,1.2,6.7,2.3,29.25
2017-06-13T00:00:00Z,US,Manhattan,co,28,1.2,6.7,4.5,35.72
2017-02-13T00:00:00Z,US,Manhattan,co,20,1.2,3.4,2.3,6.24
2017-02-15T00:00:00Z,US,Manhattan,co,33,1.2,8.9,3.4,52.75
2017-05-06T00:00:00Z,US,Manhattan,co,28,1.2,7.8,2.3,77.02
2017-07-01T00:00:00Z,US,Manhattan,co,25,1.2,5.6,3.4,22.30
2017-01-02T00:00:00Z,US,Manhattan,co,29,1.2,6.7,3.4,12.10
2017-01-17T00:00:00Z,US,Manhattan,co,40,2.3,10.0,5.6,43.43
2017-01-18T00:00:00Z,US,Manhattan,co,39,2.3,11.2,3.4,24.89
2017-02-27T00:00:00Z,US,Manhattan,co,28,1.2,4.5,2.3,9.27
2017-03-05T00:00:00Z,US,Manhattan,co,21,1.2,4.5,2.3,9.05
2017-06-19T00:00:00Z,US,Manhattan,co,34,1.2,6.7,2.3,39.04
2017-06-22T00:00:00Z,US,Manhattan,co,37,1.2,7.8,3.4,26.78
2017-01-03T00:00:00Z,US,Manhattan,co,17,1.2,6.7,2.3,19.84
2017-02-05T00:00:00Z,US,Manhattan,co,20,1.2,3.4,2.3,5.45
2017-02-24T00:00:00Z,US,Manhattan,co,31,1.2,14.5,2.3,95.46
2017-03-11T00:00:00Z,US,Manhattan,co,33,1.2,2.3,1.2,3.05
2017-04-07T00:00:00Z,US,Manhattan,co,9,1.2,2.3,2.3,3.36
2017-05-03T00:00:00Z,US,Manhattan,co,11,7.8,8.9,7.8,2.64
2017-05-23T00:00:00Z,US,Manhattan,co,22,1.2,4.5,2.3,13.51
