Date,Country,City,Specie,count,min,max,median,variance
2017-01-13T00:00:00Z,US,Queens,o3,46,12.1,32.0,26.4,247.44
2017-01-30T00:00:00Z,US,Queens,o3,33,9.6,31.2,28.1,334.81
2017-03-03T00:00:00Z,US,Queens,o3,44,28.9,32.8,31.2,19.18
2017-03-05T00:00:00Z,US,Queens,o3,48,8.8,34.4,30.4,339.96
2017-04-24T00:00:00Z,US,Queens,o3,48,0.8,29.6,16.0,557.06
2017-05-25T00:00:00Z,US,Queens,o3,44,16.0,39.2,22.4,540.32
2017-01-17T00:00:00Z,US,Queens,o3,47,0.8,21.6,4.0,493.20
2017-01-20T00:00:00Z,US,Queens,o3,48,4.8,20.8,13.6,245.41
2017-01-31T00:00:00Z,US,Queens,o3,16,19.2,27.2,22.4,71.38
2017-02-05T00:00:00Z,US,Queens,o3,46,10.4,28.1,20.8,169.43
2017-05-06T00:00:00Z,US,Queens,o3,48,19.2,34.4,31.2,205.54
2017-06-30T00:00:00Z,US,Queens,o3,48,9.6,89.2,37.6,3386.80
2017-04-14T00:00:00Z,US,Queens,o3,48,8.0,41.6,31.2,853.01
2017-05-26T00:00:00Z,US,Queens,o3,44,7.3,36.1,24.1,830.31
2017-05-30T00:00:00Z,US,Queens,o3,38,16.0,28.9,24.8,138.33
2017-06-01T00:00:00Z,US,Queens,o3,48,14.5,48.8,32.0,1101.43
2017-06-13T00:00:00Z,US,Queens,o3,44,21.6,76.3,55.8,3306.76
2017-06-23T00:00:00Z,US,Queens,o3,44,8.8,45.6,23.3,935.95
2017-02-13T00:00:00Z,US,Queens,o3,23,26.4,28.1,27.2,5.56
2017-02-28T00:00:00Z,US,Queens,o3,48,0.8,33.6,25.6,1218.98
2017-04-17T00:00:00Z,US,Queens,o3,47,22.4,39.2,35.2,165.35
2017-05-11T00:00:00Z,US,Queens,o3,48,4.8,37.6,27.2,706.73
2017-05-17T00:00:00Z,US,Queens,o3,48,4.0,69.9,45.6,4064.94
2017-06-05T00:00:00Z,US,Queens,o3,45,19.2,31.2,22.4,100.24
2016-12-27T00:00:00Z,US,Queens,o3,48,12.8,28.1,19.2,179.37
2017-01-15T00:00:00Z,US,Queens,o3,48,1.6,29.6,17.6,733.97
2017-02-26T00:00:00Z,US,Queens,o3,42,13.6,31.2,27.2,151.20
2017-06-25T00:00:00Z,US,Queens,o3,48,18.4,46.5,38.4,567.75
2017-06-03T00:00:00Z,US,Queens,o3,48,13.6,32.8,28.9,312.02
2017-06-08T00:00:00Z,US,Queens,o3,48,0.8,39.2,23.3,1590.31
2017-01-02T00:00:00Z,US,Queens,o3,48,3.2,24.1,16.0,265.40
2017-01-05T00:00:00Z,US,Queens,o3,48,12.1,27.2,20.8,186.39
2017-03-02T00:00:00Z,US,Queens,o3,48,28.9,37.6,34.4,69.66
2017-03-11T00:00:00Z,US,Queens,o3,40,27.2,33.6,31.2,28.44
