Date,Country,City,Specie,count,min,max,median,variance
2018-02-05T00:00:00Z,CN,Beijing,co,352,1.0,14.5,2.8,36.80
2018-02-25T00:00:00Z,CN,Beijing,co,431,2.8,29.0,8.2,111.08
2018-03-03T00:00:00Z,CN,Beijing,co,441,6.4,39.4,18.1,217.22
2018-04-04T00:00:00Z,CN,Beijing,co,368,1.0,11.5,4.6,34.42
2018-04-14T00:00:00Z,CN,Beijing,co,231,0.9,8.2,2.8,16.16
2018-06-12T00:00:00Z,CN,Beijing,co,441,3.7,15.8,9.1,53.72
2018-06-25T00:00:00Z,CN,Beijing,co,431,3.7,16.3,9.1,67.01
2018-02-04T00:00:00Z,CN,Beijing,co,364,1.0,10.9,5.5,35.45
2018-01-31T00:00:00Z,CN,Beijing,co,329,1.0,14.5,4.6,60.14
2018-02-06T00:00:00Z,CN,Beijing,co,431,1.0,23.6,9.1,177.90
2018-04-19T00:00:00Z,CN,Beijing,co,397,2.8,21.7,9.1,76.89
2018-04-26T00:00:00Z,CN,Beijing,co,423,1.0,17.2,8.2,53.95
2018-04-29T00:00:00Z,CN,Beijing,co,443,3.7,17.2,10.0,58.19
2018-05-09T00:00:00Z,CN,Beijing,co,350,2.8,13.6,5.5,29.85
2018-05-15T00:00:00Z,CN,Beijing,co,417,4.6,15.4,10.0,58.43
2018-01-21T00:00:00Z,CN,Beijing,co,430,3.7,19.9,11.8,103.49
2018-06-10T00:00:00Z,CN,Beijing,co,401,1.9,15.4,6.4,76.21
2018-01-14T00:00:00Z,CN,Beijing,co,453,1.9,42.5,21.7,575.34
2018-03-06T00:00:00Z,CN,Beijing,co,433,3.7,19.0,7.3,103.83
2018-04-25T00:00:00Z,CN,Beijing,co,394,1.0,10.9,4.6,31.83
2018-06-07T00:00:00Z,CN,Beijing,co,413,1.0,14.0,4.6,68.43
2018-01-10T00:00:00Z,CN,Beijing,co,304,1.0,22.6,2.8,115.92
2018-03-21T00:00:00Z,CN,Beijing,co,436,3.7,12.8,7.3,32.97
2018-03-22T00:00:00Z,CN,Beijing,co,410,4.6,19.0,9.1,54.94
2018-03-24T00:00:00Z,CN,Beijing,co,465,1.9,40.7,10.9,971.82
2018-05-26T00:00:00Z,CN,Beijing,co,397,1.0,29.0,8.2,184.93
2018-01-24T00:00:00Z,CN,Beijing,co,397,1.0,19.0,4.6,86.18
2018-01-09T00:00:00Z,CN,Beijing,co,274,1.0,11.8,3.7,35.42
2018-02-07T00:00:00Z,CN,Beijing,co,377,1.0,24.9,4.6,383.85
2018-02-13T00:00:00Z,CN,Beijing,co,331,5.5,30.2,11.8,266.55
2018-03-11T00:00:00Z,CN,Beijing,co,440,2.8,30.1,14.5,289.57
2018-05-04T00:00:00Z,CN,Beijing,co,390,2.8,14.5,5.5,50.12
2018-05-23T00:00:00Z,CN,Beijing,co,370,1.9,17.1,4.6,53.22
2018-05-25T00:00:00Z,CN,Beijing,co,433,3.7,15.4,7.3,32.46
2018-01-03T00:00:00Z,CN,Beijing,co,342,1.0,11.8,3.7,28.07
2018-06-19T00:00:00Z,CN,Beijing,co,457,1.0,22.2,8.2,172.13
2018-06-26T00:00:00Z,CN,Beijing,co,458,3.7,28.1,13.0,304.01
2018-06-08T00:00:00Z,CN,Beijing,co,353,1.9,12.3,4.6,30.22
2018-01-30T00:00:00Z,CN,Beijing,co,390,1.0,29.0,3.7,94.08
2018-02-20T00:00:00Z,CN,Beijing,co,424,1.0,34.6,6.4,420.70
2018-05-10T00:00:00Z,CN,Beijing,co,311,6.4,21.7,10.0,25.80
2018-01-05T00:00:00Z,CN,Beijing,co,431,3.7,24.4,10.0,166.13
2018-02-18T00:00:00Z,CN,Beijing,co,457,12.7,40.3,17.2,165.42
2018-03-15T00:00:00Z,CN,Beijing,co,306,1.0,28.1,4.6,366.22
2018-03-20T00:00:00Z,CN,Beijing,co,338,1.9,13.9,5.5,57.22
2018-04-03T00:00:00Z,CN,Beijing,co,302,1.0,26.8,2.8,142.15
2018-04-18T00:00:00Z,CN,Beijing,co,367,2.8,48.8,7.3,172.67
