Date,Country,City,Specie,count,min,max,median,variance
2018-03-29T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-28T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-06-15T00:00:00Z,IT,Rome,co,168,0.1,0.1,0.1,0.00
2018-07-01T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-03-21T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-09T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-27T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-13T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-18T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-05-22T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-06-12T00:00:00Z,IT,Rome,co,168,0.1,0.1,0.1,0.00
2018-06-13T00:00:00Z,IT,Rome,co,168,0.1,0.1,0.1,0.00
2018-01-09T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-14T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-19T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-24T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-28T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-30T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-05T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-23T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-02-18T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-06-23T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-02-25T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-24T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-05-31T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-02-17T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-01-07T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-01-16T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-21T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-09T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-21T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-21T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-06-21T00:00:00Z,IT,Rome,co,168,0.1,0.1,0.1,0.00
2018-01-03T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-28T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-25T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-10T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-01-22T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-28T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-03-12T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-03T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-16T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-20T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-08T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-26T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-05-30T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-06-24T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-01-15T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-01-24T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-08T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-22T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-01-20T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-01-17T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-08T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-27T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-01T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-13T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-06-06T00:00:00Z,IT,Rome,co,168,0.1,0.1,0.1,0.00
2018-06-17T00:00:00Z,IT,Rome,co,168,0.1,0.1,0.1,0.00
2018-01-06T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-23T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-31T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-09T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-15T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-03T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-07T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-19T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-02T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-17T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-02-06T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-02-05T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-07T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-03-23T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-04-10T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-03T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-12T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
2018-05-14T00:00:00Z,IT,Rome,co,192,0.1,0.1,0.1,0.00
2018-01-14T00:00:00Z,IT,Rome,co,24,0.1,0.1,0.1,0.00
