Date,Country,City,Specie,count,min,max,median,variance
2018-04-27T00:00:00Z,US,Miami,co,24,1.0,2.8,1.5,2.18
2018-05-01T00:00:00Z,US,Miami,co,20,1.2,1.9,1.8,0.68
2018-04-16T00:00:00Z,US,Miami,co,24,0.7,1.9,1.1,0.52
2018-06-23T00:00:00Z,US,Miami,co,44,1.0,2.9,1.5,2.38
2018-01-29T00:00:00Z,US,Miami,co,22,1.1,2.1,1.3,0.61
2018-02-01T00:00:00Z,US,Miami,co,24,1.0,9.1,1.4,29.22
2018-02-15T00:00:00Z,US,Miami,co,23,1.1,9.1,1.6,27.89
2018-03-09T00:00:00Z,US,Miami,co,23,1.2,9.1,1.7,28.97
2018-03-12T00:00:00Z,US,Miami,co,24,1.2,1.7,1.5,0.12
2018-03-16T00:00:00Z,US,Miami,co,24,1.9,9.1,2.7,36.04
2018-02-27T00:00:00Z,US,Miami,co,24,1.8,4.1,2.4,5.37
2018-03-02T00:00:00Z,US,Miami,co,24,1.5,2.6,1.8,1.10
2018-05-02T00:00:00Z,US,Miami,co,24,0.9,1.7,1.0,0.23
2018-06-27T00:00:00Z,US,Miami,co,48,0.9,2.6,1.2,2.20
2018-02-03T00:00:00Z,US,Miami,co,24,1.8,4.6,1.9,5.63
2018-04-10T00:00:00Z,US,Miami,co,24,0.5,4.4,2.1,5.49
2018-05-05T00:00:00Z,US,Miami,co,24,1.0,1.9,1.2,0.33
2018-06-14T00:00:00Z,US,Miami,co,72,1.3,4.4,2.0,8.97
2018-02-21T00:00:00Z,US,Miami,co,18,1.1,1.6,1.4,0.26
2018-04-03T00:00:00Z,US,Miami,co,20,1.1,2.3,1.4,0.94
2018-04-22T00:00:00Z,US,Miami,co,24,0.6,1.4,0.8,0.28
2018-06-13T00:00:00Z,US,Miami,co,72,1.1,3.8,1.5,4.45
2018-06-18T00:00:00Z,US,Miami,co,66,1.1,2.9,1.4,2.58
2018-06-29T00:00:00Z,US,Miami,co,48,1.1,4.2,1.9,8.58
2018-04-26T00:00:00Z,US,Miami,co,24,1.9,3.3,2.6,1.12
2018-05-15T00:00:00Z,US,Miami,co,61,1.6,3.8,1.9,3.68
2018-01-21T00:00:00Z,US,Miami,co,22,1.5,3.7,1.7,2.01
2018-01-22T00:00:00Z,US,Miami,co,24,1.6,3.0,2.0,1.08
2018-02-12T00:00:00Z,US,Miami,co,22,0.8,2.6,1.1,1.69
2018-03-03T00:00:00Z,US,Miami,co,22,1.5,2.2,1.8,0.31
2018-03-15T00:00:00Z,US,Miami,co,20,1.0,3.4,1.4,4.82
2018-03-17T00:00:00Z,US,Miami,co,22,1.2,4.3,2.6,12.22
2018-05-21T00:00:00Z,US,Miami,co,63,0.3,1.0,0.6,0.33
