Date,Country,City,Specie,count,min,max,median,variance
2019-01-07T00:00:00Z,HK,Hong Kong,wind-gust,336,0.3,8.5,3.5,42.96
2019-01-13T00:00:00Z,HK,Hong Kong,wind-gust,247,0.2,7.3,1.2,17.16
2019-02-03T00:00:00Z,HK,Hong Kong,wind-gust,308,0.1,4.9,1.5,21.89
2019-02-22T00:00:00Z,HK,Hong Kong,wind-gust,86,0.5,4.0,2.0,19.14
2019-03-04T00:00:00Z,HK,Hong Kong,wind-gust,90,0.5,15.6,4.0,135.73
2019-01-08T00:00:00Z,HK,Hong Kong,wind-gust,308,0.2,14.3,1.2,116.64
2019-02-01T00:00:00Z,HK,Hong Kong,wind-gust,336,3.7,22.5,9.0,268.78
2019-02-08T00:00:00Z,HK,Hong Kong,wind-gust,324,0.2,23.7,1.7,252.56
2019-02-11T00:00:00Z,HK,Hong Kong,wind-gust,297,0.6,14.2,1.5,118.76
2019-02-14T00:00:00Z,HK,Hong Kong,wind-gust,336,2.0,9.2,5.0,45.46
2019-02-20T00:00:00Z,HK,Hong Kong,wind-gust,86,0.2,4.0,4.0,23.04
2019-03-30T00:00:00Z,HK,Hong Kong,wind-gust,294,0.2,6.3,2.0,24.35
2019-01-03T00:00:00Z,HK,Hong Kong,wind-gust,322,1.1,9.6,3.3,54.69
2019-01-06T00:00:00Z,HK,Hong Kong,wind-gust,336,1.0,16.5,6.2,316.22
2019-02-17T00:00:00Z,HK,Hong Kong,wind-gust,78,0.2,4.0,4.0,20.09
2019-03-06T00:00:00Z,HK,Hong Kong,wind-gust,42,1.6,13.0,9.5,87.16
2019-03-15T00:00:00Z,HK,Hong Kong,wind-gust,336,3.3,16.2,7.8,117.42
2019-03-17T00:00:00Z,HK,Hong Kong,wind-gust,336,1.3,36.0,4.7,349.15
2019-01-17T00:00:00Z,HK,Hong Kong,wind-gust,336,0.7,14.2,1.5,191.38
2019-01-30T00:00:00Z,HK,Hong Kong,wind-gust,192,0.2,13.9,0.7,88.56
2019-02-12T00:00:00Z,HK,Hong Kong,wind-gust,334,0.3,9.2,3.2,59.28
2019-02-15T00:00:00Z,HK,Hong Kong,wind-gust,174,2.6,7.5,4.0,15.41
2019-02-23T00:00:00Z,HK,Hong Kong,wind-gust,90,0.7,7.7,4.0,18.79
2019-03-01T00:00:00Z,HK,Hong Kong,wind-gust,54,0.2,4.0,4.0,10.90
2019-03-18T00:00:00Z,HK,Hong Kong,wind-gust,238,1.8,7.6,4.8,23.43
2019-03-22T00:00:00Z,HK,Hong Kong,wind-gust,324,0.2,6.9,2.8,23.03
2019-01-14T00:00:00Z,HK,Hong Kong,wind-gust,324,1.6,7.0,3.2,16.99
2019-03-14T00:00:00Z,HK,Hong Kong,wind-gust,322,0.3,13.6,2.6,103.78
2019-03-20T00:00:00Z,HK,Hong Kong,wind-gust,308,0.3,7.2,3.0,20.37
2019-01-01T00:00:00Z,HK,Hong Kong,wind-gust,336,10.2,17.6,13.1,46.83
2019-01-09T00:00:00Z,HK,Hong Kong,wind-gust,336,0.2,31.0,1.2,324.93
2019-01-23T00:00:00Z,HK,Hong Kong,wind-gust,90,0.8,2.5,1.6,3.86
2019-02-25T00:00:00Z,HK,Hong Kong,wind-gust,80,1.0,4.0,4.0,19.17
2019-03-07T00:00:00Z,HK,Hong Kong,wind-gust,26,1.5,13.3,2.0,246.39
2019-01-20T00:00:00Z,HK,Hong Kong,wind-gust,336,0.6,7.0,2.0,42.06
2019-02-04T00:00:00Z,HK,Hong Kong,wind-gust,322,0.4,9.9,5.0,80.36
2019-03-12T00:00:00Z,HK,Hong Kong,wind-gust,182,0.7,11.0,7.8,148.66
2019-03-21T00:00:00Z,HK,Hong Kong,wind-gust,244,0.5,18.1,6.2,209.11
2019-03-25T00:00:00Z,HK,Hong Kong,wind-gust,336,0.4,15.6,3.1,173.33
2019-03-28T00:00:00Z,HK,Hong Kong,wind-gust,266,0.2,6.2,2.2,49.14
2019-01-12T00:00:00Z,HK,Hong Kong,wind-gust,180,0.2,9.4,1.0,72.13
2019-01-28T00:00:00Z,HK,Hong Kong,wind-gust,336,0.2,7.6,1.7,51.54
2019-02-02T00:00:00Z,HK,Hong Kong,wind-gust,336,3.9,9.5,7.7,27.19
2019-02-27T00:00:00Z,HK,Hong Kong,wind-gust,80,0.2,6.0,4.0,21.06
2019-03-03T00:00:00Z,HK,Hong Kong,wind-gust,110,0.8,38.0,4.0,1525.62
2019-03-19T00:00:00Z,HK,Hong Kong,wind-gust,182,0.2,12.0,5.8,118.12
2019-01-02T00:00:00Z,HK,Hong Kong,wind-gust,336,5.2,18.4,14.0,130.11
2019-02-21T00:00:00Z,HK,Hong Kong,wind-gust,90,0.5,4.0,4.0,18.52
2019-03-27T00:00:00Z,HK,Hong Kong,wind-gust,336,0.5,7.2,3.1,32.14
2019-01-16T00:00:00Z,HK,Hong Kong,wind-gust,336,1.7,15.6,9.3,76.97
2019-01-21T00:00:00Z,HK,Hong Kong,wind-gust,324,0.5,15.6,7.4,238.19
2019-01-25T00:00:00Z,HK,Hong Kong,wind-gust,200,0.1,8.4,4.6,66.70
2019-02-06T00:00:00Z,HK,Hong Kong,wind-gust,298,0.1,23.0,3.5,185.21
2019-03-23T00:00:00Z,HK,Hong Kong,wind-gust,336,4.5,12.8,7.2,42.06
2019-02-09T00:00:00Z,HK,Hong Kong,wind-gust,279,1.0,18.8,1.2,167.18
2019-02-10T00:00:00Z,HK,Hong Kong,wind-gust,246,0.2,9.5,1.0,48.28
2019-01-10T00:00:00Z,HK,Hong Kong,wind-gust,336,0.2,8.8,1.0,35.50
2019-01-22T00:00:00Z,HK,Hong Kong,wind-gust,322,3.0,16.6,9.1,135.15
2019-01-24T00:00:00Z,HK,Hong Kong,wind-gust,234,0.2,12.0,3.6,161.26
2019-01-31T00:00:00Z,HK,Hong Kong,wind-gust,258,0.2,16.7,11.2,236.19
2019-02-05T00:00:00Z,HK,Hong Kong,wind-gust,336,0.2,16.0,2.5,181.99
2019-02-07T00:00:00Z,HK,Hong Kong,wind-gust,336,0.1,20.0,3.0,184.47
2019-02-16T00:00:00Z,HK,Hong Kong,wind-gust,48,4.0,4.0,4.0,0.00
2019-03-05T00:00:00Z,HK,Hong Kong,wind-gust,134,4.0,34.0,12.3,1167.36
2019-02-26T00:00:00Z,HK,Hong Kong,wind-gust,76,0.2,4.0,4.0,21.07
2019-03-02T00:00:00Z,HK,Hong Kong,wind-gust,82,2.5,15.5,4.0,141.18
2019-01-11T00:00:00Z,HK,Hong Kong,wind-gust,288,0.1,8.9,2.0,40.86
2019-01-15T00:00:00Z,HK,Hong Kong,wind-gust,322,0.1,16.2,4.7,208.87
2019-01-18T00:00:00Z,HK,Hong Kong,wind-gust,336,0.2,11.6,3.2,80.05
2019-01-26T00:00:00Z,HK,Hong Kong,wind-gust,286,0.1,12.0,2.5,108.71
2019-01-27T00:00:00Z,HK,Hong Kong,wind-gust,324,0.5,13.1,2.0,65.03
2019-02-19T00:00:00Z,HK,Hong Kong,wind-gust,104,0.2,31.0,4.0,1102.35
2019-03-08T00:00:00Z,HK,Hong Kong,wind-gust,48,1.7,4.5,2.2,3.16
2019-03-09T00:00:00Z,HK,Hong Kong,wind-gust,18,1.3,32.0,32.0,2070.47
2019-02-18T00:00:00Z,HK,Hong Kong,wind-gust,114,0.2,39.0,4.0,2131.99
2019-02-24T00:00:00Z,HK,Hong Kong,wind-gust,84,1.0,4.0,4.0,12.78
2019-03-24T00:00:00Z,HK,Hong Kong,wind-gust,336,1.4,9.8,4.6,78.00
2019-01-19T00:00:00Z,HK,Hong Kong,wind-gust,321,0.5,9.4,2.2,40.14
2019-02-28T00:00:00Z,HK,Hong Kong,wind-gust,64,0.2,4.0,4.0,24.78
2019-03-26T00:00:00Z,HK,Hong Kong,wind-gust,296,0.3,10.3,7.0,122.03
2019-03-31T00:00:00Z,HK,Hong Kong,wind-gust,266,2.1,13.0,8.5,95.36
2018-12-31T00:00:00Z,HK,Hong Kong,wind-gust,336,8.5,19.0,14.8,83.31
2019-01-04T00:00:00Z,HK,Hong Kong,wind-gust,336,0.2,8.2,1.4,47.39
2019-03-16T00:00:00Z,HK,Hong Kong,wind-gust,280,0.8,16.0,6.5,159.25
2019-01-05T00:00:00Z,HK,Hong Kong,wind-gust,322,0.2,16.8,3.7,170.85
2019-01-29T00:00:00Z,HK,Hong Kong,wind-gust,264,0.2,11.6,0.7,84.48
2019-02-13T00:00:00Z,HK,Hong Kong,wind-gust,270,0.1,7.5,2.4,45.77
2019-03-13T00:00:00Z,HK,Hong Kong,wind-gust,266,0.4,10.4,3.6,100.47
2019-03-29T00:00:00Z,HK,Hong Kong,wind-gust,294,0.2,16.3,3.0,219.27
2019-01-19T00:00:00Z,HK,Hong Kong,dew,40,12.0,16.0,13.0,15.61
2019-02-06T00:00:00Z,HK,Hong Kong,dew,16,18.0,19.0,19.0,1.29
2019-03-01T00:00:00Z,HK,Hong Kong,dew,24,18.0,20.0,19.0,4.55
2019-03-11T00:00:00Z,HK,Hong Kong,dew,40,13.0,15.0,13.3,4.98
2019-01-07T00:00:00Z,HK,Hong Kong,dew,36,14.0,15.0,14.5,1.97
2019-01-10T00:00:00Z,HK,Hong Kong,dew,32,14.0,17.0,15.3,7.12
2019-03-26T00:00:00Z,HK,Hong Kong,dew,22,18.0,19.0,18.5,1.47
2019-02-14T00:00:00Z,HK,Hong Kong,dew,36,16.0,18.5,17.0,6.25
2019-02-23T00:00:00Z,HK,Hong Kong,dew,44,12.5,16.5,15.5,11.34
2019-02-13T00:00:00Z,HK,Hong Kong,dew,24,16.0,18.0,17.0,3.68
2019-02-16T00:00:00Z,HK,Hong Kong,dew,26,16.6,19.0,17.5,6.86
2019-02-19T00:00:00Z,HK,Hong Kong,dew,48,16.0,20.0,19.0,16.33
2019-02-20T00:00:00Z,HK,Hong Kong,dew,30,20.0,22.0,21.5,3.52
2019-03-28T00:00:00Z,HK,Hong Kong,dew,34,20.0,21.5,21.0,1.49
2019-03-30T00:00:00Z,HK,Hong Kong,dew,34,19.0,21.5,20.5,5.12
2019-01-20T00:00:00Z,HK,Hong Kong,dew,48,13.5,16.5,15.5,4.67
2019-02-01T00:00:00Z,HK,Hong Kong,dew,18,9.0,16.5,10.5,52.13
2019-03-03T00:00:00Z,HK,Hong Kong,dew,48,17.0,20.5,18.0,13.33
2019-03-27T00:00:00Z,HK,Hong Kong,dew,28,18.0,20.0,18.5,5.83
2019-02-05T00:00:00Z,HK,Hong Kong,dew,34,16.0,19.0,17.0,8.20
2019-02-11T00:00:00Z,HK,Hong Kong,dew,48,12.0,17.0,14.0,27.97
2019-03-04T00:00:00Z,HK,Hong Kong,dew,46,15.3,19.0,17.0,11.69
2019-03-13T00:00:00Z,HK,Hong Kong,dew,42,10.5,17.0,15.0,32.56
2019-01-16T00:00:00Z,HK,Hong Kong,dew,40,9.0,12.5,9.5,10.22
2019-02-02T00:00:00Z,HK,Hong Kong,dew,22,13.0,17.0,15.0,12.69
2019-03-05T00:00:00Z,HK,Hong Kong,dew,44,17.5,21.0,20.0,15.48
2019-03-16T00:00:00Z,HK,Hong Kong,dew,48,6.5,16.0,11.5,84.00
