Date,Country,City,Specie,count,min,max,median,variance
2019-01-04T00:00:00Z,US,The Bronx,pressure,48,1007.9,1016.3,1013.2,68.38
2019-02-02T00:00:00Z,US,The Bronx,pressure,39,1018.1,1029.0,1020.5,167.92
2019-02-15T00:00:00Z,US,The Bronx,pressure,24,1002.3,1015.5,1005.2,173.38
2019-03-21T00:00:00Z,US,The Bronx,pressure,72,1003.1,1025.5,1017.2,390.42
2019-01-05T00:00:00Z,US,The Bronx,pressure,48,995.2,1006.9,1000.7,126.60
2019-02-04T00:00:00Z,US,The Bronx,pressure,48,1014.9,1019.3,1018.0,23.68
2019-02-16T00:00:00Z,US,The Bronx,pressure,33,1006.1,1017.2,1011.5,83.16
2019-02-23T00:00:00Z,US,The Bronx,pressure,48,1022.1,1032.4,1030.3,100.35
2019-03-14T00:00:00Z,US,The Bronx,pressure,72,1016.5,1024.9,1022.2,66.90
2019-01-11T00:00:00Z,US,The Bronx,pressure,48,1015.6,1030.2,1023.8,188.11
2019-01-12T00:00:00Z,US,The Bronx,pressure,48,1030.8,1034.4,1032.5,7.82
2019-01-16T00:00:00Z,US,The Bronx,pressure,24,1016.9,1023.3,1017.9,27.17
2019-01-22T00:00:00Z,US,The Bronx,pressure,29,1029.5,1037.6,1035.9,76.55
2019-01-23T00:00:00Z,US,The Bronx,pressure,26,1013.3,1028.8,1023.7,259.88
2019-02-03T00:00:00Z,US,The Bronx,pressure,48,1018.7,1022.0,1019.7,8.81
2019-02-27T00:00:00Z,US,The Bronx,pressure,72,1016.2,1031.9,1027.1,251.66
2019-01-20T00:00:00Z,US,The Bronx,pressure,48,990.0,1009.5,999.1,382.52
2019-02-28T00:00:00Z,US,The Bronx,pressure,72,1014.4,1026.0,1020.7,126.77
2019-03-19T00:00:00Z,US,The Bronx,pressure,72,1026.4,1030.8,1028.6,12.99
2019-03-24T00:00:00Z,US,The Bronx,pressure,63,1014.6,1023.1,1019.1,55.40
2019-03-31T00:00:00Z,US,The Bronx,pressure,66,1002.4,1013.0,1006.0,80.02
2019-02-10T00:00:00Z,US,The Bronx,pressure,48,1028.3,1039.9,1035.3,151.27
2019-02-13T00:00:00Z,US,The Bronx,pressure,48,1000.1,1010.5,1004.3,94.35
2019-02-14T00:00:00Z,US,The Bronx,pressure,37,1011.1,1017.9,1016.3,43.85
2019-02-18T00:00:00Z,US,The Bronx,pressure,48,1008.6,1027.2,1011.5,350.70
2019-02-24T00:00:00Z,US,The Bronx,pressure,48,993.7,1020.8,998.3,775.07
2019-03-05T00:00:00Z,US,The Bronx,pressure,44,1012.5,1019.2,1016.9,41.70
2019-03-12T00:00:00Z,US,The Bronx,pressure,72,1018.1,1026.9,1022.1,58.16
2018-12-31T00:00:00Z,US,The Bronx,pressure,39,1009.6,1028.4,1026.1,202.09
2019-01-03T00:00:00Z,US,The Bronx,pressure,48,1011.3,1018.0,1013.6,41.29
2019-03-01T00:00:00Z,US,The Bronx,pressure,72,1020.9,1027.9,1025.6,25.19
2019-03-02T00:00:00Z,US,The Bronx,pressure,72,1014.6,1020.6,1017.0,16.48
2019-03-16T00:00:00Z,US,The Bronx,pressure,72,1006.5,1020.9,1013.6,149.89
2019-03-27T00:00:00Z,US,The Bronx,pressure,72,1027.6,1034.8,1032.5,30.52
2019-01-07T00:00:00Z,US,The Bronx,pressure,37,1025.0,1034.3,1030.0,57.96
2019-01-19T00:00:00Z,US,The Bronx,pressure,48,1010.7,1024.7,1021.7,147.67
2019-02-19T00:00:00Z,US,The Bronx,pressure,48,1028.1,1035.9,1034.0,50.57
2019-02-21T00:00:00Z,US,The Bronx,pressure,48,1012.1,1020.7,1013.9,50.64
2019-02-22T00:00:00Z,US,The Bronx,pressure,48,1020.9,1031.0,1027.2,71.58
2019-02-25T00:00:00Z,US,The Bronx,pressure,48,998.3,1022.2,1009.1,583.26
2019-01-21T00:00:00Z,US,The Bronx,pressure,48,1008.3,1029.2,1017.9,348.75
2019-01-25T00:00:00Z,US,The Bronx,pressure,24,1008.5,1021.7,1014.2,140.57
2019-01-30T00:00:00Z,US,The Bronx,pressure,24,1007.9,1024.0,1012.4,226.05
2019-02-06T00:00:00Z,US,The Bronx,pressure,48,1018.0,1023.7,1020.9,28.23
