Date,Country,City,Specie,count,min,max,median,variance
2019-02-23T00:00:00Z,ZA,Johannesburg,so2,47,0.6,3.8,1.1,4.19
2019-03-10T00:00:00Z,ZA,Johannesburg,so2,66,0.6,10.2,2.1,41.74
2019-03-11T00:00:00Z,ZA,Johannesburg,so2,51,0.6,6.1,1.6,12.96
2019-03-30T00:00:00Z,ZA,Johannesburg,so2,55,1.1,11.2,2.6,50.69
2019-01-15T00:00:00Z,ZA,Johannesburg,so2,59,0.2,13.7,1.4,39.81
2019-01-16T00:00:00Z,ZA,Johannesburg,so2,92,0.6,19.0,3.1,78.69
2019-01-24T00:00:00Z,ZA,Johannesburg,so2,76,0.1,10.5,2.1,30.81
2019-01-27T00:00:00Z,ZA,Johannesburg,so2,73,0.2,9.2,1.6,37.40
2019-01-31T00:00:00Z,ZA,Johannesburg,so2,80,0.6,14.4,1.6,29.28
2019-03-23T00:00:00Z,ZA,Johannesburg,so2,38,1.1,10.2,2.1,87.72
2019-02-11T00:00:00Z,ZA,Johannesburg,so2,76,0.2,10.3,1.1,35.84
2019-03-01T00:00:00Z,ZA,Johannesburg,so2,77,0.6,10.1,2.6,24.57
2019-01-20T00:00:00Z,ZA,Johannesburg,so2,91,0.6,12.2,2.8,67.03
2019-01-30T00:00:00Z,ZA,Johannesburg,so2,65,0.1,8.4,1.1,15.44
2019-02-15T00:00:00Z,ZA,Johannesburg,so2,41,0.6,5.6,1.6,19.75
2019-03-18T00:00:00Z,ZA,Johannesburg,so2,50,0.6,3.6,1.6,6.43
2019-01-04T00:00:00Z,ZA,Johannesburg,so2,41,0.1,6.4,1.1,16.86
2019-01-21T00:00:00Z,ZA,Johannesburg,so2,96,0.1,17.5,4.1,154.86
2019-02-20T00:00:00Z,ZA,Johannesburg,so2,60,0.6,4.1,1.6,4.90
2019-03-13T00:00:00Z,ZA,Johannesburg,so2,51,0.6,12.2,1.6,37.08
2019-03-19T00:00:00Z,ZA,Johannesburg,so2,54,0.6,8.2,2.1,21.82
2019-03-27T00:00:00Z,ZA,Johannesburg,so2,29,0.6,18.3,2.6,153.70
2019-03-06T00:00:00Z,ZA,Johannesburg,so2,26,0.6,2.1,1.1,1.46
2019-01-01T00:00:00Z,ZA,Johannesburg,so2,51,0.1,7.8,1.6,20.92
2019-01-09T00:00:00Z,ZA,Johannesburg,so2,59,0.1,59.4,1.6,632.06
2019-01-10T00:00:00Z,ZA,Johannesburg,so2,57,0.1,4.5,1.1,10.02
2019-01-17T00:00:00Z,ZA,Johannesburg,so2,94,0.1,23.9,3.1,226.30
2019-02-03T00:00:00Z,ZA,Johannesburg,so2,70,0.4,7.7,1.1,14.25
2019-02-17T00:00:00Z,ZA,Johannesburg,so2,53,0.6,9.7,1.6,49.12
2019-03-02T00:00:00Z,ZA,Johannesburg,so2,75,0.6,9.0,1.1,20.73
2019-02-07T00:00:00Z,ZA,Johannesburg,so2,55,0.6,6.1,1.6,9.87
2019-02-21T00:00:00Z,ZA,Johannesburg,so2,33,0.6,4.7,1.1,10.16
2019-02-24T00:00:00Z,ZA,Johannesburg,so2,40,0.6,2.6,1.1,2.31
2019-03-15T00:00:00Z,ZA,Johannesburg,so2,44,1.1,35.0,6.1,361.99
2019-03-16T00:00:00Z,ZA,Johannesburg,so2,42,1.1,21.3,5.1,312.52
2019-02-04T00:00:00Z,ZA,Johannesburg,so2,55,0.2,3.1,1.1,3.81
2019-02-08T00:00:00Z,ZA,Johannesburg,so2,79,0.3,41.7,1.1,246.35
2019-02-10T00:00:00Z,ZA,Johannesburg,so2,68,0.4,3.2,1.1,3.79
2019-02-25T00:00:00Z,ZA,Johannesburg,so2,44,0.6,3.6,1.1,4.34
2019-03-09T00:00:00Z,ZA,Johannesburg,so2,47,0.6,8.2,1.1,15.72
2019-03-26T00:00:00Z,ZA,Johannesburg,so2,44,1.1,16.3,2.6,107.49
2019-03-04T00:00:00Z,ZA,Johannesburg,so2,62,0.6,13.3,1.1,39.31
2019-01-06T00:00:00Z,ZA,Johannesburg,so2,83,0.1,12.7,1.1,45.48
2019-01-25T00:00:00Z,ZA,Johannesburg,so2,81,0.3,8.1,1.5,15.83
2019-02-05T00:00:00Z,ZA,Johannesburg,so2,75,0.6,56.1,1.6,795.96
2019-02-06T00:00:00Z,ZA,Johannesburg,so2,48,0.6,2.6,1.1,1.90
2019-02-14T00:00:00Z,ZA,Johannesburg,so2,43,0.6,6.6,1.1,16.12
2019-02-18T00:00:00Z,ZA,Johannesburg,so2,68,0.6,13.2,2.6,83.18
2019-02-26T00:00:00Z,ZA,Johannesburg,so2,50,0.6,3.6,1.1,6.62
2019-03-17T00:00:00Z,ZA,Johannesburg,so2,40,0.6,4.6,1.6,7.46
2019-03-21T00:00:00Z,ZA,Johannesburg,so2,34,0.6,3.6,1.6,4.26
2018-12-31T00:00:00Z,ZA,Johannesburg,so2,38,0.1,3.1,1.1,6.81
2019-01-05T00:00:00Z,ZA,Johannesburg,so2,71,0.1,6.1,1.6,13.50
2019-01-26T00:00:00Z,ZA,Johannesburg,so2,72,0.2,8.2,1.1,15.07
2019-02-27T00:00:00Z,ZA,Johannesburg,so2,54,0.6,13.7,1.6,45.53
2019-03-14T00:00:00Z,ZA,Johannesburg,so2,61,1.1,19.3,4.5,184.34
2019-03-24T00:00:00Z,ZA,Johannesburg,so2,35,0.6,3.6,1.1,3.69
2019-01-11T00:00:00Z,ZA,Johannesburg,so2,62,0.1,6.5,1.1,8.33
2019-01-13T00:00:00Z,ZA,Johannesburg,so2,65,0.1,4.9,1.1,9.48
2019-01-19T00:00:00Z,ZA,Johannesburg,so2,75,0.1,18.3,1.1,166.75
2019-01-22T00:00:00Z,ZA,Johannesburg,so2,91,0.1,53.5,3.6,641.34
2019-02-16T00:00:00Z,ZA,Johannesburg,so2,6,0.6,1.1,0.6,0.75
2019-03-05T00:00:00Z,ZA,Johannesburg,so2,85,0.6,63.0,1.6,457.39
2019-01-08T00:00:00Z,ZA,Johannesburg,so2,76,0.1,5.5,1.6,7.00
