Date,Country,City,Specie,count,min,max,median,variance
2019-09-29T00:00:00Z,US,Staten Island,humidity,120,27.0,94.0,55.5,4365.09
2019-07-08T00:00:00Z,US,Staten Island,humidity,74,29.9,88.5,71.0,2362.06
2019-08-20T00:00:00Z,US,Staten Island,humidity,120,42.0,96.0,66.7,2615.87
2019-08-21T00:00:00Z,US,Staten Island,humidity,120,49.0,97.7,84.7,1994.90
2019-09-20T00:00:00Z,US,Staten Island,humidity,120,29.7,93.5,63.3,3365.85
2019-09-28T00:00:00Z,US,Staten Island,humidity,120,48.0,94.0,82.3,1777.42
2019-07-11T00:00:00Z,US,Staten Island,humidity,96,43.0,96.0,71.7,2933.66
2019-07-21T00:00:00Z,US,Staten Island,humidity,120,40.4,92.0,63.5,1593.14
2019-08-03T00:00:00Z,US,Staten Island,humidity,120,50.0,96.7,77.5,1522.04
2019-09-11T00:00:00Z,US,Staten Island,humidity,120,51.7,94.7,73.0,1540.85
2019-09-14T00:00:00Z,US,Staten Island,humidity,119,57.0,88.3,73.6,509.73
2019-09-27T00:00:00Z,US,Staten Island,humidity,120,30.0,97.0,77.5,3905.80
2019-07-12T00:00:00Z,US,Staten Island,humidity,105,24.7,99.0,63.8,3997.45
2019-07-20T00:00:00Z,US,Staten Island,humidity,120,39.0,89.0,61.3,2208.17
2019-07-26T00:00:00Z,US,Staten Island,humidity,120,31.7,91.7,59.0,3102.01
2019-08-15T00:00:00Z,US,Staten Island,humidity,120,46.0,97.0,82.7,2101.12
2019-08-27T00:00:00Z,US,Staten Island,humidity,120,52.7,94.0,75.3,1337.87
2019-09-16T00:00:00Z,US,Staten Island,humidity,120,50.0,91.5,75.2,1034.98
2019-10-04T00:00:00Z,US,Staten Island,humidity,120,24.7,97.0,69.1,3671.57
2019-07-06T00:00:00Z,US,Staten Island,humidity,74,0.0,90.8,75.3,2372.68
2019-08-12T00:00:00Z,US,Staten Island,humidity,120,33.0,92.5,56.7,3133.78
2019-08-19T00:00:00Z,US,Staten Island,humidity,120,47.5,96.0,75.7,1493.36
2019-08-25T00:00:00Z,US,Staten Island,humidity,120,36.6,87.5,64.7,1772.72
2019-08-29T00:00:00Z,US,Staten Island,humidity,118,32.1,99.0,58.0,3809.22
2019-07-18T00:00:00Z,US,Staten Island,humidity,120,24.7,99.0,91.0,1326.30
2019-08-09T00:00:00Z,US,Staten Island,humidity,120,40.3,96.0,74.0,3049.43
2019-09-08T00:00:00Z,US,Staten Island,humidity,119,44.2,94.0,72.7,2048.56
2019-09-12T00:00:00Z,US,Staten Island,humidity,120,58.0,98.5,82.0,761.58
2019-09-24T00:00:00Z,US,Staten Island,humidity,120,36.0,90.3,61.3,2203.24
2019-08-11T00:00:00Z,US,Staten Island,humidity,120,33.7,87.2,59.5,2243.82
2019-08-18T00:00:00Z,US,Staten Island,humidity,118,24.7,99.0,76.3,1619.81
2019-08-28T00:00:00Z,US,Staten Island,humidity,119,66.3,99.0,87.7,566.87
2019-09-18T00:00:00Z,US,Staten Island,humidity,120,41.0,91.2,60.2,1451.91
2019-08-26T00:00:00Z,US,Staten Island,humidity,120,37.8,86.7,67.7,1128.21
2019-08-30T00:00:00Z,US,Staten Island,humidity,112,37.0,91.7,56.5,2124.24
2019-09-03T00:00:00Z,US,Staten Island,humidity,111,36.0,99.0,70.5,3058.23
2019-07-10T00:00:00Z,US,Staten Island,humidity,92,37.0,92.0,57.0,2564.56
2019-07-16T00:00:00Z,US,Staten Island,humidity,120,35.0,87.5,53.8,2193.84
2019-07-29T00:00:00Z,US,Staten Island,humidity,120,36.6,90.2,55.2,2371.88
2019-08-13T00:00:00Z,US,Staten Island,humidity,120,63.6,91.5,79.7,401.36
2019-08-24T00:00:00Z,US,Staten Island,humidity,120,32.3,88.2,56.7,2524.67
2019-09-23T00:00:00Z,US,Staten Island,humidity,120,34.5,90.0,65.0,2607.24
2019-09-30T00:00:00Z,US,Staten Island,humidity,120,46.0,87.3,63.5,912.98
2019-07-03T00:00:00Z,US,Staten Island,humidity,77,29.7,84.0,64.7,1193.20
2019-08-05T00:00:00Z,US,Staten Island,humidity,120,40.0,95.8,74.0,2983.70
2019-09-05T00:00:00Z,US,Staten Island,humidity,120,43.0,87.7,65.7,1376.74
2019-09-19T00:00:00Z,US,Staten Island,humidity,120,24.7,89.0,59.5,3008.43
2019-09-25T00:00:00Z,US,Staten Island,humidity,120,34.0,87.5,65.0,2649.81
