Date,Country,City,Specie,count,min,max,median,variance
2019-09-30T00:00:00Z,CN,Wuhan,humidity,318,21.0,96.9,47.0,3374.18
2019-10-31T00:00:00Z,CN,Wuhan,humidity,361,25.0,100.0,58.0,3648.87
2019-11-18T00:00:00Z,CN,Wuhan,humidity,331,23.0,93.1,52.0,5692.78
2019-12-02T00:00:00Z,CN,Wuhan,humidity,382,30.0,100.0,87.0,6674.51
2019-10-06T00:00:00Z,CN,Wuhan,humidity,349,72.0,93.2,82.0,241.85
2019-11-11T00:00:00Z,CN,Wuhan,humidity,327,31.0,99.3,48.0,5275.07
2019-11-13T00:00:00Z,CN,Wuhan,humidity,318,29.0,98.1,77.0,4814.28
2019-11-17T00:00:00Z,CN,Wuhan,humidity,292,67.0,98.7,82.0,840.38
2019-11-29T00:00:00Z,CN,Wuhan,humidity,340,57.0,88.8,70.0,895.01
2019-11-30T00:00:00Z,CN,Wuhan,humidity,370,81.0,100.0,93.0,320.24
2019-12-12T00:00:00Z,CN,Wuhan,humidity,408,25.0,80.0,40.0,1576.92
2019-10-03T00:00:00Z,CN,Wuhan,humidity,327,28.0,95.2,45.0,2422.28
2019-10-20T00:00:00Z,CN,Wuhan,humidity,365,37.0,100.0,63.0,2737.21
2019-10-26T00:00:00Z,CN,Wuhan,humidity,408,33.0,91.7,47.0,1987.62
2019-11-02T00:00:00Z,CN,Wuhan,humidity,331,32.9,93.2,56.0,1976.05
2019-12-06T00:00:00Z,CN,Wuhan,humidity,374,37.0,91.2,60.0,2289.90
2019-10-02T00:00:00Z,CN,Wuhan,humidity,344,35.0,92.2,60.0,1404.72
2019-12-11T00:00:00Z,CN,Wuhan,humidity,357,14.0,100.0,48.0,9595.60
2019-12-19T00:00:00Z,CN,Wuhan,humidity,408,53.0,93.0,86.0,1862.17
2019-10-30T00:00:00Z,CN,Wuhan,humidity,382,27.0,100.0,71.0,5408.75
2019-11-07T00:00:00Z,CN,Wuhan,humidity,344,28.0,96.2,51.2,2917.90
2019-12-13T00:00:00Z,CN,Wuhan,humidity,408,37.0,93.1,61.0,1879.62
