Date,Country,City,Specie,count,min,max,median,variance
2019-12-12T00:00:00Z,US,Miami,pressure,96,1017.0,1023.6,1020.5,20.57
2019-12-25T00:00:00Z,US,Miami,pressure,96,1009.1,1015.6,1012.7,26.27
2019-10-10T00:00:00Z,US,Miami,pressure,72,1011.6,1015.5,1013.3,9.43
2019-10-25T00:00:00Z,US,Miami,pressure,96,1012.8,1018.1,1015.9,17.20
2019-11-25T00:00:00Z,US,Miami,pressure,96,1011.3,1016.0,1013.7,13.05
2019-11-28T00:00:00Z,US,Miami,pressure,96,1017.8,1023.8,1020.3,21.44
2019-12-10T00:00:00Z,US,Miami,pressure,96,1017.1,1021.3,1019.4,9.58
2019-12-11T00:00:00Z,US,Miami,pressure,96,1018.4,1023.3,1021.1,14.56
2019-12-27T00:00:00Z,US,Miami,pressure,96,1015.2,1020.1,1017.7,13.08
2019-10-21T00:00:00Z,US,Miami,pressure,96,1013.5,1017.1,1015.5,8.28
2019-12-26T00:00:00Z,US,Miami,pressure,96,1012.4,1018.8,1016.1,26.14
2020-01-05T00:00:00Z,US,Miami,pressure,96,1021.3,1026.6,1024.0,15.95
2019-12-18T00:00:00Z,US,Miami,pressure,96,1010.6,1018.4,1013.7,43.22
2019-10-07T00:00:00Z,US,Miami,pressure,72,1008.3,1012.2,1010.4,9.70
2019-10-28T00:00:00Z,US,Miami,pressure,96,1014.1,1019.0,1016.7,12.40
2019-11-08T00:00:00Z,US,Miami,pressure,96,1011.0,1016.7,1014.1,17.90
2019-11-13T00:00:00Z,US,Miami,pressure,96,1012.7,1018.2,1016.0,21.75
2019-11-14T00:00:00Z,US,Miami,pressure,96,1015.4,1019.8,1017.0,9.29
2019-11-29T00:00:00Z,US,Miami,pressure,96,1016.3,1021.4,1019.0,14.49
2019-12-09T00:00:00Z,US,Miami,pressure,96,1017.2,1021.4,1019.6,7.53
2019-12-16T00:00:00Z,US,Miami,pressure,96,1016.1,1022.0,1019.4,15.88
2019-10-02T00:00:00Z,US,Miami,pressure,58,1010.1,1014.4,1012.2,13.23
2019-10-09T00:00:00Z,US,Miami,pressure,72,1011.4,1015.7,1013.4,13.54
2019-10-17T00:00:00Z,US,Miami,pressure,72,1010.9,1015.1,1012.6,10.02
2019-11-02T00:00:00Z,US,Miami,pressure,96,1013.4,1018.0,1015.9,12.41
2019-11-22T00:00:00Z,US,Miami,pressure,96,1016.1,1020.9,1018.5,11.94
2019-12-03T00:00:00Z,US,Miami,pressure,96,1013.1,1018.3,1015.0,14.47
2019-12-17T00:00:00Z,US,Miami,pressure,96,1011.9,1017.8,1014.2,28.30
2020-01-04T00:00:00Z,US,Miami,pressure,96,1014.6,1022.2,1018.7,30.07
2019-11-18T00:00:00Z,US,Miami,pressure,96,1009.0,1013.5,1011.5,11.78
2019-12-08T00:00:00Z,US,Miami,pressure,96,1019.2,1022.3,1020.3,5.08
2019-10-14T00:00:00Z,US,Miami,pressure,72,1014.8,1019.0,1017.0,11.23
2019-10-16T00:00:00Z,US,Miami,pressure,72,1010.6,1016.0,1013.4,21.66
2019-10-19T00:00:00Z,US,Miami,pressure,96,1009.6,1014.1,1011.7,10.94
2019-10-22T00:00:00Z,US,Miami,pressure,86,1012.9,1017.6,1015.7,14.72
2019-10-27T00:00:00Z,US,Miami,pressure,96,1013.2,1017.3,1015.5,10.81
2019-11-16T00:00:00Z,US,Miami,pressure,96,1009.0,1014.2,1011.7,15.42
2019-12-28T00:00:00Z,US,Miami,pressure,57,1014.9,1019.8,1017.5,15.53
2019-12-24T00:00:00Z,US,Miami,pressure,96,1006.1,1012.7,1009.4,23.14
2019-10-08T00:00:00Z,US,Miami,pressure,72,1009.5,1014.5,1011.6,14.13
2019-10-12T00:00:00Z,US,Miami,pressure,72,1013.0,1017.2,1015.1,12.16
2019-11-19T00:00:00Z,US,Miami,pressure,96,1011.3,1018.0,1013.8,32.72
2019-12-04T00:00:00Z,US,Miami,pressure,96,1012.5,1017.6,1014.8,16.02
2019-12-05T00:00:00Z,US,Miami,pressure,96,1015.1,1022.1,1019.2,27.93
2019-12-15T00:00:00Z,US,Miami,pressure,96,1014.8,1021.6,1019.5,25.92
2019-10-11T00:00:00Z,US,Miami,pressure,72,1011.7,1016.5,1014.5,13.53
2019-10-15T00:00:00Z,US,Miami,pressure,72,1013.9,1018.6,1016.2,16.32
2019-11-26T00:00:00Z,US,Miami,pressure,96,1013.4,1019.6,1016.9,23.55
2019-10-06T00:00:00Z,US,Miami,pressure,72,1010.7,1015.5,1013.0,11.33
2019-10-30T00:00:00Z,US,Miami,pressure,96,1014.4,1018.8,1016.7,10.87
2019-11-04T00:00:00Z,US,Miami,pressure,96,1014.2,1019.1,1017.2,13.39
2019-12-01T00:00:00Z,US,Miami,pressure,96,1013.1,1018.0,1015.4,12.61
2019-11-01T00:00:00Z,US,Miami,pressure,96,1014.8,1019.3,1017.1,10.84
2019-11-06T00:00:00Z,US,Miami,pressure,96,1017.2,1021.7,1019.4,11.14
2019-11-11T00:00:00Z,US,Miami,pressure,96,1015.5,1019.5,1017.3,9.03
2019-12-02T00:00:00Z,US,Miami,pressure,96,1009.2,1016.4,1013.3,27.22
2019-10-05T00:00:00Z,US,Miami,pressure,72,1011.9,1015.8,1013.4,8.95
2019-10-29T00:00:00Z,US,Miami,pressure,96,1014.8,1019.2,1017.0,10.40
2019-11-15T00:00:00Z,US,Miami,pressure,96,1011.1,1016.3,1013.4,18.99
2019-11-17T00:00:00Z,US,Miami,pressure,96,1009.8,1014.4,1011.8,11.05
2019-12-21T00:00:00Z,US,Miami,pressure,96,1018.2,1024.4,1021.4,17.84
2020-01-02T00:00:00Z,US,Miami,pressure,2,1017.6,1018.3,1017.6,2.45
2019-10-24T00:00:00Z,US,Miami,pressure,96,1014.8,1018.9,1017.0,9.96
2019-10-26T00:00:00Z,US,Miami,pressure,96,1012.2,1016.3,1014.2,8.85
2019-12-22T00:00:00Z,US,Miami,pressure,96,1012.1,1020.3,1017.5,42.85
2019-10-18T00:00:00Z,US,Miami,pressure,95,1010.5,1014.8,1012.4,9.02
2019-10-31T00:00:00Z,US,Miami,pressure,96,1014.2,1018.4,1016.4,10.16
2019-11-03T00:00:00Z,US,Miami,pressure,96,1013.2,1017.8,1015.9,11.38
2019-11-05T00:00:00Z,US,Miami,pressure,96,1016.0,1020.4,1018.3,12.82
2019-11-12T00:00:00Z,US,Miami,pressure,96,1011.6,1016.0,1014.2,13.14
2019-12-20T00:00:00Z,US,Miami,pressure,96,1019.2,1024.3,1021.9,12.68
2019-12-13T00:00:00Z,US,Miami,pressure,93,1009.6,1018.4,1013.9,51.82
2019-10-03T00:00:00Z,US,Miami,pressure,72,1011.9,1016.1,1014.1,11.94
2019-10-23T00:00:00Z,US,Miami,pressure,96,1013.6,1018.4,1015.8,12.26
2019-11-07T00:00:00Z,US,Miami,pressure,96,761.8,1020.2,1017.6,6839.66
2019-11-21T00:00:00Z,US,Miami,pressure,94,1018.0,1022.6,1020.2,9.43
2019-11-30T00:00:00Z,US,Miami,pressure,96,1014.4,1019.2,1016.7,13.86
2019-12-07T00:00:00Z,US,Miami,pressure,96,1018.0,1022.6,1020.3,8.93
2019-10-04T00:00:00Z,US,Miami,pressure,72,1011.8,1016.3,1014.1,11.54
2019-11-24T00:00:00Z,US,Miami,pressure,96,1009.4,1014.6,1012.6,15.11
2019-12-14T00:00:00Z,US,Miami,pressure,96,1009.2,1016.9,1011.4,42.52
2019-10-20T00:00:00Z,US,Miami,pressure,96,1010.8,1016.2,1013.7,17.52
2019-11-20T00:00:00Z,US,Miami,pressure,96,1015.7,1021.4,1019.2,17.71
2019-11-23T00:00:00Z,US,Miami,pressure,96,1012.9,1018.7,1016.0,18.64
2019-12-06T00:00:00Z,US,Miami,pressure,96,1018.5,1023.0,1020.9,9.70
2019-12-19T00:00:00Z,US,Miami,pressure,96,1015.8,1022.8,1019.8,30.03
2019-09-30T00:00:00Z,US,Miami,pressure,72,1012.4,1016.7,1014.6,13.57
2019-10-01T00:00:00Z,US,Miami,pressure,72,1010.8,1014.3,1012.4,7.36
2019-10-13T00:00:00Z,US,Miami,pressure,72,1013.9,1017.5,1015.9,9.04
2019-11-09T00:00:00Z,US,Miami,pressure,96,1011.2,1018.0,1015.4,29.36
2019-11-10T00:00:00Z,US,Miami,pressure,96,1015.6,1020.5,1018.3,11.14
2019-11-27T00:00:00Z,US,Miami,pressure,96,1017.0,1022.3,1020.3,16.57
2019-12-23T00:00:00Z,US,Miami,pressure,96,1007.0,1013.0,1010.0,19.39
2020-01-03T00:00:00Z,US,Miami,pressure,96,1015.5,1020.8,1018.3,15.09
2019-10-28T00:00:00Z,US,Miami,pm10,69,11.0,19.0,14.0,46.53
2019-11-14T00:00:00Z,US,Miami,pm10,69,12.0,28.0,15.0,142.25
2019-11-18T00:00:00Z,US,Miami,pm10,69,10.0,38.0,18.0,567.28
2019-11-24T00:00:00Z,US,Miami,pm10,69,10.0,21.0,13.0,57.93
2019-11-30T00:00:00Z,US,Miami,pm10,69,14.0,35.0,18.0,212.57
2020-01-04T00:00:00Z,US,Miami,pm10,69,12.0,22.0,15.0,77.65
2019-11-03T00:00:00Z,US,Miami,pm10,69,8.0,16.0,11.0,34.60
2019-11-15T00:00:00Z,US,Miami,pm10,69,8.0,22.0,13.0,159.48
2019-11-27T00:00:00Z,US,Miami,pm10,69,16.0,58.0,23.0,1262.49
2019-12-20T00:00:00Z,US,Miami,pm10,69,13.0,44.0,26.0,729.36
2019-12-26T00:00:00Z,US,Miami,pm10,69,15.0,34.0,20.0,243.80
2019-11-12T00:00:00Z,US,Miami,pm10,69,13.0,42.0,19.0,363.03
2019-12-11T00:00:00Z,US,Miami,pm10,69,18.0,31.0,23.0,82.83
2019-12-12T00:00:00Z,US,Miami,pm10,69,11.0,27.0,20.0,235.78
2019-12-17T00:00:00Z,US,Miami,pm10,69,21.0,27.0,24.0,36.10
2019-11-09T00:00:00Z,US,Miami,pm10,69,8.0,44.0,14.0,919.95
2019-11-11T00:00:00Z,US,Miami,pm10,69,13.0,19.0,15.0,22.44
2019-11-29T00:00:00Z,US,Miami,pm10,69,16.0,49.0,20.0,754.34
2019-12-24T00:00:00Z,US,Miami,pm10,69,9.0,21.0,15.0,132.89
2019-10-22T00:00:00Z,US,Miami,pm10,69,8.0,27.0,12.0,333.95
2019-12-03T00:00:00Z,US,Miami,pm10,69,9.0,26.0,19.0,222.05
2019-12-23T00:00:00Z,US,Miami,pm10,69,5.0,20.0,13.0,222.31
2019-10-26T00:00:00Z,US,Miami,pm10,69,10.0,15.0,12.0,23.67
2019-12-07T00:00:00Z,US,Miami,pm10,69,18.0,38.0,24.0,348.38
2019-12-13T00:00:00Z,US,Miami,pm10,69,13.0,24.0,17.0,79.83
2020-01-01T00:00:00Z,US,Miami,pm10,24,11.0,116.0,18.0,7835.05
2019-10-23T00:00:00Z,US,Miami,pm10,69,9.0,25.0,13.0,262.79
2019-11-05T00:00:00Z,US,Miami,pm10,69,8.0,35.0,14.0,425.87
2019-11-07T00:00:00Z,US,Miami,pm10,69,12.0,39.0,18.0,799.30
2019-11-23T00:00:00Z,US,Miami,pm10,69,14.0,41.0,19.0,679.68
2019-11-25T00:00:00Z,US,Miami,pm10,69,11.0,33.0,19.0,340.36
2019-12-30T00:00:00Z,US,Miami,pm10,23,10.0,31.0,20.0,534.07
2019-11-01T00:00:00Z,US,Miami,pm10,69,8.0,26.0,16.0,267.05
2019-11-06T00:00:00Z,US,Miami,pm10,66,12.0,44.0,17.0,897.82
2019-11-16T00:00:00Z,US,Miami,pm10,69,9.0,19.0,11.0,65.83
2019-12-09T00:00:00Z,US,Miami,pm10,69,11.0,45.0,18.0,615.88
2019-12-14T00:00:00Z,US,Miami,pm10,69,11.0,27.0,17.0,183.41
2019-12-21T00:00:00Z,US,Miami,pm10,69,17.0,27.0,23.0,70.51
2019-10-27T00:00:00Z,US,Miami,pm10,69,7.0,18.0,10.0,40.36
2019-11-08T00:00:00Z,US,Miami,pm10,69,9.0,22.0,17.0,125.49
2019-12-16T00:00:00Z,US,Miami,pm10,69,16.0,43.0,27.0,490.47
2019-12-22T00:00:00Z,US,Miami,pm10,69,16.0,25.0,20.0,51.44
2019-12-27T00:00:00Z,US,Miami,pm10,69,12.0,24.0,17.0,162.93
2020-01-02T00:00:00Z,US,Miami,pm10,69,11.0,32.0,14.0,468.95
2019-10-30T00:00:00Z,US,Miami,pm10,69,9.0,20.0,12.0,86.01
2019-11-02T00:00:00Z,US,Miami,pm10,69,10.0,31.0,13.0,216.44
2019-11-17T00:00:00Z,US,Miami,pm10,69,7.0,28.0,10.0,272.61
2019-11-26T00:00:00Z,US,Miami,pm10,69,16.0,35.0,25.0,244.11
2019-12-19T00:00:00Z,US,Miami,pm10,69,12.0,29.0,17.0,190.09
2019-12-28T00:00:00Z,US,Miami,pm10,51,12.0,24.0,16.0,127.72
2019-12-29T00:00:00Z,US,Miami,pm10,23,16.0,28.0,24.0,135.42
2019-10-24T00:00:00Z,US,Miami,pm10,69,8.0,28.0,18.0,296.01
2019-10-25T00:00:00Z,US,Miami,pm10,69,14.0,30.0,20.0,247.48
2019-10-31T00:00:00Z,US,Miami,pm10,69,8.0,47.0,11.0,680.83
2019-12-08T00:00:00Z,US,Miami,pm10,69,12.0,30.0,17.0,325.47
2019-12-18T00:00:00Z,US,Miami,pm10,69,11.0,27.0,19.0,202.48
2019-12-25T00:00:00Z,US,Miami,pm10,69,8.0,24.0,10.0,297.62
2019-12-10T00:00:00Z,US,Miami,pm10,69,17.0,30.0,23.0,162.01
2020-01-03T00:00:00Z,US,Miami,pm10,69,12.0,23.0,16.0,124.07
2019-11-13T00:00:00Z,US,Miami,pm10,69,11.0,180.0,19.0,20792.60
2019-11-28T00:00:00Z,US,Miami,pm10,69,15.0,26.0,20.0,127.48
2019-12-02T00:00:00Z,US,Miami,pm10,69,11.0,32.0,20.0,460.13
2019-12-06T00:00:00Z,US,Miami,pm10,69,14.0,35.0,22.0,346.27
2019-12-31T00:00:00Z,US,Miami,pm10,23,9.0,51.0,16.0,1025.34
2020-01-05T00:00:00Z,US,Miami,pm10,69,9.0,20.0,14.0,113.13
2019-10-29T00:00:00Z,US,Miami,pm10,69,11.0,24.0,15.0,111.94
2019-11-10T00:00:00Z,US,Miami,pm10,69,12.0,18.0,14.0,25.36
2019-12-05T00:00:00Z,US,Miami,pm10,66,20.0,45.0,28.0,586.66
2019-12-15T00:00:00Z,US,Miami,pm10,69,11.0,19.0,14.0,33.07
2019-12-04T00:00:00Z,US,Miami,pm10,69,15.0,37.0,22.0,353.59
2019-11-04T00:00:00Z,US,Miami,pm10,69,10.0,22.0,13.0,132.93
2019-11-19T00:00:00Z,US,Miami,pm10,69,13.0,39.0,19.0,495.42
2019-11-20T00:00:00Z,US,Miami,pm10,69,22.0,56.0,27.0,614.85
2019-11-21T00:00:00Z,US,Miami,pm10,69,18.0,41.0,22.0,509.96
2019-11-22T00:00:00Z,US,Miami,pm10,69,14.0,30.0,21.0,159.36
2019-12-01T00:00:00Z,US,Miami,pm10,69,10.0,39.0,14.0,356.16
2020-01-05T00:00:00Z,US,Miami,wind-speed,96,0.1,9.5,3.2,50.65
2019-12-25T00:00:00Z,US,Miami,wind-speed,90,0.1,7.4,2.0,38.50
2019-12-26T00:00:00Z,US,Miami,wind-speed,86,0.1,11.4,3.0,100.58
2019-12-27T00:00:00Z,US,Miami,wind-speed,92,0.1,11.8,3.2,115.06
2019-12-28T00:00:00Z,US,Miami,wind-speed,48,0.1,9.0,3.5,71.61
2020-01-02T00:00:00Z,US,Miami,wind-speed,16,0.2,6.2,2.2,36.07
2020-01-03T00:00:00Z,US,Miami,wind-speed,85,0.1,7.6,2.8,47.29
2020-01-04T00:00:00Z,US,Miami,wind-speed,89,0.1,10.6,3.5,71.42
2019-10-15T00:00:00Z,US,Miami,co,48,1.0,4.2,1.3,6.33
2019-10-30T00:00:00Z,US,Miami,co,63,0.8,1.4,1.0,0.20
2019-11-18T00:00:00Z,US,Miami,co,63,1.0,4.5,1.3,13.28
2019-11-29T00:00:00Z,US,Miami,co,72,1.2,3.0,1.6,2.27
2019-10-11T00:00:00Z,US,Miami,co,48,0.7,3.4,1.1,3.34
2019-10-28T00:00:00Z,US,Miami,co,72,0.9,9.1,1.2,25.46
2019-11-15T00:00:00Z,US,Miami,co,72,1.0,4.3,2.1,12.45
2019-11-16T00:00:00Z,US,Miami,co,72,1.0,1.4,1.3,0.09
2019-11-30T00:00:00Z,US,Miami,co,72,1.2,3.7,1.9,3.94
2019-12-31T00:00:00Z,US,Miami,co,23,1.2,3.0,1.4,2.78
2019-11-05T00:00:00Z,US,Miami,co,69,0.9,2.5,1.3,1.20
2019-11-09T00:00:00Z,US,Miami,co,69,1.1,2.0,1.3,0.56
2019-10-27T00:00:00Z,US,Miami,co,72,1.0,3.2,1.2,3.70
2019-11-07T00:00:00Z,US,Miami,co,66,0.7,2.0,1.0,1.48
2019-11-10T00:00:00Z,US,Miami,co,66,0.9,1.6,1.1,0.38
2019-11-21T00:00:00Z,US,Miami,co,69,1.2,9.1,1.7,29.48
2019-11-26T00:00:00Z,US,Miami,co,69,1.2,9.1,2.2,75.25
2019-12-24T00:00:00Z,US,Miami,co,66,1.0,1.4,1.2,0.13
2019-12-29T00:00:00Z,US,Miami,co,19,0.9,1.8,1.1,0.42
2020-01-03T00:00:00Z,US,Miami,co,69,1.0,3.8,1.3,5.49
2019-10-07T00:00:00Z,US,Miami,co,44,0.8,3.3,1.2,2.72
2019-10-16T00:00:00Z,US,Miami,co,42,0.9,3.7,1.2,4.41
2019-10-22T00:00:00Z,US,Miami,co,72,1.0,3.6,1.6,4.75
2019-11-17T00:00:00Z,US,Miami,co,66,1.1,2.1,1.3,0.59
2019-11-28T00:00:00Z,US,Miami,co,66,1.4,9.1,2.2,62.70
2019-12-06T00:00:00Z,US,Miami,co,66,1.4,9.1,1.9,79.72
2019-11-23T00:00:00Z,US,Miami,co,72,1.3,4.3,2.7,11.77
2019-12-01T00:00:00Z,US,Miami,co,72,1.0,9.1,1.9,64.74
2019-10-01T00:00:00Z,US,Miami,co,38,1.0,1.5,1.1,0.16
2019-10-02T00:00:00Z,US,Miami,co,48,0.8,1.6,1.1,0.25
2019-10-09T00:00:00Z,US,Miami,co,48,0.9,1.9,1.1,0.66
2019-10-19T00:00:00Z,US,Miami,co,69,0.9,1.8,1.3,0.53
2019-10-31T00:00:00Z,US,Miami,co,72,0.9,2.3,1.1,1.80
2019-11-03T00:00:00Z,US,Miami,co,69,1.0,1.4,1.2,0.17
2019-12-08T00:00:00Z,US,Miami,co,72,1.1,9.1,1.8,31.14
2019-10-18T00:00:00Z,US,Miami,co,72,1.2,3.1,1.7,3.86
2019-10-21T00:00:00Z,US,Miami,co,72,1.2,3.7,1.6,4.29
2019-10-25T00:00:00Z,US,Miami,co,69,0.9,1.2,1.0,0.06
2019-11-24T00:00:00Z,US,Miami,co,60,1.0,2.9,1.7,2.92
2019-12-13T00:00:00Z,US,Miami,co,69,1.0,3.8,1.3,4.03
2019-12-20T00:00:00Z,US,Miami,co,36,1.0,1.5,1.1,0.18
2019-10-13T00:00:00Z,US,Miami,co,42,0.9,1.4,1.0,0.19
2019-10-24T00:00:00Z,US,Miami,co,66,0.7,1.1,0.9,0.12
2019-12-07T00:00:00Z,US,Miami,co,72,1.7,9.1,2.4,60.62
2019-12-12T00:00:00Z,US,Miami,co,39,1.1,2.6,1.4,2.20
2019-12-17T00:00:00Z,US,Miami,co,66,0.8,2.5,1.0,1.74
2019-12-30T00:00:00Z,US,Miami,co,23,1.0,9.1,1.6,71.10
2019-10-03T00:00:00Z,US,Miami,co,44,1.0,1.7,1.2,0.38
2019-10-20T00:00:00Z,US,Miami,co,60,0.8,1.4,1.0,0.30
2019-11-01T00:00:00Z,US,Miami,co,72,1.1,2.8,1.6,1.55
2019-11-02T00:00:00Z,US,Miami,co,72,1.0,2.7,1.2,1.76
2019-11-14T00:00:00Z,US,Miami,co,72,1.0,3.1,1.5,3.29
2019-12-02T00:00:00Z,US,Miami,co,63,0.9,1.4,1.1,0.15
2020-01-05T00:00:00Z,US,Miami,co,63,0.8,1.5,1.1,0.21
2019-10-05T00:00:00Z,US,Miami,co,46,0.7,2.5,1.0,1.71
2019-10-08T00:00:00Z,US,Miami,co,26,0.9,1.3,1.0,0.17
