Date,Country,City,Specie,count,min,max,median,variance
2020-03-11T00:00:00Z,US,Brooklyn,temperature,144,6.6,14.9,10.5,42.44
2020-01-03T00:00:00Z,US,Brooklyn,temperature,159,4.4,10.5,8.8,15.08
2020-01-06T00:00:00Z,US,Brooklyn,temperature,168,-1.3,7.5,3.4,80.46
2020-01-08T00:00:00Z,US,Brooklyn,temperature,168,-3.2,7.0,2.0,46.57
2020-01-24T00:00:00Z,US,Brooklyn,temperature,168,-3.8,11.3,5.5,103.22
2020-01-28T00:00:00Z,US,Brooklyn,temperature,168,1.3,7.1,4.0,12.89
2020-02-04T00:00:00Z,US,Brooklyn,temperature,168,0.8,15.5,9.1,143.39
2020-01-15T00:00:00Z,US,Brooklyn,temperature,168,0.1,11.3,8.1,49.60
2020-02-05T00:00:00Z,US,Brooklyn,temperature,168,2.2,12.7,5.2,31.17
2020-01-10T00:00:00Z,US,Brooklyn,temperature,168,-3.5,13.3,6.9,199.44
2020-01-29T00:00:00Z,US,Brooklyn,temperature,168,-2.2,7.0,2.0,35.41
2020-02-16T00:00:00Z,US,Brooklyn,temperature,48,-1.5,7.5,2.9,95.15
2020-03-04T00:00:00Z,US,Brooklyn,temperature,118,5.5,18.4,10.9,60.25
2020-03-07T00:00:00Z,US,Brooklyn,temperature,154,0.5,10.0,4.8,51.11
2020-03-30T00:00:00Z,US,Brooklyn,temperature,117,4.4,11.0,7.7,17.51
2020-03-27T00:00:00Z,US,Brooklyn,temperature,144,6.1,20.5,13.6,131.29
2020-04-02T00:00:00Z,US,Brooklyn,temperature,144,1.6,14.2,9.7,123.81
2020-01-02T00:00:00Z,US,Brooklyn,temperature,12,7.6,9.3,8.3,1.98
2020-01-05T00:00:00Z,US,Brooklyn,temperature,168,-0.6,7.0,3.8,16.57
2020-01-19T00:00:00Z,US,Brooklyn,temperature,168,-3.2,7.5,3.0,61.65
2020-01-26T00:00:00Z,US,Brooklyn,temperature,168,2.0,9.2,5.6,26.02
